StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Havells India Limited,HAVELLS,2024-03-28,1488.4,1525.0,1480.6,1515.0,1488.4,924279
Havells India Limited,HAVELLS,2024-03-27,1488.1,1505.0,1479.4,1488.4,1487.55,973040
Havells India Limited,HAVELLS,2024-03-26,1450.0,1495.95,1449.0,1487.55,1469.25,764041
Havells India Limited,HAVELLS,2024-03-22,1485.0,1494.7,1465.05,1469.25,1485.05,416340
Havells India Limited,HAVELLS,2024-03-21,1467.5,1491.55,1465.4,1485.05,1461.2,434617
Havells India Limited,HAVELLS,2024-03-20,1460.0,1465.95,1435.05,1461.2,1457.25,487253
Havells India Limited,HAVELLS,2024-03-19,1500.0,1500.0,1450.0,1457.25,1501.65,563152
Havells India Limited,HAVELLS,2024-03-18,1482.35,1505.6,1470.8,1501.65,1482.3,392071
Havells India Limited,HAVELLS,2024-03-15,1514.85,1520.3,1476.05,1482.3,1516.95,1050296
Havells India Limited,HAVELLS,2024-03-14,1474.05,1524.7,1458.05,1516.95,1474.05,848225
Havells India Limited,HAVELLS,2024-03-13,1508.05,1544.15,1464.05,1474.05,1502.0,1611966
Havells India Limited,HAVELLS,2024-03-12,1537.0,1550.0,1498.65,1502.0,1542.45,565010
Havells India Limited,HAVELLS,2024-03-11,1543.15,1561.35,1533.15,1542.45,1543.15,766416
Havells India Limited,HAVELLS,2024-03-07,1518.0,1562.8,1515.05,1543.15,1517.7,1462696
Havells India Limited,HAVELLS,2024-03-06,1570.0,1571.0,1508.0,1517.7,1540.15,1660233
Havells India Limited,HAVELLS,2024-03-05,1558.0,1558.0,1526.0,1540.15,1553.95,1243789
Havells India Limited,HAVELLS,2024-03-04,1588.0,1588.0,1532.0,1553.95,1576.45,1390941
Havells India Limited,HAVELLS,2024-03-02,1517.6,1591.35,1517.6,1576.45,1515.6,359846
Havells India Limited,HAVELLS,2024-03-01,1528.95,1536.2,1506.0,1515.6,1531.35,802788
Havells India Limited,HAVELLS,2024-02-29,1532.05,1540.35,1511.0,1531.35,1534.35,1253651
Havells India Limited,HAVELLS,2024-02-28,1479.0,1550.0,1471.2,1534.35,1469.15,6273879
Havells India Limited,HAVELLS,2024-02-27,1438.6,1482.0,1433.0,1469.15,1424.05,2867826
Havells India Limited,HAVELLS,2024-02-26,1424.0,1430.0,1413.3,1424.05,1429.5,363708
Havells India Limited,HAVELLS,2024-02-23,1431.0,1438.8,1422.4,1429.5,1431.95,542609
Havells India Limited,HAVELLS,2024-02-22,1423.85,1438.0,1415.0,1431.95,1414.85,1507612
Havells India Limited,HAVELLS,2024-02-21,1407.0,1419.7,1397.1,1414.85,1395.2,454441
Havells India Limited,HAVELLS,2024-02-20,1409.35,1414.4,1392.05,1395.2,1410.55,542689
Havells India Limited,HAVELLS,2024-02-19,1401.05,1422.5,1392.6,1410.55,1399.1,1412922
Havells India Limited,HAVELLS,2024-02-16,1387.0,1401.0,1378.4,1399.1,1380.65,458522
Havells India Limited,HAVELLS,2024-02-15,1387.5,1391.3,1376.0,1380.65,1380.75,250907
Havells India Limited,HAVELLS,2024-02-14,1362.65,1388.95,1354.9,1380.75,1362.65,918064
Havells India Limited,HAVELLS,2024-02-13,1332.9,1366.4,1315.05,1362.65,1333.1,1032576
Havells India Limited,HAVELLS,2024-02-12,1345.0,1354.0,1328.05,1333.1,1346.9,902739
Havells India Limited,HAVELLS,2024-02-09,1340.0,1354.9,1326.65,1346.9,1349.35,941809
Havells India Limited,HAVELLS,2024-02-08,1351.5,1354.35,1333.6,1349.35,1351.35,793521
Havells India Limited,HAVELLS,2024-02-07,1350.0,1356.0,1338.15,1351.35,1345.0,416325
Havells India Limited,HAVELLS,2024-02-06,1340.0,1349.8,1334.05,1345.0,1339.75,436681
Havells India Limited,HAVELLS,2024-02-05,1350.0,1357.8,1334.65,1339.75,1341.3,1659511
Havells India Limited,HAVELLS,2024-02-02,1325.0,1343.75,1308.2,1341.3,1314.6,1097984
Havells India Limited,HAVELLS,2024-02-01,1301.9,1317.9,1292.9,1314.6,1294.4,759546
Havells India Limited,HAVELLS,2024-01-31,1296.05,1302.6,1287.45,1294.4,1295.1,824629
Havells India Limited,HAVELLS,2024-01-30,1328.0,1328.0,1290.4,1295.1,1317.9,702512
Havells India Limited,HAVELLS,2024-01-29,1290.35,1322.75,1289.85,1317.9,1290.35,1195162
Havells India Limited,HAVELLS,2024-01-25,1311.9,1311.9,1283.1,1290.35,1305.6,470783
Havells India Limited,HAVELLS,2024-01-24,1299.0,1323.15,1280.0,1305.6,1313.15,1122451
Havells India Limited,HAVELLS,2024-01-23,1370.05,1374.9,1300.55,1313.15,1375.6,1286175
Havells India Limited,HAVELLS,2024-01-20,1388.45,1393.9,1370.0,1375.6,1381.95,150156
Havells India Limited,HAVELLS,2024-01-19,1410.0,1419.0,1370.65,1381.95,1400.3,651609
Havells India Limited,HAVELLS,2024-01-18,1424.55,1433.95,1394.0,1400.3,1431.35,603033
Havells India Limited,HAVELLS,2024-01-17,1427.85,1444.2,1413.15,1431.35,1430.2,1089285
