StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
HBL Power Systems Limited,HBLPOWER,2024-03-28,467.0,467.95,451.0,454.0,461.4,709828
HBL Power Systems Limited,HBLPOWER,2024-03-27,456.0,465.55,454.0,461.4,453.3,1037981
HBL Power Systems Limited,HBLPOWER,2024-03-26,465.0,469.45,451.1,453.3,465.0,750641
HBL Power Systems Limited,HBLPOWER,2024-03-22,455.0,478.55,451.05,465.0,454.85,1168347
HBL Power Systems Limited,HBLPOWER,2024-03-21,450.0,462.0,450.0,454.85,444.45,713666
HBL Power Systems Limited,HBLPOWER,2024-03-20,451.85,452.9,437.5,444.45,448.45,792186
HBL Power Systems Limited,HBLPOWER,2024-03-19,465.0,468.8,446.4,448.45,462.05,915190
HBL Power Systems Limited,HBLPOWER,2024-03-18,475.05,483.4,455.8,462.05,472.55,1595528
HBL Power Systems Limited,HBLPOWER,2024-03-15,439.0,478.4,428.55,472.55,438.75,5651645
HBL Power Systems Limited,HBLPOWER,2024-03-14,400.05,444.0,378.2,438.75,401.4,3162062
HBL Power Systems Limited,HBLPOWER,2024-03-13,446.0,457.25,391.3,401.4,441.6,3838599
HBL Power Systems Limited,HBLPOWER,2024-03-12,449.9,468.0,432.65,441.6,448.9,2502859
HBL Power Systems Limited,HBLPOWER,2024-03-11,460.0,464.9,422.0,448.9,466.65,4486777
HBL Power Systems Limited,HBLPOWER,2024-03-07,491.15,498.45,465.0,466.65,488.85,1755020
HBL Power Systems Limited,HBLPOWER,2024-03-06,509.65,509.7,481.1,488.85,508.3,1112053
HBL Power Systems Limited,HBLPOWER,2024-03-05,511.05,515.9,506.05,508.3,510.5,530221
HBL Power Systems Limited,HBLPOWER,2024-03-04,520.0,520.8,506.5,510.5,517.6,579662
HBL Power Systems Limited,HBLPOWER,2024-03-02,528.0,528.3,515.0,517.6,525.8,155694
HBL Power Systems Limited,HBLPOWER,2024-03-01,526.05,535.0,522.0,525.8,520.9,709753
HBL Power Systems Limited,HBLPOWER,2024-02-29,509.0,529.75,501.55,520.9,504.1,1548940
HBL Power Systems Limited,HBLPOWER,2024-02-28,514.95,519.1,491.8,504.1,513.6,947700
HBL Power Systems Limited,HBLPOWER,2024-02-27,506.0,517.0,506.0,513.6,506.2,704788
HBL Power Systems Limited,HBLPOWER,2024-02-26,515.85,518.4,501.0,506.2,513.25,764779
HBL Power Systems Limited,HBLPOWER,2024-02-23,517.7,524.45,511.5,513.25,515.1,586582
HBL Power Systems Limited,HBLPOWER,2024-02-22,517.0,522.75,500.5,515.1,513.3,983462
HBL Power Systems Limited,HBLPOWER,2024-02-21,532.1,537.6,506.5,513.3,529.45,1245256
HBL Power Systems Limited,HBLPOWER,2024-02-20,530.55,538.0,520.0,529.45,528.35,698971
HBL Power Systems Limited,HBLPOWER,2024-02-19,540.05,547.25,520.3,528.35,538.35,1344369
HBL Power Systems Limited,HBLPOWER,2024-02-16,560.8,560.8,533.0,538.35,558.15,1069760
HBL Power Systems Limited,HBLPOWER,2024-02-15,555.0,564.75,552.1,558.15,551.5,1130365
HBL Power Systems Limited,HBLPOWER,2024-02-14,512.3,558.0,502.25,551.5,524.05,2070649
HBL Power Systems Limited,HBLPOWER,2024-02-13,538.0,549.5,453.45,524.05,535.6,3627628
HBL Power Systems Limited,HBLPOWER,2024-02-12,595.5,596.4,527.0,535.6,593.7,3435660
HBL Power Systems Limited,HBLPOWER,2024-02-09,597.7,612.0,572.0,593.7,591.8,2503336
HBL Power Systems Limited,HBLPOWER,2024-02-08,562.9,611.0,562.65,591.8,550.9,4694787
HBL Power Systems Limited,HBLPOWER,2024-02-07,539.9,565.0,529.25,550.9,536.0,3023711
HBL Power Systems Limited,HBLPOWER,2024-02-06,523.3,538.0,520.45,536.0,518.95,1029892
HBL Power Systems Limited,HBLPOWER,2024-02-05,533.0,533.35,506.05,518.95,530.75,1135816
HBL Power Systems Limited,HBLPOWER,2024-02-02,535.3,541.55,524.45,530.75,530.05,1049074
HBL Power Systems Limited,HBLPOWER,2024-02-01,542.0,544.5,520.15,530.05,537.25,1957401
HBL Power Systems Limited,HBLPOWER,2024-01-31,507.3,540.0,505.5,537.25,504.05,2438181
HBL Power Systems Limited,HBLPOWER,2024-01-30,500.95,512.75,498.0,504.05,494.95,1325324
HBL Power Systems Limited,HBLPOWER,2024-01-29,492.4,515.65,482.65,494.95,488.95,2278099
HBL Power Systems Limited,HBLPOWER,2024-01-25,482.0,498.0,482.0,488.95,480.7,1405835
HBL Power Systems Limited,HBLPOWER,2024-01-24,456.0,485.1,456.0,480.7,454.7,1543673
HBL Power Systems Limited,HBLPOWER,2024-01-23,486.8,498.0,444.0,454.7,483.0,2109080
HBL Power Systems Limited,HBLPOWER,2024-01-20,492.05,493.7,480.05,483.0,488.35,905454
HBL Power Systems Limited,HBLPOWER,2024-01-19,484.9,502.0,479.0,488.35,478.6,3052003
HBL Power Systems Limited,HBLPOWER,2024-01-18,461.45,489.1,460.2,478.6,461.65,2899015
HBL Power Systems Limited,HBLPOWER,2024-01-17,449.95,465.75,449.0,461.65,459.85,1008156
HBL Power Systems Limited,HBLPOWER,2024-01-16,467.25,474.9,440.85,459.85,464.3,1466628
HBL Power Systems Limited,HBLPOWER,2024-01-15,465.7,476.5,460.05,464.3,461.1,1849169
HBL Power Systems Limited,HBLPOWER,2024-01-12,460.0,469.85,456.0,461.1,457.95,1078908
HBL Power Systems Limited,HBLPOWER,2024-01-11,454.25,470.0,451.0,457.95,451.35,2380828
HBL Power Systems Limited,HBLPOWER,2024-01-10,439.1,453.8,436.0,451.35,443.5,1377409
HBL Power Systems Limited,HBLPOWER,2024-01-09,449.6,453.0,441.2,443.5,445.85,929155
HBL Power Systems Limited,HBLPOWER,2024-01-08,455.7,458.95,441.1,445.85,453.85,906989
HBL Power Systems Limited,HBLPOWER,2024-01-05,458.35,461.1,450.25,453.85,455.65,1055711
HBL Power Systems Limited,HBLPOWER,2024-01-04,461.75,467.1,453.0,455.65,458.8,1449081
HBL Power Systems Limited,HBLPOWER,2024-01-03,455.5,464.7,455.5,458.8,452.45,1607462
HBL Power Systems Limited,HBLPOWER,2024-01-02,438.55,456.0,428.9,452.45,435.75,1916773
HBL Power Systems Limited,HBLPOWER,2024-01-01,437.8,444.0,433.5,435.75,436.4,979687
HBL Power Systems Limited,HBLPOWER,2023-12-29,445.55,447.9,433.6,436.4,445.55,1399264
HBL Power Systems Limited,HBLPOWER,2023-12-28,455.0,465.95,444.55,445.55,452.8,1568307
HBL Power Systems Limited,HBLPOWER,2023-12-27,446.5,455.0,443.1,452.8,445.8,1595311
HBL Power Systems Limited,HBLPOWER,2023-12-26,445.25,455.75,440.0,445.8,443.3,1552398
HBL Power Systems Limited,HBLPOWER,2023-12-22,444.15,449.9,435.65,443.3,438.9,1546790
HBL Power Systems Limited,HBLPOWER,2023-12-21,408.0,455.95,396.55,438.9,410.0,5354607
HBL Power Systems Limited,HBLPOWER,2023-12-20,443.0,452.0,376.05,410.0,440.3,3156547
HBL Power Systems Limited,HBLPOWER,2023-12-19,456.75,456.75,437.0,440.3,454.5,1797180
HBL Power Systems Limited,HBLPOWER,2023-12-18,469.25,469.25,450.95,454.5,467.45,1631714
HBL Power Systems Limited,HBLPOWER,2023-12-15,459.1,479.5,455.4,467.45,454.85,2323615
HBL Power Systems Limited,HBLPOWER,2023-12-14,468.45,475.3,450.0,454.85,457.55,2112653
HBL Power Systems Limited,HBLPOWER,2023-12-13,430.0,462.1,428.0,457.55,427.6,3422029
HBL Power Systems Limited,HBLPOWER,2023-12-12,412.55,432.65,411.0,427.6,410.25,2570480
HBL Power Systems Limited,HBLPOWER,2023-12-11,412.0,414.8,402.45,410.25,409.5,1374324
HBL Power Systems Limited,HBLPOWER,2023-12-08,398.2,416.7,398.2,409.5,394.4,2595110
HBL Power Systems Limited,HBLPOWER,2023-12-07,390.45,401.0,385.75,394.4,390.45,1048520
HBL Power Systems Limited,HBLPOWER,2023-12-06,394.3,401.5,387.45,390.45,391.95,1210398
HBL Power Systems Limited,HBLPOWER,2023-12-05,404.5,407.95,389.05,391.95,402.3,2410839
HBL Power Systems Limited,HBLPOWER,2023-12-04,396.9,409.45,388.45,402.3,383.8,3245459
HBL Power Systems Limited,HBLPOWER,2023-12-01,364.0,403.75,362.5,383.8,359.85,5103513
HBL Power Systems Limited,HBLPOWER,2023-11-30,339.0,365.2,330.1,359.85,339.9,2573935
HBL Power Systems Limited,HBLPOWER,2023-11-29,347.9,347.9,338.3,339.9,345.65,745797
