StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
HDFC Asset Management Company Limited,HDFCAMC,2024-03-28,3799.95,3809.75,3744.15,3754.1,3795.55,331246
HDFC Asset Management Company Limited,HDFCAMC,2024-03-27,3810.6,3837.05,3778.0,3795.55,3810.85,152937
HDFC Asset Management Company Limited,HDFCAMC,2024-03-26,3774.25,3858.0,3747.7,3810.85,3773.4,494806
HDFC Asset Management Company Limited,HDFCAMC,2024-03-22,3671.25,3819.0,3668.0,3773.4,3671.25,843004
HDFC Asset Management Company Limited,HDFCAMC,2024-03-21,3630.15,3682.0,3622.05,3671.25,3611.4,208790
HDFC Asset Management Company Limited,HDFCAMC,2024-03-20,3660.0,3695.65,3586.4,3611.4,3666.15,232662
HDFC Asset Management Company Limited,HDFCAMC,2024-03-19,3724.9,3730.0,3646.0,3666.15,3741.35,382067
HDFC Asset Management Company Limited,HDFCAMC,2024-03-18,3819.95,3824.7,3715.55,3741.35,3818.65,528247
HDFC Asset Management Company Limited,HDFCAMC,2024-03-15,3750.0,3831.45,3680.0,3818.65,3755.05,639465
HDFC Asset Management Company Limited,HDFCAMC,2024-03-14,3585.05,3779.0,3582.35,3755.05,3636.05,310419
HDFC Asset Management Company Limited,HDFCAMC,2024-03-13,3689.1,3750.9,3586.05,3636.05,3689.1,339324
HDFC Asset Management Company Limited,HDFCAMC,2024-03-12,3746.0,3770.0,3659.95,3689.1,3768.1,393444
HDFC Asset Management Company Limited,HDFCAMC,2024-03-11,3750.0,3834.65,3725.0,3768.1,3745.8,555584
HDFC Asset Management Company Limited,HDFCAMC,2024-03-07,3770.0,3787.95,3730.0,3745.8,3763.1,145755
HDFC Asset Management Company Limited,HDFCAMC,2024-03-06,3792.7,3815.75,3732.1,3763.1,3794.7,172798
HDFC Asset Management Company Limited,HDFCAMC,2024-03-05,3852.95,3855.6,3770.0,3794.7,3856.5,258471
HDFC Asset Management Company Limited,HDFCAMC,2024-03-04,3770.0,3876.3,3770.0,3856.5,3767.45,509995
HDFC Asset Management Company Limited,HDFCAMC,2024-03-02,3804.95,3860.0,3746.5,3767.45,3784.75,40998
HDFC Asset Management Company Limited,HDFCAMC,2024-03-01,3753.0,3808.0,3723.0,3784.75,3753.0,251727
HDFC Asset Management Company Limited,HDFCAMC,2024-02-29,3815.0,3827.25,3712.25,3753.0,3836.8,1582874
HDFC Asset Management Company Limited,HDFCAMC,2024-02-28,3903.85,3918.95,3827.0,3836.8,3903.85,269883
HDFC Asset Management Company Limited,HDFCAMC,2024-02-27,3911.0,4066.5,3861.1,3903.85,3880.9,1439510
HDFC Asset Management Company Limited,HDFCAMC,2024-02-26,3819.9,3909.95,3742.5,3880.9,3817.85,1154419
HDFC Asset Management Company Limited,HDFCAMC,2024-02-23,3784.0,3838.3,3776.0,3817.85,3782.95,190415
HDFC Asset Management Company Limited,HDFCAMC,2024-02-22,3753.0,3792.95,3715.05,3782.95,3741.35,203416
HDFC Asset Management Company Limited,HDFCAMC,2024-02-21,3780.0,3809.8,3726.0,3741.35,3774.5,235442
