StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
HEG Limited,HEG,2024-03-28,1849.0,1877.0,1835.6,1844.05,1842.25,203797
HEG Limited,HEG,2024-03-27,1901.9,1927.4,1832.0,1842.25,1898.85,310320
HEG Limited,HEG,2024-03-26,1903.25,1935.0,1852.5,1898.85,1903.25,548869
HEG Limited,HEG,2024-03-22,1929.55,2037.85,1891.15,1903.25,1913.4,1909294
HEG Limited,HEG,2024-03-21,1821.9,1933.0,1821.9,1913.4,1801.35,879569
HEG Limited,HEG,2024-03-20,1810.0,1847.9,1771.0,1801.35,1808.85,211438
HEG Limited,HEG,2024-03-19,1850.0,1860.0,1800.45,1808.85,1865.15,186961
HEG Limited,HEG,2024-03-18,1890.05,1925.0,1848.0,1865.15,1882.15,356822
HEG Limited,HEG,2024-03-15,1804.05,1901.0,1785.25,1882.15,1813.85,966266
HEG Limited,HEG,2024-03-14,1722.4,1857.45,1701.55,1813.85,1727.35,821194
HEG Limited,HEG,2024-03-13,1804.05,1863.0,1700.0,1727.35,1808.85,1179362
HEG Limited,HEG,2024-03-12,1665.0,1828.75,1655.0,1808.85,1675.85,2503240
HEG Limited,HEG,2024-03-11,1706.8,1709.85,1651.5,1675.85,1700.7,245216
HEG Limited,HEG,2024-03-07,1652.45,1721.0,1652.45,1700.7,1650.2,348643
HEG Limited,HEG,2024-03-06,1696.95,1696.95,1626.5,1650.2,1698.15,175036
HEG Limited,HEG,2024-03-05,1687.95,1714.8,1669.0,1698.15,1687.5,350891
HEG Limited,HEG,2024-03-04,1662.0,1729.8,1660.1,1687.5,1657.5,531466
HEG Limited,HEG,2024-03-02,1650.0,1664.0,1646.0,1657.5,1644.5,25831
HEG Limited,HEG,2024-03-01,1626.7,1665.0,1626.7,1644.5,1618.75,180976
HEG Limited,HEG,2024-02-29,1624.7,1656.5,1606.95,1618.75,1620.45,219041
HEG Limited,HEG,2024-02-28,1679.0,1679.0,1612.1,1620.45,1677.35,192442
HEG Limited,HEG,2024-02-27,1684.9,1699.95,1665.15,1677.35,1683.7,147977
HEG Limited,HEG,2024-02-26,1734.0,1735.1,1674.0,1683.7,1733.1,211769
HEG Limited,HEG,2024-02-23,1743.7,1754.8,1717.2,1733.1,1731.75,299143
HEG Limited,HEG,2024-02-22,1658.0,1750.0,1658.0,1731.75,1625.7,1416075
HEG Limited,HEG,2024-02-21,1667.5,1677.95,1611.0,1625.7,1661.5,168148
HEG Limited,HEG,2024-02-20,1688.95,1699.0,1650.0,1661.5,1685.2,153854
HEG Limited,HEG,2024-02-19,1702.3,1714.65,1679.95,1685.2,1698.95,157188
HEG Limited,HEG,2024-02-16,1710.95,1748.65,1685.55,1698.95,1694.85,594414
