StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Hero MotoCorp Limited,HEROMOTOCO,2024-03-28,4604.0,4750.0,4583.2,4722.3,4572.55,1086607
Hero MotoCorp Limited,HEROMOTOCO,2024-03-27,4692.0,4698.0,4560.0,4572.55,4671.15,693528
Hero MotoCorp Limited,HEROMOTOCO,2024-03-26,4684.0,4724.55,4633.55,4671.15,4684.0,551123
Hero MotoCorp Limited,HEROMOTOCO,2024-03-22,4538.8,4736.35,4517.6,4684.0,4519.9,902115
Hero MotoCorp Limited,HEROMOTOCO,2024-03-21,4527.8,4545.0,4445.2,4519.9,4510.45,633619
Hero MotoCorp Limited,HEROMOTOCO,2024-03-20,4542.0,4588.95,4480.0,4510.45,4541.75,418716
Hero MotoCorp Limited,HEROMOTOCO,2024-03-19,4554.0,4597.6,4509.6,4541.75,4554.2,388757
Hero MotoCorp Limited,HEROMOTOCO,2024-03-18,4560.5,4582.5,4527.55,4554.2,4585.3,232124
Hero MotoCorp Limited,HEROMOTOCO,2024-03-15,4655.0,4680.85,4500.65,4585.3,4675.3,1278695
Hero MotoCorp Limited,HEROMOTOCO,2024-03-14,4455.0,4682.15,4455.0,4675.3,4512.1,708629
Hero MotoCorp Limited,HEROMOTOCO,2024-03-13,4646.0,4686.75,4476.55,4512.1,4658.9,700123
Hero MotoCorp Limited,HEROMOTOCO,2024-03-12,4666.3,4697.0,4633.0,4658.9,4671.7,312738
Hero MotoCorp Limited,HEROMOTOCO,2024-03-11,4700.0,4725.0,4600.55,4671.7,4652.9,644170
Hero MotoCorp Limited,HEROMOTOCO,2024-03-07,4650.0,4704.0,4620.8,4652.9,4635.3,684934
Hero MotoCorp Limited,HEROMOTOCO,2024-03-06,4580.0,4649.0,4536.1,4635.3,4590.0,353334
Hero MotoCorp Limited,HEROMOTOCO,2024-03-05,4611.65,4644.75,4571.85,4590.0,4611.7,442519
Hero MotoCorp Limited,HEROMOTOCO,2024-03-04,4589.95,4630.0,4563.0,4611.7,4581.45,570306
Hero MotoCorp Limited,HEROMOTOCO,2024-03-02,4570.05,4595.0,4552.35,4581.45,4507.1,156722
Hero MotoCorp Limited,HEROMOTOCO,2024-03-01,4459.9,4525.0,4450.0,4507.1,4426.5,510674
Hero MotoCorp Limited,HEROMOTOCO,2024-02-29,4379.0,4454.0,4350.0,4426.5,4375.05,1548190
Hero MotoCorp Limited,HEROMOTOCO,2024-02-28,4440.0,4459.2,4349.05,4375.05,4430.05,569688
Hero MotoCorp Limited,HEROMOTOCO,2024-02-27,4501.8,4519.0,4408.0,4430.05,4496.1,830187
Hero MotoCorp Limited,HEROMOTOCO,2024-02-26,4523.95,4530.0,4470.15,4496.1,4519.25,605090
Hero MotoCorp Limited,HEROMOTOCO,2024-02-23,4535.0,4604.95,4485.1,4519.25,4495.15,819122
Hero MotoCorp Limited,HEROMOTOCO,2024-02-22,4559.95,4578.8,4440.65,4495.15,4534.85,1441798
Hero MotoCorp Limited,HEROMOTOCO,2024-02-21,4594.65,4619.95,4508.0,4534.85,4663.35,1112050
Hero MotoCorp Limited,HEROMOTOCO,2024-02-20,4852.6,4882.0,4653.0,4663.35,4852.6,1153742
Hero MotoCorp Limited,HEROMOTOCO,2024-02-19,4928.95,4944.0,4843.85,4852.6,4894.3,524294
Hero MotoCorp Limited,HEROMOTOCO,2024-02-16,4830.0,4920.0,4830.0,4894.3,4816.95,848705
Hero MotoCorp Limited,HEROMOTOCO,2024-02-15,4830.2,4854.8,4787.05,4816.95,4814.05,530347
Hero MotoCorp Limited,HEROMOTOCO,2024-02-14,4707.0,4825.0,4661.1,4814.05,4744.8,735284
Hero MotoCorp Limited,HEROMOTOCO,2024-02-13,4728.0,4829.85,4706.3,4744.8,4687.5,938269
Hero MotoCorp Limited,HEROMOTOCO,2024-02-12,4949.05,4949.05,4627.55,4687.5,4908.85,1321957
Hero MotoCorp Limited,HEROMOTOCO,2024-02-09,4840.0,4924.0,4792.1,4908.85,4807.9,718094
Hero MotoCorp Limited,HEROMOTOCO,2024-02-08,4795.95,4824.7,4764.4,4807.9,4793.35,444060
Hero MotoCorp Limited,HEROMOTOCO,2024-02-07,4790.0,4817.25,4730.15,4793.35,4783.45,265821
Hero MotoCorp Limited,HEROMOTOCO,2024-02-06,4746.55,4792.0,4733.0,4783.45,4746.65,261001
Hero MotoCorp Limited,HEROMOTOCO,2024-02-05,4720.0,4774.35,4700.0,4746.65,4717.3,425966
Hero MotoCorp Limited,HEROMOTOCO,2024-02-02,4598.0,4769.3,4590.05,4717.3,4586.7,994506
Hero MotoCorp Limited,HEROMOTOCO,2024-02-01,4621.7,4717.85,4575.0,4586.7,4621.55,660378
Hero MotoCorp Limited,HEROMOTOCO,2024-01-31,4567.5,4636.9,4518.15,4621.55,4588.35,645505
Hero MotoCorp Limited,HEROMOTOCO,2024-01-30,4627.0,4662.0,4580.05,4588.35,4593.5,709726
Hero MotoCorp Limited,HEROMOTOCO,2024-01-29,4448.0,4625.0,4426.35,4593.5,4442.15,418127
Hero MotoCorp Limited,HEROMOTOCO,2024-01-25,4448.85,4480.05,4378.5,4442.15,4433.65,664356
Hero MotoCorp Limited,HEROMOTOCO,2024-01-24,4429.0,4453.6,4310.9,4433.65,4444.2,596736
Hero MotoCorp Limited,HEROMOTOCO,2024-01-23,4401.65,4560.0,4401.65,4444.2,4401.65,1399043
Hero MotoCorp Limited,HEROMOTOCO,2024-01-20,4410.0,4425.7,4385.0,4401.65,4399.75,111872
Hero MotoCorp Limited,HEROMOTOCO,2024-01-19,4395.0,4440.85,4374.0,4399.75,4394.0,383901
Hero MotoCorp Limited,HEROMOTOCO,2024-01-18,4334.0,4411.65,4296.9,4394.0,4370.85,570816
Hero MotoCorp Limited,HEROMOTOCO,2024-01-17,4346.0,4430.0,4341.0,4370.85,4384.65,443836
Hero MotoCorp Limited,HEROMOTOCO,2024-01-16,4340.1,4450.0,4340.1,4384.65,4372.4,972808
Hero MotoCorp Limited,HEROMOTOCO,2024-01-15,4383.15,4413.55,4337.15,4372.4,4383.15,490217
Hero MotoCorp Limited,HEROMOTOCO,2024-01-12,4242.65,4395.0,4242.65,4383.15,4342.2,905401
Hero MotoCorp Limited,HEROMOTOCO,2024-01-11,4175.0,4395.0,4162.0,4342.2,4138.05,2133475
Hero MotoCorp Limited,HEROMOTOCO,2024-01-10,4094.2,4177.0,4086.1,4138.05,4112.5,511944
Hero MotoCorp Limited,HEROMOTOCO,2024-01-09,4047.95,4148.75,4031.1,4112.5,4009.5,1043602
Hero MotoCorp Limited,HEROMOTOCO,2024-01-08,4014.9,4050.0,3993.55,4009.5,3990.3,508360
Hero MotoCorp Limited,HEROMOTOCO,2024-01-05,3960.0,4037.0,3953.75,3990.3,3946.95,593042
Hero MotoCorp Limited,HEROMOTOCO,2024-01-04,3997.5,4006.15,3929.85,3946.95,3989.85,630734
