StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
HFCL Limited,HFCL,2024-03-28,93.35,94.35,91.35,91.8,92.95,10339390
HFCL Limited,HFCL,2024-03-27,90.75,94.3,90.75,92.95,90.55,29057965
HFCL Limited,HFCL,2024-03-26,92.15,92.9,90.25,90.55,92.1,15077486
HFCL Limited,HFCL,2024-03-22,89.1,93.25,89.0,92.1,89.1,18475914
HFCL Limited,HFCL,2024-03-21,89.0,90.85,88.75,89.1,87.45,11615072
HFCL Limited,HFCL,2024-03-20,88.2,89.6,85.3,87.45,87.35,14085001
HFCL Limited,HFCL,2024-03-19,89.5,92.75,86.35,87.35,90.1,21191489
HFCL Limited,HFCL,2024-03-18,90.1,92.3,88.25,90.1,90.1,16308070
HFCL Limited,HFCL,2024-03-15,89.95,92.95,87.3,90.1,90.65,23353125
HFCL Limited,HFCL,2024-03-14,82.3,91.45,82.3,90.65,83.7,30025156
HFCL Limited,HFCL,2024-03-13,93.0,94.4,80.25,83.7,92.65,37865971
HFCL Limited,HFCL,2024-03-12,96.0,96.95,91.8,92.65,95.7,28026862
HFCL Limited,HFCL,2024-03-11,102.75,102.95,95.05,95.7,102.55,21874509
HFCL Limited,HFCL,2024-03-07,104.1,105.15,102.1,102.55,103.4,13437190
HFCL Limited,HFCL,2024-03-06,107.55,107.55,102.35,103.4,108.1,21374177
HFCL Limited,HFCL,2024-03-05,109.9,112.0,107.15,108.1,110.55,26194032
HFCL Limited,HFCL,2024-03-04,108.85,112.3,106.4,110.55,108.5,25112238
HFCL Limited,HFCL,2024-03-02,108.4,109.4,108.0,108.5,108.4,2702988
HFCL Limited,HFCL,2024-03-01,107.95,112.2,107.4,108.4,107.3,28760836
HFCL Limited,HFCL,2024-02-29,105.0,107.6,102.1,107.3,104.85,33571297
HFCL Limited,HFCL,2024-02-28,112.95,113.5,104.05,104.85,112.75,36949265
HFCL Limited,HFCL,2024-02-27,115.95,117.8,111.6,112.75,115.1,36197163
HFCL Limited,HFCL,2024-02-26,112.0,117.4,110.0,115.1,112.3,38708823
HFCL Limited,HFCL,2024-02-23,114.85,116.7,111.1,112.3,115.15,34300190
HFCL Limited,HFCL,2024-02-22,112.8,116.45,109.4,115.15,112.2,71453350
HFCL Limited,HFCL,2024-02-21,110.4,115.75,108.5,112.2,110.85,100721176
HFCL Limited,HFCL,2024-02-20,107.8,113.3,107.5,110.85,107.3,85981341
HFCL Limited,HFCL,2024-02-19,100.9,110.7,99.65,107.3,100.4,75541679
HFCL Limited,HFCL,2024-02-16,102.1,103.05,99.15,100.4,101.7,12642154
HFCL Limited,HFCL,2024-02-15,99.85,102.5,99.3,101.7,99.55,18419125
