StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-28,475.05,479.35,470.1,475.65,471.1,4811142
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-27,477.0,484.2,469.05,471.1,472.6,4659072
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-26,468.9,477.8,463.5,472.6,473.45,6217958
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-22,474.2,483.65,470.7,473.45,472.5,5074069
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-21,460.45,473.9,458.45,472.5,453.65,5201023
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-20,449.0,456.15,445.8,453.65,445.5,6965516
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-19,456.9,457.95,443.05,445.5,461.15,6608339
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-18,468.9,474.8,459.35,461.15,468.85,8144609
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-15,489.85,489.85,451.15,468.85,500.1,31713010
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-14,485.0,505.0,480.6,500.1,483.9,7545044
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-13,514.6,517.0,478.6,483.9,514.3,7823337
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-12,512.0,521.45,507.25,514.3,511.85,6091354
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-11,506.0,522.0,497.45,511.85,508.5,8750873
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-07,515.7,518.5,503.4,508.5,517.2,4246754
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-06,526.5,529.8,504.2,517.2,528.05,7530897
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-05,526.0,531.45,521.55,528.05,525.1,4769230
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-04,517.0,527.9,515.55,525.1,518.8,8187650
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-02,517.5,521.0,514.45,518.8,517.15,524020
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-03-01,516.0,526.0,515.3,517.15,509.4,6844994
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-29,505.05,515.0,502.05,509.4,507.2,9735845
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-28,529.85,530.2,504.45,507.2,529.85,10822607
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-27,541.8,547.5,522.55,529.85,541.65,8476974
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-26,527.6,543.5,511.0,541.65,527.6,16108207
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-23,536.0,539.45,522.1,527.6,539.1,5742177
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-22,543.0,550.05,528.6,539.1,543.25,6318710
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-21,564.0,569.0,532.0,543.25,563.1,6662387
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-20,554.7,567.5,538.9,563.1,554.7,8916525
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-19,567.0,569.6,552.55,554.7,565.7,10134836
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-16,578.0,594.8,558.85,565.7,575.0,14846350
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-15,548.8,579.7,537.55,575.0,543.3,17700107
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-14,495.0,549.0,491.55,543.3,501.65,14135751
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-13,503.0,507.75,492.4,501.65,501.9,5094484
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-12,507.1,510.2,486.9,501.9,510.2,9490202
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-09,526.0,526.45,489.3,510.2,525.15,9789517
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-08,523.8,538.4,520.1,525.15,523.6,12712879
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-07,524.0,532.75,516.15,523.6,535.8,11694148
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-06,515.0,541.0,505.15,535.8,508.4,19235513
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-05,497.0,517.35,490.0,508.4,488.85,18304224
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-02,473.0,500.8,470.95,488.85,465.8,19090406
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-02-01,467.95,470.35,456.0,465.8,463.25,5221729
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-31,474.4,477.55,460.1,463.25,471.7,6016956
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-30,456.25,485.3,454.75,471.7,452.3,17261998
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-29,433.0,458.65,430.15,452.3,430.6,13805392
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-25,456.0,457.45,416.5,430.6,452.55,17686747
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-24,445.0,456.75,441.0,452.55,440.45,6059348
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-23,476.8,477.0,437.0,440.45,468.65,8678819
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-20,470.0,475.0,464.15,468.65,465.75,4335451
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-19,458.6,468.55,453.0,465.75,454.6,3988785
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-18,449.0,462.0,439.4,454.6,449.1,6440957
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-17,451.0,458.75,446.05,449.1,452.8,8658106
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-16,449.4,459.4,448.05,452.8,449.6,7410778
Hindustan Petroleum Corporation Limited,HINDPETRO,2024-01-15,452.5,453.6,445.15,449.6,450.8,4608455
