StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Hindustan Unilever Limited,HINDUNILVR,2024-03-28,2245.0,2287.9,2240.1,2264.35,2239.7,3186360
Hindustan Unilever Limited,HINDUNILVR,2024-03-27,2250.0,2263.0,2236.0,2239.7,2240.0,2168861
Hindustan Unilever Limited,HINDUNILVR,2024-03-26,2232.1,2259.15,2232.0,2240.0,2256.55,3027027
Hindustan Unilever Limited,HINDUNILVR,2024-03-22,2239.05,2266.0,2232.05,2256.55,2242.35,3507809
Hindustan Unilever Limited,HINDUNILVR,2024-03-21,2234.0,2259.15,2234.0,2242.35,2241.95,3504486
Hindustan Unilever Limited,HINDUNILVR,2024-03-20,2250.0,2265.45,2240.0,2241.95,2266.95,2995013
Hindustan Unilever Limited,HINDUNILVR,2024-03-19,2283.25,2303.9,2246.85,2266.95,2299.95,4220638
Hindustan Unilever Limited,HINDUNILVR,2024-03-18,2320.8,2325.0,2297.0,2299.95,2327.7,2487402
Hindustan Unilever Limited,HINDUNILVR,2024-03-15,2330.05,2336.95,2315.9,2327.7,2334.6,2751403
Hindustan Unilever Limited,HINDUNILVR,2024-03-14,2304.85,2341.7,2301.85,2334.6,2312.6,2292515
Hindustan Unilever Limited,HINDUNILVR,2024-03-13,2375.0,2375.0,2303.85,2312.6,2378.15,2322669
Hindustan Unilever Limited,HINDUNILVR,2024-03-12,2380.0,2385.0,2360.8,2378.15,2389.85,1012157
Hindustan Unilever Limited,HINDUNILVR,2024-03-11,2409.0,2413.0,2383.55,2389.85,2419.55,2040761
Hindustan Unilever Limited,HINDUNILVR,2024-03-07,2404.95,2426.0,2403.0,2419.55,2400.8,1820704
Hindustan Unilever Limited,HINDUNILVR,2024-03-06,2404.0,2408.85,2375.3,2400.8,2399.85,1354111
Hindustan Unilever Limited,HINDUNILVR,2024-03-05,2405.0,2420.0,2391.1,2399.85,2422.0,1587199
Hindustan Unilever Limited,HINDUNILVR,2024-03-04,2416.2,2427.9,2404.4,2422.0,2416.2,1501261
Hindustan Unilever Limited,HINDUNILVR,2024-03-02,2419.0,2421.4,2410.05,2416.2,2409.7,42905
Hindustan Unilever Limited,HINDUNILVR,2024-03-01,2416.95,2438.8,2404.0,2409.7,2412.3,2326244
Hindustan Unilever Limited,HINDUNILVR,2024-02-29,2425.0,2428.8,2397.25,2412.3,2421.55,2848084
Hindustan Unilever Limited,HINDUNILVR,2024-02-28,2411.1,2425.0,2401.0,2421.55,2405.3,629152
Hindustan Unilever Limited,HINDUNILVR,2024-02-27,2404.05,2408.95,2389.15,2405.3,2404.25,1120424
Hindustan Unilever Limited,HINDUNILVR,2024-02-26,2391.1,2406.55,2380.0,2404.25,2394.1,831596
Hindustan Unilever Limited,HINDUNILVR,2024-02-23,2388.55,2405.5,2383.95,2394.1,2388.1,1210775
Hindustan Unilever Limited,HINDUNILVR,2024-02-22,2420.3,2420.3,2365.75,2388.1,2407.1,2258516
Hindustan Unilever Limited,HINDUNILVR,2024-02-21,2404.1,2422.8,2394.1,2407.1,2404.1,1127778
Hindustan Unilever Limited,HINDUNILVR,2024-02-20,2370.1,2408.45,2368.2,2404.1,2387.15,1032995
Hindustan Unilever Limited,HINDUNILVR,2024-02-19,2389.5,2394.95,2373.8,2387.15,2375.25,576683
Hindustan Unilever Limited,HINDUNILVR,2024-02-16,2369.95,2382.0,2357.6,2375.25,2350.85,2363302
Hindustan Unilever Limited,HINDUNILVR,2024-02-15,2368.35,2384.7,2346.75,2350.85,2387.95,2553695
Hindustan Unilever Limited,HINDUNILVR,2024-02-14,2385.0,2394.0,2370.0,2387.95,2394.0,1397975
Hindustan Unilever Limited,HINDUNILVR,2024-02-13,2390.0,2400.95,2380.1,2394.0,2385.65,957865
Hindustan Unilever Limited,HINDUNILVR,2024-02-12,2424.1,2429.85,2382.0,2385.65,2424.15,1292460
Hindustan Unilever Limited,HINDUNILVR,2024-02-09,2417.05,2428.45,2406.1,2424.15,2417.05,886474
Hindustan Unilever Limited,HINDUNILVR,2024-02-08,2441.8,2441.8,2399.0,2417.05,2425.45,1758661
Hindustan Unilever Limited,HINDUNILVR,2024-02-07,2439.9,2439.9,2411.55,2425.45,2426.35,1149076
