StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Home First Finance Company India Limited,HOMEFIRST,2024-03-28,922.0,922.0,879.1,897.8,915.55,373031
Home First Finance Company India Limited,HOMEFIRST,2024-03-27,898.0,922.0,892.05,915.55,896.25,94120
Home First Finance Company India Limited,HOMEFIRST,2024-03-26,890.0,908.0,880.0,896.25,880.55,157290
Home First Finance Company India Limited,HOMEFIRST,2024-03-22,871.9,886.0,866.55,880.55,866.55,90422
Home First Finance Company India Limited,HOMEFIRST,2024-03-21,873.85,890.5,863.05,866.55,873.2,172153
Home First Finance Company India Limited,HOMEFIRST,2024-03-20,851.35,878.0,850.55,873.2,847.15,125606
Home First Finance Company India Limited,HOMEFIRST,2024-03-19,850.0,876.4,837.15,847.15,844.2,232684
Home First Finance Company India Limited,HOMEFIRST,2024-03-18,823.25,852.2,817.0,844.2,823.25,148398
Home First Finance Company India Limited,HOMEFIRST,2024-03-15,817.45,836.55,811.55,823.25,815.4,173997
Home First Finance Company India Limited,HOMEFIRST,2024-03-14,815.05,841.15,813.05,815.4,818.0,257196
Home First Finance Company India Limited,HOMEFIRST,2024-03-13,847.05,875.0,816.0,818.0,844.55,120968
Home First Finance Company India Limited,HOMEFIRST,2024-03-12,858.0,865.0,833.15,844.55,853.2,133710
Home First Finance Company India Limited,HOMEFIRST,2024-03-11,868.75,868.95,848.3,853.2,868.8,117550
Home First Finance Company India Limited,HOMEFIRST,2024-03-07,835.9,907.65,835.9,868.8,830.1,599086
Home First Finance Company India Limited,HOMEFIRST,2024-03-06,868.8,868.8,825.0,830.1,866.4,250100
Home First Finance Company India Limited,HOMEFIRST,2024-03-05,880.55,893.55,862.0,866.4,893.95,158730
Home First Finance Company India Limited,HOMEFIRST,2024-03-04,908.2,919.9,891.0,893.95,910.4,73485
Home First Finance Company India Limited,HOMEFIRST,2024-03-02,909.0,919.95,906.1,910.4,906.7,6483
Home First Finance Company India Limited,HOMEFIRST,2024-03-01,874.0,916.1,869.55,906.7,868.2,204677
Home First Finance Company India Limited,HOMEFIRST,2024-02-29,889.0,896.0,863.25,868.2,888.25,340553
Home First Finance Company India Limited,HOMEFIRST,2024-02-28,903.0,909.45,884.5,888.25,901.6,162050
Home First Finance Company India Limited,HOMEFIRST,2024-02-27,925.2,930.0,896.9,901.6,928.25,118601
