StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
ICICI Bank Limited,ICICIBANK,2024-03-28,1085.0,1105.05,1085.0,1093.3,1083.75,22070566
ICICI Bank Limited,ICICIBANK,2024-03-27,1083.7,1092.5,1079.55,1083.75,1083.7,26907245
ICICI Bank Limited,ICICIBANK,2024-03-26,1081.0,1089.15,1076.95,1083.7,1090.3,13367635
ICICI Bank Limited,ICICIBANK,2024-03-22,1081.15,1093.7,1078.7,1090.3,1081.8,17214415
ICICI Bank Limited,ICICIBANK,2024-03-21,1092.0,1100.0,1079.15,1081.8,1084.5,19992607
ICICI Bank Limited,ICICIBANK,2024-03-20,1080.0,1090.0,1067.5,1084.5,1083.95,18725251
ICICI Bank Limited,ICICIBANK,2024-03-19,1078.45,1088.75,1075.25,1083.95,1081.2,16708715
ICICI Bank Limited,ICICIBANK,2024-03-18,1075.05,1084.8,1060.05,1081.2,1080.35,8769440
ICICI Bank Limited,ICICIBANK,2024-03-15,1072.0,1086.25,1070.0,1080.35,1083.6,66192734
ICICI Bank Limited,ICICIBANK,2024-03-14,1080.0,1097.1,1075.05,1083.6,1083.95,14231421
ICICI Bank Limited,ICICIBANK,2024-03-13,1077.15,1089.65,1073.15,1083.95,1076.85,24855870
ICICI Bank Limited,ICICIBANK,2024-03-12,1077.05,1094.8,1055.65,1076.85,1078.7,21785435
ICICI Bank Limited,ICICIBANK,2024-03-11,1087.95,1087.95,1076.75,1078.7,1087.95,13310362
ICICI Bank Limited,ICICIBANK,2024-03-07,1094.95,1095.0,1082.7,1087.95,1097.1,9963926
ICICI Bank Limited,ICICIBANK,2024-03-06,1080.3,1113.55,1080.3,1097.1,1088.05,21796484
ICICI Bank Limited,ICICIBANK,2024-03-05,1086.2,1099.5,1076.5,1088.05,1092.35,9222544
ICICI Bank Limited,ICICIBANK,2024-03-04,1081.0,1095.0,1080.1,1092.35,1084.65,11424581
ICICI Bank Limited,ICICIBANK,2024-03-02,1087.25,1089.45,1080.5,1084.65,1086.9,481475
ICICI Bank Limited,ICICIBANK,2024-03-01,1055.0,1089.95,1054.0,1086.9,1052.2,14909562
ICICI Bank Limited,ICICIBANK,2024-02-29,1043.05,1060.7,1038.5,1052.2,1046.2,20944844
ICICI Bank Limited,ICICIBANK,2024-02-28,1063.0,1064.85,1042.15,1046.2,1060.2,7730332
ICICI Bank Limited,ICICIBANK,2024-02-27,1050.75,1066.2,1046.5,1060.2,1054.2,10580973
ICICI Bank Limited,ICICIBANK,2024-02-26,1053.1,1062.3,1050.5,1054.2,1061.3,7875941
ICICI Bank Limited,ICICIBANK,2024-02-23,1070.0,1070.0,1057.65,1061.3,1062.7,13142759
ICICI Bank Limited,ICICIBANK,2024-02-22,1056.0,1066.0,1040.3,1062.7,1051.95,13432573
ICICI Bank Limited,ICICIBANK,2024-02-21,1056.8,1064.0,1048.0,1051.95,1048.75,15946325
ICICI Bank Limited,ICICIBANK,2024-02-20,1041.05,1052.65,1033.25,1048.75,1043.75,11293528
ICICI Bank Limited,ICICIBANK,2024-02-19,1023.35,1046.0,1023.35,1043.75,1023.25,9388255
ICICI Bank Limited,ICICIBANK,2024-02-16,1023.2,1026.2,1016.9,1023.25,1016.65,7159395
ICICI Bank Limited,ICICIBANK,2024-02-15,1022.85,1026.65,1006.6,1016.65,1022.7,10069878
ICICI Bank Limited,ICICIBANK,2024-02-14,1009.55,1035.7,1007.55,1022.7,1019.8,17878720
ICICI Bank Limited,ICICIBANK,2024-02-13,1006.0,1027.05,1000.3,1019.8,996.1,18706292
ICICI Bank Limited,ICICIBANK,2024-02-12,1010.4,1012.2,985.25,996.1,1010.7,8050066
ICICI Bank Limited,ICICIBANK,2024-02-09,988.85,1013.75,985.5,1010.7,989.3,12799837
ICICI Bank Limited,ICICIBANK,2024-02-08,1024.1,1028.25,985.25,989.3,1022.15,20565502
ICICI Bank Limited,ICICIBANK,2024-02-07,1028.0,1031.55,1013.0,1022.15,1026.4,16410895
ICICI Bank Limited,ICICIBANK,2024-02-06,1023.55,1034.9,1016.7,1026.4,1023.5,12886927
ICICI Bank Limited,ICICIBANK,2024-02-05,1022.5,1026.45,1012.1,1023.5,1024.0,12948430
ICICI Bank Limited,ICICIBANK,2024-02-02,1037.1,1050.0,1021.65,1024.0,1025.15,14774650
