StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Vodafone Idea Limited,IDEA,2024-03-28,13.3,13.55,13.15,13.25,13.3,261797107
Vodafone Idea Limited,IDEA,2024-03-27,13.3,13.6,13.25,13.3,13.3,244147174
Vodafone Idea Limited,IDEA,2024-03-26,13.4,13.5,13.15,13.3,13.3,277730489
Vodafone Idea Limited,IDEA,2024-03-22,12.8,13.6,12.75,13.3,12.8,468500920
Vodafone Idea Limited,IDEA,2024-03-21,12.85,13.05,12.75,12.8,12.75,156394003
Vodafone Idea Limited,IDEA,2024-03-20,12.8,12.9,12.4,12.75,12.85,273287247
Vodafone Idea Limited,IDEA,2024-03-19,13.1,13.35,12.75,12.85,13.15,241083537
Vodafone Idea Limited,IDEA,2024-03-18,13.25,13.35,13.0,13.15,13.15,186892003
Vodafone Idea Limited,IDEA,2024-03-15,13.15,13.3,12.75,13.15,13.1,315084932
Vodafone Idea Limited,IDEA,2024-03-14,12.4,13.25,12.25,13.1,12.4,424512161
Vodafone Idea Limited,IDEA,2024-03-13,13.7,13.85,11.75,12.4,13.7,641919311
Vodafone Idea Limited,IDEA,2024-03-12,13.8,13.9,13.45,13.7,13.75,308460037
Vodafone Idea Limited,IDEA,2024-03-11,14.3,14.35,13.65,13.75,14.25,198993553
Vodafone Idea Limited,IDEA,2024-03-07,14.15,14.45,14.1,14.25,14.1,179243860
Vodafone Idea Limited,IDEA,2024-03-06,14.35,14.4,13.8,14.1,14.35,380743524
Vodafone Idea Limited,IDEA,2024-03-05,14.25,14.75,14.2,14.35,14.2,342317617
Vodafone Idea Limited,IDEA,2024-03-04,14.6,14.7,14.1,14.2,14.55,276443611
Vodafone Idea Limited,IDEA,2024-03-02,14.4,14.65,14.3,14.55,14.2,50170391
Vodafone Idea Limited,IDEA,2024-03-01,13.9,14.65,13.6,14.2,13.65,696930662
Vodafone Idea Limited,IDEA,2024-02-29,13.65,14.05,13.4,13.65,13.65,794570550
Vodafone Idea Limited,IDEA,2024-02-28,15.5,16.05,13.5,13.65,15.85,1588323107
Vodafone Idea Limited,IDEA,2024-02-27,17.05,17.15,15.65,15.85,16.85,737336815
Vodafone Idea Limited,IDEA,2024-02-26,17.75,18.1,16.75,16.85,17.55,643618097
Vodafone Idea Limited,IDEA,2024-02-23,16.7,18.4,16.7,17.55,16.3,1783686268
Vodafone Idea Limited,IDEA,2024-02-22,15.5,16.4,15.05,16.3,15.35,439602456
Vodafone Idea Limited,IDEA,2024-02-21,16.15,16.3,15.2,15.35,15.95,345491167
Vodafone Idea Limited,IDEA,2024-02-20,16.05,16.45,15.85,15.95,16.0,276625199
Vodafone Idea Limited,IDEA,2024-02-19,15.95,16.35,15.85,16.0,15.9,228340831
Vodafone Idea Limited,IDEA,2024-02-16,16.0,16.6,15.8,15.9,15.95,357636454
Vodafone Idea Limited,IDEA,2024-02-15,15.65,16.3,15.55,15.95,15.55,392901140
Vodafone Idea Limited,IDEA,2024-02-14,14.5,15.75,14.4,15.55,14.7,511365442
Vodafone Idea Limited,IDEA,2024-02-13,14.55,14.9,14.1,14.7,14.45,334247397
Vodafone Idea Limited,IDEA,2024-02-12,15.65,15.7,14.3,14.45,15.5,407165198
Vodafone Idea Limited,IDEA,2024-02-09,14.9,15.65,14.4,15.5,14.8,547988511
Vodafone Idea Limited,IDEA,2024-02-08,15.15,15.15,14.65,14.8,15.0,305462395
Vodafone Idea Limited,IDEA,2024-02-07,14.5,15.45,14.25,15.0,14.25,541841723
Vodafone Idea Limited,IDEA,2024-02-06,13.75,14.45,13.6,14.25,13.75,317594254
Vodafone Idea Limited,IDEA,2024-02-05,14.1,14.2,13.65,13.75,14.05,189236646
Vodafone Idea Limited,IDEA,2024-02-02,14.3,14.7,14.0,14.05,14.15,244512271
Vodafone Idea Limited,IDEA,2024-02-01,14.4,14.5,13.95,14.15,14.35,206826304
Vodafone Idea Limited,IDEA,2024-01-31,14.5,14.55,14.2,14.35,14.5,176208047
Vodafone Idea Limited,IDEA,2024-01-30,14.75,14.9,14.3,14.5,14.7,233265787
Vodafone Idea Limited,IDEA,2024-01-29,14.7,15.2,14.6,14.7,14.6,245974552
Vodafone Idea Limited,IDEA,2024-01-25,14.9,15.1,14.35,14.6,14.9,382501739
Vodafone Idea Limited,IDEA,2024-01-24,14.4,15.0,14.25,14.9,14.4,432651784
Vodafone Idea Limited,IDEA,2024-01-23,15.1,15.25,14.3,14.4,15.0,289983221
Vodafone Idea Limited,IDEA,2024-01-20,15.1,15.25,14.85,15.0,15.1,166855611
Vodafone Idea Limited,IDEA,2024-01-19,15.2,15.45,15.0,15.1,15.1,230080440
Vodafone Idea Limited,IDEA,2024-01-18,15.15,15.4,14.6,15.1,15.1,282295356
Vodafone Idea Limited,IDEA,2024-01-17,15.5,15.75,15.0,15.1,15.75,383695346
Vodafone Idea Limited,IDEA,2024-01-16,16.5,16.55,15.5,15.75,16.5,392898345
Vodafone Idea Limited,IDEA,2024-01-15,15.9,16.7,15.8,16.5,15.85,213367109
Vodafone Idea Limited,IDEA,2024-01-12,16.15,16.2,15.8,15.85,16.05,122397017
Vodafone Idea Limited,IDEA,2024-01-11,16.2,16.35,15.9,16.05,16.15,121469596
Vodafone Idea Limited,IDEA,2024-01-10,16.3,16.45,15.85,16.15,16.2,202636184
Vodafone Idea Limited,IDEA,2024-01-09,17.2,17.5,15.95,16.2,17.15,387150359
Vodafone Idea Limited,IDEA,2024-01-08,17.2,17.65,17.05,17.15,17.1,289503212
Vodafone Idea Limited,IDEA,2024-01-05,17.1,17.65,16.75,17.1,16.8,686777577
Vodafone Idea Limited,IDEA,2024-01-04,15.9,17.2,15.7,16.8,15.85,535038360
Vodafone Idea Limited,IDEA,2024-01-03,15.9,16.45,15.6,15.85,16.05,598726485
Vodafone Idea Limited,IDEA,2024-01-02,17.1,17.8,15.95,16.05,17.0,1095516024
Vodafone Idea Limited,IDEA,2024-01-01,16.2,18.4,15.55,17.0,16.0,1784392277
Vodafone Idea Limited,IDEA,2023-12-29,13.45,16.25,13.3,16.0,13.25,1688819452
Vodafone Idea Limited,IDEA,2023-12-28,13.5,13.6,13.1,13.25,13.45,169009935
Vodafone Idea Limited,IDEA,2023-12-27,13.4,13.5,13.2,13.45,13.35,139443887
Vodafone Idea Limited,IDEA,2023-12-26,13.65,13.75,13.3,13.35,13.6,328954630
Vodafone Idea Limited,IDEA,2023-12-22,13.75,14.0,13.45,13.6,13.65,223855223
Vodafone Idea Limited,IDEA,2023-12-21,13.25,13.75,12.9,13.65,13.1,292707751
Vodafone Idea Limited,IDEA,2023-12-20,14.1,14.4,13.0,13.1,14.0,491683002
Vodafone Idea Limited,IDEA,2023-12-19,14.15,14.45,13.95,14.0,14.1,278863922
Vodafone Idea Limited,IDEA,2023-12-18,14.4,14.5,13.9,14.1,14.05,370995029
Vodafone Idea Limited,IDEA,2023-12-15,14.0,14.25,13.55,14.05,13.95,354922019
Vodafone Idea Limited,IDEA,2023-12-14,13.3,14.2,13.2,13.95,13.2,414076096
Vodafone Idea Limited,IDEA,2023-12-13,13.2,13.6,13.1,13.2,13.15,369309542
Vodafone Idea Limited,IDEA,2023-12-12,13.25,13.3,12.95,13.15,13.15,208970536
Vodafone Idea Limited,IDEA,2023-12-11,12.9,13.4,12.9,13.15,12.9,298883455
Vodafone Idea Limited,IDEA,2023-12-08,13.3,13.35,12.65,12.9,13.2,237806590
Vodafone Idea Limited,IDEA,2023-12-07,12.85,13.55,12.7,13.2,12.85,239610072
Vodafone Idea Limited,IDEA,2023-12-06,13.15,13.15,12.8,12.85,13.05,143223567
Vodafone Idea Limited,IDEA,2023-12-05,13.2,13.4,12.8,13.05,13.15,258146151
Vodafone Idea Limited,IDEA,2023-12-04,13.45,13.5,13.1,13.15,13.25,219950343
Vodafone Idea Limited,IDEA,2023-12-01,13.3,13.55,13.2,13.25,13.05,181542248
Vodafone Idea Limited,IDEA,2023-11-30,13.2,13.4,12.95,13.05,13.2,617533424
Vodafone Idea Limited,IDEA,2023-11-29,13.3,13.45,13.15,13.2,13.25,127233494
Vodafone Idea Limited,IDEA,2023-11-28,13.4,13.6,13.1,13.25,13.35,138360228
