StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Indian Energy Exchange Limited,IEX,2024-03-28,134.0,135.55,134.0,134.35,133.55,7320353
Indian Energy Exchange Limited,IEX,2024-03-27,134.9,135.6,133.15,133.55,134.05,8884368
Indian Energy Exchange Limited,IEX,2024-03-26,135.8,136.65,133.5,134.05,135.85,8512425
Indian Energy Exchange Limited,IEX,2024-03-22,135.4,137.35,134.55,135.85,135.95,5944397
Indian Energy Exchange Limited,IEX,2024-03-21,135.25,136.35,134.8,135.95,133.75,5608993
Indian Energy Exchange Limited,IEX,2024-03-20,134.0,135.65,131.8,133.75,134.5,5374377
Indian Energy Exchange Limited,IEX,2024-03-19,136.55,137.1,133.85,134.5,136.45,5216404
Indian Energy Exchange Limited,IEX,2024-03-18,136.95,137.65,135.25,136.45,136.85,5440299
Indian Energy Exchange Limited,IEX,2024-03-15,137.65,138.25,133.4,136.85,137.2,6291607
Indian Energy Exchange Limited,IEX,2024-03-14,132.0,137.6,130.2,137.2,133.1,7822805
Indian Energy Exchange Limited,IEX,2024-03-13,141.0,141.5,131.6,133.1,141.0,11182822
Indian Energy Exchange Limited,IEX,2024-03-12,143.6,143.8,140.1,141.0,143.6,9100792
Indian Energy Exchange Limited,IEX,2024-03-11,148.2,148.45,142.95,143.6,147.85,8683757
Indian Energy Exchange Limited,IEX,2024-03-07,147.6,150.25,147.15,147.85,147.6,6250481
Indian Energy Exchange Limited,IEX,2024-03-06,154.4,154.4,145.45,147.6,149.75,10674957
Indian Energy Exchange Limited,IEX,2024-03-05,155.0,155.0,149.1,149.75,153.55,12167686
Indian Energy Exchange Limited,IEX,2024-03-04,153.85,158.4,152.75,153.55,151.55,35459341
Indian Energy Exchange Limited,IEX,2024-03-02,145.95,151.55,145.65,151.55,144.35,9541174
Indian Energy Exchange Limited,IEX,2024-03-01,143.15,145.35,142.55,144.35,142.15,4504563
Indian Energy Exchange Limited,IEX,2024-02-29,141.25,142.9,139.0,142.15,140.9,4964250
Indian Energy Exchange Limited,IEX,2024-02-28,145.9,145.9,140.0,140.9,145.2,8428285
Indian Energy Exchange Limited,IEX,2024-02-27,148.1,149.7,144.7,145.2,147.05,9776911
Indian Energy Exchange Limited,IEX,2024-02-26,147.0,148.0,146.0,147.05,147.0,6168601
Indian Energy Exchange Limited,IEX,2024-02-23,145.1,148.2,145.1,147.0,144.85,7968482
Indian Energy Exchange Limited,IEX,2024-02-22,144.3,145.65,143.1,144.85,144.3,3496690
Indian Energy Exchange Limited,IEX,2024-02-21,146.45,147.4,142.45,144.3,146.45,7038214
Indian Energy Exchange Limited,IEX,2024-02-20,145.1,147.55,145.05,146.45,145.75,6276461
Indian Energy Exchange Limited,IEX,2024-02-19,145.95,146.85,145.35,145.75,145.65,4277667
Indian Energy Exchange Limited,IEX,2024-02-16,145.0,147.4,144.4,145.65,144.6,5812909
Indian Energy Exchange Limited,IEX,2024-02-15,144.5,146.15,143.8,144.6,143.95,5353137
Indian Energy Exchange Limited,IEX,2024-02-14,142.4,144.45,140.85,143.95,144.5,4561800
