StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
IIFL Finance Limited,IIFL,2024-03-28,357.95,368.5,337.7,340.1,351.95,5256072
IIFL Finance Limited,IIFL,2024-03-28,1160.0,1160.0,951.0,970.0,969.1,280
IIFL Finance Limited,IIFL,2024-03-28,990.0,990.0,990.0,990.0,990.0,10
IIFL Finance Limited,IIFL,2024-03-28,1596.0,1596.0,1352.0,1352.0,1530.0,440
IIFL Finance Limited,IIFL,2024-03-28,1000.0,1000.0,916.0,943.46,934.45,2565
IIFL Finance Limited,IIFL,2024-03-28,923.9,923.9,915.3,917.3,916.51,1751
IIFL Finance Limited,IIFL,2024-03-28,1151.0,1162.0,1150.0,1162.0,1138.8,501
IIFL Finance Limited,IIFL,2024-03-28,921.0,921.0,920.0,921.0,921.0,555
IIFL Finance Limited,IIFL,2024-03-28,974.0,976.8,970.11,975.08,976.0,315
IIFL Finance Limited,IIFL,2024-03-28,945.0,945.0,945.0,945.0,948.0,216
IIFL Finance Limited,IIFL,2024-03-28,886.99,889.0,886.9,889.0,886.1,125
IIFL Finance Limited,IIFL,2024-03-28,930.0,939.8,930.0,939.8,925.0,88
IIFL Finance Limited,IIFL,2024-03-28,970.0,970.0,970.0,970.0,970.0,310
IIFL Finance Limited,IIFL,2024-03-28,1010.0,1016.8,1010.0,1016.8,1010.0,16
IIFL Finance Limited,IIFL,2024-03-27,326.0,353.5,313.25,351.95,321.4,8199702
IIFL Finance Limited,IIFL,2024-03-27,950.0,958.9,950.0,955.01,957.71,122
IIFL Finance Limited,IIFL,2024-03-27,938.8,938.8,925.0,925.0,930.0,227
IIFL Finance Limited,IIFL,2024-03-27,970.0,970.0,969.1,969.1,958.0,7
IIFL Finance Limited,IIFL,2024-03-27,960.0,990.0,960.0,990.0,958.01,216
IIFL Finance Limited,IIFL,2024-03-27,935.0,945.0,915.21,934.45,936.5,833
IIFL Finance Limited,IIFL,2024-03-27,925.0,925.0,915.0,916.51,918.99,4816
IIFL Finance Limited,IIFL,2024-03-27,900.0,900.0,880.0,883.79,880.0,1615
IIFL Finance Limited,IIFL,2024-03-27,985.55,985.55,985.55,985.55,1032.2,1
IIFL Finance Limited,IIFL,2024-03-27,948.95,948.95,920.0,921.0,910.6,828
IIFL Finance Limited,IIFL,2024-03-27,976.8,976.8,976.0,976.0,997.0,51
IIFL Finance Limited,IIFL,2024-03-27,886.98,886.98,879.0,886.1,881.68,3267
IIFL Finance Limited,IIFL,2024-03-27,970.0,970.0,970.0,970.0,970.0,9
IIFL Finance Limited,IIFL,2024-03-27,1006.0,1010.0,1006.0,1010.0,1010.0,30
IIFL Finance Limited,IIFL,2024-03-27,1005.0,1012.0,1005.0,1010.74,990.55,50
IIFL Finance Limited,IIFL,2024-03-27,875.0,882.0,874.0,881.0,870.0,647
IIFL Finance Limited,IIFL,2024-03-26,970.0,970.0,970.0,970.0,950.0,10
IIFL Finance Limited,IIFL,2024-03-26,889.99,889.99,875.6,881.68,889.99,1790
IIFL Finance Limited,IIFL,2024-03-26,1002.5,1002.5,990.55,990.55,1002.8,19
IIFL Finance Limited,IIFL,2024-03-26,1010.0,1010.0,1010.0,1010.0,1003.0,346
IIFL Finance Limited,IIFL,2024-03-26,331.3,332.1,316.1,321.4,334.25,3659848
IIFL Finance Limited,IIFL,2024-03-26,925.1,925.1,917.0,918.99,921.19,2295
IIFL Finance Limited,IIFL,2024-03-26,1529.0,1532.0,1518.44,1530.0,1516.72,239
IIFL Finance Limited,IIFL,2024-03-26,1146.0,1146.0,1138.8,1138.8,1168.0,50
IIFL Finance Limited,IIFL,2024-03-26,966.0,966.0,966.0,966.0,975.0,30
IIFL Finance Limited,IIFL,2024-03-26,926.0,958.0,926.0,936.5,950.0,678
IIFL Finance Limited,IIFL,2024-03-26,890.0,890.0,860.6,870.0,895.0,518
IIFL Finance Limited,IIFL,2024-03-26,925.0,930.0,925.0,930.0,938.0,231
IIFL Finance Limited,IIFL,2024-03-26,1197.0,1197.0,1197.0,1197.0,1210.2,100
IIFL Finance Limited,IIFL,2024-03-26,921.0,922.0,910.0,910.6,925.0,1975
IIFL Finance Limited,IIFL,2024-03-26,950.0,960.0,950.0,957.71,951.54,380
IIFL Finance Limited,IIFL,2024-03-26,941.2,950.0,941.2,948.0,951.0,732
IIFL Finance Limited,IIFL,2024-03-26,1037.55,1037.55,1037.55,1037.55,1048.0,33
IIFL Finance Limited,IIFL,2024-03-26,955.55,958.01,955.55,958.01,962.0,46
IIFL Finance Limited,IIFL,2024-03-26,958.0,958.0,958.0,958.0,951.11,90
IIFL Finance Limited,IIFL,2024-03-22,339.7,347.7,333.0,334.25,336.3,2037443
IIFL Finance Limited,IIFL,2024-03-22,979.1,983.2,942.0,951.54,979.1,489
IIFL Finance Limited,IIFL,2024-03-22,951.11,951.11,951.11,951.11,1005.0,22
IIFL Finance Limited,IIFL,2024-03-22,960.0,960.0,950.0,950.0,967.47,33
IIFL Finance Limited,IIFL,2024-03-22,925.1,927.0,916.0,921.19,922.69,4322
IIFL Finance Limited,IIFL,2024-03-22,1168.0,1168.0,1168.0,1168.0,1160.0,58
IIFL Finance Limited,IIFL,2024-03-22,925.0,925.0,920.0,925.0,929.0,1133
IIFL Finance Limited,IIFL,2024-03-22,1200.0,1200.0,1200.0,1200.0,1200.0,100
IIFL Finance Limited,IIFL,2024-03-22,890.35,900.0,880.0,880.0,920.0,250
IIFL Finance Limited,IIFL,2024-03-22,939.8,939.8,938.0,938.0,920.0,33
IIFL Finance Limited,IIFL,2024-03-22,898.81,898.81,895.0,895.0,898.8,150
IIFL Finance Limited,IIFL,2024-03-22,975.0,975.0,966.0,975.0,975.0,218
IIFL Finance Limited,IIFL,2024-03-22,1001.0,1003.0,1001.0,1003.0,995.0,11
IIFL Finance Limited,IIFL,2024-03-22,950.0,950.0,950.0,950.0,921.0,100
IIFL Finance Limited,IIFL,2024-03-22,882.3,890.0,880.0,889.99,881.98,654
IIFL Finance Limited,IIFL,2024-03-22,1048.0,1048.0,1048.0,1048.0,1039.57,538
IIFL Finance Limited,IIFL,2024-03-22,956.55,997.0,956.55,997.0,984.93,344
IIFL Finance Limited,IIFL,2024-03-21,340.0,348.8,329.95,336.3,336.55,3365695
IIFL Finance Limited,IIFL,2024-03-21,1010.0,1010.0,1005.0,1005.0,982.0,26
IIFL Finance Limited,IIFL,2024-03-21,962.0,963.0,962.0,962.0,952.13,347
IIFL Finance Limited,IIFL,2024-03-21,957.5,967.5,932.0,967.47,957.5,1218
IIFL Finance Limited,IIFL,2024-03-21,930.4,930.4,921.3,922.69,925.0,1294
IIFL Finance Limited,IIFL,2024-03-21,1160.0,1160.0,1160.0,1160.0,1160.0,50
IIFL Finance Limited,IIFL,2024-03-21,920.0,929.0,917.0,929.0,918.87,1289
IIFL Finance Limited,IIFL,2024-03-21,975.0,984.93,975.0,984.93,985.0,321
IIFL Finance Limited,IIFL,2024-03-21,1048.0,1048.0,1038.55,1039.57,1048.0,125
