StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
The India Cements Limited,INDIACEM,2024-03-28,213.8,215.3,211.4,212.4,212.4,2536338
The India Cements Limited,INDIACEM,2024-03-27,211.0,216.45,209.6,212.4,209.15,4086984
The India Cements Limited,INDIACEM,2024-03-26,205.0,211.15,205.0,209.15,207.05,2239740
The India Cements Limited,INDIACEM,2024-03-22,203.7,209.55,202.4,207.05,203.7,2367242
The India Cements Limited,INDIACEM,2024-03-21,198.35,205.0,198.35,203.7,196.6,2188071
The India Cements Limited,INDIACEM,2024-03-20,200.1,201.65,194.0,196.6,198.95,2309929
The India Cements Limited,INDIACEM,2024-03-19,204.25,204.8,197.45,198.95,204.3,1948804
The India Cements Limited,INDIACEM,2024-03-18,205.3,208.5,202.7,204.3,205.0,1574169
The India Cements Limited,INDIACEM,2024-03-15,205.25,207.0,199.2,205.0,204.2,2175665
The India Cements Limited,INDIACEM,2024-03-14,196.05,205.55,193.65,204.2,196.05,2800040
The India Cements Limited,INDIACEM,2024-03-13,214.4,214.65,194.15,196.05,212.35,4670058
The India Cements Limited,INDIACEM,2024-03-12,221.0,221.0,211.4,212.35,220.0,1970279
The India Cements Limited,INDIACEM,2024-03-11,226.0,227.2,219.0,220.0,225.55,1264842
The India Cements Limited,INDIACEM,2024-03-07,223.5,228.4,223.35,225.55,223.55,1259979
The India Cements Limited,INDIACEM,2024-03-06,229.75,229.75,219.15,223.55,228.3,1845913
The India Cements Limited,INDIACEM,2024-03-05,232.3,234.4,227.7,228.3,232.2,1108308
The India Cements Limited,INDIACEM,2024-03-04,233.05,234.95,231.0,232.2,232.9,1242661
The India Cements Limited,INDIACEM,2024-03-02,232.0,233.95,230.25,232.9,231.15,253708
The India Cements Limited,INDIACEM,2024-03-01,229.6,233.3,229.1,231.15,228.85,1642945
The India Cements Limited,INDIACEM,2024-02-29,225.7,230.0,220.75,228.85,224.55,3172834
The India Cements Limited,INDIACEM,2024-02-28,236.4,236.4,222.2,224.55,234.35,2700345
The India Cements Limited,INDIACEM,2024-02-27,238.0,240.75,233.75,234.35,239.1,1572427
The India Cements Limited,INDIACEM,2024-02-26,245.85,245.85,238.25,239.1,245.15,2716590
The India Cements Limited,INDIACEM,2024-02-23,249.95,252.3,243.05,245.15,248.35,5036188
The India Cements Limited,INDIACEM,2024-02-22,243.0,249.4,238.85,248.35,242.75,4919069
The India Cements Limited,INDIACEM,2024-02-21,244.45,248.15,241.65,242.75,242.85,3006832
The India Cements Limited,INDIACEM,2024-02-20,243.0,245.0,239.6,242.85,241.3,1463530
The India Cements Limited,INDIACEM,2024-02-19,243.15,244.15,239.55,241.3,243.35,1612158
The India Cements Limited,INDIACEM,2024-02-16,238.0,246.5,236.2,243.35,235.6,3352123
