StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
InterGlobe Aviation Limited,INDIGO,2024-03-28,3546.0,3573.8,3516.0,3548.65,3546.65,1102586
InterGlobe Aviation Limited,INDIGO,2024-03-27,3514.95,3561.55,3471.6,3546.65,3492.05,1246756
InterGlobe Aviation Limited,INDIGO,2024-03-26,3324.0,3507.95,3302.35,3492.05,3286.8,2463948
InterGlobe Aviation Limited,INDIGO,2024-03-22,3300.0,3327.05,3266.8,3286.8,3290.15,681688
InterGlobe Aviation Limited,INDIGO,2024-03-21,3258.45,3297.4,3245.0,3290.15,3213.65,727852
InterGlobe Aviation Limited,INDIGO,2024-03-20,3234.05,3260.0,3180.9,3213.65,3233.0,1147219
InterGlobe Aviation Limited,INDIGO,2024-03-19,3260.0,3342.0,3223.05,3233.0,3249.2,3389294
InterGlobe Aviation Limited,INDIGO,2024-03-18,3200.0,3255.75,3160.0,3249.2,3203.1,890781
InterGlobe Aviation Limited,INDIGO,2024-03-15,3176.6,3215.9,3135.0,3203.1,3176.6,2268294
InterGlobe Aviation Limited,INDIGO,2024-03-14,3110.0,3187.25,3079.35,3176.6,3112.55,1379775
InterGlobe Aviation Limited,INDIGO,2024-03-13,3242.0,3258.5,3090.1,3112.55,3242.95,2053050
InterGlobe Aviation Limited,INDIGO,2024-03-12,3220.95,3317.0,3197.4,3242.95,3218.55,3251109
InterGlobe Aviation Limited,INDIGO,2024-03-11,3033.05,3262.0,3020.0,3218.55,3105.7,9136024
InterGlobe Aviation Limited,INDIGO,2024-03-07,3083.0,3126.7,3081.0,3105.7,3069.8,340788
InterGlobe Aviation Limited,INDIGO,2024-03-07,3069.8,3069.8,3069.8,3069.8,1766.1,57049
InterGlobe Aviation Limited,INDIGO,2024-03-06,3196.9,3196.9,3026.0,3069.8,3186.4,1168268
InterGlobe Aviation Limited,INDIGO,2024-03-05,3171.15,3215.0,3152.15,3186.4,3171.1,341136
InterGlobe Aviation Limited,INDIGO,2024-03-04,3174.0,3202.8,3153.3,3171.1,3159.8,484126
InterGlobe Aviation Limited,INDIGO,2024-03-02,3160.0,3174.8,3127.65,3159.8,3157.35,15485
InterGlobe Aviation Limited,INDIGO,2024-03-01,3155.4,3171.75,3130.3,3157.35,3155.35,210443
InterGlobe Aviation Limited,INDIGO,2024-02-29,3134.4,3169.5,3079.0,3155.35,3125.9,3097349
InterGlobe Aviation Limited,INDIGO,2024-02-28,3190.0,3202.05,3098.05,3125.9,3183.0,506498
InterGlobe Aviation Limited,INDIGO,2024-02-27,3190.0,3198.75,3153.05,3183.0,3184.05,460969
InterGlobe Aviation Limited,INDIGO,2024-02-26,3198.0,3201.95,3135.25,3184.05,3179.0,417096
InterGlobe Aviation Limited,INDIGO,2024-02-23,3142.0,3215.35,3136.1,3179.0,3128.3,873751
InterGlobe Aviation Limited,INDIGO,2024-02-22,3110.0,3134.15,3082.65,3128.3,3095.65,397181
InterGlobe Aviation Limited,INDIGO,2024-02-21,3135.0,3135.0,3083.0,3095.65,3114.9,481341
InterGlobe Aviation Limited,INDIGO,2024-02-20,3080.0,3136.35,3053.9,3114.9,3068.05,745295
