StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
IndusInd Bank Limited,INDUSINDBK,2024-03-28,1534.75,1564.5,1533.6,1553.0,1533.55,3964429
IndusInd Bank Limited,INDUSINDBK,2024-03-27,1519.0,1542.95,1514.45,1533.55,1518.7,8408702
IndusInd Bank Limited,INDUSINDBK,2024-03-26,1512.1,1523.6,1502.2,1518.7,1512.1,9046136
IndusInd Bank Limited,INDUSINDBK,2024-03-22,1477.75,1520.35,1473.0,1512.1,1484.1,5309042
IndusInd Bank Limited,INDUSINDBK,2024-03-21,1460.0,1486.9,1459.0,1484.1,1441.55,3870591
IndusInd Bank Limited,INDUSINDBK,2024-03-20,1440.0,1464.0,1422.7,1441.55,1434.1,5480729
IndusInd Bank Limited,INDUSINDBK,2024-03-19,1476.05,1482.95,1430.85,1434.1,1480.7,3180412
IndusInd Bank Limited,INDUSINDBK,2024-03-18,1487.25,1491.6,1466.3,1480.7,1484.35,2365287
IndusInd Bank Limited,INDUSINDBK,2024-03-15,1474.0,1489.5,1456.7,1484.35,1476.75,2985042
IndusInd Bank Limited,INDUSINDBK,2024-03-14,1471.55,1506.9,1469.2,1476.75,1502.65,3652530
IndusInd Bank Limited,INDUSINDBK,2024-03-13,1535.0,1540.6,1495.0,1502.65,1533.05,4165036
IndusInd Bank Limited,INDUSINDBK,2024-03-12,1541.05,1555.95,1528.5,1533.05,1541.05,1918571
IndusInd Bank Limited,INDUSINDBK,2024-03-11,1566.1,1568.75,1536.6,1541.05,1563.75,1694488
IndusInd Bank Limited,INDUSINDBK,2024-03-07,1556.45,1571.5,1546.05,1563.75,1554.55,2285176
IndusInd Bank Limited,INDUSINDBK,2024-03-06,1542.45,1564.75,1536.55,1554.55,1542.45,5167456
IndusInd Bank Limited,INDUSINDBK,2024-03-05,1529.65,1547.0,1524.0,1542.45,1531.3,2694157
IndusInd Bank Limited,INDUSINDBK,2024-03-04,1529.95,1538.95,1520.35,1531.3,1526.0,2985524
IndusInd Bank Limited,INDUSINDBK,2024-03-02,1535.0,1538.0,1524.0,1526.0,1526.65,179042
IndusInd Bank Limited,INDUSINDBK,2024-03-01,1480.0,1528.75,1477.85,1526.65,1474.9,3549401
IndusInd Bank Limited,INDUSINDBK,2024-02-29,1451.0,1484.0,1440.0,1474.9,1449.2,4216252
IndusInd Bank Limited,INDUSINDBK,2024-02-28,1495.0,1503.45,1442.5,1449.2,1493.05,2661887
IndusInd Bank Limited,INDUSINDBK,2024-02-27,1466.5,1497.35,1458.5,1493.05,1466.5,2843312
IndusInd Bank Limited,INDUSINDBK,2024-02-26,1481.0,1486.0,1463.9,1466.5,1480.3,2077787
IndusInd Bank Limited,INDUSINDBK,2024-02-23,1498.45,1504.9,1475.05,1480.3,1489.15,2557861
IndusInd Bank Limited,INDUSINDBK,2024-02-22,1517.25,1520.0,1463.5,1489.15,1517.25,4969478
IndusInd Bank Limited,INDUSINDBK,2024-02-21,1520.0,1526.8,1502.5,1517.25,1504.2,5259113
IndusInd Bank Limited,INDUSINDBK,2024-02-20,1489.0,1508.0,1475.05,1504.2,1483.6,2390096
IndusInd Bank Limited,INDUSINDBK,2024-02-19,1499.9,1502.8,1477.0,1483.6,1493.65,1209609
IndusInd Bank Limited,INDUSINDBK,2024-02-16,1485.95,1506.5,1471.0,1493.65,1476.95,1844045
IndusInd Bank Limited,INDUSINDBK,2024-02-15,1491.0,1492.85,1460.3,1476.95,1481.5,1906763
IndusInd Bank Limited,INDUSINDBK,2024-02-14,1450.05,1494.5,1435.95,1481.5,1463.9,4208176
IndusInd Bank Limited,INDUSINDBK,2024-02-13,1452.4,1476.25,1430.65,1463.9,1447.15,4601482
IndusInd Bank Limited,INDUSINDBK,2024-02-12,1488.2,1497.0,1442.15,1447.15,1486.25,2821957
IndusInd Bank Limited,INDUSINDBK,2024-02-09,1480.25,1491.4,1462.65,1486.25,1477.3,2388841
IndusInd Bank Limited,INDUSINDBK,2024-02-08,1522.7,1540.95,1470.0,1477.3,1515.35,2931291
IndusInd Bank Limited,INDUSINDBK,2024-02-07,1522.4,1522.4,1492.2,1515.35,1511.4,4066189
IndusInd Bank Limited,INDUSINDBK,2024-02-06,1550.0,1550.45,1504.15,1511.4,1537.8,3312270
IndusInd Bank Limited,INDUSINDBK,2024-02-05,1532.75,1550.0,1521.8,1537.8,1533.75,2624023
IndusInd Bank Limited,INDUSINDBK,2024-02-02,1551.0,1564.85,1529.55,1533.75,1541.15,3554450
IndusInd Bank Limited,INDUSINDBK,2024-02-01,1537.75,1547.55,1523.55,1541.15,1534.05,2240634
IndusInd Bank Limited,INDUSINDBK,2024-01-31,1519.2,1548.0,1507.15,1534.05,1519.9,3867886
IndusInd Bank Limited,INDUSINDBK,2024-01-30,1530.0,1544.45,1510.05,1519.9,1526.8,1721705
IndusInd Bank Limited,INDUSINDBK,2024-01-29,1523.0,1537.75,1515.35,1526.8,1512.0,3058020
IndusInd Bank Limited,INDUSINDBK,2024-01-25,1490.85,1490.85,1490.85,1490.85,942.45,1643363
IndusInd Bank Limited,INDUSINDBK,2024-01-25,1490.0,1543.95,1488.6,1512.0,1490.85,8118578
IndusInd Bank Limited,INDUSINDBK,2024-01-24,1459.95,1495.8,1442.0,1490.85,1441.7,9155544
IndusInd Bank Limited,INDUSINDBK,2024-01-23,1535.0,1547.9,1428.05,1441.7,1535.35,10097057
IndusInd Bank Limited,INDUSINDBK,2024-01-20,1570.0,1571.9,1530.0,1535.35,1561.1,3158588
IndusInd Bank Limited,INDUSINDBK,2024-01-19,1622.7,1631.75,1550.2,1561.1,1612.9,10982524
IndusInd Bank Limited,INDUSINDBK,2024-01-18,1634.95,1639.6,1595.1,1612.9,1643.9,3557256
