StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Indus Towers Limited,INDUSTOWER,2024-03-28,283.6,292.75,283.25,291.15,283.6,20460251
Indus Towers Limited,INDUSTOWER,2024-03-27,283.65,286.75,279.35,283.6,283.65,15903523
Indus Towers Limited,INDUSTOWER,2024-03-26,279.0,286.0,274.4,283.65,271.3,51320717
Indus Towers Limited,INDUSTOWER,2024-03-22,250.5,275.2,250.2,271.3,250.2,33142623
Indus Towers Limited,INDUSTOWER,2024-03-21,253.0,254.8,249.35,250.2,250.7,9360207
Indus Towers Limited,INDUSTOWER,2024-03-20,242.0,252.2,241.55,250.7,238.25,30243183
Indus Towers Limited,INDUSTOWER,2024-03-19,249.0,251.6,234.0,238.25,248.5,30394055
Indus Towers Limited,INDUSTOWER,2024-03-18,249.8,251.0,245.85,248.5,248.35,5938154
Indus Towers Limited,INDUSTOWER,2024-03-15,244.2,252.4,241.2,248.35,245.7,14024872
Indus Towers Limited,INDUSTOWER,2024-03-14,234.85,247.85,227.25,245.7,236.4,15267590
Indus Towers Limited,INDUSTOWER,2024-03-13,248.0,249.55,231.3,236.4,247.2,16039868
Indus Towers Limited,INDUSTOWER,2024-03-12,249.05,250.55,241.7,247.2,247.45,10111209
Indus Towers Limited,INDUSTOWER,2024-03-11,254.0,255.2,246.4,247.45,255.4,8073625
Indus Towers Limited,INDUSTOWER,2024-03-07,254.2,258.35,252.55,255.4,252.95,9619303
Indus Towers Limited,INDUSTOWER,2024-03-06,261.0,261.0,246.0,252.95,261.45,24899815
Indus Towers Limited,INDUSTOWER,2024-03-05,267.45,271.35,260.4,261.45,268.1,16010730
Indus Towers Limited,INDUSTOWER,2024-03-04,265.55,269.8,263.4,268.1,265.7,12237066
Indus Towers Limited,INDUSTOWER,2024-03-02,264.15,267.0,261.05,265.7,263.1,2728890
Indus Towers Limited,INDUSTOWER,2024-03-01,252.8,264.15,246.45,263.1,252.8,37746325
Indus Towers Limited,INDUSTOWER,2024-02-29,244.0,255.2,240.4,252.8,244.65,32290220
Indus Towers Limited,INDUSTOWER,2024-02-28,240.5,250.4,234.5,244.65,240.25,54016111
Indus Towers Limited,INDUSTOWER,2024-02-27,247.0,250.4,239.1,240.25,246.35,19963258
Indus Towers Limited,INDUSTOWER,2024-02-26,245.0,252.9,243.3,246.35,241.15,47416676
Indus Towers Limited,INDUSTOWER,2024-02-23,231.65,245.5,231.1,241.15,225.15,77810544
Indus Towers Limited,INDUSTOWER,2024-02-22,220.5,226.1,217.5,225.15,218.85,11796419
Indus Towers Limited,INDUSTOWER,2024-02-21,223.0,225.85,216.9,218.85,221.4,11554309
Indus Towers Limited,INDUSTOWER,2024-02-20,223.25,225.0,219.4,221.4,223.2,10004050
Indus Towers Limited,INDUSTOWER,2024-02-19,222.05,228.0,220.6,223.2,220.55,14359432
Indus Towers Limited,INDUSTOWER,2024-02-16,221.85,224.8,218.95,220.55,221.25,7867687
Indus Towers Limited,INDUSTOWER,2024-02-15,217.95,223.65,216.55,221.25,215.95,17812731
Indus Towers Limited,INDUSTOWER,2024-02-14,207.65,218.7,207.0,215.95,209.4,12948046
Indus Towers Limited,INDUSTOWER,2024-02-13,213.5,214.5,206.35,209.4,213.55,16041187
Indus Towers Limited,INDUSTOWER,2024-02-12,226.4,226.4,210.35,213.55,226.15,12889298
Indus Towers Limited,INDUSTOWER,2024-02-09,228.9,229.05,217.95,226.15,227.6,19574909
Indus Towers Limited,INDUSTOWER,2024-02-08,226.8,230.4,225.0,227.6,225.65,22948763
Indus Towers Limited,INDUSTOWER,2024-02-07,224.0,226.55,215.0,225.65,221.0,31399900
Indus Towers Limited,INDUSTOWER,2024-02-06,215.05,222.8,213.15,221.0,214.5,21232928
Indus Towers Limited,INDUSTOWER,2024-02-05,216.5,218.2,213.15,214.5,216.15,12688736
Indus Towers Limited,INDUSTOWER,2024-02-02,221.35,222.4,215.5,216.15,219.0,20610570
Indus Towers Limited,INDUSTOWER,2024-02-01,215.0,223.45,210.8,219.0,221.95,179433641
Indus Towers Limited,INDUSTOWER,2024-01-31,230.1,230.75,220.7,221.95,229.95,13074866
Indus Towers Limited,INDUSTOWER,2024-01-30,234.05,234.85,228.65,229.95,232.25,13591981
Indus Towers Limited,INDUSTOWER,2024-01-29,227.0,233.95,226.1,232.25,225.45,11621907
Indus Towers Limited,INDUSTOWER,2024-01-25,232.25,233.45,221.2,225.45,229.95,16159229
Indus Towers Limited,INDUSTOWER,2024-01-25,229.95,229.95,229.95,229.95,189.1,1463747
Indus Towers Limited,INDUSTOWER,2024-01-24,224.9,236.0,219.0,229.95,217.1,45883653
Indus Towers Limited,INDUSTOWER,2024-01-23,216.2,225.4,215.8,217.1,215.6,15110861
Indus Towers Limited,INDUSTOWER,2024-01-20,222.7,222.7,214.25,215.6,220.35,4657009
Indus Towers Limited,INDUSTOWER,2024-01-19,217.9,221.9,215.85,220.35,215.95,14521093
Indus Towers Limited,INDUSTOWER,2024-01-18,212.1,219.0,206.0,215.95,211.25,20306069
Indus Towers Limited,INDUSTOWER,2024-01-17,215.9,218.7,209.3,211.25,219.5,12467379
Indus Towers Limited,INDUSTOWER,2024-01-16,222.2,222.25,213.3,219.5,218.25,13370944
Indus Towers Limited,INDUSTOWER,2024-01-15,218.0,219.7,212.6,218.25,216.4,6722406
Indus Towers Limited,INDUSTOWER,2024-01-12,215.9,218.2,214.05,216.4,214.65,10601045
Indus Towers Limited,INDUSTOWER,2024-01-11,214.95,219.25,213.0,214.65,214.25,11208037
Indus Towers Limited,INDUSTOWER,2024-01-10,221.0,221.0,211.8,214.25,211.95,21104217
Indus Towers Limited,INDUSTOWER,2024-01-09,217.0,217.6,209.8,211.95,213.1,15497766
Indus Towers Limited,INDUSTOWER,2024-01-08,222.55,223.2,212.0,213.1,222.15,12927707
Indus Towers Limited,INDUSTOWER,2024-01-05,218.0,229.95,217.1,222.15,216.45,40926196
