StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Infosys Limited,INFY,2024-03-28,1487.15,1511.8,1487.15,1498.05,1483.85,12499530
Infosys Limited,INFY,2024-03-27,1496.0,1499.0,1481.55,1483.85,1492.65,6857402
Infosys Limited,INFY,2024-03-26,1492.0,1507.45,1487.9,1492.65,1508.85,8351081
Infosys Limited,INFY,2024-03-22,1521.0,1528.9,1498.2,1508.85,1554.7,14673890
Infosys Limited,INFY,2024-03-21,1564.0,1576.95,1543.4,1554.7,1554.95,11062497
Infosys Limited,INFY,2024-03-20,1563.0,1574.95,1552.35,1554.95,1561.45,4759059
Infosys Limited,INFY,2024-03-19,1592.35,1599.0,1558.0,1561.45,1602.65,6870411
Infosys Limited,INFY,2024-03-18,1630.0,1632.65,1598.85,1602.65,1634.0,4958904
Infosys Limited,INFY,2024-03-15,1641.1,1645.8,1618.35,1634.0,1653.3,11809997
Infosys Limited,INFY,2024-03-14,1614.4,1657.75,1608.0,1653.3,1611.4,8803799
Infosys Limited,INFY,2024-03-13,1612.9,1624.5,1598.55,1611.4,1612.95,5688997
Infosys Limited,INFY,2024-03-12,1600.0,1625.0,1597.65,1612.95,1600.6,4614222
Infosys Limited,INFY,2024-03-11,1608.15,1613.8,1588.0,1600.6,1616.45,6752895
Infosys Limited,INFY,2024-03-07,1616.6,1628.45,1604.2,1616.45,1617.55,6348359
Infosys Limited,INFY,2024-03-06,1602.8,1620.15,1576.0,1617.55,1606.5,6420684
Infosys Limited,INFY,2024-03-05,1634.0,1637.35,1602.0,1606.5,1637.2,4596579
Infosys Limited,INFY,2024-03-04,1657.85,1664.45,1633.65,1637.2,1656.3,4445156
Infosys Limited,INFY,2024-03-02,1658.85,1665.0,1654.05,1656.3,1654.7,292153
Infosys Limited,INFY,2024-03-01,1669.0,1671.95,1651.0,1654.7,1673.9,6387291
Infosys Limited,INFY,2024-02-29,1665.0,1682.25,1653.3,1673.9,1671.25,7814722
Infosys Limited,INFY,2024-02-28,1670.0,1687.8,1662.05,1671.25,1663.6,3188916
Infosys Limited,INFY,2024-02-27,1661.0,1671.1,1652.8,1663.6,1660.15,5159088
Infosys Limited,INFY,2024-02-26,1674.95,1674.95,1645.0,1660.15,1676.85,2782438
Infosys Limited,INFY,2024-02-23,1697.0,1698.45,1671.9,1676.85,1681.35,5373072
Infosys Limited,INFY,2024-02-22,1665.0,1684.6,1644.4,1681.35,1655.55,5841277
Infosys Limited,INFY,2024-02-21,1674.0,1674.0,1645.3,1655.55,1685.25,4300508
Infosys Limited,INFY,2024-02-20,1685.0,1694.25,1668.75,1685.25,1699.75,3706389
Infosys Limited,INFY,2024-02-19,1705.0,1711.5,1687.7,1699.75,1701.65,3690993
Infosys Limited,INFY,2024-02-16,1689.0,1709.0,1687.95,1701.65,1676.35,4880654
Infosys Limited,INFY,2024-02-15,1677.0,1687.75,1661.6,1676.35,1666.2,4834391
Infosys Limited,INFY,2024-02-14,1660.2,1669.45,1635.5,1666.2,1684.55,3768579
Infosys Limited,INFY,2024-02-13,1683.0,1689.1,1663.5,1684.55,1680.1,2696481
Infosys Limited,INFY,2024-02-12,1670.35,1692.95,1670.35,1680.1,1669.35,3555808
Infosys Limited,INFY,2024-02-09,1684.7,1692.9,1659.8,1669.35,1692.1,4600004
Infosys Limited,INFY,2024-02-08,1698.0,1706.35,1682.8,1692.1,1693.75,5919715
Infosys Limited,INFY,2024-02-07,1729.0,1729.0,1686.85,1693.75,1729.45,4613877
Infosys Limited,INFY,2024-02-06,1686.75,1733.0,1673.95,1729.45,1687.2,7694265
Infosys Limited,INFY,2024-02-05,1694.75,1700.75,1681.85,1687.2,1693.35,3634135
Infosys Limited,INFY,2024-02-02,1666.05,1718.5,1665.0,1693.35,1657.05,7858483
Infosys Limited,INFY,2024-02-01,1659.55,1677.0,1650.35,1657.05,1660.9,5760011
Infosys Limited,INFY,2024-01-31,1648.25,1667.25,1638.1,1660.9,1651.45,6763779
Infosys Limited,INFY,2024-01-30,1662.45,1690.0,1648.25,1651.45,1656.6,4995943
Infosys Limited,INFY,2024-01-29,1665.15,1679.35,1647.6,1656.6,1669.1,4253785
Infosys Limited,INFY,2024-01-25,1672.95,1680.55,1658.0,1669.1,1675.4,8865304
Infosys Limited,INFY,2024-01-25,1675.4,1675.4,1675.4,1675.4,1419.1,132935
Infosys Limited,INFY,2024-01-24,1659.9,1680.0,1645.0,1675.4,1642.15,8999681
Infosys Limited,INFY,2024-01-23,1650.1,1674.7,1637.7,1642.15,1648.85,9401255
Infosys Limited,INFY,2024-01-20,1665.55,1669.25,1645.0,1648.85,1659.2,1158144
Infosys Limited,INFY,2024-01-19,1651.6,1665.5,1644.15,1659.2,1642.6,4522736
Infosys Limited,INFY,2024-01-18,1642.65,1649.0,1628.25,1642.6,1640.2,6375464
Infosys Limited,INFY,2024-01-17,1620.25,1647.5,1620.25,1640.2,1631.55,9209876
Infosys Limited,INFY,2024-01-16,1644.8,1648.5,1625.0,1631.55,1652.1,6500917
Infosys Limited,INFY,2024-01-15,1644.95,1664.95,1636.0,1652.1,1612.75,13228305
Infosys Limited,INFY,2024-01-12,1562.0,1618.0,1555.4,1612.75,1494.2,26754401
Infosys Limited,INFY,2024-01-11,1524.9,1525.0,1486.6,1494.2,1519.9,11296088
Infosys Limited,INFY,2024-01-10,1524.95,1535.45,1505.0,1519.9,1529.3,4096845
Infosys Limited,INFY,2024-01-09,1541.9,1553.0,1525.85,1529.3,1522.8,4412074
Infosys Limited,INFY,2024-01-08,1528.95,1536.0,1513.25,1522.8,1532.55,4440136
Infosys Limited,INFY,2024-01-05,1506.75,1539.7,1506.25,1532.55,1512.7,8895403
Infosys Limited,INFY,2024-01-04,1504.95,1519.75,1492.9,1512.7,1490.0,7056038
Infosys Limited,INFY,2024-01-03,1519.95,1519.95,1488.0,1490.0,1534.4,7550363
Infosys Limited,INFY,2024-01-02,1546.0,1549.15,1523.0,1534.4,1551.35,5396313
Infosys Limited,INFY,2024-01-01,1539.0,1557.0,1535.25,1551.35,1542.9,2808451
Infosys Limited,INFY,2023-12-29,1541.05,1559.45,1540.0,1542.9,1562.65,4388990
Infosys Limited,INFY,2023-12-28,1568.95,1568.95,1555.0,1562.65,1567.1,5702253
Infosys Limited,INFY,2023-12-27,1544.0,1570.0,1544.0,1567.1,1543.95,4225849
Infosys Limited,INFY,2023-12-26,1535.0,1548.0,1523.0,1543.95,1562.9,6878067
Infosys Limited,INFY,2023-12-22,1534.95,1566.0,1523.0,1562.9,1536.0,6741060
Infosys Limited,INFY,2023-12-21,1521.25,1546.65,1521.25,1536.0,1536.4,5319038
Infosys Limited,INFY,2023-12-20,1565.05,1583.5,1530.0,1536.4,1558.3,6592367
Infosys Limited,INFY,2023-12-19,1570.1,1573.95,1543.25,1558.3,1564.35,4221721
Infosys Limited,INFY,2023-12-18,1567.95,1593.0,1560.3,1564.35,1578.4,6467243
Infosys Limited,INFY,2023-12-15,1523.05,1588.55,1521.0,1578.4,1501.45,18395389
Infosys Limited,INFY,2023-12-14,1463.4,1511.0,1461.35,1501.45,1449.0,12489858
Infosys Limited,INFY,2023-12-13,1476.0,1476.05,1433.15,1449.0,1476.05,8549258
Infosys Limited,INFY,2023-12-12,1477.5,1490.0,1467.65,1476.05,1488.5,6103494
Infosys Limited,INFY,2023-12-11,1490.0,1498.0,1482.0,1488.5,1491.15,3862018
Infosys Limited,INFY,2023-12-08,1470.4,1494.7,1466.25,1491.15,1465.9,6323433
Infosys Limited,INFY,2023-12-07,1472.85,1472.85,1461.8,1465.9,1474.3,4424453
Infosys Limited,INFY,2023-12-06,1456.75,1477.0,1451.05,1474.3,1453.95,5269178
Infosys Limited,INFY,2023-12-05,1465.8,1466.9,1442.0,1453.95,1464.35,5123039
Infosys Limited,INFY,2023-12-04,1460.45,1471.9,1449.3,1464.35,1452.3,5511948
Infosys Limited,INFY,2023-12-01,1459.9,1459.9,1446.15,1452.3,1455.15,3489187
Infosys Limited,INFY,2023-11-30,1453.25,1460.65,1449.55,1455.15,1459.6,10120867
Infosys Limited,INFY,2023-11-29,1451.1,1460.7,1449.8,1459.6,1442.7,3875778
Infosys Limited,INFY,2023-11-28,1444.0,1445.0,1427.05,1442.7,1437.4,3755373
Infosys Limited,INFY,2023-11-24,1445.55,1452.65,1433.85,1437.4,1449.25,2973195
Infosys Limited,INFY,2023-11-23,1467.9,1467.9,1447.7,1449.25,1457.8,3186928
Infosys Limited,INFY,2023-11-22,1436.2,1458.95,1436.2,1457.8,1439.0,3108786
Infosys Limited,INFY,2023-11-21,1442.0,1450.0,1436.75,1439.0,1436.6,3793135
Infosys Limited,INFY,2023-11-20,1442.0,1452.0,1433.65,1436.6,1437.55,3584210
