StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Inox Wind Limited,INOXWIND,2024-03-28,531.95,552.7,509.0,521.6,530.1,1117813
Inox Wind Limited,INOXWIND,2024-03-27,510.0,530.1,505.0,530.1,504.9,1177785
Inox Wind Limited,INOXWIND,2024-03-26,484.5,504.9,470.15,504.9,480.9,631206
Inox Wind Limited,INOXWIND,2024-03-22,472.0,492.0,468.0,480.9,468.6,1125124
Inox Wind Limited,INOXWIND,2024-03-21,452.45,468.6,452.45,468.6,446.3,185415
Inox Wind Limited,INOXWIND,2024-03-20,458.9,468.35,440.3,446.3,456.1,357620
Inox Wind Limited,INOXWIND,2024-03-19,461.05,472.9,451.0,456.1,466.45,387874
Inox Wind Limited,INOXWIND,2024-03-18,471.35,474.0,445.35,466.45,468.75,833593
Inox Wind Limited,INOXWIND,2024-03-15,457.0,474.0,451.6,468.75,451.9,3169542
Inox Wind Limited,INOXWIND,2024-03-14,433.3,461.0,428.25,451.9,450.75,1988421
Inox Wind Limited,INOXWIND,2024-03-13,463.0,479.45,450.75,450.75,474.45,1892859
Inox Wind Limited,INOXWIND,2024-03-12,498.0,518.3,472.7,474.45,497.55,1608356
Inox Wind Limited,INOXWIND,2024-03-11,523.7,532.3,497.55,497.55,523.7,1390571
Inox Wind Limited,INOXWIND,2024-03-07,475.0,523.7,475.0,523.7,498.8,3367272
Inox Wind Limited,INOXWIND,2024-03-06,498.8,498.8,498.8,498.8,525.05,140358
Inox Wind Limited,INOXWIND,2024-03-05,525.05,525.05,525.05,525.05,552.65,391782
Inox Wind Limited,INOXWIND,2024-03-04,552.65,556.9,552.65,552.65,581.7,1365375
Inox Wind Limited,INOXWIND,2024-03-02,596.65,604.0,578.0,581.7,585.0,121732
Inox Wind Limited,INOXWIND,2024-03-01,610.05,622.2,575.1,585.0,602.8,609712
Inox Wind Limited,INOXWIND,2024-02-29,603.75,615.0,578.3,602.8,603.75,2201413
Inox Wind Limited,INOXWIND,2024-02-28,628.0,629.65,596.45,603.75,627.85,961800
Inox Wind Limited,INOXWIND,2024-02-27,633.9,648.0,621.1,627.85,630.8,995773
Inox Wind Limited,INOXWIND,2024-02-26,615.85,642.0,602.1,630.8,611.55,1020764
Inox Wind Limited,INOXWIND,2024-02-23,604.05,621.8,601.15,611.55,592.2,1180826
Inox Wind Limited,INOXWIND,2024-02-22,602.0,607.0,571.3,592.2,597.95,765548
Inox Wind Limited,INOXWIND,2024-02-21,627.0,634.0,592.35,597.95,623.5,1173857
Inox Wind Limited,INOXWIND,2024-02-20,636.05,643.45,603.35,623.5,629.45,1289889
Inox Wind Limited,INOXWIND,2024-02-19,596.0,644.65,595.2,629.45,590.95,2561799
Inox Wind Limited,INOXWIND,2024-02-16,580.0,602.05,578.0,590.95,574.35,3032378
Inox Wind Limited,INOXWIND,2024-02-15,532.9,577.6,532.05,574.35,525.1,3724111
Inox Wind Limited,INOXWIND,2024-02-14,500.0,532.0,500.0,525.1,514.65,4597085
Inox Wind Limited,INOXWIND,2024-02-13,500.0,520.95,442.75,514.65,491.9,1649265
Inox Wind Limited,INOXWIND,2024-02-12,531.0,542.0,485.0,491.9,512.2,2138279
Inox Wind Limited,INOXWIND,2024-02-09,556.4,562.0,498.1,512.2,552.3,1708735
Inox Wind Limited,INOXWIND,2024-02-08,570.0,578.8,543.4,552.3,542.65,2434869
Inox Wind Limited,INOXWIND,2024-02-07,531.95,545.0,527.0,542.65,528.8,1125934
Inox Wind Limited,INOXWIND,2024-02-06,541.0,546.7,515.0,528.8,534.95,1645621
Inox Wind Limited,INOXWIND,2024-02-05,523.7,543.0,515.8,534.95,508.75,2703897
Inox Wind Limited,INOXWIND,2024-02-02,480.0,519.9,480.0,508.75,478.3,3171589
Inox Wind Limited,INOXWIND,2024-02-01,478.65,490.0,461.5,478.3,478.0,1644663
Inox Wind Limited,INOXWIND,2024-01-31,471.0,485.95,470.9,478.0,470.9,678196
Inox Wind Limited,INOXWIND,2024-01-30,494.6,494.75,466.35,470.9,490.3,701614
Inox Wind Limited,INOXWIND,2024-01-29,474.0,494.0,473.05,490.3,469.45,1321822
Inox Wind Limited,INOXWIND,2024-01-25,441.6,478.7,441.55,469.45,439.4,2049191
Inox Wind Limited,INOXWIND,2024-01-24,431.25,448.5,425.05,439.4,430.65,777195
Inox Wind Limited,INOXWIND,2024-01-23,430.0,446.5,425.0,430.65,435.85,598618
Inox Wind Limited,INOXWIND,2024-01-20,449.5,450.5,434.15,435.85,450.2,486436
Inox Wind Limited,INOXWIND,2024-01-19,449.0,458.0,439.2,450.2,444.8,875445
Inox Wind Limited,INOXWIND,2024-01-18,426.85,453.0,410.05,444.8,426.85,1342595
Inox Wind Limited,INOXWIND,2024-01-17,438.35,444.95,424.1,426.85,438.35,507828
Inox Wind Limited,INOXWIND,2024-01-16,452.0,459.45,433.95,438.35,451.65,677669
Inox Wind Limited,INOXWIND,2024-01-15,442.95,461.7,435.0,451.65,440.05,1164094
Inox Wind Limited,INOXWIND,2024-01-12,450.1,458.0,430.5,440.05,452.05,1276835
Inox Wind Limited,INOXWIND,2024-01-11,464.65,468.85,446.0,452.05,455.75,750299
Inox Wind Limited,INOXWIND,2024-01-10,474.95,480.0,432.35,455.75,474.35,3302084
Inox Wind Limited,INOXWIND,2024-01-09,500.0,512.95,469.0,474.35,495.65,1228449
Inox Wind Limited,INOXWIND,2024-01-08,509.05,510.0,459.15,495.65,510.15,3821600
Inox Wind Limited,INOXWIND,2024-01-05,518.55,525.8,505.35,510.15,518.1,1002160
Inox Wind Limited,INOXWIND,2024-01-04,516.75,522.0,505.1,518.1,514.3,1550005
Inox Wind Limited,INOXWIND,2024-01-03,525.8,540.15,505.1,514.3,527.65,2303164
Inox Wind Limited,INOXWIND,2024-01-02,524.0,536.0,505.7,527.65,524.35,2070821
Inox Wind Limited,INOXWIND,2024-01-01,504.0,535.95,504.0,524.35,499.75,2443885
Inox Wind Limited,INOXWIND,2023-12-29,485.4,502.0,472.1,499.75,485.4,2437417
Inox Wind Limited,INOXWIND,2023-12-28,475.0,489.0,459.0,485.4,473.45,1512170
Inox Wind Limited,INOXWIND,2023-12-27,467.95,477.8,453.9,473.45,466.15,1534581
Inox Wind Limited,INOXWIND,2023-12-26,455.0,480.0,454.5,466.15,453.25,2079036
Inox Wind Limited,INOXWIND,2023-12-22,455.55,475.95,437.05,453.25,455.55,3140956
Inox Wind Limited,INOXWIND,2023-12-21,420.0,464.0,407.45,455.55,422.35,2741788
Inox Wind Limited,INOXWIND,2023-12-20,412.2,451.85,399.15,422.35,410.8,5648909
Inox Wind Limited,INOXWIND,2023-12-19,403.9,421.3,396.0,410.8,403.9,2708402
Inox Wind Limited,INOXWIND,2023-12-18,402.0,409.0,397.4,403.9,407.85,1329647
Inox Wind Limited,INOXWIND,2023-12-15,411.0,420.0,402.35,407.85,410.4,1872807
Inox Wind Limited,INOXWIND,2023-12-14,403.85,412.75,394.1,410.4,403.65,1645145
Inox Wind Limited,INOXWIND,2023-12-13,403.25,406.95,390.0,403.65,399.45,2289423
Inox Wind Limited,INOXWIND,2023-12-12,397.9,412.0,382.1,399.45,394.0,4408581
Inox Wind Limited,INOXWIND,2023-12-11,363.35,400.0,363.0,394.0,363.35,9286316
Inox Wind Limited,INOXWIND,2023-12-08,360.0,368.0,354.25,363.35,356.15,3424248
Inox Wind Limited,INOXWIND,2023-12-07,347.0,365.0,347.0,356.15,343.8,6047582
Inox Wind Limited,INOXWIND,2023-12-06,325.0,348.0,323.0,343.8,326.2,5716848
Inox Wind Limited,INOXWIND,2023-12-05,334.0,334.0,315.35,326.2,331.85,4883980
Inox Wind Limited,INOXWIND,2023-12-04,296.45,341.0,292.1,331.85,287.9,12159620
Inox Wind Limited,INOXWIND,2023-12-01,282.15,298.2,280.0,287.9,280.5,3931411
Inox Wind Limited,INOXWIND,2023-11-30,279.0,284.7,270.65,280.5,278.7,3748849
Inox Wind Limited,INOXWIND,2023-11-29,285.0,285.05,276.1,278.7,282.85,1853139
Inox Wind Limited,INOXWIND,2023-11-28,269.0,285.45,267.2,282.85,266.55,3122896
Inox Wind Limited,INOXWIND,2023-11-24,272.0,272.95,265.5,266.55,271.7,1471669
Inox Wind Limited,INOXWIND,2023-11-23,264.0,276.0,260.8,271.7,262.85,4608784
Inox Wind Limited,INOXWIND,2023-11-22,246.45,267.9,246.05,262.85,245.2,6862889
Inox Wind Limited,INOXWIND,2023-11-21,252.0,256.55,240.8,245.2,252.0,2241021
Inox Wind Limited,INOXWIND,2023-11-20,253.0,256.4,249.3,252.0,251.85,862853
Inox Wind Limited,INOXWIND,2023-11-17,252.0,258.0,248.2,251.85,251.9,1487579
Inox Wind Limited,INOXWIND,2023-11-16,261.0,261.1,247.15,251.9,259.4,2234088
Inox Wind Limited,INOXWIND,2023-11-15,259.0,264.3,255.05,259.4,256.15,2422338
Inox Wind Limited,INOXWIND,2023-11-13,250.0,258.0,249.25,256.15,248.3,3740844
Inox Wind Limited,INOXWIND,2023-11-12,240.15,253.4,238.1,248.3,237.75,2224444
Inox Wind Limited,INOXWIND,2023-11-10,239.0,242.0,233.95,237.75,239.0,1616672
Inox Wind Limited,INOXWIND,2023-11-09,240.0,242.3,233.0,239.0,238.75,1957606
Inox Wind Limited,INOXWIND,2023-11-08,240.7,246.0,236.2,238.75,239.9,3033425
Inox Wind Limited,INOXWIND,2023-11-07,243.4,245.95,231.9,239.9,238.5,6952661
Inox Wind Limited,INOXWIND,2023-11-06,216.0,239.9,215.65,238.5,214.65,15737687
