StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Indian Overseas Bank,IOB,2024-03-28,57.3,62.0,57.2,59.95,56.9,30823664
Indian Overseas Bank,IOB,2024-03-27,58.8,59.2,56.55,56.9,58.4,12602710
Indian Overseas Bank,IOB,2024-03-26,59.5,60.2,58.3,58.4,59.55,9385687
Indian Overseas Bank,IOB,2024-03-22,58.45,60.75,58.05,59.55,58.5,11844603
Indian Overseas Bank,IOB,2024-03-21,58.95,59.65,58.05,58.5,57.25,10879764
Indian Overseas Bank,IOB,2024-03-20,59.6,59.6,56.75,57.25,57.75,11194066
Indian Overseas Bank,IOB,2024-03-19,59.7,60.7,57.5,57.75,59.0,11926832
Indian Overseas Bank,IOB,2024-03-18,60.1,61.0,58.65,59.0,60.1,8414732
Indian Overseas Bank,IOB,2024-03-15,61.0,62.85,58.45,60.1,61.05,14183286
Indian Overseas Bank,IOB,2024-03-14,56.5,62.05,55.05,61.05,56.55,19997056
Indian Overseas Bank,IOB,2024-03-13,61.75,62.95,56.0,56.55,61.75,22189964
Indian Overseas Bank,IOB,2024-03-12,63.95,63.95,61.2,61.75,63.75,11399935
Indian Overseas Bank,IOB,2024-03-11,66.05,66.2,63.5,63.75,66.05,12392086
Indian Overseas Bank,IOB,2024-03-07,66.15,67.65,65.7,66.05,65.7,12611496
Indian Overseas Bank,IOB,2024-03-06,69.25,70.3,65.3,65.7,69.25,32020467
Indian Overseas Bank,IOB,2024-03-05,63.6,69.45,62.55,69.25,63.15,52434387
Indian Overseas Bank,IOB,2024-03-04,64.85,65.05,63.0,63.15,64.4,7824214
Indian Overseas Bank,IOB,2024-03-02,64.8,64.9,63.8,64.4,64.6,1328600
Indian Overseas Bank,IOB,2024-03-01,65.0,65.75,64.1,64.6,64.65,12306519
Indian Overseas Bank,IOB,2024-02-29,63.0,65.15,62.2,64.65,63.2,16603392
Indian Overseas Bank,IOB,2024-02-28,64.5,65.6,62.05,63.2,64.5,13361400
Indian Overseas Bank,IOB,2024-02-27,66.25,66.7,63.8,64.5,66.3,13566526
Indian Overseas Bank,IOB,2024-02-26,67.5,67.5,66.1,66.3,67.5,10070189
Indian Overseas Bank,IOB,2024-02-23,69.3,69.8,67.05,67.5,69.25,15733070
Indian Overseas Bank,IOB,2024-02-22,68.6,69.65,65.95,69.25,68.55,21351682
Indian Overseas Bank,IOB,2024-02-21,69.75,71.2,68.0,68.55,69.55,26155059
Indian Overseas Bank,IOB,2024-02-20,70.65,70.65,69.0,69.55,70.3,18596793
Indian Overseas Bank,IOB,2024-02-19,68.6,72.45,67.55,70.3,68.3,33311812
Indian Overseas Bank,IOB,2024-02-16,70.0,70.85,68.05,68.3,69.15,30799468
Indian Overseas Bank,IOB,2024-02-15,67.35,69.6,65.55,69.15,67.0,55531337
Indian Overseas Bank,IOB,2024-02-14,64.0,67.5,63.05,67.0,65.0,37302248
Indian Overseas Bank,IOB,2024-02-13,63.15,66.8,60.5,65.0,64.05,56543370
Indian Overseas Bank,IOB,2024-02-12,71.5,71.6,64.0,64.05,71.1,46344297
Indian Overseas Bank,IOB,2024-02-09,74.6,77.5,67.7,71.1,74.0,80807393
Indian Overseas Bank,IOB,2024-02-08,81.8,83.75,72.15,74.0,79.65,137458959
Indian Overseas Bank,IOB,2024-02-07,68.05,81.05,68.0,79.65,67.55,379528754
Indian Overseas Bank,IOB,2024-02-06,64.85,69.8,62.3,67.55,62.65,258421884
Indian Overseas Bank,IOB,2024-02-05,56.6,66.1,56.0,62.65,56.15,239341270
Indian Overseas Bank,IOB,2024-02-02,53.1,57.0,53.1,56.15,52.05,157668286
Indian Overseas Bank,IOB,2024-02-01,49.5,52.7,48.0,52.05,49.1,121711880
Indian Overseas Bank,IOB,2024-01-31,48.4,51.0,48.0,49.1,48.25,70933272
Indian Overseas Bank,IOB,2024-01-30,48.95,50.2,47.6,48.25,48.45,50745728
Indian Overseas Bank,IOB,2024-01-29,46.8,49.7,45.9,48.45,45.75,75060771
Indian Overseas Bank,IOB,2024-01-25,46.35,47.4,45.5,45.75,46.05,34258089
Indian Overseas Bank,IOB,2024-01-24,44.15,46.85,43.45,46.05,43.7,50123032
Indian Overseas Bank,IOB,2024-01-23,46.0,47.1,43.4,43.7,45.3,46170655
Indian Overseas Bank,IOB,2024-01-20,44.55,45.7,44.2,45.3,44.2,23139178
Indian Overseas Bank,IOB,2024-01-19,44.65,44.75,43.9,44.2,44.2,17969405
Indian Overseas Bank,IOB,2024-01-18,43.45,44.85,42.05,44.2,43.6,29406860
Indian Overseas Bank,IOB,2024-01-17,43.85,44.45,43.1,43.6,44.5,20115305
Indian Overseas Bank,IOB,2024-01-16,44.45,45.7,43.65,44.5,44.45,28712992
Indian Overseas Bank,IOB,2024-01-15,44.3,45.75,44.0,44.45,43.95,31461571
Indian Overseas Bank,IOB,2024-01-12,43.35,44.65,43.1,43.95,43.0,31730567
Indian Overseas Bank,IOB,2024-01-11,43.0,43.5,42.8,43.0,42.7,8974590
Indian Overseas Bank,IOB,2024-01-10,43.05,43.25,42.5,42.7,43.0,7338505
Indian Overseas Bank,IOB,2024-01-09,43.45,43.65,42.85,43.0,43.15,7597965
Indian Overseas Bank,IOB,2024-01-08,44.05,44.1,42.9,43.15,43.9,11071268
Indian Overseas Bank,IOB,2024-01-05,44.35,44.7,43.5,43.9,44.1,13363697
Indian Overseas Bank,IOB,2024-01-04,44.1,44.6,43.95,44.1,43.95,15527140
Indian Overseas Bank,IOB,2024-01-03,43.5,44.9,43.35,43.95,43.45,28327760
Indian Overseas Bank,IOB,2024-01-02,43.8,44.7,43.25,43.45,43.6,18828371
Indian Overseas Bank,IOB,2024-01-01,43.25,44.3,43.15,43.6,43.3,12879177
Indian Overseas Bank,IOB,2023-12-29,43.45,43.75,43.05,43.3,43.25,10369754
Indian Overseas Bank,IOB,2023-12-28,43.5,44.45,43.0,43.25,43.3,24135199
Indian Overseas Bank,IOB,2023-12-27,43.15,43.9,42.9,43.3,42.9,16351485
Indian Overseas Bank,IOB,2023-12-26,43.2,43.35,42.75,42.9,42.95,11354779
Indian Overseas Bank,IOB,2023-12-22,43.8,44.2,42.5,42.95,43.6,22120641
Indian Overseas Bank,IOB,2023-12-21,41.75,44.0,40.75,43.6,42.3,39707970
Indian Overseas Bank,IOB,2023-12-20,47.0,47.3,41.2,42.3,46.65,59408223
Indian Overseas Bank,IOB,2023-12-19,44.7,47.5,44.7,46.65,44.7,72752969
Indian Overseas Bank,IOB,2023-12-18,44.55,45.9,43.7,44.7,44.55,48028605
Indian Overseas Bank,IOB,2023-12-15,43.4,45.0,43.0,44.55,43.15,44161884
Indian Overseas Bank,IOB,2023-12-14,43.5,43.65,43.0,43.15,43.05,11598785
Indian Overseas Bank,IOB,2023-12-13,43.45,43.45,42.8,43.05,43.2,10750162
Indian Overseas Bank,IOB,2023-12-12,43.85,44.2,43.05,43.2,43.6,17076080
Indian Overseas Bank,IOB,2023-12-11,42.8,44.0,42.8,43.6,42.65,21494908
Indian Overseas Bank,IOB,2023-12-08,44.25,44.35,42.25,42.65,44.1,29344380
Indian Overseas Bank,IOB,2023-12-07,43.05,45.3,42.5,44.1,42.65,40090151
Indian Overseas Bank,IOB,2023-12-06,42.55,42.85,41.85,42.65,42.25,22031098
Indian Overseas Bank,IOB,2023-12-05,41.3,43.1,40.85,42.25,41.1,64695688
Indian Overseas Bank,IOB,2023-12-04,40.6,41.55,40.05,41.1,39.6,34907630
Indian Overseas Bank,IOB,2023-12-01,39.55,40.45,39.25,39.6,39.35,18531480
Indian Overseas Bank,IOB,2023-11-30,39.45,39.6,39.05,39.35,39.45,8748427
Indian Overseas Bank,IOB,2023-11-29,39.85,40.0,39.15,39.45,39.65,8766939
Indian Overseas Bank,IOB,2023-11-28,39.35,40.05,38.95,39.65,39.35,13996105
Indian Overseas Bank,IOB,2023-11-24,39.4,39.7,39.2,39.35,39.35,6295256
Indian Overseas Bank,IOB,2023-11-23,39.45,39.65,39.2,39.35,39.3,7723811
Indian Overseas Bank,IOB,2023-11-22,39.85,39.85,39.1,39.3,39.9,9245837
Indian Overseas Bank,IOB,2023-11-21,40.4,40.55,39.55,39.9,40.25,8786032
Indian Overseas Bank,IOB,2023-11-20,40.3,40.85,39.75,40.25,40.3,13782528
Indian Overseas Bank,IOB,2023-11-17,41.05,41.05,40.15,40.3,41.15,13480885
Indian Overseas Bank,IOB,2023-11-16,41.55,41.55,40.9,41.15,41.6,11897403
Indian Overseas Bank,IOB,2023-11-15,42.0,42.4,41.25,41.6,41.35,26456887
Indian Overseas Bank,IOB,2023-11-13,39.4,41.7,39.1,41.35,39.5,45611865
Indian Overseas Bank,IOB,2023-11-12,39.55,39.6,39.4,39.5,39.35,2797535
Indian Overseas Bank,IOB,2023-11-10,39.25,39.5,39.0,39.35,39.65,11093277
Indian Overseas Bank,IOB,2023-11-09,39.95,39.95,39.45,39.65,39.75,12107464
Indian Overseas Bank,IOB,2023-11-08,39.8,40.35,39.45,39.75,39.6,24002407
Indian Overseas Bank,IOB,2023-11-07,39.8,40.2,39.3,39.6,39.75,28374826
Indian Overseas Bank,IOB,2023-11-06,40.1,40.4,39.55,39.75,39.85,22954410
Indian Overseas Bank,IOB,2023-11-03,40.2,40.55,39.6,39.85,39.8,26425373
Indian Overseas Bank,IOB,2023-11-02,39.75,40.55,39.5,39.8,39.1,47506584
Indian Overseas Bank,IOB,2023-11-01,39.3,39.95,38.8,39.1,39.3,49310117
Indian Overseas Bank,IOB,2023-10-31,40.1,40.9,39.0,39.3,39.8,52154488
Indian Overseas Bank,IOB,2023-10-30,41.1,41.1,39.35,39.8,41.15,63681160
Indian Overseas Bank,IOB,2023-10-27,39.1,41.5,38.05,41.15,38.4,148485987
Indian Overseas Bank,IOB,2023-10-26,38.5,38.85,36.65,38.4,38.9,97417425
Indian Overseas Bank,IOB,2023-10-25,37.65,39.75,36.85,38.9,37.15,117566812
Indian Overseas Bank,IOB,2023-10-23,40.45,40.7,36.85,37.15,40.5,48883675
Indian Overseas Bank,IOB,2023-10-20,41.35,42.2,40.3,40.5,41.55,34558910
Indian Overseas Bank,IOB,2023-10-19,42.9,43.1,41.2,41.55,43.1,35537162
Indian Overseas Bank,IOB,2023-10-18,44.5,44.55,42.75,43.1,44.3,26786199
Indian Overseas Bank,IOB,2023-10-17,44.6,45.35,43.95,44.3,44.25,23168573
Indian Overseas Bank,IOB,2023-10-16,43.5,44.65,43.1,44.25,43.25,36892130
Indian Overseas Bank,IOB,2023-10-13,44.15,44.45,43.0,43.25,44.3,31873921
Indian Overseas Bank,IOB,2023-10-12,44.65,45.05,44.1,44.3,44.4,28715992
Indian Overseas Bank,IOB,2023-10-11,45.5,45.8,44.1,44.4,45.25,44730296
Indian Overseas Bank,IOB,2023-10-10,43.8,45.55,43.45,45.25,43.3,50887058
Indian Overseas Bank,IOB,2023-10-09,45.0,45.25,42.9,43.3,46.25,66403485
Indian Overseas Bank,IOB,2023-10-06,47.25,47.3,45.3,46.25,46.95,78164539
Indian Overseas Bank,IOB,2023-10-05,48.0,49.05,46.3,46.95,47.4,106222501
Indian Overseas Bank,IOB,2023-10-04,48.25,51.1,46.4,47.4,48.4,250806119
Indian Overseas Bank,IOB,2023-10-03,46.95,48.75,45.8,48.4,46.75,102260099
Indian Overseas Bank,IOB,2023-09-29,46.9,47.5,46.1,46.75,46.35,71688701
Indian Overseas Bank,IOB,2023-09-28,45.35,48.6,45.2,46.35,45.0,214355739
Indian Overseas Bank,IOB,2023-09-27,45.1,45.55,44.55,45.0,45.4,61745352
Indian Overseas Bank,IOB,2023-09-26,43.75,45.95,42.95,45.4,43.5,139933229
Indian Overseas Bank,IOB,2023-09-25,44.4,45.0,42.65,43.5,43.85,77489472
Indian Overseas Bank,IOB,2023-09-22,44.15,46.3,42.25,43.85,42.95,245100797
Indian Overseas Bank,IOB,2023-09-21,44.4,47.95,41.7,42.95,43.85,337461629
Indian Overseas Bank,IOB,2023-09-20,45.4,48.6,42.75,43.85,46.4,192600502
Indian Overseas Bank,IOB,2023-09-18,39.5,47.4,39.1,46.4,39.5,317388920
Indian Overseas Bank,IOB,2023-09-15,37.0,40.35,36.3,39.5,37.0,152172830
Indian Overseas Bank,IOB,2023-09-14,35.5,37.55,34.35,37.0,35.0,83298731
Indian Overseas Bank,IOB,2023-09-13,32.3,35.3,31.6,35.0,32.35,49781027
Indian Overseas Bank,IOB,2023-09-12,35.7,36.5,32.0,32.35,34.85,60045427
Indian Overseas Bank,IOB,2023-09-11,32.95,35.1,32.85,34.85,32.8,59983343
Indian Overseas Bank,IOB,2023-09-08,32.95,33.5,32.65,32.8,32.65,27168142
Indian Overseas Bank,IOB,2023-09-07,32.2,33.1,32.15,32.65,32.1,25547678
Indian Overseas Bank,IOB,2023-09-05,32.05,33.0,31.75,32.15,31.75,40879047
Indian Overseas Bank,IOB,2023-09-01,30.6,30.85,30.0,30.1,30.6,17403307
Indian Overseas Bank,IOB,2023-08-31,30.95,31.1,30.5,30.6,30.85,9788235
Indian Overseas Bank,IOB,2023-08-30,31.3,31.3,30.7,30.85,30.9,10654925
Indian Overseas Bank,IOB,2023-08-29,31.2,31.4,30.6,30.9,31.0,14486840
Indian Overseas Bank,IOB,2023-08-28,31.5,31.8,30.8,31.0,31.25,19298541
Indian Overseas Bank,IOB,2023-08-25,31.75,32.0,30.9,31.25,31.7,22276386
Indian Overseas Bank,IOB,2023-08-24,31.95,33.45,31.5,31.7,31.65,57534689
Indian Overseas Bank,IOB,2023-08-23,30.95,32.3,30.7,31.65,30.75,40787170
Indian Overseas Bank,IOB,2023-08-22,31.2,31.65,30.6,30.75,31.1,19433041
Indian Overseas Bank,IOB,2023-08-21,31.85,32.45,30.75,31.1,31.55,23215908
Indian Overseas Bank,IOB,2023-08-18,31.15,32.9,31.0,31.55,31.2,58906742
Indian Overseas Bank,IOB,2023-08-17,32.5,32.65,29.75,31.2,32.65,50283751
Indian Overseas Bank,IOB,2023-08-16,30.3,32.95,30.0,32.65,30.35,80212419
Indian Overseas Bank,IOB,2023-08-14,30.55,31.05,29.5,30.35,30.55,69133529
Indian Overseas Bank,IOB,2023-08-11,27.2,31.1,27.1,30.55,26.95,173935402
Indian Overseas Bank,IOB,2023-08-10,27.35,28.05,26.85,26.95,27.35,23419053
Indian Overseas Bank,IOB,2023-08-09,26.65,27.85,26.45,27.35,26.5,40314884
Indian Overseas Bank,IOB,2023-08-08,26.0,26.65,25.8,26.5,25.85,17843838
Indian Overseas Bank,IOB,2023-08-07,26.25,26.3,25.7,25.85,26.1,11893778
Indian Overseas Bank,IOB,2023-08-04,26.3,26.45,26.0,26.1,26.05,10254606
Indian Overseas Bank,IOB,2023-08-03,26.5,26.7,25.8,26.05,26.25,23446138
Indian Overseas Bank,IOB,2023-08-02,27.1,27.75,25.8,26.25,27.05,43381949
Indian Overseas Bank,IOB,2023-08-01,26.6,27.15,26.5,27.05,26.35,18045649
Indian Overseas Bank,IOB,2023-07-31,26.5,26.55,26.15,26.35,26.2,7915607
Indian Overseas Bank,IOB,2023-07-28,26.45,27.1,26.15,26.2,26.4,12535889
Indian Overseas Bank,IOB,2023-07-27,26.45,26.95,26.25,26.4,26.15,11861358
Indian Overseas Bank,IOB,2023-07-26,26.25,26.4,25.8,26.15,26.1,13411553
Indian Overseas Bank,IOB,2023-07-25,26.55,26.7,25.95,26.1,26.35,6978808
Indian Overseas Bank,IOB,2023-07-24,26.9,27.35,26.15,26.35,26.9,13459798
Indian Overseas Bank,IOB,2023-07-21,26.7,27.45,26.5,26.9,26.7,17034309
