StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-28,933.4,939.4,925.0,929.7,929.95,1729773
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-27,930.95,940.2,926.4,929.95,928.75,1511283
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-26,928.7,936.75,920.15,928.75,928.7,1707716
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-22,938.9,940.9,926.5,928.7,934.75,1554947
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-21,913.0,943.9,910.2,934.75,901.9,3688075
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-20,906.0,916.5,882.8,901.9,906.4,1978201
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-19,918.9,918.9,900.0,906.4,918.9,1737458
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-18,912.5,922.95,904.0,918.9,912.5,1605008
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-15,899.0,916.15,877.05,912.5,898.75,3393550
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-14,875.05,905.35,862.75,898.75,880.65,2731461
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-13,925.15,931.5,869.0,880.65,920.95,4244094
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-12,939.0,941.4,915.5,920.95,938.6,1570749
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-11,937.2,961.0,931.05,938.6,937.2,3587812
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-07,931.6,946.45,930.15,937.2,929.05,1565514
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-06,936.0,937.0,911.55,929.05,935.8,1888149
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-05,938.0,941.25,928.65,935.8,938.0,1167131
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-04,934.8,945.85,923.95,938.0,933.7,2010812
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-02,933.8,938.7,931.0,933.7,929.3,178102
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-03-01,934.0,938.05,927.0,929.3,927.4,1305118
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-02-29,923.0,933.95,912.4,927.4,924.05,3232361
Indian Railway Catering And Tourism Corporation Limited,IRCTC,2024-02-28,953.0,959.65,920.0,924.05,952.75,2972449
