StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1155.0,1157.0,1153.0,1157.0,1157.99,1600
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1145.12,1146.01,1145.12,1146.01,1149.37,111
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1060.0,1060.0,1060.0,1060.0,1060.0,1
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,144.95,147.8,141.3,142.35,142.85,50962525
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1123.25,1123.48,1105.0,1109.08,1106.11,7002
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1209.99,1209.99,1161.0,1164.89,1255.87,278
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1210.0,1210.0,1205.0,1205.0,1210.0,49
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1000.1,1000.1,1000.1,1000.1,1042.05,150
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1098.5,1098.5,1092.5,1098.5,1091.53,28
Indian Railway Finance Corporation Limited,IRFC,2024-03-28,1149.0,1187.99,1132.55,1168.55,1215.0,6110
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1060.0,1060.0,1060.0,1060.0,1052.0,51
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1152.31,1158.0,1152.31,1157.99,1152.01,56
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,147.5,150.95,141.6,142.85,145.7,89910843
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1110.0,1110.0,1105.5,1106.11,1110.0,1024
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1208.19,1216.0,1208.19,1215.0,1208.01,1025
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1256.0,1256.0,1255.85,1255.87,1256.0,290
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1208.0,1210.0,1208.0,1210.0,1210.0,37
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1143.01,1149.9,1143.01,1149.37,1143.01,13
Indian Railway Finance Corporation Limited,IRFC,2024-03-27,1056.1,1056.1,1056.1,1056.1,1063.7,10
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,142.4,148.7,140.95,145.7,140.95,120887716
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1110.0,1110.0,1110.0,1110.0,1119.88,500
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1109.75,1109.75,1091.5,1091.53,1109.75,1050
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1235.0,1240.3,1205.21,1208.01,1220.0,1796
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1247.0,1257.0,1247.0,1256.0,1246.72,1351
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1145.0,1145.0,1142.0,1143.01,1144.32,440
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1220.0,1220.0,1210.0,1210.0,1200.55,2
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1285.71,1285.71,1285.71,1285.71,1355.9,1
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1052.0,1052.0,1052.0,1052.0,1065.99,2
Indian Railway Finance Corporation Limited,IRFC,2024-03-26,1152.01,1152.01,1152.01,1152.01,1158.0,175
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1225.0,1247.0,1225.0,1246.72,1240.06,2510
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1246.0,1246.0,1220.0,1220.0,1219.99,819
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1074.0,1109.75,1074.0,1109.75,1105.0,71
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1121.25,1123.5,1110.1,1119.88,1109.56,1887
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,135.95,145.2,135.0,140.95,135.25,112209659
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1147.9,1148.9,1142.05,1144.32,1147.9,316
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1045.0,1065.99,1030.1,1065.99,1067.23,879
Indian Railway Finance Corporation Limited,IRFC,2024-03-22,1158.0,1158.0,1158.0,1158.0,1155.64,5
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1152.0,1159.85,1152.0,1155.64,1156.0,2114
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,137.0,137.65,134.8,135.25,133.2,35779582
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1112.0,1120.0,1107.0,1109.56,1112.0,763
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1204.0,1204.0,1204.0,1204.0,1210.0,390
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1224.0,1225.0,1215.5,1219.99,1215.0,1409
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1060.0,1069.0,1060.0,1067.23,1060.0,210
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1147.9,1147.9,1147.9,1147.9,1144.51,1
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1063.7,1063.7,1063.7,1063.7,1059.99,3
Indian Railway Finance Corporation Limited,IRFC,2024-03-21,1241.0,1251.5,1240.06,1240.06,1246.0,735
Indian Railway Finance Corporation Limited,IRFC,2024-03-20,1156.0,1156.0,1156.0,1156.0,1155.9,750
Indian Railway Finance Corporation Limited,IRFC,2024-03-20,1051.01,1062.9,1051.01,1060.0,1051.01,119
Indian Railway Finance Corporation Limited,IRFC,2024-03-20,1144.26,1144.51,1144.26,1144.51,1142.01,171
Indian Railway Finance Corporation Limited,IRFC,2024-03-20,1059.99,1059.99,1059.99,1059.99,1059.79,22
