StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
ICICI Securities Limited,ISEC,2024-03-28,710.0,728.95,708.55,727.65,741.7,3373682
ICICI Securities Limited,ISEC,2024-03-27,736.2,761.75,734.25,741.7,738.05,1131691
ICICI Securities Limited,ISEC,2024-03-26,740.1,755.2,735.0,738.05,751.2,588716
ICICI Securities Limited,ISEC,2024-03-22,762.0,764.25,741.6,751.2,761.55,752518
ICICI Securities Limited,ISEC,2024-03-21,728.4,769.1,728.0,761.55,724.05,2077908
ICICI Securities Limited,ISEC,2024-03-20,714.15,727.0,712.0,724.05,714.05,392472
ICICI Securities Limited,ISEC,2024-03-19,722.0,722.9,711.7,714.05,721.85,467532
ICICI Securities Limited,ISEC,2024-03-18,728.7,736.0,718.45,721.85,726.85,506106
ICICI Securities Limited,ISEC,2024-03-15,739.9,742.0,718.55,726.85,740.7,875207
ICICI Securities Limited,ISEC,2024-03-14,755.95,755.95,733.0,740.7,751.7,284049
ICICI Securities Limited,ISEC,2024-03-13,752.0,769.0,732.65,751.7,753.6,1298686
ICICI Securities Limited,ISEC,2024-03-12,767.1,773.2,744.55,753.6,772.4,699026
ICICI Securities Limited,ISEC,2024-03-11,790.0,791.95,765.1,772.4,792.0,692889
ICICI Securities Limited,ISEC,2024-03-07,795.95,818.9,788.55,792.0,789.4,530129
ICICI Securities Limited,ISEC,2024-03-06,824.8,828.9,785.0,789.4,824.8,503268
ICICI Securities Limited,ISEC,2024-03-05,844.0,847.0,818.6,824.8,834.7,350249
ICICI Securities Limited,ISEC,2024-03-04,826.2,847.5,824.0,834.7,826.2,446982
ICICI Securities Limited,ISEC,2024-03-02,838.1,840.0,820.0,826.2,828.6,19783
ICICI Securities Limited,ISEC,2024-03-01,817.0,832.45,811.1,828.6,816.9,897667
ICICI Securities Limited,ISEC,2024-02-29,800.0,821.0,794.2,816.9,807.15,398604
ICICI Securities Limited,ISEC,2024-02-28,822.9,828.7,799.25,807.15,821.35,403651
ICICI Securities Limited,ISEC,2024-02-27,834.55,850.65,811.35,821.35,831.95,187595
ICICI Securities Limited,ISEC,2024-02-26,842.0,856.0,826.5,831.95,841.4,270489
ICICI Securities Limited,ISEC,2024-02-23,824.95,845.8,813.6,841.4,819.1,586865
ICICI Securities Limited,ISEC,2024-02-22,822.95,829.95,804.05,819.1,812.9,695879
ICICI Securities Limited,ISEC,2024-02-21,805.0,821.15,799.45,812.9,797.5,439243
ICICI Securities Limited,ISEC,2024-02-20,795.0,804.8,785.3,797.5,785.3,1057914
ICICI Securities Limited,ISEC,2024-02-19,791.0,809.25,784.45,785.3,786.45,1411123
ICICI Securities Limited,ISEC,2024-02-16,815.0,818.0,780.0,786.45,813.8,1111675
ICICI Securities Limited,ISEC,2024-02-15,808.0,821.6,799.3,813.8,807.4,393104
ICICI Securities Limited,ISEC,2024-02-14,783.05,820.0,773.4,807.4,785.2,616069
ICICI Securities Limited,ISEC,2024-02-13,786.3,791.45,771.65,785.2,786.9,259955
ICICI Securities Limited,ISEC,2024-02-12,806.25,823.75,776.0,786.9,804.5,321021
ICICI Securities Limited,ISEC,2024-02-09,798.0,808.6,782.0,804.5,798.7,205668
ICICI Securities Limited,ISEC,2024-02-08,805.1,819.7,775.0,798.7,808.8,183809
ICICI Securities Limited,ISEC,2024-02-07,819.3,821.95,796.35,808.8,819.0,211004
ICICI Securities Limited,ISEC,2024-02-06,798.0,822.55,798.0,819.0,796.65,208692
ICICI Securities Limited,ISEC,2024-02-05,825.0,825.0,791.1,796.65,817.2,284351
ICICI Securities Limited,ISEC,2024-02-02,815.0,839.95,811.5,817.2,820.9,428541
ICICI Securities Limited,ISEC,2024-02-01,824.8,843.0,802.5,820.9,820.5,1123181
ICICI Securities Limited,ISEC,2024-01-31,765.0,866.45,765.0,820.5,772.2,2852340
ICICI Securities Limited,ISEC,2024-01-30,774.95,787.0,768.75,772.2,774.3,287044
ICICI Securities Limited,ISEC,2024-01-29,777.4,780.0,765.05,774.3,776.15,573385
ICICI Securities Limited,ISEC,2024-01-25,768.5,779.75,762.05,776.15,764.65,266350
ICICI Securities Limited,ISEC,2024-01-24,746.15,777.7,746.15,764.65,758.15,739339
ICICI Securities Limited,ISEC,2024-01-23,758.7,769.0,748.05,758.15,757.6,573483
ICICI Securities Limited,ISEC,2024-01-20,771.9,773.75,755.0,757.6,763.75,115691
ICICI Securities Limited,ISEC,2024-01-19,774.0,774.0,762.4,763.75,763.65,547597
ICICI Securities Limited,ISEC,2024-01-18,772.0,775.15,758.0,763.65,769.95,473641
ICICI Securities Limited,ISEC,2024-01-17,795.95,798.0,755.45,769.95,784.0,1507333
ICICI Securities Limited,ISEC,2024-01-16,769.1,799.55,764.6,784.0,758.85,975105
ICICI Securities Limited,ISEC,2024-01-15,772.4,784.9,754.4,758.85,768.2,357446
ICICI Securities Limited,ISEC,2024-01-12,782.6,795.0,764.1,768.2,781.25,426091
ICICI Securities Limited,ISEC,2024-01-11,747.0,789.95,742.15,781.25,743.25,1198808
ICICI Securities Limited,ISEC,2024-01-10,753.0,759.9,740.3,743.25,749.95,108112
ICICI Securities Limited,ISEC,2024-01-09,749.25,758.9,740.1,749.95,744.0,104648
ICICI Securities Limited,ISEC,2024-01-08,759.2,765.0,740.05,744.0,757.45,159593
