StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
ITC Limited,ITC,2024-03-28,428.0,433.25,427.0,428.35,428.0,27933211
ITC Limited,ITC,2024-03-27,427.0,428.9,426.45,428.0,427.65,12227545
ITC Limited,ITC,2024-03-26,425.55,429.2,425.55,427.65,428.6,10274145
ITC Limited,ITC,2024-03-22,421.25,429.65,421.25,428.6,421.25,38861818
ITC Limited,ITC,2024-03-21,419.0,422.0,416.2,421.25,415.7,19227982
ITC Limited,ITC,2024-03-20,410.0,416.65,409.55,415.7,409.55,19609321
ITC Limited,ITC,2024-03-19,418.0,419.55,408.7,409.55,417.45,20994563
ITC Limited,ITC,2024-03-18,419.0,420.7,416.9,417.45,419.1,15933704
ITC Limited,ITC,2024-03-15,417.2,428.55,415.25,419.1,419.65,73253754
ITC Limited,ITC,2024-03-14,421.95,425.5,418.0,419.65,422.45,30764728
ITC Limited,ITC,2024-03-13,435.0,438.0,421.15,422.45,404.45,101612428
ITC Limited,ITC,2024-03-12,406.5,406.5,399.35,404.45,409.4,34882639
ITC Limited,ITC,2024-03-11,416.8,418.3,408.0,409.4,413.55,17620081
ITC Limited,ITC,2024-03-07,407.85,414.95,403.65,413.55,407.85,23020545
ITC Limited,ITC,2024-03-06,406.5,409.95,400.7,407.85,406.15,11106855
ITC Limited,ITC,2024-03-05,409.65,411.4,403.95,406.15,409.1,9733507
ITC Limited,ITC,2024-03-04,412.25,412.95,408.45,409.1,412.05,6840352
ITC Limited,ITC,2024-03-02,411.0,412.8,410.1,412.05,409.5,977655
ITC Limited,ITC,2024-03-01,408.9,413.15,407.5,409.5,406.3,12395632
ITC Limited,ITC,2024-02-29,409.0,411.05,404.5,406.3,408.3,14895144
ITC Limited,ITC,2024-02-28,411.15,412.35,406.8,408.3,411.15,8617768
ITC Limited,ITC,2024-02-27,410.0,412.75,408.55,411.15,409.2,7783743
ITC Limited,ITC,2024-02-26,411.1,413.05,407.3,409.2,411.4,7982145
ITC Limited,ITC,2024-02-23,415.9,415.9,410.5,411.4,414.45,11147636
ITC Limited,ITC,2024-02-22,406.9,415.15,403.45,414.45,403.35,18604659
