StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-28,132.5,136.0,132.0,134.2,131.3,3734690
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-27,129.9,133.75,129.65,131.3,129.1,5540098
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-26,130.95,132.55,128.55,129.1,130.6,2533265
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-22,130.15,132.5,130.0,130.6,130.05,2335360
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-21,132.0,133.9,129.3,130.05,133.25,5342871
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-20,132.6,134.45,130.25,133.25,131.9,2086052
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-19,131.7,132.9,130.0,131.9,131.8,1468317
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-18,135.0,136.55,130.6,131.8,133.55,3171018
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-15,128.5,138.35,123.3,133.55,128.5,17836584
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-14,118.9,130.0,116.15,128.5,120.1,4963228
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-13,130.9,131.8,118.15,120.1,129.55,7173406
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-12,138.65,139.8,128.1,129.55,138.45,6119054
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-11,143.05,144.5,136.5,138.45,140.65,3812837
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-07,139.05,143.4,139.05,140.65,137.85,3514998
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-06,147.5,148.2,137.05,137.85,146.95,6943735
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-05,143.9,147.55,142.35,146.95,143.35,3202806
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-04,143.9,149.7,140.2,143.35,143.0,5271832
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-02,144.6,145.0,142.5,143.0,144.05,215891
The Jammu & Kashmir Bank Limited,J&KBANK,2024-03-01,144.0,144.9,141.9,144.05,143.15,2831044
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-29,138.9,143.7,137.0,143.15,137.55,6081590
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-28,142.35,143.4,136.1,137.55,141.65,3201279
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-27,141.2,142.6,140.1,141.65,140.5,2372274
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-26,143.8,145.0,140.0,140.5,143.35,2672969
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-23,144.9,149.3,141.2,143.35,145.35,5706299
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-22,140.0,146.25,137.0,145.35,139.4,4072008
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-21,143.3,145.2,138.4,139.4,142.65,2920678
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-20,143.85,145.0,141.6,142.65,143.7,1848804
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-19,143.85,147.7,142.9,143.7,143.7,3304629
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-16,144.5,147.0,142.75,143.7,143.25,3961496
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-15,139.4,144.3,139.35,143.25,138.15,4812886
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-14,132.0,139.75,130.55,138.15,134.05,3164771
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-13,134.0,136.7,129.05,134.05,134.3,4453797
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-12,144.45,145.8,131.8,134.3,144.0,4895667
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-09,148.2,152.5,140.0,144.0,147.65,7480609
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-08,145.0,149.65,143.5,147.65,143.75,6701418
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-07,144.75,147.95,142.3,143.75,143.75,3822289
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-06,146.65,149.75,143.05,143.75,145.15,4802317
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-05,139.9,151.65,136.3,145.15,138.8,19150654
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-02,140.5,143.6,138.0,138.8,139.1,7983369
The Jammu & Kashmir Bank Limited,J&KBANK,2024-02-01,135.95,139.9,131.25,139.1,134.45,10434169
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-31,131.3,135.0,129.7,134.45,130.35,6408676
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-30,132.2,133.7,129.05,130.35,132.25,3581006
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-29,133.1,134.2,131.15,132.25,130.55,2872092
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-25,131.95,133.6,129.6,130.55,130.7,3338371
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-24,129.0,132.75,128.4,130.7,127.8,5726022
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-23,136.9,142.7,126.0,127.8,132.25,16313723
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-20,137.85,138.75,131.0,132.25,137.1,4803239
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-19,136.0,138.15,134.5,137.1,134.8,3793818
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-18,134.05,137.35,127.7,134.8,134.05,6425021
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-17,134.8,135.8,132.0,134.05,137.2,4311524
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-16,133.05,138.2,131.0,137.2,132.35,8755724
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-15,130.7,135.5,130.2,132.35,129.65,7430538
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-12,128.7,131.4,127.0,129.65,127.95,5696048
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-11,125.0,128.8,125.0,127.95,125.0,2541122
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-10,127.85,127.85,124.4,125.0,126.85,2281710
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-09,127.35,128.9,126.25,126.85,126.3,1915833
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-08,129.5,129.8,125.6,126.3,129.7,3392633
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-05,130.6,131.6,127.55,129.7,128.95,4912064
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-04,126.25,129.8,126.0,128.95,124.95,7174363
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-03,123.6,126.9,123.5,124.95,124.4,2691493
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-02,125.0,126.5,122.8,124.4,124.75,2910411
The Jammu & Kashmir Bank Limited,J&KBANK,2024-01-01,124.4,127.7,123.25,124.75,123.0,4601461
The Jammu & Kashmir Bank Limited,J&KBANK,2023-12-29,125.85,125.85,122.6,123.0,125.05,3514941
The Jammu & Kashmir Bank Limited,J&KBANK,2023-12-28,124.75,126.15,122.2,125.05,124.3,4380966
The Jammu & Kashmir Bank Limited,J&KBANK,2023-12-27,126.0,127.7,123.35,124.3,125.75,2961561
