StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-28,1651.15,1694.7,1643.45,1650.4,1642.9,147335
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-27,1631.0,1660.0,1611.0,1642.9,1616.0,239628
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-26,1624.7,1640.0,1557.05,1616.0,1624.7,165067
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-22,1627.0,1636.0,1588.2,1624.7,1619.2,75585
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-21,1595.05,1625.0,1576.6,1619.2,1587.1,169047
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-20,1591.9,1591.9,1550.1,1587.1,1584.9,180707
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-19,1625.7,1625.7,1575.85,1584.9,1611.0,191737
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-18,1564.25,1625.0,1532.0,1611.0,1550.05,148866
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-15,1549.3,1567.9,1543.05,1550.05,1549.3,74312
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-14,1550.95,1555.0,1513.8,1549.3,1551.55,82299
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-13,1581.6,1586.85,1548.0,1551.55,1583.3,160222
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-12,1579.0,1588.95,1538.2,1583.3,1574.4,301624
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-11,1598.85,1598.85,1568.7,1574.4,1588.0,66409
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-07,1585.05,1598.95,1565.05,1588.0,1587.15,43586
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-06,1570.45,1598.9,1567.0,1587.15,1568.75,183733
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-05,1567.0,1580.0,1549.95,1568.75,1567.45,83176
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-04,1520.0,1579.45,1509.05,1567.45,1539.9,134257
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-02,1540.25,1559.0,1514.9,1539.9,1531.4,7654
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-03-01,1548.0,1591.85,1515.0,1531.4,1561.85,112417
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-29,1595.0,1595.0,1480.0,1561.85,1600.2,923411
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-28,1643.8,1648.95,1584.0,1600.2,1643.8,188054
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-27,1650.0,1676.95,1635.0,1643.8,1647.3,57405
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-26,1631.0,1653.95,1608.6,1647.3,1646.25,92616
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-23,1656.85,1674.95,1626.55,1646.25,1656.85,89909
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-22,1680.0,1699.0,1647.0,1656.85,1673.25,60171
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-21,1664.65,1675.0,1658.1,1673.25,1648.95,141062
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-20,1654.95,1662.0,1629.95,1648.95,1653.75,123190
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-19,1656.0,1672.45,1643.35,1653.75,1655.15,100626
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-16,1664.95,1700.0,1632.6,1655.15,1664.3,159345
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-15,1680.0,1691.25,1654.0,1664.3,1676.0,45132
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-14,1665.0,1701.0,1655.0,1676.0,1664.6,65058
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-13,1696.0,1696.0,1651.55,1664.6,1680.65,124610
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-12,1725.75,1729.9,1672.0,1680.65,1725.75,90320
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-09,1754.05,1754.05,1695.05,1725.75,1765.2,153180
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-08,1780.0,1797.75,1748.0,1765.2,1799.95,191133
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-07,1747.0,1940.0,1712.0,1799.95,1725.25,2167286
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-06,1718.9,1741.8,1692.55,1725.25,1708.4,163384
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-05,1687.05,1715.95,1687.05,1708.4,1688.35,117851
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-02,1684.95,1698.95,1659.35,1688.35,1685.35,65040
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-02-01,1663.05,1694.95,1663.05,1685.35,1683.95,27674
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-31,1651.1,1695.3,1631.1,1683.95,1651.1,70895
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-30,1694.0,1700.75,1635.0,1651.1,1694.9,58827
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-29,1703.95,1741.55,1673.0,1694.9,1695.5,204542
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-25,1694.35,1702.3,1660.0,1695.5,1693.8,97074
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-24,1666.4,1705.0,1658.25,1693.8,1658.2,174394
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-23,1617.2,1669.0,1616.2,1658.2,1616.15,133259
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-20,1627.4,1640.0,1600.05,1616.15,1617.15,40367
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-19,1604.4,1647.1,1602.9,1617.15,1595.0,75105
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-18,1657.7,1661.75,1551.3,1595.0,1643.8,124953
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-17,1648.5,1660.4,1631.55,1643.8,1658.9,91568
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-16,1670.0,1673.85,1633.5,1658.9,1657.95,99833
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-15,1700.0,1705.0,1652.05,1657.95,1684.65,322607
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-12,1675.75,1700.05,1660.05,1684.65,1660.1,74770
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-11,1680.0,1692.75,1648.0,1660.1,1679.7,45734
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,2024-01-10,1705.0,1710.0,1670.0,1679.7,1686.1,92824
