StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JBM Auto Limited,JBMA,2024-03-28,1803.95,1862.95,1795.65,1804.15,1770.6,318457
JBM Auto Limited,JBMA,2024-03-27,1808.0,1858.15,1760.0,1770.6,1794.2,558875
JBM Auto Limited,JBMA,2024-03-26,1850.05,1850.05,1786.0,1794.2,1869.85,335857
JBM Auto Limited,JBMA,2024-03-22,1873.85,1904.9,1865.05,1869.85,1869.25,148116
JBM Auto Limited,JBMA,2024-03-21,1890.0,1969.8,1862.0,1869.25,1856.1,273565
JBM Auto Limited,JBMA,2024-03-20,1928.0,1961.25,1850.0,1856.1,1896.8,251295
JBM Auto Limited,JBMA,2024-03-19,1880.0,2065.45,1867.55,1896.8,1875.7,647293
JBM Auto Limited,JBMA,2024-03-18,1892.0,1902.95,1860.25,1875.7,1892.0,71814
JBM Auto Limited,JBMA,2024-03-15,1876.1,1934.95,1850.0,1892.0,1866.75,200381
JBM Auto Limited,JBMA,2024-03-14,1679.95,1944.0,1665.0,1866.75,1709.9,350234
JBM Auto Limited,JBMA,2024-03-13,1798.35,1837.45,1685.0,1709.9,1792.5,215207
JBM Auto Limited,JBMA,2024-03-12,1820.0,1895.0,1750.0,1792.5,1803.6,244997
JBM Auto Limited,JBMA,2024-03-11,1916.75,1921.05,1779.0,1803.6,1897.8,157391
JBM Auto Limited,JBMA,2024-03-07,1902.3,1988.25,1890.0,1897.8,1902.25,183174
JBM Auto Limited,JBMA,2024-03-06,2004.8,2006.1,1890.0,1902.25,2002.4,164059
JBM Auto Limited,JBMA,2024-03-05,2087.95,2113.95,1991.0,2002.4,2089.0,180694
JBM Auto Limited,JBMA,2024-03-04,2154.9,2157.9,2076.0,2089.0,2147.1,135632
JBM Auto Limited,JBMA,2024-03-02,2150.0,2218.0,2131.0,2147.1,2143.1,30967
JBM Auto Limited,JBMA,2024-03-01,2184.6,2200.85,2129.0,2143.1,2166.9,124089
JBM Auto Limited,JBMA,2024-02-29,2175.85,2230.0,2112.8,2166.9,2175.9,339877
JBM Auto Limited,JBMA,2024-02-28,2250.7,2250.7,2155.0,2175.9,2250.7,121675
JBM Auto Limited,JBMA,2024-02-27,2195.0,2318.8,2187.05,2250.7,2188.3,291731
JBM Auto Limited,JBMA,2024-02-26,2200.95,2235.95,2179.8,2188.3,2204.95,110346
JBM Auto Limited,JBMA,2024-02-23,2236.5,2318.8,2190.0,2204.95,2226.9,299525
JBM Auto Limited,JBMA,2024-02-22,2317.0,2319.2,2210.0,2226.9,2310.25,394250
JBM Auto Limited,JBMA,2024-02-21,2300.0,2414.25,2272.0,2310.25,2289.5,368326
JBM Auto Limited,JBMA,2024-02-20,2304.0,2354.4,2263.9,2289.5,2381.75,267436
JBM Auto Limited,JBMA,2024-02-19,2054.0,2428.35,2054.0,2381.75,2023.65,1097472
JBM Auto Limited,JBMA,2024-02-16,2024.0,2060.0,2011.0,2023.65,2007.05,61096
JBM Auto Limited,JBMA,2024-02-15,2024.6,2047.2,1993.3,2007.05,2004.8,60461
JBM Auto Limited,JBMA,2024-02-14,2000.0,2039.95,1983.05,2004.8,2014.45,65845
JBM Auto Limited,JBMA,2024-02-13,2099.85,2099.85,1863.45,2014.45,2066.75,221545
JBM Auto Limited,JBMA,2024-02-12,2045.0,2208.0,2025.0,2066.75,2013.45,493017
JBM Auto Limited,JBMA,2024-02-09,1979.3,2048.0,1938.05,2013.45,1979.3,204376
JBM Auto Limited,JBMA,2024-02-08,2015.0,2015.45,1973.4,1979.3,2002.4,53529
JBM Auto Limited,JBMA,2024-02-07,2048.2,2050.5,1991.4,2002.4,2028.25,69820
JBM Auto Limited,JBMA,2024-02-06,2000.0,2050.0,1973.0,2028.25,1972.95,175627
JBM Auto Limited,JBMA,2024-02-05,1987.6,2032.0,1952.95,1972.95,1948.65,146004
JBM Auto Limited,JBMA,2024-02-02,2007.0,2048.0,1935.0,1948.65,1968.0,222849
JBM Auto Limited,JBMA,2024-02-01,1927.6,2010.0,1920.05,1968.0,1916.7,341763
JBM Auto Limited,JBMA,2024-01-31,1949.0,1977.2,1880.0,1916.7,1900.4,278059
JBM Auto Limited,JBMA,2024-01-30,1916.0,1924.0,1886.75,1900.4,1900.1,50460
JBM Auto Limited,JBMA,2024-01-29,1876.95,1946.0,1855.25,1900.1,1849.35,151152
JBM Auto Limited,JBMA,2024-01-25,1866.7,1883.0,1805.0,1849.35,1850.7,44314
JBM Auto Limited,JBMA,2024-01-24,1788.05,1888.0,1771.4,1850.7,1801.65,100742
JBM Auto Limited,JBMA,2024-01-23,1873.0,1882.95,1790.0,1801.65,1872.7,99578
JBM Auto Limited,JBMA,2024-01-20,1921.85,1921.85,1869.7,1872.7,1896.15,54240
JBM Auto Limited,JBMA,2024-01-19,1905.0,1941.8,1879.6,1896.15,1889.65,99399
JBM Auto Limited,JBMA,2024-01-18,1917.8,1929.65,1764.7,1889.65,1915.7,160203
JBM Auto Limited,JBMA,2024-01-17,1850.0,1967.95,1826.0,1915.7,1857.95,198844
JBM Auto Limited,JBMA,2024-01-16,1833.0,1892.95,1820.0,1857.95,1823.95,163902
JBM Auto Limited,JBMA,2024-01-15,1897.0,1897.0,1779.35,1823.95,1879.3,129982
JBM Auto Limited,JBMA,2024-01-12,1927.85,1937.4,1870.0,1879.3,1935.95,160621
JBM Auto Limited,JBMA,2024-01-11,1948.0,2006.8,1910.05,1935.95,1930.6,358824
JBM Auto Limited,JBMA,2024-01-10,1899.0,1965.0,1850.0,1930.6,1900.7,434148
JBM Auto Limited,JBMA,2024-01-09,1900.95,1965.15,1884.75,1900.7,1884.55,360077
JBM Auto Limited,JBMA,2024-01-08,1719.0,1924.45,1719.0,1884.55,1698.9,1081504
JBM Auto Limited,JBMA,2024-01-05,1690.0,1744.0,1664.9,1698.9,1681.45,315586
JBM Auto Limited,JBMA,2024-01-04,1680.0,1719.9,1660.0,1681.45,1672.8,192407
JBM Auto Limited,JBMA,2024-01-03,1743.25,1744.8,1652.5,1672.8,1721.5,246834
JBM Auto Limited,JBMA,2024-01-02,1645.0,1735.0,1629.05,1721.5,1619.35,741322
JBM Auto Limited,JBMA,2024-01-01,1498.0,1667.0,1490.15,1619.35,1464.2,971472
JBM Auto Limited,JBMA,2023-12-29,1420.0,1464.2,1415.0,1464.2,1394.5,203088
JBM Auto Limited,JBMA,2023-12-28,1420.0,1434.6,1390.0,1394.5,1419.85,44843
JBM Auto Limited,JBMA,2023-12-27,1440.0,1460.0,1413.0,1419.85,1440.1,46426
JBM Auto Limited,JBMA,2023-12-26,1473.95,1473.95,1411.85,1440.1,1439.1,97144
JBM Auto Limited,JBMA,2023-12-22,1425.0,1475.0,1420.0,1439.1,1407.15,130002
JBM Auto Limited,JBMA,2023-12-21,1384.0,1430.3,1352.5,1407.15,1383.65,70710
JBM Auto Limited,JBMA,2023-12-20,1420.0,1472.65,1349.45,1383.65,1402.55,305361
JBM Auto Limited,JBMA,2023-12-19,1409.3,1410.0,1389.95,1402.55,1398.2,51176
JBM Auto Limited,JBMA,2023-12-18,1409.35,1420.0,1395.0,1398.2,1409.35,48217
JBM Auto Limited,JBMA,2023-12-15,1410.0,1425.0,1390.8,1409.35,1395.5,69569
JBM Auto Limited,JBMA,2023-12-14,1413.05,1430.0,1388.0,1395.5,1399.7,61237
JBM Auto Limited,JBMA,2023-12-13,1426.0,1446.0,1360.0,1399.7,1411.55,188620
JBM Auto Limited,JBMA,2023-12-12,1379.0,1411.55,1350.0,1411.55,1344.35,202717
JBM Auto Limited,JBMA,2023-12-11,1315.0,1344.35,1293.0,1344.35,1280.35,123940
JBM Auto Limited,JBMA,2023-12-08,1296.0,1314.85,1275.1,1280.35,1286.45,68284
JBM Auto Limited,JBMA,2023-12-07,1260.0,1295.0,1252.0,1286.45,1255.75,55807
JBM Auto Limited,JBMA,2023-12-06,1268.3,1285.0,1248.5,1255.75,1264.35,49578
JBM Auto Limited,JBMA,2023-12-05,1251.05,1293.0,1251.05,1264.35,1257.35,69167
JBM Auto Limited,JBMA,2023-12-04,1248.05,1283.0,1242.1,1257.35,1247.35,75576
JBM Auto Limited,JBMA,2023-12-01,1240.2,1258.0,1240.0,1247.35,1242.9,21046
JBM Auto Limited,JBMA,2023-11-30,1264.0,1270.0,1232.0,1242.9,1256.2,30488
JBM Auto Limited,JBMA,2023-11-29,1269.0,1276.0,1240.0,1256.2,1264.25,19258
JBM Auto Limited,JBMA,2023-11-28,1274.0,1282.0,1240.1,1264.25,1266.4,21592
JBM Auto Limited,JBMA,2023-11-24,1262.0,1289.0,1250.0,1266.4,1264.15,17336
JBM Auto Limited,JBMA,2023-11-23,1287.0,1300.0,1251.0,1264.15,1286.2,20655
JBM Auto Limited,JBMA,2023-11-22,1324.0,1331.0,1244.2,1286.2,1309.65,48893
JBM Auto Limited,JBMA,2023-11-21,1277.0,1322.0,1277.0,1309.65,1261.1,95173
JBM Auto Limited,JBMA,2023-11-20,1197.0,1261.1,1189.0,1261.1,1201.05,87324
JBM Auto Limited,JBMA,2023-11-17,1219.0,1219.0,1193.0,1201.05,1211.05,15461
JBM Auto Limited,JBMA,2023-11-16,1206.3,1220.0,1200.0,1211.05,1206.3,26948
JBM Auto Limited,JBMA,2023-11-15,1216.85,1216.85,1191.1,1206.3,1208.4,23627
JBM Auto Limited,JBMA,2023-11-13,1216.85,1216.85,1180.5,1208.4,1216.85,16779
JBM Auto Limited,JBMA,2023-11-12,1201.05,1220.0,1201.05,1216.85,1193.1,9259
JBM Auto Limited,JBMA,2023-11-10,1216.8,1216.8,1178.0,1193.1,1207.05,26290
JBM Auto Limited,JBMA,2023-11-09,1221.8,1232.1,1203.1,1207.05,1221.8,18901
JBM Auto Limited,JBMA,2023-11-08,1232.1,1233.0,1213.0,1221.8,1218.3,16763
JBM Auto Limited,JBMA,2023-11-07,1220.0,1237.7,1206.0,1218.3,1206.0,30159
JBM Auto Limited,JBMA,2023-11-06,1220.0,1220.0,1189.55,1206.0,1189.55,16005
JBM Auto Limited,JBMA,2023-11-03,1179.85,1223.0,1175.55,1189.55,1179.85,21182
JBM Auto Limited,JBMA,2023-11-02,1224.0,1224.0,1178.0,1179.85,1203.7,47605
JBM Auto Limited,JBMA,2023-11-01,1200.0,1220.0,1176.0,1203.7,1200.55,19974
JBM Auto Limited,JBMA,2023-10-31,1228.0,1260.0,1190.0,1200.55,1234.3,24659
JBM Auto Limited,JBMA,2023-10-30,1249.0,1258.0,1227.0,1234.3,1216.95,42188
JBM Auto Limited,JBMA,2023-10-27,1160.0,1216.95,1160.0,1216.95,1159.0,25517
JBM Auto Limited,JBMA,2023-10-26,1165.0,1170.0,1113.35,1159.0,1171.9,43917
JBM Auto Limited,JBMA,2023-10-25,1170.9,1194.9,1133.0,1171.9,1158.2,46199
JBM Auto Limited,JBMA,2023-10-23,1214.0,1219.15,1158.2,1158.2,1219.15,59486
JBM Auto Limited,JBMA,2023-10-20,1240.0,1252.0,1180.2,1219.15,1233.25,30837
JBM Auto Limited,JBMA,2023-10-19,1253.7,1253.7,1225.0,1233.25,1244.15,19417
JBM Auto Limited,JBMA,2023-10-18,1258.85,1258.85,1231.1,1244.15,1251.15,21054
JBM Auto Limited,JBMA,2023-10-17,1258.7,1258.7,1238.0,1251.15,1244.7,12345
JBM Auto Limited,JBMA,2023-10-16,1259.2,1259.2,1230.0,1244.7,1259.2,25754
JBM Auto Limited,JBMA,2023-10-13,1248.0,1265.0,1240.0,1259.2,1250.6,18817
JBM Auto Limited,JBMA,2023-10-12,1268.0,1268.0,1243.65,1250.6,1263.0,29939
JBM Auto Limited,JBMA,2023-10-11,1244.8,1269.0,1225.0,1263.0,1237.55,30803
JBM Auto Limited,JBMA,2023-10-10,1261.0,1280.0,1197.4,1237.55,1260.4,114708
JBM Auto Limited,JBMA,2023-10-09,1264.05,1280.0,1255.0,1260.4,1299.2,46326
JBM Auto Limited,JBMA,2023-10-06,1318.95,1318.95,1275.0,1299.2,1296.2,74862
JBM Auto Limited,JBMA,2023-10-05,1284.2,1317.0,1269.0,1296.2,1284.2,120128
JBM Auto Limited,JBMA,2023-10-04,1333.95,1334.55,1265.0,1284.2,1321.95,95332
JBM Auto Limited,JBMA,2023-10-03,1371.85,1390.0,1310.05,1321.95,1371.85,96330
JBM Auto Limited,JBMA,2023-09-29,1386.0,1389.0,1351.1,1371.85,1371.4,20896
JBM Auto Limited,JBMA,2023-09-28,1379.95,1390.0,1325.0,1371.4,1371.95,64723
JBM Auto Limited,JBMA,2023-09-27,1376.0,1376.0,1358.25,1371.95,1374.3,30324
JBM Auto Limited,JBMA,2023-09-26,1399.0,1415.0,1350.1,1374.3,1395.55,69802
JBM Auto Limited,JBMA,2023-09-25,1429.5,1448.95,1376.95,1395.55,1428.2,51242
JBM Auto Limited,JBMA,2023-09-22,1430.0,1457.95,1415.0,1428.2,1443.95,21205
JBM Auto Limited,JBMA,2023-09-21,1470.0,1479.0,1410.0,1443.95,1466.95,42207
JBM Auto Limited,JBMA,2023-09-20,1495.0,1495.0,1462.0,1466.95,1487.35,26516
JBM Auto Limited,JBMA,2023-09-18,1500.0,1500.0,1480.0,1487.35,1496.15,34338
JBM Auto Limited,JBMA,2023-09-15,1517.0,1525.0,1470.65,1496.15,1506.95,919315
JBM Auto Limited,JBMA,2023-09-14,1500.0,1528.2,1490.0,1506.95,1478.55,109992
JBM Auto Limited,JBMA,2023-09-13,1482.0,1490.0,1435.0,1478.55,1451.35,76519
JBM Auto Limited,JBMA,2023-09-12,1520.0,1526.0,1425.8,1451.35,1500.85,82534
JBM Auto Limited,JBMA,2023-09-11,1512.0,1529.9,1495.0,1500.85,1503.55,110330
JBM Auto Limited,JBMA,2023-09-08,1506.9,1510.0,1454.0,1503.55,1475.85,73181
JBM Auto Limited,JBMA,2023-09-07,1510.0,1510.0,1465.0,1475.85,1494.2,99217
JBM Auto Limited,JBMA,2023-09-05,1498.0,1520.0,1480.0,1497.3,1494.1,66651
JBM Auto Limited,JBMA,2023-09-01,1509.9,1527.3,1488.0,1501.4,1516.05,81795
JBM Auto Limited,JBMA,2023-08-31,1528.7,1528.7,1454.0,1516.05,1530.5,137020
JBM Auto Limited,JBMA,2023-08-30,1528.2,1555.0,1520.0,1530.5,1513.45,142697
JBM Auto Limited,JBMA,2023-08-29,1567.3,1607.65,1495.25,1513.45,1555.55,401589
JBM Auto Limited,JBMA,2023-08-28,1537.85,1590.0,1525.2,1555.55,1526.9,389316
JBM Auto Limited,JBMA,2023-08-25,1495.0,1588.9,1471.25,1526.9,1500.25,633449
JBM Auto Limited,JBMA,2023-08-24,1510.0,1525.0,1485.45,1500.25,1513.8,182338
JBM Auto Limited,JBMA,2023-08-23,1515.0,1537.9,1483.7,1513.8,1517.25,309462
JBM Auto Limited,JBMA,2023-08-22,1545.75,1570.9,1506.0,1517.25,1537.3,676921
JBM Auto Limited,JBMA,2023-08-21,1401.0,1553.0,1400.35,1537.3,1388.35,1925537
JBM Auto Limited,JBMA,2023-08-18,1434.95,1434.95,1374.15,1388.35,1439.8,363498
JBM Auto Limited,JBMA,2023-08-17,1454.0,1486.95,1411.45,1439.8,1443.85,806974
JBM Auto Limited,JBMA,2023-08-16,1308.95,1474.0,1300.0,1443.85,1311.1,1545767
JBM Auto Limited,JBMA,2023-08-14,1206.0,1344.85,1185.0,1311.1,1228.9,587075
JBM Auto Limited,JBMA,2023-08-11,1284.95,1288.9,1220.0,1228.9,1282.3,212569
JBM Auto Limited,JBMA,2023-08-10,1316.4,1329.95,1273.2,1282.3,1316.1,130393
JBM Auto Limited,JBMA,2023-08-09,1330.05,1344.5,1309.0,1316.1,1329.35,62221
JBM Auto Limited,JBMA,2023-08-08,1354.65,1357.35,1320.0,1329.35,1348.9,62719
JBM Auto Limited,JBMA,2023-08-07,1322.35,1370.0,1307.0,1348.9,1315.65,173968
JBM Auto Limited,JBMA,2023-08-04,1351.0,1362.6,1309.6,1315.65,1341.2,146860
JBM Auto Limited,JBMA,2023-08-03,1362.0,1374.25,1336.3,1341.2,1360.4,89637
JBM Auto Limited,JBMA,2023-08-02,1380.0,1404.95,1305.2,1360.4,1401.05,216249
JBM Auto Limited,JBMA,2023-08-01,1410.05,1439.8,1396.0,1401.05,1401.65,288177
JBM Auto Limited,JBMA,2023-07-31,1420.0,1450.0,1371.05,1401.65,1411.95,300148
JBM Auto Limited,JBMA,2023-07-28,1435.0,1449.95,1395.15,1411.95,1429.05,139609
JBM Auto Limited,JBMA,2023-07-27,1450.0,1452.8,1415.0,1429.05,1438.25,126127
JBM Auto Limited,JBMA,2023-07-26,1422.0,1473.85,1406.0,1438.25,1414.5,372408
JBM Auto Limited,JBMA,2023-07-25,1360.5,1449.0,1354.9,1414.5,1354.9,483906
JBM Auto Limited,JBMA,2023-07-24,1405.95,1413.05,1349.0,1354.9,1405.95,222395
JBM Auto Limited,JBMA,2023-07-21,1409.5,1425.35,1399.55,1405.95,1402.0,201218
JBM Auto Limited,JBMA,2023-07-20,1399.9,1423.95,1395.0,1402.0,1397.6,166984
JBM Auto Limited,JBMA,2023-07-19,1409.0,1425.6,1386.6,1397.6,1406.8,202445
JBM Auto Limited,JBMA,2023-07-18,1478.15,1479.8,1367.3,1406.8,1478.2,594686
JBM Auto Limited,JBMA,2023-07-17,1483.8,1499.0,1462.1,1478.2,1466.6,584698
JBM Auto Limited,JBMA,2023-07-14,1539.6,1539.6,1439.05,1466.6,1316.0,3182452
JBM Auto Limited,JBMA,2023-07-13,1366.85,1375.8,1290.0,1316.0,1361.8,364893
JBM Auto Limited,JBMA,2023-07-12,1358.25,1393.8,1350.0,1361.8,1354.5,357000
JBM Auto Limited,JBMA,2023-07-11,1368.95,1374.9,1305.3,1354.5,1368.9,400242
JBM Auto Limited,JBMA,2023-07-10,1355.0,1397.8,1345.95,1368.9,1348.75,635771
JBM Auto Limited,JBMA,2023-07-07,1299.95,1367.55,1271.05,1348.75,1299.95,1352237
JBM Auto Limited,JBMA,2023-07-06,1470.0,1498.75,1275.0,1299.95,1488.2,2561942
JBM Auto Limited,JBMA,2023-07-05,1460.0,1518.0,1441.2,1488.2,1464.15,1446057
JBM Auto Limited,JBMA,2023-07-04,1390.0,1484.0,1375.55,1464.15,1392.3,1890645
JBM Auto Limited,JBMA,2023-07-03,1345.05,1418.95,1312.05,1392.3,1337.25,2130174
JBM Auto Limited,JBMA,2023-06-30,1243.1,1368.85,1215.85,1337.25,1218.3,6727276
JBM Auto Limited,JBMA,2023-06-28,1085.75,1262.0,1081.8,1218.3,1081.8,4046650
JBM Auto Limited,JBMA,2023-06-27,1069.2,1087.5,1057.35,1081.8,1065.8,571782
JBM Auto Limited,JBMA,2023-06-26,1008.9,1072.85,1000.8,1065.8,1008.1,806366
JBM Auto Limited,JBMA,2023-06-23,1040.0,1040.05,1001.0,1008.1,1040.1,339895
JBM Auto Limited,JBMA,2023-06-22,1022.5,1064.0,1021.25,1040.1,1020.45,687660
JBM Auto Limited,JBMA,2023-06-21,1042.2,1043.0,1009.05,1020.45,1039.15,394516
JBM Auto Limited,JBMA,2023-06-20,1008.45,1048.0,1004.1,1039.15,1003.7,893227
JBM Auto Limited,JBMA,2023-06-19,989.0,1018.8,986.35,1003.7,982.6,643424
JBM Auto Limited,JBMA,2023-06-16,992.3,1006.0,976.65,982.6,987.35,398758
JBM Auto Limited,JBMA,2023-06-15,953.4,1012.0,949.85,987.35,954.55,1432369
JBM Auto Limited,JBMA,2023-06-14,988.0,989.2,950.0,954.55,983.2,809460
JBM Auto Limited,JBMA,2023-06-13,927.0,992.0,923.25,983.2,921.9,2079737
JBM Auto Limited,JBMA,2023-06-12,922.45,940.0,915.3,921.9,922.35,379061
JBM Auto Limited,JBMA,2023-06-09,938.05,958.0,912.85,922.35,941.0,1645207
JBM Auto Limited,JBMA,2023-06-08,880.0,953.0,870.0,941.0,875.45,4726230
JBM Auto Limited,JBMA,2023-06-07,804.9,882.9,803.0,875.45,802.25,1528989
JBM Auto Limited,JBMA,2023-06-06,808.25,812.9,798.05,802.25,804.25,158071
JBM Auto Limited,JBMA,2023-06-05,805.9,818.1,801.0,804.25,802.25,231688
JBM Auto Limited,JBMA,2023-06-02,806.9,814.3,800.0,802.25,804.9,105404
JBM Auto Limited,JBMA,2023-06-01,812.65,822.0,798.0,804.9,807.8,241422
JBM Auto Limited,JBMA,2023-05-31,789.0,811.0,788.0,807.8,791.15,355380
JBM Auto Limited,JBMA,2023-05-30,801.3,801.3,787.95,791.15,800.0,110914
JBM Auto Limited,JBMA,2023-05-29,799.55,804.5,794.3,800.0,793.0,182559
JBM Auto Limited,JBMA,2023-05-26,795.8,802.45,786.3,793.0,792.65,169434
JBM Auto Limited,JBMA,2023-05-25,768.65,803.0,767.95,792.65,762.95,704416
JBM Auto Limited,JBMA,2023-05-24,752.3,787.0,752.3,762.95,752.25,325784
JBM Auto Limited,JBMA,2023-05-23,765.2,769.05,750.0,752.25,766.9,138900
JBM Auto Limited,JBMA,2023-05-22,760.85,772.0,751.75,766.9,760.85,133461
JBM Auto Limited,JBMA,2023-05-19,766.0,770.8,744.5,760.85,764.85,233902
JBM Auto Limited,JBMA,2023-05-18,760.0,778.0,758.15,764.85,756.95,152501
JBM Auto Limited,JBMA,2023-05-17,771.5,775.0,755.0,756.95,769.5,155880
JBM Auto Limited,JBMA,2023-05-16,784.9,785.0,766.9,769.5,782.75,141430
JBM Auto Limited,JBMA,2023-05-15,771.0,787.8,766.0,782.75,769.65,208394
JBM Auto Limited,JBMA,2023-05-12,773.2,789.55,764.95,769.65,772.7,270188
JBM Auto Limited,JBMA,2023-05-10,834.0,853.7,741.95,773.05,829.3,2707954
JBM Auto Limited,JBMA,2023-05-09,827.95,840.0,824.15,829.3,824.05,320757
JBM Auto Limited,JBMA,2023-05-08,836.85,837.05,820.0,824.05,832.8,242335
JBM Auto Limited,JBMA,2023-05-05,790.0,835.85,789.0,832.8,788.6,916409
JBM Auto Limited,JBMA,2023-05-04,784.0,799.0,783.95,788.6,784.15,217602
JBM Auto Limited,JBMA,2023-05-03,783.95,804.95,779.2,784.15,780.7,350256
JBM Auto Limited,JBMA,2023-05-02,803.5,808.45,774.0,780.7,802.65,553795
JBM Auto Limited,JBMA,2023-04-28,806.3,825.0,795.1,802.65,804.0,379984
JBM Auto Limited,JBMA,2023-04-27,825.5,827.6,801.0,804.0,825.5,379557
JBM Auto Limited,JBMA,2023-04-26,839.0,848.95,818.95,825.5,835.7,435675
JBM Auto Limited,JBMA,2023-04-25,834.0,842.3,830.0,835.7,833.6,361818
JBM Auto Limited,JBMA,2023-04-24,810.0,849.0,810.0,833.6,811.3,941253
JBM Auto Limited,JBMA,2023-04-21,808.0,815.85,800.75,811.3,807.95,448581
JBM Auto Limited,JBMA,2023-04-20,813.2,820.25,792.05,807.95,813.75,817433
JBM Auto Limited,JBMA,2023-04-19,792.0,818.9,777.25,813.75,785.35,1713894
JBM Auto Limited,JBMA,2023-04-18,744.1,792.8,741.95,785.35,741.6,1534524
JBM Auto Limited,JBMA,2023-04-17,759.95,763.85,737.15,741.6,756.95,261415
JBM Auto Limited,JBMA,2023-04-13,746.0,761.5,740.0,756.95,745.0,373118
JBM Auto Limited,JBMA,2023-04-12,740.0,751.65,733.45,745.0,742.25,378154
JBM Auto Limited,JBMA,2023-04-11,755.0,769.0,736.45,742.25,753.6,922706
JBM Auto Limited,JBMA,2023-04-10,736.5,762.0,726.0,753.6,731.65,1067854
JBM Auto Limited,JBMA,2023-04-06,702.0,738.0,695.6,731.65,702.0,1093849
JBM Auto Limited,JBMA,2023-04-05,707.55,724.0,690.1,702.0,704.1,1714652
JBM Auto Limited,JBMA,2023-04-03,647.5,712.0,645.8,704.1,644.0,3208710
JBM Auto Limited,JBMA,2023-03-31,641.95,658.0,636.15,644.0,634.05,458535
JBM Auto Limited,JBMA,2023-03-29,629.0,645.0,621.35,634.05,628.0,379607
JBM Auto Limited,JBMA,2023-03-28,627.0,642.3,615.0,628.0,626.95,340337
JBM Auto Limited,JBMA,2023-03-27,624.0,633.0,607.85,626.95,618.9,419948
JBM Auto Limited,JBMA,2023-03-24,639.0,650.0,614.6,618.9,638.9,584691
JBM Auto Limited,JBMA,2023-03-23,639.8,650.0,633.6,638.9,643.1,326248
JBM Auto Limited,JBMA,2023-03-22,623.05,654.2,621.95,643.1,620.1,1312364
JBM Auto Limited,JBMA,2023-03-21,615.0,625.65,606.75,620.1,610.3,497473
JBM Auto Limited,JBMA,2023-03-20,626.0,633.0,603.65,610.3,627.1,586489
JBM Auto Limited,JBMA,2023-03-17,580.4,631.85,573.0,627.1,575.3,2116871
JBM Auto Limited,JBMA,2023-03-16,589.8,595.95,570.0,575.3,595.45,710988
JBM Auto Limited,JBMA,2023-03-14,612.0,617.4,588.0,604.3,611.3,529397
JBM Auto Limited,JBMA,2023-03-13,648.7,651.5,606.0,611.3,643.3,928520
JBM Auto Limited,JBMA,2023-03-10,637.0,672.9,627.0,643.3,625.5,4321911
JBM Auto Limited,JBMA,2023-03-09,597.1,644.2,585.95,625.5,593.85,1695885
JBM Auto Limited,JBMA,2023-03-08,575.95,606.0,571.25,593.85,576.95,557062
JBM Auto Limited,JBMA,2023-03-06,579.55,594.2,575.0,576.95,578.0,229494
JBM Auto Limited,JBMA,2023-03-03,583.5,589.85,568.8,578.0,579.45,355143
JBM Auto Limited,JBMA,2023-03-02,568.6,602.95,567.9,579.45,568.15,1169971
JBM Auto Limited,JBMA,2023-03-01,570.0,575.05,560.0,568.15,574.35,164297
JBM Auto Limited,JBMA,2023-02-28,553.2,582.2,552.75,574.35,552.75,885953
JBM Auto Limited,JBMA,2023-02-27,567.3,569.05,551.0,552.75,567.6,165031
JBM Auto Limited,JBMA,2023-02-24,555.1,572.7,549.3,567.6,553.7,383849
JBM Auto Limited,JBMA,2023-02-23,566.95,570.2,548.2,553.7,563.4,230210
JBM Auto Limited,JBMA,2023-02-22,576.9,578.9,555.95,563.4,575.5,272234
JBM Auto Limited,JBMA,2023-02-20,558.55,585.0,558.55,581.0,552.95,1263378
JBM Auto Limited,JBMA,2023-02-17,522.65,558.0,520.15,552.95,526.25,962915
JBM Auto Limited,JBMA,2023-02-16,531.0,532.0,521.05,526.25,527.25,125946
JBM Auto Limited,JBMA,2023-02-15,522.0,535.7,518.3,527.25,520.75,309708
JBM Auto Limited,JBMA,2023-02-14,520.0,536.0,510.65,520.75,516.15,410063
JBM Auto Limited,JBMA,2023-02-13,526.0,544.95,510.0,516.15,537.75,605616
JBM Auto Limited,JBMA,2023-02-10,486.55,549.9,485.75,537.75,485.85,1364028
JBM Auto Limited,JBMA,2023-02-09,499.9,503.7,482.95,485.85,497.6,109806
JBM Auto Limited,JBMA,2023-02-08,494.6,508.4,484.1,497.6,492.1,171010
