StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Jindal Steel & Power Limited,JINDALSTEL,2024-03-28,836.05,854.0,836.0,849.15,833.1,1751216
Jindal Steel & Power Limited,JINDALSTEL,2024-03-27,841.0,843.9,826.95,833.1,837.2,1467887
Jindal Steel & Power Limited,JINDALSTEL,2024-03-26,842.9,867.7,835.25,837.2,832.9,3545906
Jindal Steel & Power Limited,JINDALSTEL,2024-03-22,818.95,835.8,813.4,832.9,821.55,2059744
Jindal Steel & Power Limited,JINDALSTEL,2024-03-21,798.1,823.4,778.1,821.55,782.35,3440279
Jindal Steel & Power Limited,JINDALSTEL,2024-03-20,798.9,803.4,774.95,782.35,794.25,1272564
Jindal Steel & Power Limited,JINDALSTEL,2024-03-19,806.0,817.05,790.6,794.25,808.0,2528299
Jindal Steel & Power Limited,JINDALSTEL,2024-03-18,767.75,810.9,767.75,808.0,767.75,4040803
Jindal Steel & Power Limited,JINDALSTEL,2024-03-15,780.0,783.1,760.9,767.75,781.6,2415351
Jindal Steel & Power Limited,JINDALSTEL,2024-03-14,764.95,784.9,756.5,781.6,764.2,2278644
Jindal Steel & Power Limited,JINDALSTEL,2024-03-13,807.5,814.7,760.2,764.2,807.15,2175250
Jindal Steel & Power Limited,JINDALSTEL,2024-03-12,827.75,832.9,800.65,807.15,827.75,1646471
Jindal Steel & Power Limited,JINDALSTEL,2024-03-11,845.0,845.0,823.6,827.75,839.0,1424721
Jindal Steel & Power Limited,JINDALSTEL,2024-03-07,833.0,851.0,832.2,839.0,830.15,2176087
Jindal Steel & Power Limited,JINDALSTEL,2024-03-06,826.7,833.95,801.4,830.15,824.45,2246235
Jindal Steel & Power Limited,JINDALSTEL,2024-03-05,839.45,840.55,822.0,824.45,839.45,1537610
Jindal Steel & Power Limited,JINDALSTEL,2024-03-04,837.85,849.5,826.0,839.45,838.5,2856051
Jindal Steel & Power Limited,JINDALSTEL,2024-03-02,825.1,844.85,823.6,838.5,822.85,477622
Jindal Steel & Power Limited,JINDALSTEL,2024-03-01,780.5,825.0,775.45,822.85,776.25,5256259
Jindal Steel & Power Limited,JINDALSTEL,2024-02-29,758.05,779.6,755.95,776.25,755.25,2501678
Jindal Steel & Power Limited,JINDALSTEL,2024-02-28,778.05,781.4,752.85,755.25,776.1,973881
Jindal Steel & Power Limited,JINDALSTEL,2024-02-27,774.4,785.0,768.8,776.1,771.3,1359840
Jindal Steel & Power Limited,JINDALSTEL,2024-02-26,787.1,787.35,768.0,771.3,786.55,1209173
Jindal Steel & Power Limited,JINDALSTEL,2024-02-23,791.5,795.8,784.1,786.55,783.7,3093797
Jindal Steel & Power Limited,JINDALSTEL,2024-02-22,777.6,787.5,774.2,783.7,771.5,3526557
Jindal Steel & Power Limited,JINDALSTEL,2024-02-21,773.0,785.0,761.85,771.5,760.0,3824236
Jindal Steel & Power Limited,JINDALSTEL,2024-02-20,763.0,768.0,753.0,760.0,759.0,1719670
Jindal Steel & Power Limited,JINDALSTEL,2024-02-19,772.0,773.95,757.05,759.0,769.5,1242531
Jindal Steel & Power Limited,JINDALSTEL,2024-02-16,769.0,779.6,766.15,769.5,765.2,1192225
Jindal Steel & Power Limited,JINDALSTEL,2024-02-15,763.0,773.95,755.5,765.2,758.15,2095811
Jindal Steel & Power Limited,JINDALSTEL,2024-02-14,720.0,760.65,720.0,758.15,736.55,2320373
Jindal Steel & Power Limited,JINDALSTEL,2024-02-13,743.0,743.0,708.7,736.55,743.5,2298299
Jindal Steel & Power Limited,JINDALSTEL,2024-02-12,761.45,770.9,737.35,743.5,761.45,1413841
Jindal Steel & Power Limited,JINDALSTEL,2024-02-09,775.5,776.95,741.85,761.45,776.95,1878921
Jindal Steel & Power Limited,JINDALSTEL,2024-02-08,784.8,795.0,770.05,776.95,780.65,2204316
Jindal Steel & Power Limited,JINDALSTEL,2024-02-07,789.05,804.45,776.6,780.65,781.2,3673374
Jindal Steel & Power Limited,JINDALSTEL,2024-02-06,768.0,784.85,751.1,781.2,763.1,2564978
Jindal Steel & Power Limited,JINDALSTEL,2024-02-05,781.9,781.9,758.05,763.1,776.0,3291771
Jindal Steel & Power Limited,JINDALSTEL,2024-02-02,747.0,782.2,746.2,776.0,742.45,5419790
Jindal Steel & Power Limited,JINDALSTEL,2024-02-01,766.75,769.0,732.85,742.45,757.15,3539486
Jindal Steel & Power Limited,JINDALSTEL,2024-01-31,748.0,763.55,747.0,757.15,746.2,1920453
Jindal Steel & Power Limited,JINDALSTEL,2024-01-30,731.05,760.95,731.05,746.2,730.75,3228263
Jindal Steel & Power Limited,JINDALSTEL,2024-01-29,723.0,733.85,715.0,730.75,716.3,2034288
Jindal Steel & Power Limited,JINDALSTEL,2024-01-25,712.85,719.5,700.35,716.3,706.3,1861827
Jindal Steel & Power Limited,JINDALSTEL,2024-01-24,696.35,711.55,687.8,706.3,694.65,2874944
Jindal Steel & Power Limited,JINDALSTEL,2024-01-23,736.0,738.0,692.0,694.65,729.75,1346480
Jindal Steel & Power Limited,JINDALSTEL,2024-01-20,735.0,737.95,726.4,729.75,729.25,876767
Jindal Steel & Power Limited,JINDALSTEL,2024-01-19,725.0,733.0,721.05,729.25,719.7,1551868
Jindal Steel & Power Limited,JINDALSTEL,2024-01-18,722.0,728.2,701.1,719.7,722.1,1775563
Jindal Steel & Power Limited,JINDALSTEL,2024-01-17,739.95,739.95,718.0,722.1,749.75,2797056
Jindal Steel & Power Limited,JINDALSTEL,2024-01-16,735.65,756.95,729.0,749.75,735.05,2676909
Jindal Steel & Power Limited,JINDALSTEL,2024-01-15,738.3,739.7,726.15,735.05,735.9,842890
