StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Jio Financial Services Limited,JIOFIN,2024-03-28,354.85,357.75,350.4,353.75,350.7,22677067
Jio Financial Services Limited,JIOFIN,2024-03-27,348.25,355.6,348.0,350.7,346.15,50090709
Jio Financial Services Limited,JIOFIN,2024-03-26,345.0,352.5,343.55,346.15,344.65,27168989
Jio Financial Services Limited,JIOFIN,2024-03-22,338.0,346.9,336.7,344.65,338.7,20548126
Jio Financial Services Limited,JIOFIN,2024-03-21,344.5,348.3,337.1,338.7,337.5,28731856
Jio Financial Services Limited,JIOFIN,2024-03-20,353.3,356.35,335.65,337.5,353.3,50983696
Jio Financial Services Limited,JIOFIN,2024-03-19,353.4,357.9,347.0,353.3,352.55,42007913
Jio Financial Services Limited,JIOFIN,2024-03-18,346.95,359.7,342.5,352.55,344.75,48365406
Jio Financial Services Limited,JIOFIN,2024-03-15,340.0,348.85,336.45,344.75,338.35,55087417
Jio Financial Services Limited,JIOFIN,2024-03-14,328.0,341.5,318.0,338.35,328.2,74698602
Jio Financial Services Limited,JIOFIN,2024-03-13,363.7,366.9,324.5,328.2,361.85,99102083
Jio Financial Services Limited,JIOFIN,2024-03-12,360.0,374.5,358.75,361.85,355.65,111054091
Jio Financial Services Limited,JIOFIN,2024-03-11,336.9,359.85,332.45,355.65,333.9,121739384
Jio Financial Services Limited,JIOFIN,2024-03-07,329.0,337.4,324.2,333.9,326.35,35988723
Jio Financial Services Limited,JIOFIN,2024-03-06,322.95,333.9,321.35,326.35,321.7,53717380
Jio Financial Services Limited,JIOFIN,2024-03-05,324.0,327.9,319.5,321.7,322.6,18301432
Jio Financial Services Limited,JIOFIN,2024-03-04,329.95,331.5,320.6,322.6,328.25,24183886
Jio Financial Services Limited,JIOFIN,2024-03-02,319.0,329.65,318.0,328.25,317.9,17148671
Jio Financial Services Limited,JIOFIN,2024-03-01,313.5,321.6,311.55,317.9,310.0,37623310
Jio Financial Services Limited,JIOFIN,2024-02-29,312.0,322.0,308.0,310.0,308.3,81356675
Jio Financial Services Limited,JIOFIN,2024-02-28,320.0,322.45,306.05,308.3,318.5,48176158
Jio Financial Services Limited,JIOFIN,2024-02-27,329.3,338.7,316.55,318.5,327.8,57002014
Jio Financial Services Limited,JIOFIN,2024-02-26,340.45,348.0,325.75,327.8,333.95,107359705
Jio Financial Services Limited,JIOFIN,2024-02-23,305.8,347.0,305.35,333.95,302.85,270077122
Jio Financial Services Limited,JIOFIN,2024-02-22,291.7,305.3,291.1,302.85,290.1,75689296
Jio Financial Services Limited,JIOFIN,2024-02-21,284.0,294.5,283.2,290.1,281.7,64130106
Jio Financial Services Limited,JIOFIN,2024-02-20,274.2,289.3,273.6,281.7,274.0,55688591
Jio Financial Services Limited,JIOFIN,2024-02-19,273.25,277.1,271.9,274.0,271.9,18390283
Jio Financial Services Limited,JIOFIN,2024-02-16,275.3,276.75,271.0,271.9,274.05,14337059
Jio Financial Services Limited,JIOFIN,2024-02-15,275.0,279.0,273.0,274.05,273.0,19477720
Jio Financial Services Limited,JIOFIN,2024-02-14,269.9,275.0,268.55,273.0,272.75,21374190
Jio Financial Services Limited,JIOFIN,2024-02-13,270.45,275.4,263.7,272.75,271.45,31220101
Jio Financial Services Limited,JIOFIN,2024-02-12,276.1,281.1,267.7,271.45,273.0,47043875
Jio Financial Services Limited,JIOFIN,2024-02-09,264.4,276.3,258.4,273.0,262.8,51120889
Jio Financial Services Limited,JIOFIN,2024-02-08,270.0,270.4,261.95,262.8,268.5,21948925
Jio Financial Services Limited,JIOFIN,2024-02-07,273.45,275.7,267.4,268.5,270.95,30963705
Jio Financial Services Limited,JIOFIN,2024-02-06,285.7,285.7,266.05,270.95,289.1,86635613
Jio Financial Services Limited,JIOFIN,2024-02-05,256.35,295.7,255.7,289.1,253.8,211028604
Jio Financial Services Limited,JIOFIN,2024-02-02,252.5,257.3,250.6,253.8,252.4,30218956
Jio Financial Services Limited,JIOFIN,2024-02-01,251.0,254.7,249.2,252.4,248.25,24323325
Jio Financial Services Limited,JIOFIN,2024-01-31,247.65,250.6,246.1,248.25,247.7,15183900
Jio Financial Services Limited,JIOFIN,2024-01-30,253.15,253.95,247.1,247.7,251.0,15292451
Jio Financial Services Limited,JIOFIN,2024-01-29,242.0,254.4,240.0,251.0,239.85,41148261
Jio Financial Services Limited,JIOFIN,2024-01-25,240.4,242.65,238.9,239.85,239.75,12352497
Jio Financial Services Limited,JIOFIN,2024-01-24,240.0,241.55,237.1,239.75,240.4,15276800
Jio Financial Services Limited,JIOFIN,2024-01-23,247.85,248.05,240.0,240.4,246.45,13184700
Jio Financial Services Limited,JIOFIN,2024-01-20,248.9,249.5,244.55,246.45,246.25,11652989
Jio Financial Services Limited,JIOFIN,2024-01-19,245.85,249.15,245.4,246.25,243.25,16563079
Jio Financial Services Limited,JIOFIN,2024-01-18,243.45,247.9,239.05,243.25,242.55,24804800
Jio Financial Services Limited,JIOFIN,2024-01-17,247.0,247.0,242.15,242.55,248.85,28318086
Jio Financial Services Limited,JIOFIN,2024-01-16,254.1,258.0,246.5,248.85,266.75,70456857
Jio Financial Services Limited,JIOFIN,2024-01-15,258.0,269.7,257.05,266.75,255.05,68617372
Jio Financial Services Limited,JIOFIN,2024-01-12,255.0,259.35,253.7,255.05,251.55,46763296
Jio Financial Services Limited,JIOFIN,2024-01-11,243.0,253.4,240.65,251.55,240.95,45792818
Jio Financial Services Limited,JIOFIN,2024-01-10,242.0,242.3,239.3,240.95,242.15,11798543
Jio Financial Services Limited,JIOFIN,2024-01-09,243.9,244.65,241.5,242.15,242.4,10689245
Jio Financial Services Limited,JIOFIN,2024-01-08,246.85,246.9,240.3,242.4,243.65,21118013
Jio Financial Services Limited,JIOFIN,2024-01-05,244.5,248.2,241.5,243.65,241.4,29722064
Jio Financial Services Limited,JIOFIN,2024-01-04,238.85,243.25,236.8,241.4,234.5,32808937
Jio Financial Services Limited,JIOFIN,2024-01-03,235.4,236.0,233.55,234.5,235.35,9864949
Jio Financial Services Limited,JIOFIN,2024-01-02,235.0,236.0,232.0,235.35,234.55,9216592
Jio Financial Services Limited,JIOFIN,2024-01-01,233.35,236.4,233.3,234.55,232.95,7919961
Jio Financial Services Limited,JIOFIN,2023-12-29,233.9,235.2,232.25,232.95,233.35,11614923
Jio Financial Services Limited,JIOFIN,2023-12-28,235.0,236.35,232.55,233.35,234.0,10533952
Jio Financial Services Limited,JIOFIN,2023-12-27,236.0,237.25,233.0,234.0,234.7,12430460
Jio Financial Services Limited,JIOFIN,2023-12-26,237.25,238.0,233.7,234.7,236.75,11865886
Jio Financial Services Limited,JIOFIN,2023-12-22,238.75,239.75,234.6,236.75,238.0,10871312
Jio Financial Services Limited,JIOFIN,2023-12-21,230.85,238.7,229.0,238.0,232.1,17015304
Jio Financial Services Limited,JIOFIN,2023-12-20,238.9,248.2,230.05,232.1,238.3,44628843
Jio Financial Services Limited,JIOFIN,2023-12-19,240.3,240.8,237.9,238.3,240.15,13053454
Jio Financial Services Limited,JIOFIN,2023-12-18,241.0,242.2,237.6,240.15,237.65,17001755
Jio Financial Services Limited,JIOFIN,2023-12-15,240.0,242.6,236.4,237.65,238.6,26225287
Jio Financial Services Limited,JIOFIN,2023-12-14,242.9,243.75,238.05,238.6,239.75,14352896
Jio Financial Services Limited,JIOFIN,2023-12-13,242.0,242.4,235.35,239.75,240.55,13774944
Jio Financial Services Limited,JIOFIN,2023-12-12,246.05,247.3,238.3,240.55,245.6,12749596
Jio Financial Services Limited,JIOFIN,2023-12-11,244.85,247.0,243.05,245.6,244.25,8875953
Jio Financial Services Limited,JIOFIN,2023-12-08,249.0,250.5,240.0,244.25,249.15,19056798
Jio Financial Services Limited,JIOFIN,2023-12-07,249.0,250.7,245.1,249.15,247.05,23000400
Jio Financial Services Limited,JIOFIN,2023-12-06,244.9,251.6,243.0,247.05,242.5,45262704
Jio Financial Services Limited,JIOFIN,2023-12-05,231.0,246.0,229.4,242.5,230.1,60847483
Jio Financial Services Limited,JIOFIN,2023-12-04,229.75,232.0,227.9,230.1,225.5,21079668
Jio Financial Services Limited,JIOFIN,2023-12-01,231.45,231.6,224.85,225.5,229.4,17634910
Jio Financial Services Limited,JIOFIN,2023-11-30,226.05,231.8,222.65,229.4,226.05,45432216
Jio Financial Services Limited,JIOFIN,2023-11-29,229.35,229.35,224.2,226.05,226.35,14007708
Jio Financial Services Limited,JIOFIN,2023-11-28,228.05,232.3,225.3,226.35,226.5,25668670
Jio Financial Services Limited,JIOFIN,2023-11-24,221.9,227.85,220.5,226.5,221.25,31420610
Jio Financial Services Limited,JIOFIN,2023-11-23,222.5,223.25,219.6,221.25,221.9,11267951
Jio Financial Services Limited,JIOFIN,2023-11-22,219.7,223.4,218.5,221.9,220.2,15012272
Jio Financial Services Limited,JIOFIN,2023-11-21,217.4,223.15,216.55,220.2,215.5,25625463
Jio Financial Services Limited,JIOFIN,2023-11-20,221.75,221.75,215.05,215.5,220.8,20403368
Jio Financial Services Limited,JIOFIN,2023-11-17,226.0,226.0,220.4,220.8,226.95,19607105
Jio Financial Services Limited,JIOFIN,2023-11-16,225.5,229.3,223.85,226.95,224.15,17856032
Jio Financial Services Limited,JIOFIN,2023-11-15,226.95,227.35,223.2,224.15,224.75,15782001
Jio Financial Services Limited,JIOFIN,2023-11-13,223.0,225.9,222.25,224.75,225.55,12086991
Jio Financial Services Limited,JIOFIN,2023-11-12,224.75,226.5,223.5,225.55,221.95,10542420
Jio Financial Services Limited,JIOFIN,2023-11-10,214.85,222.95,214.35,221.95,215.15,18467219
Jio Financial Services Limited,JIOFIN,2023-11-09,214.85,217.7,214.85,215.15,214.15,17250096
Jio Financial Services Limited,JIOFIN,2023-11-08,217.8,217.9,213.8,214.15,217.2,17101608
Jio Financial Services Limited,JIOFIN,2023-11-07,217.9,218.8,216.5,217.2,217.15,7558170
Jio Financial Services Limited,JIOFIN,2023-11-06,220.4,220.7,216.75,217.15,219.05,11494092
Jio Financial Services Limited,JIOFIN,2023-11-03,219.0,220.65,217.65,219.05,217.35,8569115
Jio Financial Services Limited,JIOFIN,2023-11-02,218.5,219.6,216.7,217.35,217.65,13261567
Jio Financial Services Limited,JIOFIN,2023-11-01,216.0,222.05,215.3,217.65,219.0,15862624
Jio Financial Services Limited,JIOFIN,2023-10-31,222.0,223.2,215.55,219.0,219.0,17538202
Jio Financial Services Limited,JIOFIN,2023-10-30,224.5,226.2,218.15,219.0,222.9,13508666
Jio Financial Services Limited,JIOFIN,2023-10-27,219.6,225.6,216.45,222.9,215.85,20929447
Jio Financial Services Limited,JIOFIN,2023-10-26,208.0,217.0,206.45,215.85,210.15,23734035
Jio Financial Services Limited,JIOFIN,2023-10-25,206.6,211.8,206.5,210.15,206.6,22079260
Jio Financial Services Limited,JIOFIN,2023-10-23,214.0,214.2,204.25,206.6,214.2,17817781
Jio Financial Services Limited,JIOFIN,2023-10-20,215.5,217.0,213.0,214.2,214.2,11101464
Jio Financial Services Limited,JIOFIN,2023-10-19,216.0,216.0,209.05,214.2,216.0,42127110
Jio Financial Services Limited,JIOFIN,2023-10-18,221.6,222.9,215.55,216.0,220.95,27712062
Jio Financial Services Limited,JIOFIN,2023-10-17,231.5,233.0,220.5,220.95,224.8,34190044
Jio Financial Services Limited,JIOFIN,2023-10-16,224.9,225.95,224.0,224.8,224.55,10850724
Jio Financial Services Limited,JIOFIN,2023-10-13,224.0,225.9,222.0,224.55,225.15,10137218
Jio Financial Services Limited,JIOFIN,2023-10-12,227.0,227.4,224.75,225.15,225.1,7780605
Jio Financial Services Limited,JIOFIN,2023-10-11,222.0,227.7,220.6,225.1,220.15,11765082
Jio Financial Services Limited,JIOFIN,2023-10-10,221.0,223.9,219.75,220.15,219.65,10451289
Jio Financial Services Limited,JIOFIN,2023-10-09,223.0,223.0,218.85,219.65,225.1,9696908
Jio Financial Services Limited,JIOFIN,2023-10-06,226.5,227.65,223.7,225.1,225.4,7531900
Jio Financial Services Limited,JIOFIN,2023-10-05,225.9,227.9,224.2,225.4,224.65,13894930
Jio Financial Services Limited,JIOFIN,2023-10-04,230.0,230.0,223.5,224.65,231.4,23296548
Jio Financial Services Limited,JIOFIN,2023-10-03,231.5,233.9,230.55,231.4,231.2,13185432
Jio Financial Services Limited,JIOFIN,2023-09-29,225.9,232.9,225.0,231.2,225.05,12411231
Jio Financial Services Limited,JIOFIN,2023-09-28,228.0,228.85,224.75,225.05,227.35,9143582
Jio Financial Services Limited,JIOFIN,2023-09-27,231.2,231.2,227.0,227.35,230.4,10984321
Jio Financial Services Limited,JIOFIN,2023-09-26,231.1,231.7,230.0,230.4,229.75,8058261
Jio Financial Services Limited,JIOFIN,2023-09-25,230.0,230.85,227.5,229.75,227.8,13392150
Jio Financial Services Limited,JIOFIN,2023-09-22,227.95,232.25,226.35,227.8,227.65,38327554
Jio Financial Services Limited,JIOFIN,2023-09-21,230.0,235.6,226.8,227.65,229.65,33101551
