StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JK Cement Limited,JKCEMENT,2024-03-28,4075.0,4109.0,4060.05,4076.15,4054.3,127715
JK Cement Limited,JKCEMENT,2024-03-27,4050.0,4109.35,4042.85,4054.3,4046.0,101513
JK Cement Limited,JKCEMENT,2024-03-26,4104.3,4110.0,4025.0,4046.0,4103.6,220694
JK Cement Limited,JKCEMENT,2024-03-22,4127.0,4142.0,4083.05,4103.6,4107.25,89162
JK Cement Limited,JKCEMENT,2024-03-21,4051.9,4115.0,4001.05,4107.25,4025.0,252524
JK Cement Limited,JKCEMENT,2024-03-20,4048.1,4050.0,3976.65,4025.0,4006.45,92987
JK Cement Limited,JKCEMENT,2024-03-19,4067.55,4080.0,3981.3,4006.45,4064.85,64769
JK Cement Limited,JKCEMENT,2024-03-18,4097.75,4114.95,4049.0,4064.85,4070.15,112610
JK Cement Limited,JKCEMENT,2024-03-15,4122.15,4122.15,4010.05,4070.15,4090.7,112930
JK Cement Limited,JKCEMENT,2024-03-14,4090.0,4109.95,4041.3,4090.7,4086.2,110644
JK Cement Limited,JKCEMENT,2024-03-13,4171.95,4198.65,4051.05,4086.2,4161.95,258244
JK Cement Limited,JKCEMENT,2024-03-12,4275.0,4309.5,4151.6,4161.95,4219.95,229393
JK Cement Limited,JKCEMENT,2024-03-11,4262.6,4262.6,4200.0,4219.95,4262.6,120001
JK Cement Limited,JKCEMENT,2024-03-07,4265.9,4328.0,4251.0,4262.6,4296.9,92455
JK Cement Limited,JKCEMENT,2024-03-06,4384.05,4395.0,4268.0,4296.9,4400.85,93008
JK Cement Limited,JKCEMENT,2024-03-05,4491.05,4494.6,4385.15,4400.85,4463.9,95696
JK Cement Limited,JKCEMENT,2024-03-04,4552.35,4552.35,4445.1,4463.9,4514.4,63872
JK Cement Limited,JKCEMENT,2024-03-02,4491.0,4575.0,4491.0,4514.4,4501.0,3397
JK Cement Limited,JKCEMENT,2024-03-01,4534.05,4555.0,4489.8,4501.0,4514.9,87589
JK Cement Limited,JKCEMENT,2024-02-29,4446.7,4550.0,4422.0,4514.9,4446.7,163545
JK Cement Limited,JKCEMENT,2024-02-28,4510.05,4528.25,4396.0,4446.7,4503.0,289665
JK Cement Limited,JKCEMENT,2024-02-27,4439.0,4550.0,4413.65,4503.0,4396.0,273435
JK Cement Limited,JKCEMENT,2024-02-26,4370.0,4410.0,4343.65,4396.0,4343.65,123152
JK Cement Limited,JKCEMENT,2024-02-23,4289.95,4354.8,4280.0,4343.65,4275.9,100334
JK Cement Limited,JKCEMENT,2024-02-22,4269.8,4294.0,4205.0,4275.9,4249.85,106154
JK Cement Limited,JKCEMENT,2024-02-21,4226.85,4294.0,4204.6,4249.85,4201.7,196563
JK Cement Limited,JKCEMENT,2024-02-20,4206.1,4218.45,4146.9,4201.7,4206.1,79921
JK Cement Limited,JKCEMENT,2024-02-19,4249.95,4249.95,4181.0,4206.1,4210.9,150672
JK Cement Limited,JKCEMENT,2024-02-16,4140.0,4256.0,4140.0,4210.9,4139.15,169086
