StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-28,871.0,879.7,861.05,875.7,867.5,127654
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-27,863.95,870.95,851.2,867.5,861.4,141670
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-26,856.0,863.95,841.9,861.4,855.9,125978
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-22,835.75,858.4,832.0,855.9,839.75,169334
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-21,827.0,841.95,820.05,839.75,821.5,168455
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-20,826.6,836.95,808.9,821.5,822.45,154144
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-19,823.2,826.0,806.1,822.45,823.85,101567
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-18,820.0,826.0,804.9,823.85,824.95,96849
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-15,822.05,836.75,808.0,824.95,822.65,108881
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-14,772.15,829.7,772.15,822.65,795.2,213677
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-13,858.45,864.7,775.0,795.2,859.15,245387
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-12,899.95,901.5,848.0,859.15,895.85,206643
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-11,892.3,910.8,883.0,895.85,892.3,94223
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-07,904.9,914.5,885.0,892.3,899.9,146875
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-06,952.65,952.65,892.1,899.9,953.2,219112
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-05,948.85,959.0,933.55,953.2,943.05,236285
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-04,949.95,952.45,929.0,943.05,941.15,144234
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-02,942.0,946.55,931.7,941.15,941.75,6867
JK Lakshmi Cement Limited,JKLAKSHMI,2024-03-01,937.85,950.0,921.6,941.75,918.9,183729
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-29,906.95,929.0,902.55,918.9,906.75,384742
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-28,943.8,946.85,895.0,906.75,943.9,255332
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-27,931.0,953.6,928.0,943.9,932.65,163449
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-26,941.05,950.1,927.0,932.65,944.05,88316
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-23,943.3,960.0,930.1,944.05,938.6,145760
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-22,967.3,968.7,932.1,938.6,959.1,225868
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-21,948.0,975.0,944.5,959.1,942.0,394230
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-20,968.0,968.0,938.65,942.0,963.35,194847
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-19,968.7,973.55,950.5,963.35,963.75,187491
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-16,921.2,975.1,916.35,963.75,912.05,1036903
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-15,917.7,924.95,903.0,912.05,913.15,148568
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-14,892.0,925.95,880.2,913.15,886.05,517161
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-13,913.0,918.25,880.35,886.05,906.9,269930
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-12,939.8,974.95,897.6,906.9,935.95,793137
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-09,940.0,999.9,902.1,935.95,917.3,2989566
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-08,927.75,940.0,902.85,917.3,925.5,143233
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-07,920.9,938.3,918.0,925.5,920.85,109358
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-06,945.0,945.0,910.25,920.85,928.3,117872
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-05,924.9,942.25,913.25,928.3,919.5,173309
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-02,943.1,944.9,910.0,919.5,929.85,113810
JK Lakshmi Cement Limited,JKLAKSHMI,2024-02-01,937.95,941.35,920.05,929.85,935.85,83587
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-31,904.4,943.0,902.05,935.85,900.85,289751
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-30,948.0,948.0,895.6,900.85,937.1,486202
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-29,940.8,954.45,915.55,937.1,930.9,431223
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-25,887.3,970.0,882.3,930.9,883.05,1764622
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-24,875.15,890.25,860.0,883.05,865.8,254486
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-23,898.2,901.7,862.5,865.8,892.55,398094
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-20,874.0,910.0,866.0,892.55,873.55,273118
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-19,866.55,880.0,865.0,873.55,862.15,154017
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-18,846.1,869.35,845.95,862.15,849.35,145520
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-17,869.8,875.4,826.0,849.35,874.85,139039
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-16,884.0,884.0,865.3,874.85,875.6,447830
JK Lakshmi Cement Limited,JKLAKSHMI,2024-01-15,871.85,889.9,868.0,875.6,870.0,179570
