StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JK Paper Limited,JKPAPER,2024-03-28,323.35,329.35,321.75,322.45,320.35,1354049
JK Paper Limited,JKPAPER,2024-03-27,325.0,326.45,319.1,320.35,324.25,1518562
JK Paper Limited,JKPAPER,2024-03-26,329.95,329.95,322.1,324.25,328.15,970746
JK Paper Limited,JKPAPER,2024-03-22,332.3,333.95,327.0,328.15,328.7,1367194
JK Paper Limited,JKPAPER,2024-03-21,335.0,336.9,328.0,328.7,329.9,917230
JK Paper Limited,JKPAPER,2024-03-20,338.4,343.2,326.95,329.9,337.1,926991
JK Paper Limited,JKPAPER,2024-03-19,341.4,344.6,336.0,337.1,340.9,712574
JK Paper Limited,JKPAPER,2024-03-18,341.95,348.9,337.2,340.9,341.05,696120
JK Paper Limited,JKPAPER,2024-03-15,345.0,351.1,339.1,341.05,344.85,632084
JK Paper Limited,JKPAPER,2024-03-14,341.6,351.95,339.1,344.85,342.05,539538
JK Paper Limited,JKPAPER,2024-03-13,357.05,360.4,340.0,342.05,357.75,840811
JK Paper Limited,JKPAPER,2024-03-12,364.95,368.25,355.5,357.75,364.85,485638
JK Paper Limited,JKPAPER,2024-03-11,372.3,373.65,364.0,364.85,372.0,335393
JK Paper Limited,JKPAPER,2024-03-07,377.9,377.9,371.2,372.0,374.75,326231
JK Paper Limited,JKPAPER,2024-03-06,376.0,378.0,372.9,374.75,376.2,392911
JK Paper Limited,JKPAPER,2024-03-05,372.95,377.75,370.8,376.2,373.55,505729
JK Paper Limited,JKPAPER,2024-03-04,377.75,378.1,372.2,373.55,377.85,352961
JK Paper Limited,JKPAPER,2024-03-02,375.4,379.0,369.0,377.85,370.4,151742
JK Paper Limited,JKPAPER,2024-03-01,374.0,378.0,369.25,370.4,373.05,403830
JK Paper Limited,JKPAPER,2024-02-29,368.0,374.0,363.55,373.05,368.2,483542
JK Paper Limited,JKPAPER,2024-02-28,366.0,375.9,365.65,368.2,366.4,712566
JK Paper Limited,JKPAPER,2024-02-27,370.05,373.2,365.5,366.4,374.85,712696
JK Paper Limited,JKPAPER,2024-02-26,382.0,382.9,373.9,374.85,378.65,329137
JK Paper Limited,JKPAPER,2024-02-23,378.8,380.9,376.1,378.65,378.15,308459
JK Paper Limited,JKPAPER,2024-02-22,374.05,379.0,370.4,378.15,372.4,376867
JK Paper Limited,JKPAPER,2024-02-21,380.95,383.5,370.05,372.4,379.3,567244
