StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JM Financial Limited,JMFINANCIL,2024-03-28,79.0,79.45,74.05,74.7,78.6,6241988
JM Financial Limited,JMFINANCIL,2024-03-27,72.0,79.85,71.5,78.6,71.95,24820588
JM Financial Limited,JMFINANCIL,2024-03-26,72.0,72.85,71.0,71.95,74.1,7034378
JM Financial Limited,JMFINANCIL,2024-03-22,74.2,75.75,73.8,74.1,73.8,6203990
JM Financial Limited,JMFINANCIL,2024-03-21,73.5,74.85,73.25,73.8,72.15,2465501
JM Financial Limited,JMFINANCIL,2024-03-20,75.0,75.0,71.5,72.15,74.2,4235030
JM Financial Limited,JMFINANCIL,2024-03-19,76.95,77.15,73.85,74.2,76.9,3044766
JM Financial Limited,JMFINANCIL,2024-03-18,76.0,77.45,75.0,76.9,75.6,3722135
JM Financial Limited,JMFINANCIL,2024-03-15,76.05,78.4,73.75,75.6,76.75,4187643
JM Financial Limited,JMFINANCIL,2024-03-14,73.0,78.1,71.75,76.75,73.2,4965976
JM Financial Limited,JMFINANCIL,2024-03-13,79.5,80.45,71.75,73.2,79.25,7627932
JM Financial Limited,JMFINANCIL,2024-03-12,79.4,81.5,77.4,79.25,79.3,11739043
JM Financial Limited,JMFINANCIL,2024-03-11,81.5,82.0,78.7,79.3,87.95,18038451
JM Financial Limited,JMFINANCIL,2024-03-07,86.1,88.8,84.15,87.95,85.5,25404275
JM Financial Limited,JMFINANCIL,2024-03-06,78.95,87.15,76.4,85.5,95.45,88801484
JM Financial Limited,JMFINANCIL,2024-03-05,97.45,98.15,94.6,95.45,97.45,2844794
JM Financial Limited,JMFINANCIL,2024-03-04,99.75,99.9,97.0,97.45,98.95,1224054
JM Financial Limited,JMFINANCIL,2024-03-02,99.8,100.8,98.4,98.95,99.4,342040
JM Financial Limited,JMFINANCIL,2024-03-01,96.9,100.7,96.9,99.4,96.3,3523113
JM Financial Limited,JMFINANCIL,2024-02-29,97.1,97.35,94.5,96.3,96.85,3418298
JM Financial Limited,JMFINANCIL,2024-02-28,101.95,102.7,96.25,96.85,101.5,4139492
JM Financial Limited,JMFINANCIL,2024-02-27,101.75,104.4,100.6,101.5,101.0,2727427
