StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JSW Infrastructure Limited,JSWINFRA,2024-03-28,247.55,255.3,244.1,245.35,247.55,6766151
JSW Infrastructure Limited,JSWINFRA,2024-03-27,239.9,250.7,239.9,247.55,239.35,8248561
JSW Infrastructure Limited,JSWINFRA,2024-03-26,242.45,245.7,238.25,239.35,239.05,5716285
JSW Infrastructure Limited,JSWINFRA,2024-03-22,237.0,244.4,236.5,239.05,236.45,4311445
JSW Infrastructure Limited,JSWINFRA,2024-03-21,241.0,242.6,234.75,236.45,233.95,3829864
JSW Infrastructure Limited,JSWINFRA,2024-03-20,242.75,244.4,231.75,233.95,240.8,3897100
JSW Infrastructure Limited,JSWINFRA,2024-03-19,246.95,248.8,239.2,240.8,246.95,3344834
JSW Infrastructure Limited,JSWINFRA,2024-03-18,232.95,249.9,232.55,246.95,231.7,7927261
JSW Infrastructure Limited,JSWINFRA,2024-03-15,238.6,243.05,225.6,231.7,237.05,5604650
JSW Infrastructure Limited,JSWINFRA,2024-03-14,213.5,237.05,211.1,237.05,215.5,7319865
JSW Infrastructure Limited,JSWINFRA,2024-03-13,239.4,241.95,213.95,215.5,237.7,9238195
JSW Infrastructure Limited,JSWINFRA,2024-03-12,254.0,254.7,236.0,237.7,253.2,5712630
JSW Infrastructure Limited,JSWINFRA,2024-03-11,251.7,257.8,247.95,253.2,250.2,4319589
JSW Infrastructure Limited,JSWINFRA,2024-03-07,252.2,253.7,246.5,250.2,250.6,3368434
JSW Infrastructure Limited,JSWINFRA,2024-03-06,255.0,255.85,247.1,250.6,256.3,4290383
JSW Infrastructure Limited,JSWINFRA,2024-03-05,260.0,261.2,255.3,256.3,260.55,2712737
JSW Infrastructure Limited,JSWINFRA,2024-03-04,261.4,266.7,256.4,260.55,260.1,4714142
JSW Infrastructure Limited,JSWINFRA,2024-03-02,259.1,260.8,254.0,260.1,257.25,1071144
JSW Infrastructure Limited,JSWINFRA,2024-03-01,258.4,263.8,254.95,257.25,256.5,5578764
JSW Infrastructure Limited,JSWINFRA,2024-02-29,249.6,257.6,248.15,256.5,246.9,7940738
JSW Infrastructure Limited,JSWINFRA,2024-02-28,249.8,259.6,244.5,246.9,249.8,6804889
JSW Infrastructure Limited,JSWINFRA,2024-02-27,256.45,259.7,248.0,249.8,255.3,4890435
JSW Infrastructure Limited,JSWINFRA,2024-02-26,268.0,276.2,253.8,255.3,262.45,13876894
JSW Infrastructure Limited,JSWINFRA,2024-02-23,246.25,265.0,243.25,262.45,243.45,21602550
JSW Infrastructure Limited,JSWINFRA,2024-02-22,234.7,244.0,233.25,243.45,233.1,6621342
JSW Infrastructure Limited,JSWINFRA,2024-02-21,240.5,241.95,231.2,233.1,238.85,6836575
JSW Infrastructure Limited,JSWINFRA,2024-02-20,234.75,244.0,234.25,238.85,233.1,14350723
JSW Infrastructure Limited,JSWINFRA,2024-02-19,222.0,237.1,219.55,233.1,220.65,16051780
JSW Infrastructure Limited,JSWINFRA,2024-02-16,222.9,225.3,216.8,220.65,221.95,3055800
JSW Infrastructure Limited,JSWINFRA,2024-02-15,219.9,225.5,218.8,221.95,217.4,4507066
JSW Infrastructure Limited,JSWINFRA,2024-02-14,213.9,218.75,211.65,217.4,216.5,2696734
JSW Infrastructure Limited,JSWINFRA,2024-02-13,211.3,217.9,207.2,216.5,211.05,4652109
JSW Infrastructure Limited,JSWINFRA,2024-02-12,212.9,216.65,206.6,211.05,210.25,4449723
JSW Infrastructure Limited,JSWINFRA,2024-02-09,212.2,214.35,205.0,210.25,211.65,2682708
JSW Infrastructure Limited,JSWINFRA,2024-02-08,218.7,218.75,210.4,211.65,218.1,3799484
JSW Infrastructure Limited,JSWINFRA,2024-02-07,221.25,221.9,216.75,218.1,219.3,3034347
JSW Infrastructure Limited,JSWINFRA,2024-02-06,223.75,224.25,218.2,219.3,221.75,3135451
JSW Infrastructure Limited,JSWINFRA,2024-02-05,228.7,231.0,219.7,221.75,224.5,8379742
JSW Infrastructure Limited,JSWINFRA,2024-02-02,219.6,228.0,217.0,224.5,217.75,10243059
JSW Infrastructure Limited,JSWINFRA,2024-02-01,216.5,221.8,215.0,217.75,215.0,5379944
JSW Infrastructure Limited,JSWINFRA,2024-01-31,213.95,216.0,211.4,215.0,213.4,2635827
JSW Infrastructure Limited,JSWINFRA,2024-01-30,212.9,217.25,209.55,213.4,211.85,4124606
JSW Infrastructure Limited,JSWINFRA,2024-01-29,207.5,212.5,205.15,211.85,206.85,3889195
JSW Infrastructure Limited,JSWINFRA,2024-01-25,208.65,210.9,205.7,206.85,207.7,3282843
JSW Infrastructure Limited,JSWINFRA,2024-01-24,206.5,213.4,203.65,207.7,206.05,2322967
JSW Infrastructure Limited,JSWINFRA,2024-01-23,215.2,215.6,204.2,206.05,214.1,3079613
JSW Infrastructure Limited,JSWINFRA,2024-01-20,212.25,217.6,209.8,214.1,211.75,3066362
JSW Infrastructure Limited,JSWINFRA,2024-01-19,211.75,212.9,210.05,211.75,209.9,2176755
JSW Infrastructure Limited,JSWINFRA,2024-01-18,208.0,210.55,202.0,209.9,207.95,3320307
JSW Infrastructure Limited,JSWINFRA,2024-01-17,211.0,212.35,207.5,207.95,212.35,2893194
JSW Infrastructure Limited,JSWINFRA,2024-01-16,211.0,213.55,208.1,212.35,210.8,3478621
JSW Infrastructure Limited,JSWINFRA,2024-01-15,212.0,213.35,210.35,210.8,211.0,2736148
JSW Infrastructure Limited,JSWINFRA,2024-01-12,213.1,214.8,210.5,211.0,212.25,3362976
JSW Infrastructure Limited,JSWINFRA,2024-01-11,216.0,216.3,211.55,212.25,215.2,3436557
JSW Infrastructure Limited,JSWINFRA,2024-01-10,217.45,218.4,211.7,215.2,217.5,3367638
JSW Infrastructure Limited,JSWINFRA,2024-01-09,217.6,219.4,215.6,217.5,216.3,4749897
JSW Infrastructure Limited,JSWINFRA,2024-01-08,219.7,219.75,215.15,216.3,218.9,2256603
JSW Infrastructure Limited,JSWINFRA,2024-01-05,215.5,223.6,215.05,218.9,214.3,6384087
JSW Infrastructure Limited,JSWINFRA,2024-01-04,214.2,216.25,213.4,214.3,213.65,2952871
JSW Infrastructure Limited,JSWINFRA,2024-01-03,210.25,216.8,209.5,213.65,210.25,4654889
