StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
JSW Steel Limited,JSWSTEEL,2024-03-28,827.0,840.85,820.0,830.2,818.05,3722941
JSW Steel Limited,JSWSTEEL,2024-03-27,825.0,832.4,815.4,818.05,821.9,1884038
JSW Steel Limited,JSWSTEEL,2024-03-26,820.55,834.0,818.05,821.9,824.8,2454193
JSW Steel Limited,JSWSTEEL,2024-03-22,808.0,832.95,806.75,824.8,812.35,3983433
JSW Steel Limited,JSWSTEEL,2024-03-21,804.0,819.45,803.1,812.35,794.65,2783067
JSW Steel Limited,JSWSTEEL,2024-03-20,802.2,810.0,789.3,794.65,801.05,1538050
JSW Steel Limited,JSWSTEEL,2024-03-19,802.0,809.95,793.75,801.05,804.4,2192986
JSW Steel Limited,JSWSTEEL,2024-03-18,780.65,808.5,778.5,804.4,780.65,3561533
JSW Steel Limited,JSWSTEEL,2024-03-15,782.1,790.2,774.55,780.65,785.45,3992861
JSW Steel Limited,JSWSTEEL,2024-03-14,792.0,792.95,761.75,785.45,792.95,5262918
JSW Steel Limited,JSWSTEEL,2024-03-13,818.4,820.6,788.45,792.95,817.8,3047464
JSW Steel Limited,JSWSTEEL,2024-03-12,829.0,829.3,815.0,817.8,829.8,1231413
JSW Steel Limited,JSWSTEEL,2024-03-11,832.0,836.6,822.15,829.8,830.0,1622850
JSW Steel Limited,JSWSTEEL,2024-03-07,820.0,844.9,818.05,830.0,812.9,5074846
JSW Steel Limited,JSWSTEEL,2024-03-06,820.4,823.0,800.0,812.9,819.3,2041620
JSW Steel Limited,JSWSTEEL,2024-03-05,825.1,826.65,811.0,819.3,824.3,2630517
JSW Steel Limited,JSWSTEEL,2024-03-04,839.0,839.0,818.5,824.3,844.95,3821690
JSW Steel Limited,JSWSTEEL,2024-03-02,839.5,847.0,834.4,844.95,836.2,475975
JSW Steel Limited,JSWSTEEL,2024-03-01,804.25,839.7,804.25,836.2,800.1,5377896
JSW Steel Limited,JSWSTEEL,2024-02-29,801.0,805.9,790.0,800.1,798.6,3155812
JSW Steel Limited,JSWSTEEL,2024-02-28,822.7,822.75,795.0,798.6,818.95,1851909
JSW Steel Limited,JSWSTEEL,2024-02-27,808.95,820.55,805.7,818.95,808.75,1331211
JSW Steel Limited,JSWSTEEL,2024-02-26,825.2,827.8,806.2,808.75,821.0,1188689
JSW Steel Limited,JSWSTEEL,2024-02-23,835.0,836.3,819.25,821.0,828.65,1736000
JSW Steel Limited,JSWSTEEL,2024-02-22,831.0,835.15,820.05,828.65,828.25,2366934
JSW Steel Limited,JSWSTEEL,2024-02-21,821.0,850.0,820.95,828.25,821.2,6419882
JSW Steel Limited,JSWSTEEL,2024-02-20,825.0,825.0,811.8,821.2,820.2,1384043
JSW Steel Limited,JSWSTEEL,2024-02-19,825.95,825.95,814.0,820.2,819.95,829517
JSW Steel Limited,JSWSTEEL,2024-02-16,818.15,824.4,813.5,819.95,812.35,1774587
JSW Steel Limited,JSWSTEEL,2024-02-15,818.0,820.75,805.6,812.35,813.25,1482200
JSW Steel Limited,JSWSTEEL,2024-02-14,798.0,815.8,796.55,813.25,812.65,1546826
JSW Steel Limited,JSWSTEEL,2024-02-13,812.95,814.7,790.55,812.65,811.5,1675844
JSW Steel Limited,JSWSTEEL,2024-02-12,818.0,819.6,802.45,811.5,811.75,1408603
JSW Steel Limited,JSWSTEEL,2024-02-09,824.9,825.0,800.45,811.75,822.1,1396058
