StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-28,449.6,455.0,440.3,452.7,449.6,327493
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-27,455.1,456.55,445.0,449.6,456.1,343474
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-26,459.9,462.9,446.25,456.1,459.9,211887
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-22,450.0,462.0,450.0,459.9,453.65,201449
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-21,444.3,456.0,443.3,453.65,443.2,189264
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-20,445.0,447.2,432.3,443.2,445.0,287673
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-19,440.35,456.6,435.5,445.0,440.0,437752
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-18,438.05,441.5,430.4,440.0,438.05,163380
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-15,434.9,445.0,425.1,438.05,432.4,196630
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-14,427.3,440.5,423.0,432.4,428.45,152112
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-13,442.1,449.95,422.0,428.45,440.95,448658
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-12,456.3,457.6,437.8,440.95,456.55,243694
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-11,472.65,478.5,453.1,456.55,472.65,201229
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-07,470.85,482.95,468.25,472.65,470.85,248569
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-06,475.0,482.9,460.95,470.85,477.15,236164
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-05,478.0,487.7,475.0,477.15,476.3,241742
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-04,491.9,492.0,474.6,476.3,487.35,165404
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-02,478.8,491.4,472.45,487.35,477.65,44660
Jubilant Ingrevia Limited,JUBLINGREA,2024-03-01,485.55,487.05,475.0,477.65,481.8,85570
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-29,478.95,487.5,473.0,481.8,480.55,247191
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-28,480.15,492.5,474.1,480.55,481.25,477262
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-27,487.4,498.0,472.1,481.25,486.9,283203
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-26,463.95,495.2,462.0,486.9,463.45,685477
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-23,473.0,475.5,461.1,463.45,471.4,213473
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-22,488.0,489.5,469.15,471.4,485.15,327644
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-21,492.9,508.0,476.35,485.15,487.3,847425
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-20,484.5,491.4,479.95,487.3,481.2,276129
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-19,477.0,494.7,469.0,481.2,474.75,321216
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-16,478.95,489.9,472.6,474.75,478.55,225828
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-15,486.9,493.2,474.15,478.55,484.4,269635
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-14,466.95,496.0,462.1,484.4,470.0,930720
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-13,490.0,490.0,465.7,470.0,483.2,1005902
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-12,438.7,494.45,432.75,483.2,431.0,9509824
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-09,436.55,445.0,426.1,431.0,436.55,142568
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-08,448.05,451.5,434.0,436.55,446.2,136924
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-07,439.9,448.9,434.75,446.2,436.25,267436
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-06,432.95,439.35,428.85,436.25,427.3,194308
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-05,429.0,434.0,421.5,427.3,426.75,383798
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-02,434.0,438.5,423.5,426.75,431.8,643212
Jubilant Ingrevia Limited,JUBLINGREA,2024-02-01,433.0,437.0,422.3,431.8,437.8,833169
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-31,429.95,443.2,428.85,437.8,439.45,799540
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-30,460.65,465.05,420.0,439.45,460.65,723000
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-29,464.65,469.35,455.0,460.65,464.65,237969
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-25,467.8,469.85,453.6,464.65,467.1,434950
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-24,463.0,471.65,458.0,467.1,469.75,213374
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-23,477.4,477.4,460.7,469.75,477.75,177018
Jubilant Ingrevia Limited,JUBLINGREA,2024-01-20,481.6,483.0,472.5,477.75,479.25,158276
