StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-28,572.15,578.35,562.7,569.9,572.15,214984
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-27,567.0,589.6,566.9,572.15,567.0,360973
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-26,569.9,573.35,566.3,567.0,564.85,88863
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-22,568.4,576.8,563.1,564.85,570.6,98372
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-21,573.25,579.6,564.0,570.6,570.65,155342
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-20,566.95,577.5,558.75,570.65,567.5,216252
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-19,569.05,578.2,564.6,567.5,570.85,176318
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-18,568.05,574.1,564.65,570.85,568.05,99283
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-15,562.5,571.5,560.05,568.05,564.7,156347
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-14,538.05,571.85,538.05,564.7,548.95,149783
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-13,565.0,571.5,542.0,548.95,570.1,387505
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-12,558.6,582.9,553.5,570.1,558.6,619136
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-11,589.05,592.3,555.0,558.6,589.15,333584
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-07,594.9,606.9,580.65,589.15,598.0,232374
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-06,589.0,612.0,586.3,598.0,588.95,1548578
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-05,569.05,599.0,565.75,588.95,569.05,289014
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-04,572.0,574.9,564.5,569.05,571.35,94746
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-02,574.9,574.9,568.5,571.35,573.6,10269
Jubilant Pharmova Limited,JUBLPHARMA,2024-03-01,569.0,576.05,565.25,573.6,568.2,116342
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-29,558.1,575.0,546.15,568.2,559.95,235661
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-28,568.15,572.35,551.0,559.95,568.15,241828
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-27,577.0,578.7,565.1,568.15,576.4,117356
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-26,576.0,580.65,569.35,576.4,571.25,255947
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-23,589.5,591.05,567.95,571.25,586.4,450745
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-22,586.55,594.8,578.0,586.4,583.5,229945
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-21,604.9,609.5,563.8,583.5,600.8,417126
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-20,610.0,616.0,596.0,600.8,606.2,171451
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-19,622.7,626.0,601.0,606.2,619.9,279630
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-16,612.0,627.45,608.65,619.9,610.25,513160
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-15,593.7,624.25,592.0,610.25,583.75,1765022
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-14,575.1,591.9,571.3,583.75,580.95,190373
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-13,587.0,593.8,565.05,580.95,586.25,385635
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-12,557.45,594.3,550.05,586.25,560.8,803247
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-09,569.05,573.4,552.5,560.8,570.5,266083
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-08,574.5,577.25,565.9,570.5,574.5,163585
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-07,581.3,592.0,571.05,574.5,580.95,260486
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-06,577.05,586.0,568.25,580.95,581.65,629223
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-05,588.8,592.45,565.0,581.65,592.25,864857
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-02,576.65,616.7,568.2,592.25,576.65,4134528
Jubilant Pharmova Limited,JUBLPHARMA,2024-02-01,574.0,588.5,565.5,576.65,571.45,279925
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-31,563.0,574.75,563.0,571.45,559.3,409624
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-30,570.5,577.3,555.55,559.3,576.7,465334
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-29,580.1,591.95,557.05,576.7,568.75,912515
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-25,565.0,579.8,560.0,568.75,567.9,519981
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-24,538.45,571.8,534.2,567.9,535.25,449982
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-23,574.5,579.65,532.15,535.25,571.45,390638
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-20,572.6,578.05,570.0,571.45,572.9,81771
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-19,565.0,579.5,560.1,572.9,554.7,502010
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-18,569.0,570.25,543.05,554.7,568.7,337244
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-17,558.85,572.0,552.15,568.7,562.0,293210
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-16,558.2,569.05,553.0,562.0,558.15,534778
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-15,564.75,569.4,554.0,558.15,561.95,216408
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-12,572.0,573.65,558.1,561.95,572.55,216994
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-11,570.4,578.5,568.8,572.55,569.85,346816
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-10,566.2,574.85,562.85,569.85,566.2,224941
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-09,565.95,572.35,561.0,566.2,558.0,274792
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-08,585.95,589.0,550.95,558.0,584.8,462731
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-05,579.0,598.2,577.1,584.8,578.45,1139654
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-04,583.0,585.9,574.95,578.45,579.85,580606
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-03,583.2,591.0,573.35,579.85,577.95,605306
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-02,582.05,587.2,571.45,577.95,580.15,673114
Jubilant Pharmova Limited,JUBLPHARMA,2024-01-01,572.0,584.0,560.4,580.15,545.45,2182903
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-29,541.9,548.9,530.8,545.45,541.1,329265
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-28,537.0,550.8,534.3,541.1,539.25,776099
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-27,536.15,549.2,535.55,539.25,537.55,569562
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-26,535.7,545.0,526.05,537.55,532.65,841906
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-22,518.8,535.5,507.4,532.65,516.1,1033890
Jubilant Pharmova Limited,JUBLPHARMA,2023-12-21,483.0,521.4,465.0,516.1,490.95,1078953
