StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Jupiter Wagons Limited,JWL,2024-03-28,370.95,378.55,367.55,374.15,369.6,1093981
Jupiter Wagons Limited,JWL,2024-03-27,367.8,372.4,363.0,369.6,365.8,1176595
Jupiter Wagons Limited,JWL,2024-03-26,355.3,371.4,352.75,365.8,355.3,1156759
Jupiter Wagons Limited,JWL,2024-03-22,345.0,357.2,344.5,355.3,344.15,883582
Jupiter Wagons Limited,JWL,2024-03-21,344.0,349.0,342.0,344.15,333.45,626899
Jupiter Wagons Limited,JWL,2024-03-20,338.95,345.0,329.85,333.45,339.0,1109519
Jupiter Wagons Limited,JWL,2024-03-19,343.0,346.0,336.7,339.0,343.15,574878
Jupiter Wagons Limited,JWL,2024-03-18,346.0,357.0,339.0,343.15,342.55,1924307
Jupiter Wagons Limited,JWL,2024-03-15,335.0,355.0,326.6,342.55,338.95,4756050
Jupiter Wagons Limited,JWL,2024-03-14,310.95,339.35,300.5,338.95,308.5,1754971
Jupiter Wagons Limited,JWL,2024-03-13,341.9,345.0,306.5,308.5,340.55,3480618
Jupiter Wagons Limited,JWL,2024-03-12,370.0,372.0,339.0,340.55,363.0,1982186
Jupiter Wagons Limited,JWL,2024-03-11,373.5,376.3,357.5,363.0,369.9,1222648
Jupiter Wagons Limited,JWL,2024-03-07,398.0,398.0,368.0,369.9,362.05,4594745
Jupiter Wagons Limited,JWL,2024-03-06,378.25,379.45,358.05,362.05,378.25,979845
Jupiter Wagons Limited,JWL,2024-03-05,367.75,385.0,365.8,378.25,367.3,1615038
Jupiter Wagons Limited,JWL,2024-03-04,368.8,371.95,361.25,367.3,366.9,518434
Jupiter Wagons Limited,JWL,2024-03-02,368.85,374.85,365.0,366.9,367.45,87132
Jupiter Wagons Limited,JWL,2024-03-01,375.7,379.55,365.25,367.45,371.85,409254
Jupiter Wagons Limited,JWL,2024-02-29,355.5,375.0,348.1,371.85,355.45,1226902
Jupiter Wagons Limited,JWL,2024-02-28,370.05,373.1,353.0,355.45,370.1,689090
Jupiter Wagons Limited,JWL,2024-02-27,378.0,382.0,366.45,370.1,376.05,546930
Jupiter Wagons Limited,JWL,2024-02-26,386.8,393.0,375.0,376.05,385.05,1152870
Jupiter Wagons Limited,JWL,2024-02-23,382.7,390.0,381.55,385.05,380.85,547044
