StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Kajaria Ceramics Limited,KAJARIACER,2024-03-28,1146.9,1172.65,1139.55,1154.85,1146.9,270312
Kajaria Ceramics Limited,KAJARIACER,2024-03-27,1145.65,1152.0,1110.35,1146.9,1145.65,435716
Kajaria Ceramics Limited,KAJARIACER,2024-03-26,1197.0,1197.0,1138.0,1145.65,1188.8,191064
Kajaria Ceramics Limited,KAJARIACER,2024-03-22,1194.45,1200.0,1184.5,1188.8,1194.45,63322
Kajaria Ceramics Limited,KAJARIACER,2024-03-21,1196.0,1204.7,1181.0,1194.45,1190.5,73343
Kajaria Ceramics Limited,KAJARIACER,2024-03-20,1188.05,1204.5,1188.0,1190.5,1189.65,165416
Kajaria Ceramics Limited,KAJARIACER,2024-03-19,1199.05,1222.0,1183.0,1189.65,1198.85,193764
Kajaria Ceramics Limited,KAJARIACER,2024-03-18,1183.05,1206.0,1178.0,1198.85,1177.25,526559
Kajaria Ceramics Limited,KAJARIACER,2024-03-15,1189.0,1202.7,1151.3,1177.25,1188.95,183547
Kajaria Ceramics Limited,KAJARIACER,2024-03-14,1200.05,1221.1,1181.05,1188.95,1202.2,145574
Kajaria Ceramics Limited,KAJARIACER,2024-03-13,1239.4,1241.9,1186.55,1202.2,1227.45,216866
Kajaria Ceramics Limited,KAJARIACER,2024-03-12,1239.75,1239.75,1211.0,1227.45,1229.75,199133
Kajaria Ceramics Limited,KAJARIACER,2024-03-11,1234.25,1254.2,1214.4,1229.75,1234.7,290004
Kajaria Ceramics Limited,KAJARIACER,2024-03-07,1273.8,1282.25,1223.0,1234.7,1279.05,114881
Kajaria Ceramics Limited,KAJARIACER,2024-03-06,1282.3,1288.75,1264.9,1279.05,1276.55,207991
Kajaria Ceramics Limited,KAJARIACER,2024-03-05,1285.05,1293.35,1268.0,1276.55,1284.85,117122
Kajaria Ceramics Limited,KAJARIACER,2024-03-04,1290.0,1296.0,1272.25,1284.85,1282.0,302514
Kajaria Ceramics Limited,KAJARIACER,2024-03-02,1279.0,1296.0,1260.0,1282.0,1272.85,5491
Kajaria Ceramics Limited,KAJARIACER,2024-03-01,1292.0,1292.55,1266.25,1272.85,1276.35,254308
Kajaria Ceramics Limited,KAJARIACER,2024-02-29,1269.75,1288.0,1235.2,1276.35,1269.75,350761
Kajaria Ceramics Limited,KAJARIACER,2024-02-28,1272.45,1287.6,1262.2,1269.75,1272.45,315393
Kajaria Ceramics Limited,KAJARIACER,2024-02-27,1264.95,1275.0,1256.0,1272.45,1258.65,95529
Kajaria Ceramics Limited,KAJARIACER,2024-02-26,1258.95,1262.0,1235.0,1258.65,1252.3,99854
Kajaria Ceramics Limited,KAJARIACER,2024-02-23,1245.0,1260.0,1241.3,1252.3,1245.25,221824
Kajaria Ceramics Limited,KAJARIACER,2024-02-22,1250.5,1256.45,1231.0,1245.25,1247.7,95718
Kajaria Ceramics Limited,KAJARIACER,2024-02-21,1259.0,1259.95,1241.55,1247.7,1246.5,76773
Kajaria Ceramics Limited,KAJARIACER,2024-02-20,1269.95,1270.0,1242.1,1246.5,1269.95,62727
Kajaria Ceramics Limited,KAJARIACER,2024-02-19,1270.0,1289.85,1262.1,1269.95,1259.5,75518
Kajaria Ceramics Limited,KAJARIACER,2024-02-16,1270.0,1281.4,1251.45,1259.5,1261.35,190896
Kajaria Ceramics Limited,KAJARIACER,2024-02-15,1240.0,1267.0,1231.25,1261.35,1237.5,125779
Kajaria Ceramics Limited,KAJARIACER,2024-02-14,1218.7,1242.0,1213.45,1237.5,1218.7,433614
Kajaria Ceramics Limited,KAJARIACER,2024-02-13,1195.3,1264.6,1186.4,1218.7,1195.3,1040255
Kajaria Ceramics Limited,KAJARIACER,2024-02-12,1249.1,1254.6,1190.2,1195.3,1248.0,131606
Kajaria Ceramics Limited,KAJARIACER,2024-02-09,1280.0,1280.0,1221.3,1248.0,1279.65,157116
Kajaria Ceramics Limited,KAJARIACER,2024-02-08,1300.0,1309.7,1272.65,1279.65,1300.15,133920
Kajaria Ceramics Limited,KAJARIACER,2024-02-07,1310.0,1324.8,1290.0,1300.15,1298.8,327368
Kajaria Ceramics Limited,KAJARIACER,2024-02-06,1310.0,1334.95,1295.05,1298.8,1305.65,454826
Kajaria Ceramics Limited,KAJARIACER,2024-02-05,1344.0,1344.0,1295.0,1305.65,1344.8,159914
Kajaria Ceramics Limited,KAJARIACER,2024-02-02,1384.8,1390.4,1342.5,1344.8,1377.6,130954
Kajaria Ceramics Limited,KAJARIACER,2024-02-01,1390.8,1412.6,1370.0,1377.6,1384.0,529459
Kajaria Ceramics Limited,KAJARIACER,2024-01-31,1350.0,1406.0,1348.75,1384.0,1350.75,714000
Kajaria Ceramics Limited,KAJARIACER,2024-01-30,1346.0,1399.0,1332.65,1350.75,1348.75,128068
Kajaria Ceramics Limited,KAJARIACER,2024-01-29,1339.35,1355.0,1328.45,1348.75,1339.4,82041
Kajaria Ceramics Limited,KAJARIACER,2024-01-25,1329.2,1353.85,1329.0,1339.4,1332.15,49018
Kajaria Ceramics Limited,KAJARIACER,2024-01-24,1334.1,1343.9,1305.0,1332.15,1336.15,183461
Kajaria Ceramics Limited,KAJARIACER,2024-01-23,1378.0,1403.9,1326.5,1336.15,1379.9,182042
Kajaria Ceramics Limited,KAJARIACER,2024-01-20,1386.8,1393.95,1376.05,1379.9,1389.6,18663
Kajaria Ceramics Limited,KAJARIACER,2024-01-19,1398.75,1417.0,1372.05,1389.6,1393.35,263766
Kajaria Ceramics Limited,KAJARIACER,2024-01-18,1391.75,1410.95,1348.15,1393.35,1396.3,238862
Kajaria Ceramics Limited,KAJARIACER,2024-01-17,1395.05,1412.75,1380.75,1396.3,1398.8,254717
Kajaria Ceramics Limited,KAJARIACER,2024-01-16,1405.0,1433.1,1391.1,1398.8,1406.45,190793
Kajaria Ceramics Limited,KAJARIACER,2024-01-15,1412.4,1421.15,1378.2,1406.45,1399.75,176750
Kajaria Ceramics Limited,KAJARIACER,2024-01-12,1351.5,1404.0,1351.5,1399.75,1372.9,196760
Kajaria Ceramics Limited,KAJARIACER,2024-01-11,1383.2,1395.0,1366.0,1372.9,1375.95,181444
Kajaria Ceramics Limited,KAJARIACER,2024-01-10,1378.0,1389.0,1368.0,1375.95,1374.5,299418
Kajaria Ceramics Limited,KAJARIACER,2024-01-09,1378.0,1388.0,1350.05,1374.5,1371.95,339247
Kajaria Ceramics Limited,KAJARIACER,2024-01-08,1348.0,1393.2,1348.0,1371.95,1343.45,476045
Kajaria Ceramics Limited,KAJARIACER,2024-01-05,1310.0,1346.7,1310.0,1343.45,1302.4,345757
Kajaria Ceramics Limited,KAJARIACER,2024-01-04,1300.0,1310.0,1295.05,1302.4,1299.2,505674
Kajaria Ceramics Limited,KAJARIACER,2024-01-03,1295.05,1309.15,1289.15,1299.2,1297.45,346734
Kajaria Ceramics Limited,KAJARIACER,2024-01-02,1313.0,1315.0,1282.55,1297.45,1308.5,655201
Kajaria Ceramics Limited,KAJARIACER,2024-01-01,1311.85,1320.1,1301.75,1308.5,1301.7,121064
Kajaria Ceramics Limited,KAJARIACER,2023-12-29,1332.0,1340.6,1296.0,1301.7,1324.3,198350
Kajaria Ceramics Limited,KAJARIACER,2023-12-28,1348.4,1354.05,1320.0,1324.3,1348.4,166382
Kajaria Ceramics Limited,KAJARIACER,2023-12-27,1379.0,1379.0,1345.0,1348.4,1365.4,155173
Kajaria Ceramics Limited,KAJARIACER,2023-12-26,1390.4,1399.65,1362.0,1365.4,1383.1,39233
Kajaria Ceramics Limited,KAJARIACER,2023-12-22,1359.1,1398.7,1359.1,1383.1,1367.2,188128
Kajaria Ceramics Limited,KAJARIACER,2023-12-21,1345.1,1382.95,1340.85,1367.2,1348.6,441815
Kajaria Ceramics Limited,KAJARIACER,2023-12-20,1415.0,1442.0,1330.15,1348.6,1419.0,230768
Kajaria Ceramics Limited,KAJARIACER,2023-12-19,1371.0,1433.3,1367.8,1419.0,1365.65,521584
Kajaria Ceramics Limited,KAJARIACER,2023-12-18,1378.0,1385.95,1360.0,1365.65,1372.8,75276
Kajaria Ceramics Limited,KAJARIACER,2023-12-15,1373.8,1380.0,1360.5,1372.8,1366.65,123728
Kajaria Ceramics Limited,KAJARIACER,2023-12-14,1375.35,1377.3,1359.95,1366.65,1368.5,135154
Kajaria Ceramics Limited,KAJARIACER,2023-12-13,1361.8,1402.3,1345.65,1368.5,1354.7,373145
Kajaria Ceramics Limited,KAJARIACER,2023-12-12,1400.0,1402.75,1348.2,1354.7,1392.75,168148
Kajaria Ceramics Limited,KAJARIACER,2023-12-11,1385.5,1408.0,1385.5,1392.75,1385.5,130782
Kajaria Ceramics Limited,KAJARIACER,2023-12-08,1378.4,1387.3,1373.05,1385.5,1378.4,114719
Kajaria Ceramics Limited,KAJARIACER,2023-12-07,1382.8,1394.45,1367.25,1378.4,1384.1,194934
Kajaria Ceramics Limited,KAJARIACER,2023-12-06,1390.0,1396.35,1376.8,1384.1,1389.45,56746
Kajaria Ceramics Limited,KAJARIACER,2023-12-05,1385.0,1397.8,1376.6,1389.45,1383.1,77357
Kajaria Ceramics Limited,KAJARIACER,2023-12-04,1385.95,1389.9,1372.1,1383.1,1366.25,168371
Kajaria Ceramics Limited,KAJARIACER,2023-12-01,1349.75,1369.0,1343.2,1366.25,1338.0,183235
