StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Kansai Nerolac Paints Limited,KANSAINER,2024-03-28,265.0,268.95,260.05,262.25,264.3,495497
Kansai Nerolac Paints Limited,KANSAINER,2024-03-27,267.85,272.45,264.0,264.3,268.95,555669
Kansai Nerolac Paints Limited,KANSAINER,2024-03-26,268.65,270.8,266.65,268.95,268.65,305648
Kansai Nerolac Paints Limited,KANSAINER,2024-03-22,269.0,272.2,267.4,268.65,267.85,321871
Kansai Nerolac Paints Limited,KANSAINER,2024-03-21,268.8,270.0,262.35,267.85,266.4,598290
Kansai Nerolac Paints Limited,KANSAINER,2024-03-20,270.0,271.45,265.0,266.4,269.5,372638
Kansai Nerolac Paints Limited,KANSAINER,2024-03-19,276.4,276.4,266.4,269.5,275.05,249741
Kansai Nerolac Paints Limited,KANSAINER,2024-03-18,271.35,277.0,270.1,275.05,271.35,447658
Kansai Nerolac Paints Limited,KANSAINER,2024-03-15,269.35,272.0,264.85,271.35,268.0,354068
Kansai Nerolac Paints Limited,KANSAINER,2024-03-14,260.0,272.95,258.45,268.0,258.65,1222697
Kansai Nerolac Paints Limited,KANSAINER,2024-03-13,272.5,272.9,257.5,258.65,271.1,528237
Kansai Nerolac Paints Limited,KANSAINER,2024-03-12,279.0,279.45,270.5,271.1,278.85,389779
Kansai Nerolac Paints Limited,KANSAINER,2024-03-11,286.95,286.95,278.0,278.85,284.05,255252
Kansai Nerolac Paints Limited,KANSAINER,2024-03-07,285.45,290.5,283.2,284.05,285.45,273403
Kansai Nerolac Paints Limited,KANSAINER,2024-03-06,287.45,287.95,283.5,285.45,287.45,168392
Kansai Nerolac Paints Limited,KANSAINER,2024-03-05,289.7,290.65,286.5,287.45,289.4,160778
Kansai Nerolac Paints Limited,KANSAINER,2024-03-04,293.9,293.9,287.0,289.4,292.5,254207
Kansai Nerolac Paints Limited,KANSAINER,2024-03-02,292.8,294.4,292.0,292.5,290.05,34430
Kansai Nerolac Paints Limited,KANSAINER,2024-03-01,292.4,295.7,289.5,290.05,289.6,291325
Kansai Nerolac Paints Limited,KANSAINER,2024-02-29,290.0,294.55,288.6,289.6,292.0,282974
Kansai Nerolac Paints Limited,KANSAINER,2024-02-28,297.45,297.45,289.4,292.0,295.95,266603
Kansai Nerolac Paints Limited,KANSAINER,2024-02-27,299.0,301.0,294.5,295.95,299.25,334526
Kansai Nerolac Paints Limited,KANSAINER,2024-02-26,304.35,304.4,297.45,299.25,301.95,311386
Kansai Nerolac Paints Limited,KANSAINER,2024-02-23,309.5,309.5,301.5,301.95,307.9,389962
Kansai Nerolac Paints Limited,KANSAINER,2024-02-22,308.7,310.0,304.7,307.9,307.8,206550
Kansai Nerolac Paints Limited,KANSAINER,2024-02-21,311.9,313.35,306.05,307.8,310.9,187212
Kansai Nerolac Paints Limited,KANSAINER,2024-02-20,309.0,312.4,307.5,310.9,308.5,175643
Kansai Nerolac Paints Limited,KANSAINER,2024-02-19,307.05,310.65,304.5,308.5,304.4,246066
Kansai Nerolac Paints Limited,KANSAINER,2024-02-16,305.65,311.0,303.85,304.4,305.35,547630
Kansai Nerolac Paints Limited,KANSAINER,2024-02-15,307.9,309.85,304.35,305.35,304.85,539943
Kansai Nerolac Paints Limited,KANSAINER,2024-02-14,313.05,314.5,304.0,304.85,314.5,397205
Kansai Nerolac Paints Limited,KANSAINER,2024-02-13,305.95,316.2,301.4,314.5,304.5,288123
Kansai Nerolac Paints Limited,KANSAINER,2024-02-12,324.0,324.0,303.05,304.5,316.75,529064
Kansai Nerolac Paints Limited,KANSAINER,2024-02-09,316.55,319.4,314.0,316.75,316.55,208772
Kansai Nerolac Paints Limited,KANSAINER,2024-02-08,320.0,322.0,310.9,316.55,318.9,879350
Kansai Nerolac Paints Limited,KANSAINER,2024-02-07,334.0,338.0,316.35,318.9,333.8,1171230
Kansai Nerolac Paints Limited,KANSAINER,2024-02-06,346.05,347.5,333.0,333.8,344.2,1386606
Kansai Nerolac Paints Limited,KANSAINER,2024-02-05,342.0,353.0,338.55,344.2,340.5,1021828
Kansai Nerolac Paints Limited,KANSAINER,2024-02-02,337.6,341.9,337.6,340.5,337.6,203852
Kansai Nerolac Paints Limited,KANSAINER,2024-02-01,341.75,341.75,336.1,337.6,341.75,432333
Kansai Nerolac Paints Limited,KANSAINER,2024-01-31,337.15,342.9,337.1,341.75,335.75,236884
Kansai Nerolac Paints Limited,KANSAINER,2024-01-30,342.0,343.5,332.3,335.75,339.3,295114
Kansai Nerolac Paints Limited,KANSAINER,2024-01-29,334.3,342.0,333.45,339.3,332.75,181982
Kansai Nerolac Paints Limited,KANSAINER,2024-01-25,340.15,340.2,331.0,332.75,340.15,2029306
Kansai Nerolac Paints Limited,KANSAINER,2024-01-24,336.4,341.9,330.85,340.15,337.0,350321
Kansai Nerolac Paints Limited,KANSAINER,2024-01-23,341.0,341.25,332.95,337.0,341.55,194470
Kansai Nerolac Paints Limited,KANSAINER,2024-01-20,344.9,345.95,340.5,341.55,344.3,107109
Kansai Nerolac Paints Limited,KANSAINER,2024-01-19,344.5,345.15,342.25,344.3,341.1,218437
Kansai Nerolac Paints Limited,KANSAINER,2024-01-18,339.35,345.7,332.2,341.1,339.35,350482
Kansai Nerolac Paints Limited,KANSAINER,2024-01-17,341.0,343.7,337.7,339.35,344.25,380425
Kansai Nerolac Paints Limited,KANSAINER,2024-01-16,345.5,348.0,340.5,344.25,338.6,608694
Kansai Nerolac Paints Limited,KANSAINER,2024-01-15,340.2,342.8,337.45,338.6,340.3,192638
Kansai Nerolac Paints Limited,KANSAINER,2024-01-12,340.45,343.0,338.1,340.3,338.9,331388
Kansai Nerolac Paints Limited,KANSAINER,2024-01-11,338.3,340.45,337.8,338.9,337.7,556215
Kansai Nerolac Paints Limited,KANSAINER,2024-01-10,338.0,339.9,336.2,337.7,337.8,191928
Kansai Nerolac Paints Limited,KANSAINER,2024-01-09,340.0,340.0,337.15,337.8,336.9,281519
Kansai Nerolac Paints Limited,KANSAINER,2024-01-08,342.0,342.0,336.05,336.9,336.7,238122
Kansai Nerolac Paints Limited,KANSAINER,2024-01-05,337.0,339.6,334.05,336.7,333.55,339419
Kansai Nerolac Paints Limited,KANSAINER,2024-01-04,337.0,338.6,332.95,333.55,335.0,331706
Kansai Nerolac Paints Limited,KANSAINER,2024-01-03,337.1,338.7,333.85,335.0,337.1,186666
Kansai Nerolac Paints Limited,KANSAINER,2024-01-02,333.6,339.15,330.65,337.1,332.5,512045
Kansai Nerolac Paints Limited,KANSAINER,2024-01-01,333.4,334.95,331.5,332.5,333.25,210502
Kansai Nerolac Paints Limited,KANSAINER,2023-12-29,335.9,335.9,332.0,333.25,333.1,249172
Kansai Nerolac Paints Limited,KANSAINER,2023-12-28,337.6,339.05,331.55,333.1,337.55,499402
Kansai Nerolac Paints Limited,KANSAINER,2023-12-27,355.0,357.3,336.0,337.55,325.25,4398942
Kansai Nerolac Paints Limited,KANSAINER,2023-12-26,321.25,326.95,320.85,325.25,322.45,133274
Kansai Nerolac Paints Limited,KANSAINER,2023-12-22,324.95,325.0,320.0,322.45,322.0,98323
Kansai Nerolac Paints Limited,KANSAINER,2023-12-21,321.0,323.8,317.5,322.0,321.9,116884
Kansai Nerolac Paints Limited,KANSAINER,2023-12-20,332.8,335.5,316.0,321.9,331.55,382157
Kansai Nerolac Paints Limited,KANSAINER,2023-12-19,333.0,335.5,330.25,331.55,332.2,167041
Kansai Nerolac Paints Limited,KANSAINER,2023-12-18,334.95,336.45,331.3,332.2,332.9,231326
Kansai Nerolac Paints Limited,KANSAINER,2023-12-15,329.5,337.3,328.65,332.9,327.85,612183
Kansai Nerolac Paints Limited,KANSAINER,2023-12-14,328.5,330.25,326.25,327.85,327.35,306571
Kansai Nerolac Paints Limited,KANSAINER,2023-12-13,330.0,330.9,326.0,327.35,326.75,179821
Kansai Nerolac Paints Limited,KANSAINER,2023-12-12,333.0,333.0,325.1,326.75,330.7,245705
Kansai Nerolac Paints Limited,KANSAINER,2023-12-11,330.0,331.5,326.15,330.7,330.35,342835
Kansai Nerolac Paints Limited,KANSAINER,2023-12-08,335.0,335.0,325.75,330.35,333.9,269802
Kansai Nerolac Paints Limited,KANSAINER,2023-12-07,331.95,334.9,330.15,333.9,328.65,382010
Kansai Nerolac Paints Limited,KANSAINER,2023-12-06,326.0,334.0,322.8,328.65,322.5,1133440
Kansai Nerolac Paints Limited,KANSAINER,2023-12-05,321.0,323.6,317.85,322.5,319.45,275315
Kansai Nerolac Paints Limited,KANSAINER,2023-12-04,324.95,324.95,318.25,319.45,320.05,261493
Kansai Nerolac Paints Limited,KANSAINER,2023-12-01,320.5,324.9,319.0,320.05,320.25,189409
Kansai Nerolac Paints Limited,KANSAINER,2023-11-30,321.65,322.35,316.25,320.25,320.2,241077
Kansai Nerolac Paints Limited,KANSAINER,2023-11-29,324.0,326.0,319.15,320.2,322.8,149112
Kansai Nerolac Paints Limited,KANSAINER,2023-11-28,320.35,323.9,317.0,322.8,320.35,352653
Kansai Nerolac Paints Limited,KANSAINER,2023-11-24,320.0,322.55,318.5,320.35,320.4,94731
Kansai Nerolac Paints Limited,KANSAINER,2023-11-23,317.85,321.6,317.85,320.4,316.3,402135
Kansai Nerolac Paints Limited,KANSAINER,2023-11-22,320.1,321.9,313.3,316.3,322.0,177616
Kansai Nerolac Paints Limited,KANSAINER,2023-11-21,321.75,323.85,316.95,322.0,320.15,163383
Kansai Nerolac Paints Limited,KANSAINER,2023-11-20,326.65,327.5,318.15,320.15,325.4,168187
Kansai Nerolac Paints Limited,KANSAINER,2023-11-17,319.05,326.3,319.0,325.4,317.9,611080
Kansai Nerolac Paints Limited,KANSAINER,2023-11-16,316.1,319.4,312.0,317.9,314.55,339349
Kansai Nerolac Paints Limited,KANSAINER,2023-11-15,313.05,315.5,309.5,314.55,311.4,672670
Kansai Nerolac Paints Limited,KANSAINER,2023-11-13,308.4,314.0,306.05,311.4,308.55,283281
Kansai Nerolac Paints Limited,KANSAINER,2023-11-12,308.8,309.2,306.65,308.55,304.4,50858
Kansai Nerolac Paints Limited,KANSAINER,2023-11-10,304.95,305.9,301.0,304.4,304.6,111829
Kansai Nerolac Paints Limited,KANSAINER,2023-11-09,308.45,310.65,302.9,304.6,307.6,246121
Kansai Nerolac Paints Limited,KANSAINER,2023-11-08,305.0,308.5,303.7,307.6,303.05,280593
Kansai Nerolac Paints Limited,KANSAINER,2023-11-07,307.05,309.6,301.5,303.05,305.8,305570
Kansai Nerolac Paints Limited,KANSAINER,2023-11-06,308.95,308.95,305.0,305.8,305.0,235349
Kansai Nerolac Paints Limited,KANSAINER,2023-11-03,312.25,312.5,304.65,305.0,310.9,348551
Kansai Nerolac Paints Limited,KANSAINER,2023-11-02,320.0,323.95,309.7,310.9,315.05,695980
Kansai Nerolac Paints Limited,KANSAINER,2023-11-01,316.65,316.95,312.0,315.05,315.1,162777
Kansai Nerolac Paints Limited,KANSAINER,2023-10-31,314.9,316.0,312.2,315.1,314.05,311214
Kansai Nerolac Paints Limited,KANSAINER,2023-10-30,315.0,315.5,311.0,314.05,313.55,71998
Kansai Nerolac Paints Limited,KANSAINER,2023-10-27,312.4,316.15,312.1,313.55,312.2,192512
Kansai Nerolac Paints Limited,KANSAINER,2023-10-26,318.0,318.0,308.95,312.2,318.1,342196
Kansai Nerolac Paints Limited,KANSAINER,2023-10-25,318.95,321.05,314.4,318.1,318.95,229516
Kansai Nerolac Paints Limited,KANSAINER,2023-10-23,322.8,322.85,316.25,318.95,321.25,124976
Kansai Nerolac Paints Limited,KANSAINER,2023-10-20,322.1,323.6,320.0,321.25,322.1,95420
Kansai Nerolac Paints Limited,KANSAINER,2023-10-19,323.9,324.05,318.55,322.1,323.3,650339
Kansai Nerolac Paints Limited,KANSAINER,2023-10-18,322.2,328.0,321.0,323.3,322.2,307004
Kansai Nerolac Paints Limited,KANSAINER,2023-10-17,321.2,324.2,321.2,322.2,320.55,264677
Kansai Nerolac Paints Limited,KANSAINER,2023-10-16,322.75,324.3,319.05,320.55,322.9,235544
Kansai Nerolac Paints Limited,KANSAINER,2023-10-13,321.25,323.95,320.5,322.9,322.1,185710
Kansai Nerolac Paints Limited,KANSAINER,2023-10-12,322.2,323.1,320.55,322.1,320.55,196122
Kansai Nerolac Paints Limited,KANSAINER,2023-10-11,319.4,323.9,317.0,320.55,318.65,368549
Kansai Nerolac Paints Limited,KANSAINER,2023-10-10,316.2,321.4,316.15,318.65,316.15,353701
Kansai Nerolac Paints Limited,KANSAINER,2023-10-09,306.5,319.95,306.5,316.15,323.8,273373
Kansai Nerolac Paints Limited,KANSAINER,2023-10-06,324.7,327.0,322.6,323.8,323.05,323839
Kansai Nerolac Paints Limited,KANSAINER,2023-10-05,324.55,325.75,321.8,323.05,322.75,263014
Kansai Nerolac Paints Limited,KANSAINER,2023-10-04,326.4,326.75,321.0,322.75,325.15,293855
Kansai Nerolac Paints Limited,KANSAINER,2023-10-03,322.95,326.15,318.55,325.15,317.45,658817
Kansai Nerolac Paints Limited,KANSAINER,2023-09-29,322.1,323.95,316.65,317.45,322.0,264942
Kansai Nerolac Paints Limited,KANSAINER,2023-09-28,326.5,327.95,320.0,322.0,327.4,311859
Kansai Nerolac Paints Limited,KANSAINER,2023-09-27,327.95,330.35,326.5,327.4,327.9,319436
Kansai Nerolac Paints Limited,KANSAINER,2023-09-26,326.6,330.55,323.9,327.9,325.0,392052
