StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Kaynes Technology India Limited,KAYNES,2024-03-28,2791.0,2900.0,2791.0,2871.95,2787.35,227809
Kaynes Technology India Limited,KAYNES,2024-03-27,2844.0,2848.4,2770.05,2787.35,2819.6,125044
Kaynes Technology India Limited,KAYNES,2024-03-26,2820.0,2850.0,2723.25,2819.6,2798.95,174442
Kaynes Technology India Limited,KAYNES,2024-03-22,2695.0,2814.0,2675.3,2798.95,2712.2,208195
Kaynes Technology India Limited,KAYNES,2024-03-21,2605.0,2725.0,2592.5,2712.2,2589.45,393059
Kaynes Technology India Limited,KAYNES,2024-03-20,2620.05,2650.0,2556.5,2589.45,2613.05,147345
Kaynes Technology India Limited,KAYNES,2024-03-19,2600.0,2661.25,2588.0,2613.05,2602.85,245464
Kaynes Technology India Limited,KAYNES,2024-03-18,2625.5,2698.0,2583.0,2602.85,2666.6,258853
Kaynes Technology India Limited,KAYNES,2024-03-15,2675.15,2749.9,2565.1,2666.6,2721.4,1476728
Kaynes Technology India Limited,KAYNES,2024-03-14,2700.0,2785.0,2683.95,2721.4,2784.05,247782
Kaynes Technology India Limited,KAYNES,2024-03-13,2839.0,2839.0,2566.9,2784.05,2852.35,570802
Kaynes Technology India Limited,KAYNES,2024-03-12,3031.05,3031.05,2766.35,2852.35,3032.05,459065
Kaynes Technology India Limited,KAYNES,2024-03-11,3115.0,3118.95,2984.2,3032.05,3112.75,282637
Kaynes Technology India Limited,KAYNES,2024-03-07,3098.9,3142.6,3052.3,3112.75,3085.3,145733
Kaynes Technology India Limited,KAYNES,2024-03-06,3238.0,3238.0,2905.65,3085.3,3215.0,473534
Kaynes Technology India Limited,KAYNES,2024-03-05,3134.0,3248.85,3080.5,3215.0,3104.25,583625
Kaynes Technology India Limited,KAYNES,2024-03-04,3042.65,3115.0,3012.2,3104.25,3008.95,350606
Kaynes Technology India Limited,KAYNES,2024-03-02,2985.0,3060.0,2965.65,3008.95,2945.5,11345
Kaynes Technology India Limited,KAYNES,2024-03-01,3040.0,3070.0,2930.0,2945.5,2955.65,186755
Kaynes Technology India Limited,KAYNES,2024-02-29,2880.05,3050.0,2843.05,2955.65,2899.4,504707
Kaynes Technology India Limited,KAYNES,2024-02-28,2949.45,2971.45,2846.05,2899.4,2936.45,252808
Kaynes Technology India Limited,KAYNES,2024-02-27,2888.95,2953.45,2867.6,2936.45,2874.05,118140
Kaynes Technology India Limited,KAYNES,2024-02-26,2849.05,3080.0,2831.55,2874.05,2854.35,467089
Kaynes Technology India Limited,KAYNES,2024-02-23,2894.9,2930.0,2820.0,2854.35,2865.35,179120
Kaynes Technology India Limited,KAYNES,2024-02-22,2860.0,2890.0,2791.6,2865.35,2811.05,132917
Kaynes Technology India Limited,KAYNES,2024-02-21,2807.0,2845.0,2717.75,2811.05,2778.2,315446
Kaynes Technology India Limited,KAYNES,2024-02-20,2878.0,2904.8,2750.0,2778.2,2860.7,104384
Kaynes Technology India Limited,KAYNES,2024-02-19,2881.35,2924.8,2827.05,2860.7,2795.5,109109
Kaynes Technology India Limited,KAYNES,2024-02-16,2782.0,2906.5,2775.0,2795.5,2773.05,156494
Kaynes Technology India Limited,KAYNES,2024-02-15,2853.1,2889.8,2764.75,2773.05,2842.45,167349
Kaynes Technology India Limited,KAYNES,2024-02-14,2896.0,2896.0,2830.0,2842.45,2905.4,95189
Kaynes Technology India Limited,KAYNES,2024-02-13,2848.05,2927.5,2555.5,2905.4,2865.4,215259
Kaynes Technology India Limited,KAYNES,2024-02-12,2950.0,2950.0,2848.0,2865.4,2903.35,85573
Kaynes Technology India Limited,KAYNES,2024-02-09,2950.0,2973.35,2831.05,2903.35,2924.65,88537
Kaynes Technology India Limited,KAYNES,2024-02-08,2930.0,2939.9,2900.05,2924.65,2881.45,206876
Kaynes Technology India Limited,KAYNES,2024-02-07,2879.2,2930.0,2840.35,2881.45,2835.45,198726
Kaynes Technology India Limited,KAYNES,2024-02-06,2901.0,2908.8,2820.1,2835.45,2883.45,108271
Kaynes Technology India Limited,KAYNES,2024-02-05,2978.0,2978.0,2840.1,2883.45,2907.25,106183
Kaynes Technology India Limited,KAYNES,2024-02-02,2850.0,2930.0,2800.55,2907.25,2813.95,132452
Kaynes Technology India Limited,KAYNES,2024-02-01,2890.0,2900.0,2790.05,2813.95,2831.3,159593
Kaynes Technology India Limited,KAYNES,2024-01-31,2985.0,2990.0,2781.0,2831.3,2827.95,342056
Kaynes Technology India Limited,KAYNES,2024-01-30,2908.1,2950.9,2773.2,2827.95,2887.3,122591
Kaynes Technology India Limited,KAYNES,2024-01-29,2890.0,2900.0,2856.95,2887.3,2878.45,64421
Kaynes Technology India Limited,KAYNES,2024-01-25,2892.95,2899.95,2853.75,2878.45,2851.15,86093
Kaynes Technology India Limited,KAYNES,2024-01-25,2851.15,2851.15,2851.15,2851.15,587.0,46410
Kaynes Technology India Limited,KAYNES,2024-01-24,2728.0,2890.0,2686.55,2851.15,2708.8,226264
Kaynes Technology India Limited,KAYNES,2024-01-23,2685.0,2829.1,2685.0,2708.8,2687.35,117994
Kaynes Technology India Limited,KAYNES,2024-01-20,2716.0,2733.2,2665.0,2687.35,2733.45,20586
Kaynes Technology India Limited,KAYNES,2024-01-19,2694.0,2745.0,2678.85,2733.45,2671.7,45504
Kaynes Technology India Limited,KAYNES,2024-01-18,2750.0,2767.45,2640.0,2671.7,2737.55,100538
Kaynes Technology India Limited,KAYNES,2024-01-17,2724.05,2771.95,2698.6,2737.55,2761.0,85173
Kaynes Technology India Limited,KAYNES,2024-01-16,2765.0,2807.4,2712.1,2761.0,2763.4,64380
Kaynes Technology India Limited,KAYNES,2024-01-15,2750.0,2833.35,2739.15,2763.4,2735.3,191501
Kaynes Technology India Limited,KAYNES,2024-01-12,2675.0,2742.5,2675.0,2735.3,2654.85,97868
Kaynes Technology India Limited,KAYNES,2024-01-11,2610.9,2675.0,2610.9,2654.85,2601.6,87775
Kaynes Technology India Limited,KAYNES,2024-01-10,2634.95,2639.9,2587.95,2601.6,2635.35,106953
Kaynes Technology India Limited,KAYNES,2024-01-09,2525.0,2655.0,2525.0,2635.35,2551.35,179700
Kaynes Technology India Limited,KAYNES,2024-01-08,2563.85,2574.6,2505.0,2551.35,2556.25,77816
Kaynes Technology India Limited,KAYNES,2024-01-05,2549.65,2588.95,2523.0,2556.25,2521.0,75701
Kaynes Technology India Limited,KAYNES,2024-01-04,2625.0,2640.0,2445.05,2521.0,2555.95,366474
Kaynes Technology India Limited,KAYNES,2024-01-03,2660.0,2664.65,2481.05,2555.95,2663.3,483749
Kaynes Technology India Limited,KAYNES,2024-01-02,2680.0,2692.45,2605.0,2663.3,2669.05,83254
Kaynes Technology India Limited,KAYNES,2024-01-01,2600.0,2680.1,2600.0,2669.05,2610.55,74461
Kaynes Technology India Limited,KAYNES,2023-12-29,2599.0,2630.0,2580.0,2610.55,2599.9,72626
Kaynes Technology India Limited,KAYNES,2023-12-28,2606.95,2641.2,2585.0,2599.9,2583.85,114266
Kaynes Technology India Limited,KAYNES,2023-12-27,2633.15,2659.0,2572.0,2583.85,2633.15,196732
Kaynes Technology India Limited,KAYNES,2023-12-26,2725.05,2725.05,2601.0,2633.15,2743.5,251352
Kaynes Technology India Limited,KAYNES,2023-12-22,2819.0,2862.75,2628.5,2743.5,2737.7,259499
Kaynes Technology India Limited,KAYNES,2023-12-21,2739.9,2838.0,2668.55,2737.7,2743.8,253446
Kaynes Technology India Limited,KAYNES,2023-12-20,2765.0,3000.0,2711.0,2743.8,2745.45,653054
Kaynes Technology India Limited,KAYNES,2023-12-19,2665.25,2775.0,2648.7,2745.45,2601.65,362446
Kaynes Technology India Limited,KAYNES,2023-12-18,2615.0,2670.0,2585.05,2601.65,2580.45,183826
Kaynes Technology India Limited,KAYNES,2023-12-15,2490.0,2645.0,2474.25,2580.45,2474.25,474092
Kaynes Technology India Limited,KAYNES,2023-12-14,2488.0,2500.0,2440.1,2474.25,2454.95,112212
Kaynes Technology India Limited,KAYNES,2023-12-13,2479.9,2488.8,2436.8,2454.95,2447.2,98926
Kaynes Technology India Limited,KAYNES,2023-12-12,2389.25,2479.9,2387.95,2447.2,2377.7,191466
Kaynes Technology India Limited,KAYNES,2023-12-11,2374.4,2388.65,2346.65,2377.7,2361.6,214104
Kaynes Technology India Limited,KAYNES,2023-12-08,2375.25,2380.4,2275.85,2361.6,2371.85,133232
Kaynes Technology India Limited,KAYNES,2023-12-07,2390.05,2415.65,2361.05,2371.85,2396.4,57695
Kaynes Technology India Limited,KAYNES,2023-12-06,2438.6,2440.0,2384.75,2396.4,2423.9,65386
Kaynes Technology India Limited,KAYNES,2023-12-05,2455.0,2479.95,2420.0,2423.9,2480.05,62215
Kaynes Technology India Limited,KAYNES,2023-12-04,2480.0,2488.3,2442.1,2480.05,2434.5,73102
Kaynes Technology India Limited,KAYNES,2023-12-01,2480.0,2494.65,2420.0,2434.5,2466.6,46134
Kaynes Technology India Limited,KAYNES,2023-11-30,2428.0,2500.0,2370.9,2466.6,2426.35,259156
Kaynes Technology India Limited,KAYNES,2023-11-29,2482.55,2482.55,2412.0,2426.35,2464.35,56158
Kaynes Technology India Limited,KAYNES,2023-11-28,2485.55,2485.6,2454.0,2464.35,2450.15,47941
Kaynes Technology India Limited,KAYNES,2023-11-24,2449.65,2490.0,2441.85,2450.15,2440.9,46704
Kaynes Technology India Limited,KAYNES,2023-11-23,2508.65,2515.0,2400.1,2440.9,2491.15,111836
Kaynes Technology India Limited,KAYNES,2023-11-22,2486.9,2500.95,2450.0,2491.15,2473.2,52189
Kaynes Technology India Limited,KAYNES,2023-11-21,2433.9,2500.0,2431.25,2473.2,2435.25,74659
Kaynes Technology India Limited,KAYNES,2023-11-20,2525.0,2548.65,2400.0,2435.25,2492.45,116621
Kaynes Technology India Limited,KAYNES,2023-11-17,2497.0,2500.0,2481.05,2492.45,2494.45,45857
Kaynes Technology India Limited,KAYNES,2023-11-16,2456.2,2500.0,2446.7,2494.45,2446.65,99954
Kaynes Technology India Limited,KAYNES,2023-11-15,2500.0,2501.0,2415.0,2446.65,2462.85,114133
