StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
KEC International Limited,KEC,2024-03-28,679.6,699.2,675.0,694.25,679.6,270865
KEC International Limited,KEC,2024-03-27,676.55,688.95,674.05,679.6,673.3,857144
KEC International Limited,KEC,2024-03-26,675.4,681.4,667.3,673.3,672.25,147068
KEC International Limited,KEC,2024-03-22,666.6,680.0,661.0,672.25,663.25,575299
KEC International Limited,KEC,2024-03-21,657.8,670.45,657.8,663.25,654.4,478389
KEC International Limited,KEC,2024-03-20,665.35,669.2,649.0,654.4,662.1,117106
KEC International Limited,KEC,2024-03-19,680.3,680.3,658.05,662.1,675.8,156202
KEC International Limited,KEC,2024-03-18,668.95,684.85,662.1,675.8,665.6,327091
KEC International Limited,KEC,2024-03-15,685.25,691.2,661.6,665.6,685.3,452759
KEC International Limited,KEC,2024-03-14,700.95,709.5,681.05,685.3,689.7,886400
KEC International Limited,KEC,2024-03-13,733.2,742.0,684.55,689.7,735.3,578908
KEC International Limited,KEC,2024-03-12,738.5,764.0,726.0,735.3,748.4,1560844
KEC International Limited,KEC,2024-03-11,711.3,769.5,708.45,748.4,702.2,4687316
KEC International Limited,KEC,2024-03-07,700.5,715.35,693.9,702.2,700.3,233905
KEC International Limited,KEC,2024-03-06,727.55,727.55,697.65,700.3,723.95,428381
KEC International Limited,KEC,2024-03-05,730.1,730.1,713.3,723.95,730.1,163009
KEC International Limited,KEC,2024-03-04,724.3,737.0,705.05,730.1,720.95,409814
KEC International Limited,KEC,2024-03-02,714.7,724.9,714.25,720.95,714.7,17433
KEC International Limited,KEC,2024-03-01,727.0,728.05,711.15,714.7,726.65,266166
KEC International Limited,KEC,2024-02-29,727.0,730.0,701.15,726.65,727.05,784649
KEC International Limited,KEC,2024-02-28,700.5,737.5,700.35,727.05,697.6,2910760
KEC International Limited,KEC,2024-02-27,673.6,700.65,672.15,697.6,671.05,1534063
KEC International Limited,KEC,2024-02-26,680.3,680.3,665.35,671.05,676.75,174958
KEC International Limited,KEC,2024-02-23,666.85,680.45,663.85,676.75,663.55,247155
KEC International Limited,KEC,2024-02-22,658.6,671.45,652.25,663.55,655.15,178465
KEC International Limited,KEC,2024-02-21,656.1,663.9,652.0,655.15,655.3,137544
KEC International Limited,KEC,2024-02-20,667.4,670.85,650.0,655.3,667.4,259872
KEC International Limited,KEC,2024-02-19,672.1,675.6,659.55,667.4,668.55,180469
KEC International Limited,KEC,2024-02-16,687.0,689.1,666.7,668.55,689.0,278074
KEC International Limited,KEC,2024-02-15,699.85,704.0,684.0,689.0,695.65,492505
KEC International Limited,KEC,2024-02-14,660.0,699.0,652.7,695.65,672.7,668545
KEC International Limited,KEC,2024-02-13,657.0,675.0,641.3,672.7,655.0,324544
KEC International Limited,KEC,2024-02-12,657.35,670.0,637.0,655.0,658.85,331523
KEC International Limited,KEC,2024-02-09,660.95,671.25,650.0,658.85,660.65,377295
KEC International Limited,KEC,2024-02-08,672.1,685.0,660.0,660.65,653.25,973628
KEC International Limited,KEC,2024-02-07,660.0,665.0,650.0,653.25,659.1,144253
KEC International Limited,KEC,2024-02-06,654.9,665.95,654.05,659.1,652.2,180413
KEC International Limited,KEC,2024-02-05,669.7,669.7,649.6,652.2,666.2,338579
KEC International Limited,KEC,2024-02-02,670.7,670.7,658.9,666.2,660.8,463112
KEC International Limited,KEC,2024-02-01,664.05,667.5,643.55,660.8,657.65,458658
KEC International Limited,KEC,2024-01-31,646.5,675.0,640.55,657.65,628.75,2894576
KEC International Limited,KEC,2024-01-30,640.0,643.7,625.1,628.75,623.7,682302
KEC International Limited,KEC,2024-01-29,616.95,625.75,616.55,623.7,615.95,117685
KEC International Limited,KEC,2024-01-25,625.9,625.9,611.0,615.95,623.95,89124
KEC International Limited,KEC,2024-01-24,618.1,627.0,606.6,623.95,618.1,207490
KEC International Limited,KEC,2024-01-23,620.2,633.0,611.0,618.1,616.95,402037
KEC International Limited,KEC,2024-01-20,625.05,627.45,615.85,616.95,625.05,84475
KEC International Limited,KEC,2024-01-19,624.6,626.5,614.2,625.05,621.5,246701
KEC International Limited,KEC,2024-01-18,615.15,628.0,597.0,621.5,615.2,631267
KEC International Limited,KEC,2024-01-17,621.0,621.0,610.5,615.2,625.1,254396
KEC International Limited,KEC,2024-01-16,623.9,629.15,619.05,625.1,620.55,497437
KEC International Limited,KEC,2024-01-15,613.2,621.7,607.0,620.55,609.95,342633
KEC International Limited,KEC,2024-01-12,608.55,616.0,606.15,609.95,605.5,504228
KEC International Limited,KEC,2024-01-11,609.2,616.3,602.3,605.5,608.95,621819
KEC International Limited,KEC,2024-01-10,608.5,610.0,597.55,608.95,608.0,217912
KEC International Limited,KEC,2024-01-09,613.95,615.35,604.25,608.0,612.25,125067
KEC International Limited,KEC,2024-01-08,611.0,619.7,607.05,612.25,604.3,1133773
KEC International Limited,KEC,2024-01-05,596.0,607.4,591.75,604.3,590.7,617898
KEC International Limited,KEC,2024-01-04,600.0,605.0,589.05,590.7,597.05,349166
KEC International Limited,KEC,2024-01-03,604.55,604.55,596.0,597.05,601.5,249243
KEC International Limited,KEC,2024-01-02,605.55,607.25,596.2,601.5,605.55,186255
KEC International Limited,KEC,2024-01-01,595.75,611.7,588.0,605.55,589.2,1043801
KEC International Limited,KEC,2023-12-29,596.9,598.45,586.05,589.2,590.85,568937
KEC International Limited,KEC,2023-12-28,590.05,605.9,587.0,590.85,590.05,798808
KEC International Limited,KEC,2023-12-27,595.3,595.7,588.65,590.05,592.6,120963
KEC International Limited,KEC,2023-12-26,601.7,603.35,591.25,592.6,598.75,415728
KEC International Limited,KEC,2023-12-22,600.95,604.95,595.0,598.75,597.25,136049
KEC International Limited,KEC,2023-12-21,600.0,605.9,593.0,597.25,606.35,256620
KEC International Limited,KEC,2023-12-20,619.45,623.2,601.2,606.35,615.6,343191
KEC International Limited,KEC,2023-12-19,613.95,620.95,610.2,615.6,611.05,318688
KEC International Limited,KEC,2023-12-18,618.0,621.7,609.0,611.05,615.2,215342
KEC International Limited,KEC,2023-12-15,620.3,623.7,614.2,615.2,617.4,178263
KEC International Limited,KEC,2023-12-14,630.1,630.45,615.5,617.4,627.2,203481
KEC International Limited,KEC,2023-12-13,628.05,632.95,621.0,627.2,625.8,425458
KEC International Limited,KEC,2023-12-12,621.6,628.25,615.0,625.8,618.3,228514
KEC International Limited,KEC,2023-12-11,624.05,631.45,617.0,618.3,626.3,268277
KEC International Limited,KEC,2023-12-08,629.8,631.8,622.0,626.3,629.8,172363
KEC International Limited,KEC,2023-12-07,622.85,636.9,615.2,629.8,622.85,477021
KEC International Limited,KEC,2023-12-06,619.35,624.5,610.8,622.85,616.4,299568
KEC International Limited,KEC,2023-12-05,607.2,619.15,606.2,616.4,611.6,559696
KEC International Limited,KEC,2023-12-04,595.0,613.5,594.05,611.6,589.6,726473
KEC International Limited,KEC,2023-12-01,581.25,593.2,579.3,589.6,578.35,711840
KEC International Limited,KEC,2023-11-30,580.25,585.45,574.0,578.35,580.2,304677
KEC International Limited,KEC,2023-11-29,568.0,588.5,568.0,580.2,567.5,555653
KEC International Limited,KEC,2023-11-28,577.6,581.5,566.15,567.5,577.6,436664
KEC International Limited,KEC,2023-11-24,587.3,587.3,575.55,577.6,585.25,295974
KEC International Limited,KEC,2023-11-23,599.7,601.0,582.65,585.25,596.7,195668
KEC International Limited,KEC,2023-11-22,602.0,605.85,592.1,596.7,595.75,292842
KEC International Limited,KEC,2023-11-21,621.7,626.0,592.0,595.75,599.35,1570975
KEC International Limited,KEC,2023-11-20,599.0,602.4,587.2,599.35,599.0,286296
KEC International Limited,KEC,2023-11-17,584.6,600.8,578.5,599.0,585.1,386419
KEC International Limited,KEC,2023-11-16,591.95,594.6,578.0,585.1,592.8,614365
KEC International Limited,KEC,2023-11-15,576.4,598.0,569.0,592.8,571.5,839390
KEC International Limited,KEC,2023-11-13,579.6,579.9,563.25,571.5,579.6,404109
KEC International Limited,KEC,2023-11-12,580.0,583.7,578.0,579.6,576.75,62968
KEC International Limited,KEC,2023-11-10,574.0,582.0,571.2,576.75,576.0,208328
KEC International Limited,KEC,2023-11-09,556.1,580.0,556.0,576.0,558.55,844572
KEC International Limited,KEC,2023-11-08,561.95,566.95,550.05,558.55,560.2,1309743
KEC International Limited,KEC,2023-11-07,584.9,584.9,558.0,560.2,581.8,960076
KEC International Limited,KEC,2023-11-06,604.2,610.15,577.0,581.8,601.1,655873
KEC International Limited,KEC,2023-11-03,620.0,626.15,600.0,601.1,614.7,280554
KEC International Limited,KEC,2023-11-02,626.0,635.15,613.25,614.7,621.45,392487
