StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
KEI Industries Limited,KEI,2024-03-28,3524.0,3530.0,3428.15,3459.8,3476.3,121508
KEI Industries Limited,KEI,2024-03-27,3530.0,3593.0,3437.45,3476.3,3473.85,566239
KEI Industries Limited,KEI,2024-03-26,3422.95,3510.0,3362.0,3473.85,3422.95,175861
KEI Industries Limited,KEI,2024-03-22,3405.1,3472.75,3367.35,3422.95,3405.1,143188
KEI Industries Limited,KEI,2024-03-21,3440.0,3464.95,3340.4,3405.1,3420.1,362859
KEI Industries Limited,KEI,2024-03-20,3300.1,3432.0,3206.6,3420.1,3301.55,407532
KEI Industries Limited,KEI,2024-03-19,3185.25,3324.95,3169.65,3301.55,3184.15,399577
KEI Industries Limited,KEI,2024-03-18,3214.9,3221.55,3112.5,3184.15,3217.9,193304
KEI Industries Limited,KEI,2024-03-15,3103.85,3275.0,3060.1,3217.9,3097.65,309103
KEI Industries Limited,KEI,2024-03-14,3003.5,3144.7,2900.1,3097.65,3005.55,321260
KEI Industries Limited,KEI,2024-03-13,3266.75,3283.95,2950.05,3005.55,3266.75,362409
KEI Industries Limited,KEI,2024-03-12,3359.9,3378.05,3260.05,3266.75,3352.8,94662
KEI Industries Limited,KEI,2024-03-11,3439.6,3475.0,3326.0,3352.8,3394.75,176591
KEI Industries Limited,KEI,2024-03-07,3356.55,3410.0,3293.55,3394.75,3356.55,198796
KEI Industries Limited,KEI,2024-03-06,3379.95,3397.2,3225.0,3356.55,3382.25,224695
KEI Industries Limited,KEI,2024-03-05,3422.15,3438.75,3358.6,3382.25,3420.4,170976
KEI Industries Limited,KEI,2024-03-04,3215.9,3444.95,3206.4,3420.4,3214.15,574464
KEI Industries Limited,KEI,2024-03-02,3240.0,3262.0,3210.0,3214.15,3207.15,5447
KEI Industries Limited,KEI,2024-03-01,3230.0,3249.95,3195.0,3207.15,3210.75,82358
KEI Industries Limited,KEI,2024-02-29,3269.95,3283.15,3195.0,3210.75,3268.05,177010
KEI Industries Limited,KEI,2024-02-28,3280.0,3314.75,3238.45,3268.05,3262.1,139443
KEI Industries Limited,KEI,2024-02-27,3180.0,3290.0,3165.1,3262.1,3183.6,197113
KEI Industries Limited,KEI,2024-02-26,3159.8,3204.6,3128.0,3183.6,3159.8,231860
KEI Industries Limited,KEI,2024-02-23,3136.25,3196.9,3092.55,3159.8,3116.2,304576
KEI Industries Limited,KEI,2024-02-22,3222.75,3222.75,3100.0,3116.2,3210.45,210071
KEI Industries Limited,KEI,2024-02-21,3294.05,3299.7,3200.0,3210.45,3291.0,110341
KEI Industries Limited,KEI,2024-02-20,3275.0,3300.4,3252.8,3291.0,3276.15,120005
KEI Industries Limited,KEI,2024-02-19,3281.0,3309.9,3200.05,3276.15,3274.5,148258
KEI Industries Limited,KEI,2024-02-16,3331.0,3378.45,3268.75,3274.5,3328.7,174215
KEI Industries Limited,KEI,2024-02-15,3317.75,3359.1,3296.9,3328.7,3307.9,98488
KEI Industries Limited,KEI,2024-02-14,3250.0,3319.95,3201.0,3307.9,3305.25,90283
KEI Industries Limited,KEI,2024-02-13,3225.0,3326.8,3180.0,3305.25,3220.65,116487
KEI Industries Limited,KEI,2024-02-12,3348.9,3348.9,3200.0,3220.65,3320.0,114560
KEI Industries Limited,KEI,2024-02-09,3260.0,3339.0,3184.5,3320.0,3228.35,213348
KEI Industries Limited,KEI,2024-02-08,3300.0,3369.8,3218.9,3228.35,3295.25,177028
KEI Industries Limited,KEI,2024-02-07,3269.5,3319.0,3240.15,3295.25,3259.9,120893
KEI Industries Limited,KEI,2024-02-06,3188.55,3295.6,3184.05,3259.9,3172.65,258068
KEI Industries Limited,KEI,2024-02-05,3200.75,3204.05,3135.0,3172.65,3200.8,92970
KEI Industries Limited,KEI,2024-02-02,3178.0,3240.0,3161.35,3200.8,3158.55,152460
KEI Industries Limited,KEI,2024-02-01,3217.7,3217.7,3135.1,3158.55,3193.1,89462
KEI Industries Limited,KEI,2024-01-31,3080.9,3215.0,3050.0,3193.1,3061.95,300884
KEI Industries Limited,KEI,2024-01-30,3228.65,3249.9,3040.0,3061.95,3193.15,330910
KEI Industries Limited,KEI,2024-01-29,3199.8,3221.75,3119.05,3193.15,3183.0,285287
KEI Industries Limited,KEI,2024-01-25,3318.0,3318.0,3161.5,3183.0,3314.75,342393
KEI Industries Limited,KEI,2024-01-24,3050.0,3360.0,2994.35,3314.75,3014.25,1351575
KEI Industries Limited,KEI,2024-01-23,3029.0,3142.05,2977.05,3014.25,3026.4,355554
KEI Industries Limited,KEI,2024-01-20,3126.6,3134.05,2994.0,3026.4,3112.85,120898
KEI Industries Limited,KEI,2024-01-19,3147.0,3159.0,3026.95,3112.85,3140.4,369313
KEI Industries Limited,KEI,2024-01-18,3143.05,3168.1,3057.7,3140.4,3149.95,333355
KEI Industries Limited,KEI,2024-01-17,3050.0,3164.0,3020.0,3149.95,3062.75,345298
KEI Industries Limited,KEI,2024-01-16,3034.0,3079.8,3015.75,3062.75,3012.9,400705
KEI Industries Limited,KEI,2024-01-15,3025.0,3060.45,2992.35,3012.9,2988.0,430646
KEI Industries Limited,KEI,2024-01-12,3039.95,3039.95,2976.1,2988.0,2980.95,460861
KEI Industries Limited,KEI,2024-01-11,3085.2,3088.95,2822.45,2980.95,3148.2,2342717
KEI Industries Limited,KEI,2024-01-10,3220.95,3290.85,3137.95,3148.2,3220.85,208506
KEI Industries Limited,KEI,2024-01-09,3387.95,3387.95,3200.0,3220.85,3314.4,219380
KEI Industries Limited,KEI,2024-01-08,3404.95,3418.85,3294.0,3314.4,3380.25,196051
KEI Industries Limited,KEI,2024-01-05,3390.1,3416.0,3316.0,3380.25,3345.9,163745
KEI Industries Limited,KEI,2024-01-04,3258.6,3415.0,3240.45,3345.9,3226.45,420591
KEI Industries Limited,KEI,2024-01-03,3208.55,3259.95,3131.1,3226.45,3183.3,175970
KEI Industries Limited,KEI,2024-01-02,3198.95,3225.0,3114.05,3183.3,3192.75,173926
KEI Industries Limited,KEI,2024-01-01,3249.95,3249.95,3167.0,3192.75,3249.45,147099
KEI Industries Limited,KEI,2023-12-29,3278.0,3284.95,3214.45,3249.45,3286.7,199794
KEI Industries Limited,KEI,2023-12-28,3126.15,3308.0,3126.15,3286.7,3123.3,611727
KEI Industries Limited,KEI,2023-12-27,3084.0,3199.0,3067.35,3123.3,3061.75,288120
KEI Industries Limited,KEI,2023-12-26,3065.0,3087.0,3037.55,3061.75,3056.65,105637
KEI Industries Limited,KEI,2023-12-22,2985.0,3076.0,2970.0,3056.65,2959.75,250175
KEI Industries Limited,KEI,2023-12-21,2944.95,2989.0,2848.55,2959.75,2979.4,351149
KEI Industries Limited,KEI,2023-12-20,3050.0,3050.0,2930.0,2979.4,2983.35,219556
KEI Industries Limited,KEI,2023-12-19,3030.0,3053.5,2975.05,2983.35,3037.1,363943
KEI Industries Limited,KEI,2023-12-18,3049.0,3050.0,3010.15,3037.1,3075.9,131499
KEI Industries Limited,KEI,2023-12-15,3076.0,3127.5,3001.05,3075.9,3045.25,245279
KEI Industries Limited,KEI,2023-12-14,3029.0,3153.95,3000.0,3045.25,3012.75,461627
KEI Industries Limited,KEI,2023-12-13,2963.3,3021.3,2943.45,3012.75,2963.3,163635
KEI Industries Limited,KEI,2023-12-12,2950.0,3030.0,2950.0,2963.3,2930.35,214391
KEI Industries Limited,KEI,2023-12-11,2974.0,2995.95,2918.05,2930.35,2966.6,211079
KEI Industries Limited,KEI,2023-12-08,3030.05,3031.15,2958.0,2966.6,3032.25,172026
KEI Industries Limited,KEI,2023-12-07,2901.95,3060.0,2893.65,3032.25,2901.8,873692
KEI Industries Limited,KEI,2023-12-06,2940.5,2952.55,2858.05,2901.8,2925.9,298338
KEI Industries Limited,KEI,2023-12-05,2889.95,2964.5,2870.65,2925.9,2871.5,258464
KEI Industries Limited,KEI,2023-12-04,2888.95,2903.55,2840.7,2871.5,2870.55,143752
KEI Industries Limited,KEI,2023-12-01,2894.9,2951.0,2855.1,2870.55,2880.55,135852
KEI Industries Limited,KEI,2023-11-30,2809.0,2895.0,2801.0,2880.55,2801.05,236920
KEI Industries Limited,KEI,2023-11-29,2790.0,2811.0,2740.05,2801.05,2760.55,180749
KEI Industries Limited,KEI,2023-11-28,2832.0,2846.9,2740.0,2760.55,2808.0,252864
KEI Industries Limited,KEI,2023-11-24,2824.0,2883.15,2800.0,2808.0,2802.75,174816
KEI Industries Limited,KEI,2023-11-23,2863.9,2874.0,2773.05,2802.75,2847.9,298929
KEI Industries Limited,KEI,2023-11-22,2959.95,2959.95,2816.0,2847.9,2965.35,468966
KEI Industries Limited,KEI,2023-11-21,2800.0,2998.95,2786.2,2965.35,2774.8,1027821
KEI Industries Limited,KEI,2023-11-20,2722.75,2814.0,2693.05,2774.8,2722.75,547577
KEI Industries Limited,KEI,2023-11-17,2665.0,2820.0,2629.65,2722.75,2666.4,773780
KEI Industries Limited,KEI,2023-11-16,2569.8,2675.0,2553.25,2666.4,2553.2,327435
KEI Industries Limited,KEI,2023-11-15,2600.55,2602.0,2547.0,2553.2,2579.05,201096
KEI Industries Limited,KEI,2023-11-13,2584.9,2593.85,2556.95,2579.05,2571.85,122805
KEI Industries Limited,KEI,2023-11-12,2585.0,2602.15,2551.85,2571.85,2575.45,21286
KEI Industries Limited,KEI,2023-11-10,2507.0,2598.0,2485.0,2575.45,2528.5,242057
KEI Industries Limited,KEI,2023-11-09,2568.0,2575.9,2515.5,2528.5,2556.35,114032
KEI Industries Limited,KEI,2023-11-08,2575.05,2585.0,2523.4,2556.35,2566.6,100906
KEI Industries Limited,KEI,2023-11-07,2593.1,2595.75,2552.5,2566.6,2593.1,68178
KEI Industries Limited,KEI,2023-11-06,2604.7,2628.0,2564.05,2593.1,2570.0,116235
KEI Industries Limited,KEI,2023-11-03,2586.0,2648.4,2555.3,2570.0,2585.7,277805
KEI Industries Limited,KEI,2023-11-02,2505.0,2622.0,2500.0,2585.7,2470.1,757976
KEI Industries Limited,KEI,2023-11-01,2452.0,2494.0,2411.65,2470.1,2402.4,629811
KEI Industries Limited,KEI,2023-10-31,2430.0,2437.85,2321.1,2402.4,2472.25,530865
KEI Industries Limited,KEI,2023-10-30,2519.9,2519.9,2408.35,2472.25,2510.3,296043
KEI Industries Limited,KEI,2023-10-27,2538.45,2552.0,2494.0,2510.3,2494.25,151416
KEI Industries Limited,KEI,2023-10-26,2450.1,2524.85,2361.15,2494.25,2450.1,290303
KEI Industries Limited,KEI,2023-10-25,2545.9,2558.65,2356.6,2450.1,2545.9,433461
KEI Industries Limited,KEI,2023-10-23,2629.2,2629.2,2526.5,2545.9,2629.2,273059
KEI Industries Limited,KEI,2023-10-20,2665.05,2690.0,2621.25,2629.2,2665.05,86450
KEI Industries Limited,KEI,2023-10-19,2715.0,2720.0,2655.05,2665.05,2722.45,147301
KEI Industries Limited,KEI,2023-10-18,2706.7,2744.5,2692.25,2722.45,2685.65,194343
KEI Industries Limited,KEI,2023-10-17,2709.9,2730.0,2670.0,2685.65,2684.45,170963
KEI Industries Limited,KEI,2023-10-16,2742.0,2755.5,2665.7,2684.45,2713.6,121084
KEI Industries Limited,KEI,2023-10-13,2691.0,2765.95,2691.0,2713.6,2698.55,168334
KEI Industries Limited,KEI,2023-10-12,2684.0,2705.9,2675.05,2698.55,2670.5,198401
KEI Industries Limited,KEI,2023-10-11,2697.0,2701.45,2650.95,2670.5,2684.0,314798
KEI Industries Limited,KEI,2023-10-10,2697.95,2718.65,2665.0,2684.0,2672.7,182368
KEI Industries Limited,KEI,2023-10-09,2657.95,2709.8,2644.95,2672.7,2725.8,173841
KEI Industries Limited,KEI,2023-10-06,2700.0,2740.0,2698.0,2725.8,2698.0,205213
KEI Industries Limited,KEI,2023-10-05,2679.9,2735.0,2624.0,2698.0,2655.25,520925
KEI Industries Limited,KEI,2023-10-04,2709.0,2710.0,2640.0,2655.25,2700.6,346847
KEI Industries Limited,KEI,2023-10-03,2659.9,2725.0,2575.0,2700.6,2653.2,392069
KEI Industries Limited,KEI,2023-09-29,2665.0,2669.95,2616.0,2653.2,2658.8,275756
KEI Industries Limited,KEI,2023-09-28,2617.15,2671.0,2600.0,2658.8,2617.15,321974
KEI Industries Limited,KEI,2023-09-27,2525.0,2626.05,2505.0,2617.15,2508.95,423911
KEI Industries Limited,KEI,2023-09-26,2436.15,2557.0,2435.75,2508.95,2415.35,491368
KEI Industries Limited,KEI,2023-09-25,2431.0,2479.7,2363.0,2415.35,2479.7,372051
KEI Industries Limited,KEI,2023-09-22,2564.0,2570.0,2431.3,2479.7,2573.6,404893
KEI Industries Limited,KEI,2023-09-21,2597.9,2597.9,2560.0,2573.6,2597.9,106617
KEI Industries Limited,KEI,2023-09-20,2627.0,2633.25,2581.35,2597.9,2627.05,150192
KEI Industries Limited,KEI,2023-09-18,2682.75,2682.75,2605.5,2627.05,2651.65,276325
KEI Industries Limited,KEI,2023-09-15,2643.5,2672.0,2595.2,2651.65,2630.3,338057
KEI Industries Limited,KEI,2023-09-14,2593.9,2646.7,2578.1,2630.3,2576.1,197236
KEI Industries Limited,KEI,2023-09-13,2565.0,2604.95,2485.1,2576.1,2563.85,242626
KEI Industries Limited,KEI,2023-09-12,2613.95,2643.3,2503.55,2563.85,2593.05,483036
KEI Industries Limited,KEI,2023-09-11,2545.3,2599.85,2530.05,2593.05,2518.45,312594
KEI Industries Limited,KEI,2023-09-08,2564.8,2568.9,2476.35,2518.45,2547.8,345522
KEI Industries Limited,KEI,2023-09-07,2588.85,2588.85,2539.95,2547.8,2567.15,207312
KEI Industries Limited,KEI,2023-09-05,2638.0,2657.8,2586.05,2627.4,2603.9,200772
KEI Industries Limited,KEI,2023-09-01,2712.55,2724.95,2662.25,2681.4,2707.5,187873
KEI Industries Limited,KEI,2023-08-31,2699.95,2719.9,2666.3,2707.5,2684.15,239004
KEI Industries Limited,KEI,2023-08-30,2635.0,2717.85,2631.2,2684.15,2618.95,451237
KEI Industries Limited,KEI,2023-08-29,2608.4,2628.0,2585.0,2618.95,2607.45,99043
KEI Industries Limited,KEI,2023-08-28,2626.0,2638.5,2595.05,2607.45,2614.6,266512
KEI Industries Limited,KEI,2023-08-25,2600.0,2630.0,2556.1,2614.6,2618.25,196170
KEI Industries Limited,KEI,2023-08-24,2598.8,2627.0,2590.0,2618.25,2580.0,290762
KEI Industries Limited,KEI,2023-08-23,2545.0,2593.45,2526.05,2580.0,2545.55,147239
KEI Industries Limited,KEI,2023-08-22,2550.0,2562.0,2533.45,2545.55,2522.9,157055
KEI Industries Limited,KEI,2023-08-21,2485.15,2529.0,2474.6,2522.9,2454.75,441391
KEI Industries Limited,KEI,2023-08-18,2428.95,2485.95,2422.0,2454.75,2415.3,573159
KEI Industries Limited,KEI,2023-08-17,2356.9,2454.15,2350.0,2415.3,2345.65,361173
KEI Industries Limited,KEI,2023-08-16,2280.15,2366.8,2223.0,2345.65,2278.95,212987
KEI Industries Limited,KEI,2023-08-14,2325.0,2328.7,2268.65,2278.95,2328.7,151844
KEI Industries Limited,KEI,2023-08-11,2377.8,2381.95,2321.0,2328.7,2366.05,129798
KEI Industries Limited,KEI,2023-08-10,2419.5,2439.5,2350.2,2366.05,2412.8,122585
KEI Industries Limited,KEI,2023-08-09,2425.0,2441.9,2400.0,2412.8,2421.45,119973
KEI Industries Limited,KEI,2023-08-08,2428.0,2473.9,2403.1,2421.45,2374.35,392503
KEI Industries Limited,KEI,2023-08-07,2455.4,2462.35,2362.0,2374.35,2425.05,216418
KEI Industries Limited,KEI,2023-08-04,2340.0,2444.5,2337.0,2425.05,2337.7,462360
KEI Industries Limited,KEI,2023-08-03,2356.0,2402.7,2314.25,2337.7,2372.75,275212
KEI Industries Limited,KEI,2023-08-02,2275.05,2411.9,2275.05,2372.75,2270.35,1136598
KEI Industries Limited,KEI,2023-08-01,2300.0,2406.25,2225.1,2270.35,2429.55,2364777
KEI Industries Limited,KEI,2023-07-31,2460.0,2487.9,2405.5,2429.55,2437.6,279900
KEI Industries Limited,KEI,2023-07-28,2496.95,2506.8,2430.0,2437.6,2497.5,164773
KEI Industries Limited,KEI,2023-07-27,2499.3,2518.85,2451.0,2497.5,2477.55,193278
KEI Industries Limited,KEI,2023-07-26,2606.0,2606.0,2406.25,2477.55,2587.8,415893
KEI Industries Limited,KEI,2023-07-25,2636.15,2644.0,2566.2,2587.8,2623.0,136068
KEI Industries Limited,KEI,2023-07-24,2582.9,2654.5,2563.65,2623.0,2568.75,221077
KEI Industries Limited,KEI,2023-07-21,2569.95,2640.0,2550.0,2568.75,2570.75,425969
KEI Industries Limited,KEI,2023-07-20,2591.95,2624.0,2544.9,2570.75,2563.1,440085
KEI Industries Limited,KEI,2023-07-19,2449.45,2815.15,2441.2,2563.1,2439.45,2730713
KEI Industries Limited,KEI,2023-07-18,2440.25,2474.7,2365.4,2439.45,2422.05,404636
KEI Industries Limited,KEI,2023-07-17,2450.0,2459.0,2410.45,2422.05,2446.45,77156
KEI Industries Limited,KEI,2023-07-14,2445.85,2464.9,2427.65,2446.45,2433.65,93974
KEI Industries Limited,KEI,2023-07-13,2444.8,2462.95,2418.25,2433.65,2420.95,130802
KEI Industries Limited,KEI,2023-07-12,2377.85,2433.7,2342.65,2420.95,2364.5,228569
KEI Industries Limited,KEI,2023-07-11,2300.4,2385.0,2292.55,2364.5,2299.55,128198
KEI Industries Limited,KEI,2023-07-10,2325.0,2340.0,2290.05,2299.55,2308.75,75541
KEI Industries Limited,KEI,2023-07-07,2305.0,2334.95,2292.05,2308.75,2311.6,56078
KEI Industries Limited,KEI,2023-07-06,2337.95,2352.5,2292.15,2311.6,2328.85,137876
KEI Industries Limited,KEI,2023-07-05,2347.95,2347.95,2325.05,2328.85,2329.45,97318
KEI Industries Limited,KEI,2023-07-04,2303.95,2359.0,2303.4,2329.45,2293.4,156280
KEI Industries Limited,KEI,2023-07-03,2323.95,2334.75,2276.5,2293.4,2315.6,86057
KEI Industries Limited,KEI,2023-06-30,2333.95,2334.85,2285.0,2315.6,2318.8,90608
KEI Industries Limited,KEI,2023-06-28,2364.0,2364.0,2295.05,2318.8,2345.55,94901
KEI Industries Limited,KEI,2023-06-27,2349.25,2362.0,2329.0,2345.55,2349.25,110812
KEI Industries Limited,KEI,2023-06-26,2358.55,2358.55,2315.0,2349.25,2343.25,133192
KEI Industries Limited,KEI,2023-06-23,2366.85,2370.0,2320.05,2343.25,2353.6,300328
KEI Industries Limited,KEI,2023-06-22,2242.6,2392.0,2242.6,2353.6,2240.5,1188034
KEI Industries Limited,KEI,2023-06-21,2244.0,2260.0,2222.1,2240.5,2234.3,133110
KEI Industries Limited,KEI,2023-06-20,2258.8,2258.8,2216.0,2234.3,2238.8,95112
KEI Industries Limited,KEI,2023-06-19,2261.4,2261.5,2201.05,2238.8,2242.9,168537
KEI Industries Limited,KEI,2023-06-16,2300.0,2311.95,2238.85,2242.9,2312.55,239670
KEI Industries Limited,KEI,2023-06-15,2219.0,2375.0,2182.05,2312.55,2205.7,398499
KEI Industries Limited,KEI,2023-06-14,2121.35,2233.15,2115.0,2205.7,2104.55,911788
KEI Industries Limited,KEI,2023-06-13,2085.0,2114.0,2048.3,2104.55,2069.95,137294
KEI Industries Limited,KEI,2023-06-12,2120.65,2125.15,2051.2,2069.95,2103.55,174327
KEI Industries Limited,KEI,2023-06-09,2135.1,2161.0,2088.0,2103.55,2131.5,103735
KEI Industries Limited,KEI,2023-06-08,2177.0,2183.45,2120.05,2131.5,2166.05,106095
KEI Industries Limited,KEI,2023-06-07,2092.55,2179.0,2092.5,2166.05,2091.9,269961
KEI Industries Limited,KEI,2023-06-06,2125.0,2144.7,2085.0,2091.9,2115.05,316724
KEI Industries Limited,KEI,2023-06-05,2114.0,2144.7,2095.25,2115.05,2094.3,153265
KEI Industries Limited,KEI,2023-06-02,2068.9,2122.4,2050.25,2094.3,2058.0,301987
KEI Industries Limited,KEI,2023-06-01,1997.15,2068.0,1997.0,2058.0,1997.15,306978
KEI Industries Limited,KEI,2023-05-31,2004.0,2030.0,1987.0,1997.15,1997.25,156500
KEI Industries Limited,KEI,2023-05-30,1993.1,2020.0,1989.85,1997.25,1993.1,74776
KEI Industries Limited,KEI,2023-05-29,2000.0,2028.45,1984.2,1993.1,2001.75,183379
KEI Industries Limited,KEI,2023-05-26,1996.9,2015.0,1980.0,2001.75,1988.6,99750
KEI Industries Limited,KEI,2023-05-25,1968.8,2009.0,1950.05,1988.6,1959.95,139853
