StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-28,2060.0,2077.2,2050.9,2059.25,2059.4,47946
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-27,2066.25,2090.0,2054.4,2059.4,2047.85,44410
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-26,2030.15,2120.95,2030.15,2047.85,2021.7,136730
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-22,2020.65,2058.95,2005.0,2021.7,2002.75,60521
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-21,2033.95,2033.95,1988.9,2002.75,2000.2,105060
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-20,1985.7,2010.0,1980.6,2000.2,1985.7,213852
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-19,1963.0,1995.8,1963.0,1985.7,1972.0,129123
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-18,1902.05,1999.5,1885.55,1972.0,2010.35,163251
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-15,1988.0,2028.95,1988.0,2010.35,1987.25,46806
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-14,1950.0,2061.45,1947.6,1987.25,1994.55,37650
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-13,2047.4,2047.4,1974.9,1994.55,2047.4,50366
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-12,2077.75,2077.75,1981.6,2047.4,2047.05,77190
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-11,2095.0,2114.95,2030.0,2047.05,2096.9,75571
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-07,2121.0,2121.0,2090.25,2096.9,2107.05,25492
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-06,2128.7,2156.2,2089.9,2107.05,2129.75,121217
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-05,2217.75,2217.75,2120.0,2129.75,2159.8,221273
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-04,2210.1,2249.0,2137.55,2159.8,2230.55,200216
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-02,2215.0,2270.0,2206.6,2230.55,2215.35,5189
Krishna Institute of Medical Sciences Limited,KIMS,2024-03-01,2230.0,2256.0,2120.05,2215.35,2257.2,314834
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-29,2262.05,2356.4,2245.3,2257.2,2289.85,213917
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-28,2240.7,2307.0,2240.0,2289.85,2262.95,173612
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-27,2225.55,2275.0,2225.55,2262.95,2248.05,15955
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-26,2265.0,2277.55,2235.0,2248.05,2245.4,28728
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-23,2211.0,2250.0,2202.1,2245.4,2213.35,20793
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-22,2201.55,2230.0,2199.95,2213.35,2223.45,23242
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-21,2263.0,2265.0,2189.05,2223.45,2245.35,135084
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-20,2243.85,2250.0,2231.1,2245.35,2229.7,66707
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-19,2269.8,2288.25,2220.2,2229.7,2242.7,29160
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-16,2239.8,2269.0,2230.5,2242.7,2237.85,105868
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-15,2174.25,2278.95,2155.9,2237.85,2163.4,199726
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-14,2149.95,2180.95,2121.0,2163.4,2184.1,74136
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-13,2123.9,2199.4,2123.9,2184.1,2128.25,70310
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-12,2193.5,2193.5,2106.1,2128.25,2169.35,43928
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-09,2138.0,2193.5,2096.95,2169.35,2127.85,52686
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-08,2156.05,2174.0,2103.8,2127.85,2156.0,51406
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-07,2148.3,2176.0,2105.1,2156.0,2133.6,128873
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-06,2129.85,2171.65,2064.05,2133.6,2092.9,137190
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-05,2099.0,2143.85,2062.0,2092.9,2147.75,131596
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-02,2165.0,2170.0,2128.1,2147.75,2161.25,150175
Krishna Institute of Medical Sciences Limited,KIMS,2024-02-01,2136.0,2182.9,2136.0,2161.25,2136.1,122055
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-31,2077.8,2156.55,2076.5,2136.1,2076.5,244201
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-30,2082.9,2100.0,2062.35,2076.5,2074.2,40400
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-29,2079.0,2088.25,2051.05,2074.2,2074.25,29757
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-25,2100.0,2100.0,2053.15,2074.25,2083.4,47196
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-24,2017.2,2115.0,1996.85,2083.4,2017.2,67135
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-23,2058.9,2068.0,2004.85,2017.2,2058.9,69046
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-20,2058.0,2079.0,2045.3,2058.9,2049.7,15521
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-19,2035.0,2094.25,2029.3,2049.7,2022.35,130525
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-18,2009.9,2034.7,1977.0,2022.35,2003.45,46394
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-17,2009.3,2018.75,1985.4,2003.45,2011.3,26268
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-16,2000.0,2020.0,1992.1,2011.3,1990.65,152246
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-15,2017.15,2017.95,1961.3,1990.65,2007.1,64712
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-12,2018.0,2029.0,1995.0,2007.1,2015.6,14672
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-11,2032.0,2041.1,2012.15,2015.6,2024.95,168603
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-10,2036.0,2036.0,2007.1,2024.95,2016.4,74351
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-09,2018.15,2076.15,1990.3,2016.4,2000.1,384573
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-08,2001.0,2022.55,1975.0,2000.1,2000.2,38689
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-05,1996.2,2044.0,1994.05,2000.2,1978.5,532706
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-04,1959.9,1993.05,1950.35,1978.5,1945.0,39525
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-03,1956.0,1966.7,1903.25,1945.0,1943.7,40347
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-02,1973.0,1989.95,1938.0,1943.7,1958.1,48936
Krishna Institute of Medical Sciences Limited,KIMS,2024-01-01,1979.0,1992.05,1952.95,1958.1,1979.2,64419
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-29,1998.75,2000.9,1969.8,1979.2,1998.75,44995
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-28,2015.0,2034.95,1990.0,1998.75,1999.95,227834
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-27,2016.9,2019.6,1989.05,1999.95,1999.2,156091
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-26,2018.25,2052.95,1995.0,1999.2,1979.5,71040
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-22,1985.0,1997.55,1966.75,1979.5,1974.95,22205
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-21,1951.05,1984.95,1929.3,1974.95,1951.05,140578
Krishna Institute of Medical Sciences Limited,KIMS,2023-12-20,1989.0,2008.9,1944.8,1951.05,1978.1,77341
