StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
KNR Constructions Limited,KNRCON,2024-03-28,250.0,253.0,245.25,246.3,247.6,581860
KNR Constructions Limited,KNRCON,2024-03-27,252.85,256.0,245.6,247.6,251.25,514302
KNR Constructions Limited,KNRCON,2024-03-26,253.9,256.9,249.0,251.25,255.3,494849
KNR Constructions Limited,KNRCON,2024-03-22,255.2,259.9,253.35,255.3,255.35,346087
KNR Constructions Limited,KNRCON,2024-03-21,252.95,257.75,250.6,255.35,250.65,751239
KNR Constructions Limited,KNRCON,2024-03-20,242.0,252.0,240.1,250.65,240.05,1154754
KNR Constructions Limited,KNRCON,2024-03-19,239.45,241.75,237.65,240.05,238.4,489465
KNR Constructions Limited,KNRCON,2024-03-18,241.7,246.0,236.8,238.4,240.4,701676
KNR Constructions Limited,KNRCON,2024-03-15,245.0,247.85,236.75,240.4,245.0,1396092
KNR Constructions Limited,KNRCON,2024-03-14,241.6,249.0,240.55,245.0,245.55,1243900
KNR Constructions Limited,KNRCON,2024-03-13,270.0,271.7,241.65,245.55,264.2,1355030
KNR Constructions Limited,KNRCON,2024-03-12,273.0,273.95,260.65,264.2,273.6,1271488
KNR Constructions Limited,KNRCON,2024-03-11,277.8,280.95,273.05,273.6,276.8,415952
KNR Constructions Limited,KNRCON,2024-03-07,273.1,281.0,272.05,276.8,271.4,752026
KNR Constructions Limited,KNRCON,2024-03-06,281.8,281.8,269.1,271.4,281.15,954406
KNR Constructions Limited,KNRCON,2024-03-05,284.95,284.95,276.35,281.15,282.05,773810
KNR Constructions Limited,KNRCON,2024-03-04,272.05,284.55,270.6,282.05,272.05,1964134
KNR Constructions Limited,KNRCON,2024-03-02,273.45,273.95,270.95,272.05,271.95,57637
KNR Constructions Limited,KNRCON,2024-03-01,269.95,275.25,269.55,271.95,268.0,387176
KNR Constructions Limited,KNRCON,2024-02-29,276.4,276.4,266.65,268.0,275.35,1018381
KNR Constructions Limited,KNRCON,2024-02-28,282.0,291.2,272.2,275.35,280.9,4318400
KNR Constructions Limited,KNRCON,2024-02-27,267.2,282.0,265.95,280.9,267.15,3160534
KNR Constructions Limited,KNRCON,2024-02-26,266.85,269.8,265.0,267.15,265.6,384434
KNR Constructions Limited,KNRCON,2024-02-23,264.8,267.6,263.1,265.6,263.45,371843
KNR Constructions Limited,KNRCON,2024-02-22,266.8,269.4,260.2,263.45,266.45,666295
KNR Constructions Limited,KNRCON,2024-02-21,271.05,273.1,264.3,266.45,270.7,689851
KNR Constructions Limited,KNRCON,2024-02-20,277.75,279.4,269.2,270.7,275.8,511557
KNR Constructions Limited,KNRCON,2024-02-19,271.0,284.0,270.35,275.8,270.15,1398098
KNR Constructions Limited,KNRCON,2024-02-16,271.95,273.55,269.6,270.15,271.1,527889
KNR Constructions Limited,KNRCON,2024-02-15,271.95,274.5,268.55,271.1,270.7,537722
KNR Constructions Limited,KNRCON,2024-02-14,258.45,274.8,257.5,270.7,259.9,773485
KNR Constructions Limited,KNRCON,2024-02-13,261.0,264.25,254.0,259.9,261.9,882469
KNR Constructions Limited,KNRCON,2024-02-12,272.95,273.5,260.15,261.9,272.15,1003931
KNR Constructions Limited,KNRCON,2024-02-09,283.65,283.65,269.3,272.15,285.35,1681998
KNR Constructions Limited,KNRCON,2024-02-08,286.0,291.4,277.6,285.35,284.7,1478186
KNR Constructions Limited,KNRCON,2024-02-07,289.55,292.0,282.75,284.7,286.95,1020596
KNR Constructions Limited,KNRCON,2024-02-06,283.0,289.6,282.95,286.95,283.05,1128066
KNR Constructions Limited,KNRCON,2024-02-05,286.0,289.0,281.0,283.05,283.2,1073991
KNR Constructions Limited,KNRCON,2024-02-02,277.15,288.25,276.2,283.2,275.75,3160867
KNR Constructions Limited,KNRCON,2024-02-01,279.0,280.75,272.7,275.75,276.6,1407244
KNR Constructions Limited,KNRCON,2024-01-31,271.8,278.0,270.9,276.6,270.9,1415217
KNR Constructions Limited,KNRCON,2024-01-30,270.0,273.85,267.5,270.9,267.5,1154284
KNR Constructions Limited,KNRCON,2024-01-29,266.0,269.9,265.05,267.5,263.15,726362
KNR Constructions Limited,KNRCON,2024-01-25,263.8,267.7,260.0,263.15,262.8,596896
KNR Constructions Limited,KNRCON,2024-01-24,261.9,265.0,258.2,262.8,262.0,725512
KNR Constructions Limited,KNRCON,2024-01-23,274.0,275.25,258.1,262.0,271.3,1669875
KNR Constructions Limited,KNRCON,2024-01-20,261.95,273.65,261.95,271.3,261.85,2982683
KNR Constructions Limited,KNRCON,2024-01-19,259.05,264.65,259.0,261.85,257.4,1675976
