StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-28,1777.95,1803.9,1774.2,1785.5,1775.6,6630072
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-27,1758.0,1779.8,1753.9,1775.6,1753.7,8231130
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-26,1765.0,1775.4,1750.0,1753.7,1776.4,5303630
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-22,1769.9,1782.5,1765.0,1776.4,1772.15,7061283
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-21,1772.1,1790.65,1764.3,1772.15,1765.4,3783681
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-20,1751.4,1768.5,1730.8,1765.4,1749.65,4420886
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-19,1734.85,1756.9,1730.55,1749.65,1737.9,4481075
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-18,1737.4,1744.85,1715.3,1737.9,1738.3,2314143
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-15,1735.8,1756.0,1721.2,1738.3,1742.4,15507454
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-14,1725.0,1757.85,1719.15,1742.4,1729.55,4809633
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-13,1720.35,1742.75,1717.2,1729.55,1720.35,5816083
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-12,1734.9,1743.45,1707.35,1720.35,1729.65,10243298
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-11,1765.9,1769.85,1724.25,1729.65,1748.05,3640143
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-07,1759.75,1764.9,1745.0,1748.05,1759.75,3139360
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-06,1722.85,1771.95,1718.4,1759.75,1715.7,7451712
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-05,1726.9,1727.2,1708.95,1715.7,1727.2,3122194
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-04,1727.95,1741.5,1718.5,1727.2,1723.7,2777198
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-02,1728.0,1733.0,1717.2,1723.7,1727.7,179918
Kotak Mahindra Bank Limited,KOTAKBANK,2024-03-01,1695.5,1730.25,1695.0,1727.7,1689.45,3444150
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-29,1687.0,1702.25,1667.4,1689.45,1683.6,6606975
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-28,1711.0,1712.85,1675.2,1683.6,1706.75,3076327
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-27,1713.0,1714.95,1697.0,1706.75,1706.3,4431652
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-26,1722.1,1725.4,1701.95,1706.3,1724.0,5958066
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-23,1724.5,1732.75,1715.4,1724.0,1724.75,3453766
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-22,1744.5,1745.0,1714.2,1724.75,1746.1,6200760
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-21,1769.0,1769.0,1740.55,1746.1,1762.5,4184871
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-20,1739.7,1768.65,1737.35,1762.5,1731.4,7611124
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-19,1744.0,1744.0,1726.15,1731.4,1735.25,4447954
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-16,1749.95,1751.0,1732.2,1735.25,1739.25,1643146
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-15,1755.0,1757.45,1720.05,1739.25,1748.95,2541670
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-14,1723.65,1764.8,1712.15,1748.95,1737.15,3850323
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-13,1713.0,1745.1,1709.0,1737.15,1709.55,4492334
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-12,1743.0,1749.0,1691.1,1709.55,1742.45,4506489
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-09,1730.0,1749.0,1719.0,1742.45,1729.7,4063976
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-08,1801.55,1803.8,1727.05,1729.7,1792.6,4542774
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-07,1791.0,1809.8,1784.0,1792.6,1787.0,4592224
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-06,1814.0,1814.0,1783.15,1787.0,1808.35,4691897
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-05,1825.0,1826.95,1799.0,1808.35,1822.95,3460806
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-02,1841.8,1850.0,1818.4,1822.95,1822.75,5049876
Kotak Mahindra Bank Limited,KOTAKBANK,2024-02-01,1830.0,1832.05,1813.2,1822.75,1825.25,2072168
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-31,1816.0,1841.45,1788.5,1825.25,1823.6,8117401
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-30,1825.0,1839.45,1803.35,1823.6,1822.9,3829187
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-29,1785.3,1830.05,1776.0,1822.9,1768.4,5236148
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-25,1790.0,1797.6,1752.4,1768.4,1788.6,6702170
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-24,1789.0,1803.5,1762.9,1788.6,1784.5,3268351
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-23,1801.0,1824.9,1763.9,1784.5,1806.8,6780824
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-20,1774.45,1829.45,1758.1,1806.8,1764.3,5456020
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-19,1787.05,1799.95,1754.15,1764.3,1777.25,4560329
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-18,1770.0,1792.7,1764.6,1777.25,1779.65,4293450
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-17,1823.05,1834.65,1776.1,1779.65,1848.0,10836883
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-16,1850.55,1860.95,1841.0,1848.0,1851.5,4650898
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-15,1843.0,1853.6,1836.25,1851.5,1833.25,6172312
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-12,1825.0,1842.55,1814.4,1833.25,1822.85,2172621
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-11,1832.0,1841.4,1815.35,1822.85,1820.8,4170070
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-10,1820.8,1832.5,1811.6,1820.8,1826.65,7052758
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-09,1837.0,1858.0,1821.0,1826.65,1826.1,4339223
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-08,1848.0,1851.45,1818.6,1826.1,1847.6,12253167
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-05,1865.5,1869.9,1841.4,1847.6,1863.6,7799341
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-04,1871.5,1871.5,1860.55,1863.6,1865.9,2865766
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-03,1864.0,1870.0,1847.65,1865.9,1865.05,3781515
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-02,1908.0,1908.0,1860.1,1865.05,1909.15,5120796
Kotak Mahindra Bank Limited,KOTAKBANK,2024-01-01,1909.0,1919.0,1893.1,1909.15,1908.1,1425902
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-29,1912.1,1917.75,1890.05,1908.1,1921.35,2446170
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-28,1911.0,1926.5,1903.1,1921.35,1902.35,4950014
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-27,1894.0,1910.0,1883.15,1902.35,1886.85,3407243
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-26,1867.0,1899.0,1857.15,1886.85,1860.5,4350669
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-22,1854.7,1879.65,1851.0,1860.5,1852.7,3309295
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-21,1821.0,1857.45,1805.0,1852.7,1826.5,2403840
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-20,1852.15,1864.0,1815.3,1826.5,1846.55,3968562
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-19,1849.85,1854.85,1835.7,1846.55,1846.95,3088923
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-18,1845.2,1855.9,1840.0,1846.95,1850.6,3758730
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-15,1865.0,1865.0,1842.75,1850.6,1853.85,3877197
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-14,1844.0,1865.45,1832.45,1853.85,1826.2,4878863
Kotak Mahindra Bank Limited,KOTAKBANK,2023-12-13,1824.0,1835.75,1813.1,1826.2,1824.35,3251332
