StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Kalpataru Projects International Limited,KPIL,2024-03-28,1094.0,1099.0,1058.9,1069.85,1065.75,265117
Kalpataru Projects International Limited,KPIL,2024-03-27,1073.65,1082.8,1050.65,1065.75,1063.35,346915
Kalpataru Projects International Limited,KPIL,2024-03-26,1072.8,1092.4,1059.05,1063.35,1064.9,282104
Kalpataru Projects International Limited,KPIL,2024-03-22,1080.0,1112.05,1060.0,1064.9,1084.3,417003
Kalpataru Projects International Limited,KPIL,2024-03-21,1087.15,1128.95,1054.05,1084.3,1081.75,694860
Kalpataru Projects International Limited,KPIL,2024-03-20,1010.0,1092.0,986.2,1081.75,1006.85,526051
Kalpataru Projects International Limited,KPIL,2024-03-19,1027.35,1049.0,1001.0,1006.85,1030.7,230457
Kalpataru Projects International Limited,KPIL,2024-03-18,1042.25,1057.45,1021.0,1030.7,1030.45,190177
Kalpataru Projects International Limited,KPIL,2024-03-15,1033.55,1055.5,1018.45,1030.45,1024.2,528242
Kalpataru Projects International Limited,KPIL,2024-03-14,1020.0,1066.3,995.25,1024.2,994.2,981281
Kalpataru Projects International Limited,KPIL,2024-03-13,1065.0,1094.3,965.0,994.2,1063.5,449095
Kalpataru Projects International Limited,KPIL,2024-03-12,1095.0,1097.0,1048.35,1063.5,1107.45,426837
Kalpataru Projects International Limited,KPIL,2024-03-11,1076.0,1163.0,1062.2,1107.45,1051.15,3667314
Kalpataru Projects International Limited,KPIL,2024-03-07,991.0,1072.0,985.75,1051.15,985.75,675564
Kalpataru Projects International Limited,KPIL,2024-03-06,1003.35,1014.75,981.05,985.75,1003.35,171620
Kalpataru Projects International Limited,KPIL,2024-03-05,1030.0,1043.7,995.1,1003.35,998.95,410993
Kalpataru Projects International Limited,KPIL,2024-03-04,983.0,1038.2,962.0,998.95,981.85,494185
Kalpataru Projects International Limited,KPIL,2024-03-02,971.05,988.0,971.05,981.85,971.05,10278
Kalpataru Projects International Limited,KPIL,2024-03-01,967.0,979.3,956.05,971.05,966.2,114297
Kalpataru Projects International Limited,KPIL,2024-02-29,982.3,984.8,952.2,966.2,981.1,268337
Kalpataru Projects International Limited,KPIL,2024-02-28,987.95,1010.9,972.1,981.1,984.9,324591
Kalpataru Projects International Limited,KPIL,2024-02-27,987.45,1000.5,973.0,984.9,993.7,428601
Kalpataru Projects International Limited,KPIL,2024-02-26,991.0,1004.0,981.1,993.7,986.3,233588
Kalpataru Projects International Limited,KPIL,2024-02-23,945.35,1025.0,930.3,986.3,938.95,1229095
Kalpataru Projects International Limited,KPIL,2024-02-22,914.4,959.0,892.55,938.95,912.5,387033
Kalpataru Projects International Limited,KPIL,2024-02-21,925.9,942.0,907.9,912.5,923.45,149915
Kalpataru Projects International Limited,KPIL,2024-02-20,944.25,946.95,920.2,923.45,949.25,119072
Kalpataru Projects International Limited,KPIL,2024-02-19,955.0,968.0,936.0,949.25,959.65,120453
Kalpataru Projects International Limited,KPIL,2024-02-16,967.0,989.95,950.0,959.65,964.6,196009
Kalpataru Projects International Limited,KPIL,2024-02-15,990.0,993.15,961.05,964.6,991.95,284549
Kalpataru Projects International Limited,KPIL,2024-02-14,900.0,1041.0,900.0,991.95,900.05,3972711
Kalpataru Projects International Limited,KPIL,2024-02-13,869.9,930.0,848.9,900.05,866.15,193967
Kalpataru Projects International Limited,KPIL,2024-02-12,879.0,883.0,846.05,866.15,877.7,179109
Kalpataru Projects International Limited,KPIL,2024-02-09,856.0,884.95,845.5,877.7,849.8,516327
Kalpataru Projects International Limited,KPIL,2024-02-08,867.95,888.0,846.2,849.8,849.0,344064
Kalpataru Projects International Limited,KPIL,2024-02-07,885.0,900.0,841.1,849.0,881.5,257064
Kalpataru Projects International Limited,KPIL,2024-02-06,862.95,890.5,839.05,881.5,855.55,184493
Kalpataru Projects International Limited,KPIL,2024-02-05,836.9,860.0,833.55,855.55,833.65,173379
Kalpataru Projects International Limited,KPIL,2024-02-02,804.9,839.55,799.05,833.65,802.8,290676
Kalpataru Projects International Limited,KPIL,2024-02-01,799.7,828.7,790.05,802.8,795.3,495821
Kalpataru Projects International Limited,KPIL,2024-01-31,769.4,798.4,769.3,795.3,765.8,384124
Kalpataru Projects International Limited,KPIL,2024-01-30,758.8,771.0,754.0,765.8,758.8,261671
Kalpataru Projects International Limited,KPIL,2024-01-29,752.0,765.0,743.45,758.8,744.8,301439
Kalpataru Projects International Limited,KPIL,2024-01-25,737.7,760.0,737.7,744.8,737.3,402293
Kalpataru Projects International Limited,KPIL,2024-01-24,722.0,744.0,710.75,737.3,722.1,161171
Kalpataru Projects International Limited,KPIL,2024-01-23,727.0,734.65,715.0,722.1,723.1,103448
Kalpataru Projects International Limited,KPIL,2024-01-20,725.2,731.75,718.0,723.1,726.8,49248
Kalpataru Projects International Limited,KPIL,2024-01-19,722.95,746.95,707.45,726.8,719.9,184466
Kalpataru Projects International Limited,KPIL,2024-01-18,730.05,747.0,717.1,719.9,736.5,226899
Kalpataru Projects International Limited,KPIL,2024-01-17,742.95,753.8,731.55,736.5,747.95,314114
Kalpataru Projects International Limited,KPIL,2024-01-16,730.95,753.15,727.95,747.95,730.9,256186
Kalpataru Projects International Limited,KPIL,2024-01-15,734.9,741.25,724.5,730.9,734.9,161752
Kalpataru Projects International Limited,KPIL,2024-01-12,750.0,750.0,730.5,734.9,743.55,87857
Kalpataru Projects International Limited,KPIL,2024-01-11,742.0,748.55,735.8,743.55,739.7,113571
Kalpataru Projects International Limited,KPIL,2024-01-10,732.05,743.0,728.0,739.7,734.1,112826
Kalpataru Projects International Limited,KPIL,2024-01-09,739.0,742.9,727.0,734.1,737.75,152017
Kalpataru Projects International Limited,KPIL,2024-01-08,759.0,761.4,733.7,737.75,752.65,171330
Kalpataru Projects International Limited,KPIL,2024-01-05,738.8,756.0,737.85,752.65,738.8,550525
Kalpataru Projects International Limited,KPIL,2024-01-04,709.0,753.85,706.05,738.8,711.55,916722
Kalpataru Projects International Limited,KPIL,2024-01-03,700.7,716.8,696.55,711.55,700.75,329281
Kalpataru Projects International Limited,KPIL,2024-01-02,717.95,721.2,696.2,700.75,716.15,219390
Kalpataru Projects International Limited,KPIL,2024-01-01,704.3,717.5,694.6,716.15,709.2,620474
Kalpataru Projects International Limited,KPIL,2023-12-29,690.0,728.75,681.25,709.2,657.6,6204398
Kalpataru Projects International Limited,KPIL,2023-12-28,650.95,660.0,650.0,657.6,649.15,166371
Kalpataru Projects International Limited,KPIL,2023-12-27,644.95,652.95,642.05,649.15,640.6,131035
Kalpataru Projects International Limited,KPIL,2023-12-26,635.65,653.4,631.15,640.6,631.15,353496
Kalpataru Projects International Limited,KPIL,2023-12-22,636.0,643.65,628.85,631.15,631.15,233145
Kalpataru Projects International Limited,KPIL,2023-12-21,635.0,647.95,626.95,631.15,641.5,257410
Kalpataru Projects International Limited,KPIL,2023-12-20,670.0,679.9,630.2,641.5,668.45,271556
Kalpataru Projects International Limited,KPIL,2023-12-19,670.65,672.0,665.0,668.45,668.4,92721
Kalpataru Projects International Limited,KPIL,2023-12-18,674.9,674.9,666.05,668.4,672.25,81982
Kalpataru Projects International Limited,KPIL,2023-12-15,677.7,679.8,665.3,672.25,677.75,212253
Kalpataru Projects International Limited,KPIL,2023-12-14,684.95,685.9,671.5,677.75,682.35,200754
Kalpataru Projects International Limited,KPIL,2023-12-13,687.75,688.65,665.25,682.35,684.95,316821
