StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
KPIT Technologies Limited,KPITTECH,2024-03-28,1495.0,1498.7,1472.15,1486.4,1482.0,1535307
KPIT Technologies Limited,KPITTECH,2024-03-27,1439.9,1494.0,1428.05,1482.0,1428.5,1986064
KPIT Technologies Limited,KPITTECH,2024-03-26,1388.0,1440.55,1377.35,1428.5,1385.7,1694996
KPIT Technologies Limited,KPITTECH,2024-03-22,1359.0,1397.45,1328.4,1385.7,1358.2,1426909
KPIT Technologies Limited,KPITTECH,2024-03-21,1370.0,1374.5,1330.1,1358.2,1347.55,1728137
KPIT Technologies Limited,KPITTECH,2024-03-20,1372.1,1389.4,1337.65,1347.55,1357.95,772885
KPIT Technologies Limited,KPITTECH,2024-03-19,1390.95,1395.55,1340.0,1357.95,1383.3,1419084
KPIT Technologies Limited,KPITTECH,2024-03-18,1427.05,1428.0,1365.55,1383.3,1429.35,1584029
KPIT Technologies Limited,KPITTECH,2024-03-15,1435.55,1483.8,1404.4,1429.35,1429.35,3445891
KPIT Technologies Limited,KPITTECH,2024-03-14,1385.05,1447.05,1370.3,1429.35,1415.65,807970
KPIT Technologies Limited,KPITTECH,2024-03-13,1460.4,1468.8,1355.05,1415.65,1456.3,1901824
KPIT Technologies Limited,KPITTECH,2024-03-12,1475.0,1514.45,1450.05,1456.3,1475.5,750703
KPIT Technologies Limited,KPITTECH,2024-03-11,1500.0,1510.0,1462.0,1475.5,1496.3,903550
KPIT Technologies Limited,KPITTECH,2024-03-07,1520.0,1521.55,1486.6,1496.3,1506.35,389524
KPIT Technologies Limited,KPITTECH,2024-03-06,1485.0,1526.4,1468.0,1506.35,1493.35,786342
KPIT Technologies Limited,KPITTECH,2024-03-05,1523.0,1527.9,1481.15,1493.35,1546.1,1654623
KPIT Technologies Limited,KPITTECH,2024-03-04,1582.95,1583.9,1542.55,1546.1,1583.9,656766
KPIT Technologies Limited,KPITTECH,2024-03-02,1580.95,1594.2,1580.35,1583.9,1578.65,30459
KPIT Technologies Limited,KPITTECH,2024-03-01,1580.0,1595.9,1573.0,1578.65,1570.55,313840
KPIT Technologies Limited,KPITTECH,2024-02-29,1569.95,1591.0,1526.05,1570.55,1572.3,894886
KPIT Technologies Limited,KPITTECH,2024-02-28,1584.0,1584.0,1562.2,1572.3,1579.95,406548
KPIT Technologies Limited,KPITTECH,2024-02-27,1594.0,1606.4,1570.0,1579.95,1591.4,372335
KPIT Technologies Limited,KPITTECH,2024-02-26,1580.95,1614.35,1568.0,1591.4,1583.65,530867
KPIT Technologies Limited,KPITTECH,2024-02-23,1609.35,1609.4,1571.5,1583.65,1590.65,912832
KPIT Technologies Limited,KPITTECH,2024-02-22,1588.0,1595.45,1540.65,1590.65,1571.75,1256999
KPIT Technologies Limited,KPITTECH,2024-02-21,1635.05,1635.05,1560.0,1571.75,1619.75,931221
KPIT Technologies Limited,KPITTECH,2024-02-20,1644.85,1645.6,1611.0,1619.75,1630.6,683799
KPIT Technologies Limited,KPITTECH,2024-02-19,1685.0,1689.9,1620.0,1630.6,1673.6,723151
KPIT Technologies Limited,KPITTECH,2024-02-16,1659.0,1684.7,1643.25,1673.6,1643.25,732658
KPIT Technologies Limited,KPITTECH,2024-02-15,1665.0,1689.9,1623.2,1643.25,1637.4,1207061
KPIT Technologies Limited,KPITTECH,2024-02-14,1555.05,1646.0,1555.05,1637.4,1588.6,1125325
KPIT Technologies Limited,KPITTECH,2024-02-13,1703.6,1709.95,1575.7,1588.6,1708.0,1741851
KPIT Technologies Limited,KPITTECH,2024-02-12,1727.85,1764.0,1692.4,1708.0,1727.85,1305970
KPIT Technologies Limited,KPITTECH,2024-02-09,1725.0,1736.0,1671.4,1727.85,1711.0,1244945
KPIT Technologies Limited,KPITTECH,2024-02-08,1670.0,1721.0,1652.25,1711.0,1655.05,1760816
KPIT Technologies Limited,KPITTECH,2024-02-07,1695.0,1695.0,1643.0,1655.05,1674.95,1190359
KPIT Technologies Limited,KPITTECH,2024-02-06,1609.9,1685.0,1600.1,1674.95,1594.35,2360284
KPIT Technologies Limited,KPITTECH,2024-02-05,1589.9,1623.0,1572.7,1594.35,1577.1,1490086
KPIT Technologies Limited,KPITTECH,2024-02-02,1540.0,1597.0,1538.05,1577.1,1524.65,1741817
KPIT Technologies Limited,KPITTECH,2024-02-01,1550.8,1550.8,1516.4,1524.65,1550.8,799018
KPIT Technologies Limited,KPITTECH,2024-01-31,1499.0,1559.9,1464.1,1550.8,1457.25,3760276
KPIT Technologies Limited,KPITTECH,2024-01-30,1418.25,1486.0,1366.2,1457.25,1407.15,4649069
KPIT Technologies Limited,KPITTECH,2024-01-29,1415.45,1454.9,1326.55,1407.15,1415.45,3991414
KPIT Technologies Limited,KPITTECH,2024-01-25,1500.1,1504.55,1392.35,1415.45,1506.55,3520645
KPIT Technologies Limited,KPITTECH,2024-01-24,1501.5,1514.45,1485.15,1506.55,1501.5,362720
KPIT Technologies Limited,KPITTECH,2024-01-23,1530.0,1560.2,1478.35,1501.5,1524.45,1188474
KPIT Technologies Limited,KPITTECH,2024-01-20,1558.4,1561.85,1510.45,1524.45,1547.8,241448
KPIT Technologies Limited,KPITTECH,2024-01-19,1540.5,1552.5,1523.95,1547.8,1532.1,451502
KPIT Technologies Limited,KPITTECH,2024-01-18,1529.0,1548.4,1486.9,1532.1,1541.3,535425
KPIT Technologies Limited,KPITTECH,2024-01-17,1529.95,1554.3,1505.0,1541.3,1546.3,699537
KPIT Technologies Limited,KPITTECH,2024-01-16,1540.0,1558.0,1525.55,1546.3,1538.8,658975
KPIT Technologies Limited,KPITTECH,2024-01-15,1562.0,1584.0,1525.1,1538.8,1550.3,971076
KPIT Technologies Limited,KPITTECH,2024-01-12,1549.0,1562.0,1542.0,1550.3,1540.95,1117378
KPIT Technologies Limited,KPITTECH,2024-01-11,1540.0,1545.7,1523.05,1540.95,1532.9,971670
KPIT Technologies Limited,KPITTECH,2024-01-10,1523.85,1542.4,1518.0,1532.9,1517.6,867995
KPIT Technologies Limited,KPITTECH,2024-01-09,1518.0,1527.0,1506.5,1517.6,1506.1,527738
KPIT Technologies Limited,KPITTECH,2024-01-08,1514.25,1519.3,1491.6,1506.1,1506.55,474520
KPIT Technologies Limited,KPITTECH,2024-01-05,1479.0,1509.0,1470.9,1506.55,1472.4,920923
KPIT Technologies Limited,KPITTECH,2024-01-04,1460.0,1485.0,1459.0,1472.4,1462.7,702692
KPIT Technologies Limited,KPITTECH,2024-01-03,1472.9,1488.7,1455.1,1462.7,1467.85,645767
KPIT Technologies Limited,KPITTECH,2024-01-02,1498.45,1498.5,1458.6,1467.85,1490.5,912412
KPIT Technologies Limited,KPITTECH,2024-01-01,1513.85,1515.9,1488.25,1490.5,1513.85,813082
KPIT Technologies Limited,KPITTECH,2023-12-29,1505.9,1525.5,1492.0,1513.85,1505.9,786524
KPIT Technologies Limited,KPITTECH,2023-12-28,1527.8,1532.0,1502.0,1505.9,1517.85,676529
KPIT Technologies Limited,KPITTECH,2023-12-27,1541.0,1541.0,1496.15,1517.85,1527.7,1347454
KPIT Technologies Limited,KPITTECH,2023-12-26,1547.3,1558.0,1511.0,1527.7,1539.35,754780
KPIT Technologies Limited,KPITTECH,2023-12-22,1526.35,1545.9,1511.4,1539.35,1516.4,1501194
KPIT Technologies Limited,KPITTECH,2023-12-21,1465.0,1525.15,1426.1,1516.4,1467.35,1600844
KPIT Technologies Limited,KPITTECH,2023-12-20,1510.5,1544.9,1453.7,1467.35,1501.25,1620470
KPIT Technologies Limited,KPITTECH,2023-12-19,1498.75,1520.0,1490.2,1501.25,1493.5,750604
KPIT Technologies Limited,KPITTECH,2023-12-18,1518.6,1518.6,1486.4,1493.5,1518.6,1051979
KPIT Technologies Limited,KPITTECH,2023-12-15,1493.5,1549.9,1468.7,1518.6,1482.95,3236009
KPIT Technologies Limited,KPITTECH,2023-12-14,1497.15,1503.9,1476.0,1482.95,1474.95,1267288
KPIT Technologies Limited,KPITTECH,2023-12-13,1452.5,1506.9,1445.65,1474.95,1432.65,2930070
KPIT Technologies Limited,KPITTECH,2023-12-12,1474.9,1475.0,1427.15,1432.65,1463.25,794787
KPIT Technologies Limited,KPITTECH,2023-12-11,1487.0,1491.3,1461.0,1463.25,1478.6,459643
KPIT Technologies Limited,KPITTECH,2023-12-08,1467.95,1484.5,1467.4,1478.6,1458.95,585545
KPIT Technologies Limited,KPITTECH,2023-12-07,1470.6,1500.0,1455.0,1458.95,1462.2,949044
KPIT Technologies Limited,KPITTECH,2023-12-06,1487.9,1487.9,1456.15,1462.2,1478.15,816079
KPIT Technologies Limited,KPITTECH,2023-12-05,1501.9,1506.0,1472.0,1478.15,1497.25,909831
KPIT Technologies Limited,KPITTECH,2023-12-04,1500.0,1513.95,1445.6,1497.25,1483.05,1382705
KPIT Technologies Limited,KPITTECH,2023-12-01,1506.95,1508.2,1476.0,1483.05,1499.3,655282
KPIT Technologies Limited,KPITTECH,2023-11-30,1487.05,1504.5,1470.3,1499.3,1492.6,1277831
KPIT Technologies Limited,KPITTECH,2023-11-29,1490.5,1510.95,1462.4,1492.6,1489.8,1052656
KPIT Technologies Limited,KPITTECH,2023-11-28,1482.85,1507.4,1477.45,1489.8,1468.75,1138990
KPIT Technologies Limited,KPITTECH,2023-11-24,1454.0,1482.85,1436.1,1468.75,1446.45,1609569
