StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
KRBL Limited,KRBL,2024-03-28,282.25,283.95,276.75,277.35,282.25,640817
KRBL Limited,KRBL,2024-03-27,286.0,287.0,281.0,282.25,284.7,547813
KRBL Limited,KRBL,2024-03-26,289.0,290.85,282.75,284.7,288.8,529839
KRBL Limited,KRBL,2024-03-22,292.3,295.0,287.8,288.8,291.45,546650
KRBL Limited,KRBL,2024-03-21,295.0,296.65,290.15,291.45,293.35,304458
KRBL Limited,KRBL,2024-03-20,291.75,298.0,290.4,293.35,289.5,353302
KRBL Limited,KRBL,2024-03-19,290.0,292.9,287.05,289.5,289.6,214745
KRBL Limited,KRBL,2024-03-18,288.15,294.05,286.0,289.6,288.15,330088
KRBL Limited,KRBL,2024-03-15,293.95,297.45,286.05,288.15,293.85,336110
KRBL Limited,KRBL,2024-03-14,283.95,298.35,280.85,293.85,284.65,737342
KRBL Limited,KRBL,2024-03-13,287.25,288.3,275.55,284.65,286.9,1084903
KRBL Limited,KRBL,2024-03-12,292.75,292.8,278.75,286.9,292.8,1336246
KRBL Limited,KRBL,2024-03-11,302.55,303.8,288.8,292.8,298.3,666679
KRBL Limited,KRBL,2024-03-07,297.15,306.75,296.0,298.3,299.25,842060
KRBL Limited,KRBL,2024-03-06,301.25,303.25,296.05,299.25,302.6,515308
KRBL Limited,KRBL,2024-03-05,310.0,310.5,301.2,302.6,307.6,589696
KRBL Limited,KRBL,2024-03-04,316.3,316.85,305.6,307.6,315.7,628945
KRBL Limited,KRBL,2024-03-02,316.7,320.0,312.35,315.7,313.5,121213
KRBL Limited,KRBL,2024-03-01,323.85,323.9,312.05,313.5,321.25,679692
KRBL Limited,KRBL,2024-02-29,329.9,330.0,320.15,321.25,327.15,464988
KRBL Limited,KRBL,2024-02-28,331.55,333.0,326.25,327.15,331.45,224323
KRBL Limited,KRBL,2024-02-27,337.9,339.55,329.75,331.45,337.85,423150
KRBL Limited,KRBL,2024-02-26,341.6,344.75,335.05,337.85,340.8,285660
KRBL Limited,KRBL,2024-02-23,346.6,347.2,339.5,340.8,346.85,230023
KRBL Limited,KRBL,2024-02-22,349.5,351.0,343.1,346.85,346.05,168530
KRBL Limited,KRBL,2024-02-21,343.2,349.4,343.2,346.05,345.8,188649
KRBL Limited,KRBL,2024-02-20,348.8,350.65,344.9,345.8,348.75,223893
KRBL Limited,KRBL,2024-02-19,354.35,357.7,348.0,348.75,354.3,221925
KRBL Limited,KRBL,2024-02-16,338.15,356.5,338.15,354.3,338.05,462959
KRBL Limited,KRBL,2024-02-15,338.05,345.8,334.2,338.05,337.1,342250
KRBL Limited,KRBL,2024-02-14,334.95,339.95,332.0,337.1,338.5,247185
KRBL Limited,KRBL,2024-02-13,354.3,357.3,331.65,338.5,354.3,907154
KRBL Limited,KRBL,2024-02-12,359.9,360.9,352.25,354.3,359.15,148629
KRBL Limited,KRBL,2024-02-09,357.05,361.05,355.0,359.15,359.8,146845
KRBL Limited,KRBL,2024-02-08,360.6,363.9,358.5,359.8,360.5,189490
KRBL Limited,KRBL,2024-02-07,360.0,369.0,357.9,360.5,362.2,298887
KRBL Limited,KRBL,2024-02-06,360.7,364.7,359.5,362.2,360.15,172935
KRBL Limited,KRBL,2024-02-05,360.35,362.7,358.0,360.15,360.35,210514
KRBL Limited,KRBL,2024-02-02,362.0,366.0,358.55,360.35,361.15,269624
KRBL Limited,KRBL,2024-02-01,362.5,363.0,358.8,361.15,359.85,201074
KRBL Limited,KRBL,2024-01-31,358.1,370.45,358.1,359.85,361.2,472175
KRBL Limited,KRBL,2024-01-30,365.75,365.75,358.5,361.2,363.5,262268
KRBL Limited,KRBL,2024-01-29,363.0,364.9,358.05,363.5,361.1,174449
KRBL Limited,KRBL,2024-01-25,355.0,362.0,355.0,361.1,354.2,194406
KRBL Limited,KRBL,2024-01-24,365.0,365.6,352.0,354.2,364.1,308968
KRBL Limited,KRBL,2024-01-23,375.95,375.95,358.35,364.1,374.1,249659
KRBL Limited,KRBL,2024-01-20,371.2,377.6,371.2,374.1,371.2,147780
KRBL Limited,KRBL,2024-01-19,371.1,376.0,369.0,371.2,369.1,163444
KRBL Limited,KRBL,2024-01-18,368.25,372.35,360.2,369.1,369.65,238174
KRBL Limited,KRBL,2024-01-17,375.0,377.0,368.35,369.65,377.5,198899
KRBL Limited,KRBL,2024-01-16,381.4,381.95,375.3,377.5,377.55,255091
KRBL Limited,KRBL,2024-01-15,384.3,384.3,376.1,377.55,380.8,274790
KRBL Limited,KRBL,2024-01-12,385.5,386.2,378.7,380.8,382.5,433702
KRBL Limited,KRBL,2024-01-11,370.35,385.95,367.5,382.5,368.55,901608
KRBL Limited,KRBL,2024-01-10,372.3,374.0,367.2,368.55,372.25,202933
KRBL Limited,KRBL,2024-01-09,370.75,374.95,369.3,372.25,369.6,194313
KRBL Limited,KRBL,2024-01-08,376.35,376.85,368.05,369.6,376.35,208645
KRBL Limited,KRBL,2024-01-05,373.25,380.0,372.25,376.35,373.25,386728
KRBL Limited,KRBL,2024-01-04,376.7,377.9,371.95,373.25,374.05,246951
KRBL Limited,KRBL,2024-01-03,374.8,378.45,372.05,374.05,373.95,241721
KRBL Limited,KRBL,2024-01-02,376.75,378.6,368.7,373.95,376.75,284221
KRBL Limited,KRBL,2024-01-01,376.5,380.9,375.1,376.75,375.1,492945
KRBL Limited,KRBL,2023-12-29,360.0,377.95,358.35,375.1,360.35,1919731
KRBL Limited,KRBL,2023-12-28,364.45,364.45,358.65,360.35,362.6,224122
KRBL Limited,KRBL,2023-12-27,364.0,364.45,359.8,362.6,359.15,289202
KRBL Limited,KRBL,2023-12-26,355.7,361.4,353.0,359.15,353.9,274343
KRBL Limited,KRBL,2023-12-22,345.0,356.8,345.0,353.9,354.35,233774
KRBL Limited,KRBL,2023-12-21,348.85,355.85,343.75,354.35,350.1,271786
KRBL Limited,KRBL,2023-12-20,358.45,362.95,347.0,350.1,356.75,391138
KRBL Limited,KRBL,2023-12-19,358.0,360.95,356.0,356.75,363.2,350261
KRBL Limited,KRBL,2023-12-18,360.0,365.9,357.55,363.2,360.05,399452
KRBL Limited,KRBL,2023-12-15,356.7,367.9,356.0,360.05,355.0,975314
KRBL Limited,KRBL,2023-12-14,356.1,358.6,353.05,355.0,354.35,266954
KRBL Limited,KRBL,2023-12-13,355.8,359.0,352.0,354.35,353.5,277647
KRBL Limited,KRBL,2023-12-12,357.0,357.4,350.75,353.5,355.25,208109
KRBL Limited,KRBL,2023-12-11,358.2,360.8,353.05,355.25,357.55,228312
KRBL Limited,KRBL,2023-12-08,364.0,366.3,354.45,357.55,360.25,353068
KRBL Limited,KRBL,2023-12-07,358.8,366.95,353.5,360.25,356.2,677483
KRBL Limited,KRBL,2023-12-06,351.0,360.7,350.8,356.2,350.25,714928
KRBL Limited,KRBL,2023-12-05,346.85,353.0,346.25,350.25,345.95,422442
KRBL Limited,KRBL,2023-12-04,349.5,349.8,342.25,345.95,344.55,553934
KRBL Limited,KRBL,2023-12-01,347.5,348.85,342.7,344.55,346.3,613294
KRBL Limited,KRBL,2023-11-30,347.75,349.45,344.95,346.3,346.1,375669
KRBL Limited,KRBL,2023-11-29,350.6,351.4,344.5,346.1,350.05,379207
KRBL Limited,KRBL,2023-11-28,349.05,351.6,346.6,350.05,349.9,323353
KRBL Limited,KRBL,2023-11-24,349.9,354.9,347.5,349.9,349.7,240182
KRBL Limited,KRBL,2023-11-23,347.9,354.85,346.0,349.7,345.9,356478
KRBL Limited,KRBL,2023-11-22,348.0,349.9,343.1,345.9,346.55,290860
KRBL Limited,KRBL,2023-11-21,349.0,350.0,345.05,346.55,346.95,316271
KRBL Limited,KRBL,2023-11-20,349.25,355.75,345.35,346.95,349.2,616566
KRBL Limited,KRBL,2023-11-17,352.25,352.4,347.9,349.2,350.05,307146
KRBL Limited,KRBL,2023-11-16,347.0,354.9,346.65,350.05,343.55,609350
KRBL Limited,KRBL,2023-11-15,350.45,353.15,342.9,343.55,349.4,595935
KRBL Limited,KRBL,2023-11-13,355.2,356.75,348.5,349.4,355.3,313165
KRBL Limited,KRBL,2023-11-12,359.4,359.85,354.1,355.3,355.3,107424
KRBL Limited,KRBL,2023-11-10,353.9,359.05,350.0,355.3,353.9,829465
KRBL Limited,KRBL,2023-11-09,389.0,390.25,351.4,353.9,388.75,1530331
KRBL Limited,KRBL,2023-11-08,389.45,392.5,386.0,388.75,386.9,248583
KRBL Limited,KRBL,2023-11-07,380.1,389.8,377.3,386.9,380.4,511948
KRBL Limited,KRBL,2023-11-06,380.0,385.9,375.0,380.4,378.75,235744
KRBL Limited,KRBL,2023-11-03,381.0,385.7,376.55,378.75,378.25,301670
KRBL Limited,KRBL,2023-11-02,360.0,381.95,357.2,378.25,357.0,1200810
KRBL Limited,KRBL,2023-11-01,361.55,362.5,355.4,357.0,360.3,248330
KRBL Limited,KRBL,2023-10-31,369.9,372.5,356.2,360.3,369.5,205277
KRBL Limited,KRBL,2023-10-30,371.0,376.9,366.05,369.5,371.65,223203
KRBL Limited,KRBL,2023-10-27,369.0,379.9,368.95,371.65,363.05,359169
KRBL Limited,KRBL,2023-10-26,358.4,364.9,347.3,363.05,358.6,273909
KRBL Limited,KRBL,2023-10-25,367.0,385.0,353.15,358.6,361.35,439187
KRBL Limited,KRBL,2023-10-23,368.0,370.0,360.0,361.35,369.55,294271
KRBL Limited,KRBL,2023-10-20,375.05,377.95,368.1,369.55,375.25,159835
KRBL Limited,KRBL,2023-10-19,376.9,378.6,372.8,375.25,375.9,209584
KRBL Limited,KRBL,2023-10-18,382.0,386.45,373.65,375.9,383.3,310003
KRBL Limited,KRBL,2023-10-17,383.0,386.85,381.15,383.3,380.6,222292
KRBL Limited,KRBL,2023-10-16,389.0,392.5,379.05,380.6,389.4,411440
KRBL Limited,KRBL,2023-10-13,389.0,394.5,388.0,389.4,389.2,146274
KRBL Limited,KRBL,2023-10-12,388.75,392.45,388.0,389.2,388.75,137302
KRBL Limited,KRBL,2023-10-11,387.9,395.0,387.5,388.75,385.1,210662
KRBL Limited,KRBL,2023-10-10,388.85,391.15,383.65,385.1,385.15,168668
KRBL Limited,KRBL,2023-10-09,395.8,395.8,383.1,385.15,397.6,291727
KRBL Limited,KRBL,2023-10-06,402.85,404.0,394.45,397.6,401.4,205715
KRBL Limited,KRBL,2023-10-05,400.0,405.3,395.3,401.4,394.2,271655
KRBL Limited,KRBL,2023-10-04,398.25,402.35,391.5,394.2,401.85,302568
KRBL Limited,KRBL,2023-10-03,407.3,410.0,401.3,401.85,405.55,188277
KRBL Limited,KRBL,2023-09-29,409.4,411.2,403.1,405.55,407.4,206092
KRBL Limited,KRBL,2023-09-28,413.0,414.75,406.15,407.4,412.95,195175
KRBL Limited,KRBL,2023-09-27,418.25,420.0,411.65,412.95,417.85,227163
KRBL Limited,KRBL,2023-09-26,410.0,427.95,410.0,417.85,402.75,2327393
KRBL Limited,KRBL,2023-09-25,402.55,408.1,397.5,402.75,402.55,287499
KRBL Limited,KRBL,2023-09-22,408.4,410.65,401.4,402.55,406.6,199378
KRBL Limited,KRBL,2023-09-21,413.8,415.2,404.0,406.6,413.8,246132
KRBL Limited,KRBL,2023-09-20,413.6,418.2,407.1,413.8,413.6,349157
KRBL Limited,KRBL,2023-09-18,423.55,424.9,412.0,413.6,422.2,253627
KRBL Limited,KRBL,2023-09-15,420.0,424.0,416.0,422.2,416.9,389759
KRBL Limited,KRBL,2023-09-14,413.0,425.0,411.0,416.9,414.75,844334
KRBL Limited,KRBL,2023-09-13,414.0,427.8,403.4,414.75,425.85,1008284
KRBL Limited,KRBL,2023-09-12,459.35,459.75,421.7,425.85,454.8,723142
KRBL Limited,KRBL,2023-09-11,454.0,456.25,443.7,454.8,449.65,505321
KRBL Limited,KRBL,2023-09-08,462.0,470.9,446.4,449.65,461.1,876600
KRBL Limited,KRBL,2023-09-07,437.5,465.0,432.25,461.1,435.3,3183689
KRBL Limited,KRBL,2023-09-05,406.9,409.95,402.05,406.9,405.0,215325
KRBL Limited,KRBL,2023-09-01,405.7,407.95,399.8,401.45,402.6,180287
KRBL Limited,KRBL,2023-08-31,400.8,412.05,400.0,402.6,400.8,391297
KRBL Limited,KRBL,2023-08-30,395.5,406.75,388.45,400.8,391.75,511759
KRBL Limited,KRBL,2023-08-29,396.05,400.0,389.05,391.75,393.6,203909
KRBL Limited,KRBL,2023-08-28,389.95,398.0,383.0,393.6,399.2,852298
KRBL Limited,KRBL,2023-08-25,400.0,407.4,396.15,399.2,413.7,432884
KRBL Limited,KRBL,2023-08-24,413.0,415.95,412.0,413.7,411.7,474827
KRBL Limited,KRBL,2023-08-23,409.8,412.8,407.2,411.7,408.55,386809
KRBL Limited,KRBL,2023-08-22,405.2,409.0,404.25,408.55,403.8,449672
KRBL Limited,KRBL,2023-08-21,403.0,404.7,400.1,403.8,400.7,310474
KRBL Limited,KRBL,2023-08-18,400.5,403.0,395.3,400.7,399.95,331874
KRBL Limited,KRBL,2023-08-17,400.0,406.75,399.0,399.95,399.3,342940
KRBL Limited,KRBL,2023-08-16,399.0,403.3,396.7,399.3,399.15,325613
KRBL Limited,KRBL,2023-08-14,407.6,407.6,393.85,399.15,404.15,450396
KRBL Limited,KRBL,2023-08-11,417.45,417.7,402.8,404.15,412.9,920827
KRBL Limited,KRBL,2023-08-10,404.9,419.0,400.2,412.9,399.15,1734303
KRBL Limited,KRBL,2023-08-09,395.95,403.75,391.1,399.15,394.75,456302
KRBL Limited,KRBL,2023-08-08,397.0,399.3,391.15,394.75,394.75,271462
KRBL Limited,KRBL,2023-08-07,404.0,409.0,391.0,394.75,386.1,1064223
KRBL Limited,KRBL,2023-08-04,385.95,391.2,383.85,386.1,385.0,284581
KRBL Limited,KRBL,2023-08-03,379.7,385.9,377.5,385.0,379.8,306839
KRBL Limited,KRBL,2023-08-02,389.0,391.9,370.55,379.8,389.65,639427
KRBL Limited,KRBL,2023-08-01,391.25,397.0,386.15,389.65,389.2,846575
KRBL Limited,KRBL,2023-07-31,375.0,390.5,375.0,389.2,374.75,1057329
KRBL Limited,KRBL,2023-07-28,375.8,377.45,369.0,374.75,374.55,324931
KRBL Limited,KRBL,2023-07-27,377.9,378.85,371.4,374.55,377.4,427941
KRBL Limited,KRBL,2023-07-26,380.7,385.85,375.05,377.4,380.2,538501
KRBL Limited,KRBL,2023-07-25,381.7,386.9,376.5,380.2,379.9,620312
KRBL Limited,KRBL,2023-07-24,380.0,390.0,377.85,379.9,370.0,1167511
KRBL Limited,KRBL,2023-07-21,369.1,374.9,365.7,370.0,378.15,741123
KRBL Limited,KRBL,2023-07-20,376.5,382.2,374.15,378.15,373.6,1000211
KRBL Limited,KRBL,2023-07-19,356.9,379.2,356.0,373.6,355.2,3455108
KRBL Limited,KRBL,2023-07-18,354.0,356.9,347.1,355.2,353.15,427742
KRBL Limited,KRBL,2023-07-17,354.05,356.65,352.1,353.15,350.55,555467
KRBL Limited,KRBL,2023-07-14,355.4,355.6,345.0,350.55,352.4,428271
KRBL Limited,KRBL,2023-07-13,351.85,353.5,335.45,352.4,348.3,996294
KRBL Limited,KRBL,2023-07-12,353.55,353.55,345.0,348.3,349.75,481227
KRBL Limited,KRBL,2023-07-11,350.0,354.0,346.05,349.75,345.45,596514
KRBL Limited,KRBL,2023-07-10,350.65,354.2,344.05,345.45,349.15,338440
KRBL Limited,KRBL,2023-07-07,351.8,354.95,346.8,349.15,351.75,260456
KRBL Limited,KRBL,2023-07-06,357.45,358.9,351.0,351.75,357.4,360946
KRBL Limited,KRBL,2023-07-05,356.65,362.0,355.15,357.4,355.1,578202
KRBL Limited,KRBL,2023-07-04,346.15,360.0,346.0,355.1,344.7,858916
KRBL Limited,KRBL,2023-07-03,339.0,345.95,339.0,344.7,340.45,257357
KRBL Limited,KRBL,2023-06-30,344.8,347.2,338.9,340.45,343.75,364009
KRBL Limited,KRBL,2023-06-28,348.0,350.65,343.1,343.75,346.15,212405
KRBL Limited,KRBL,2023-06-27,346.5,348.65,345.0,346.15,346.3,142239
KRBL Limited,KRBL,2023-06-26,343.6,348.7,340.05,346.3,343.25,231619
KRBL Limited,KRBL,2023-06-23,352.45,358.0,342.0,343.25,350.8,524786
KRBL Limited,KRBL,2023-06-22,347.7,354.5,346.3,350.8,346.35,264040
KRBL Limited,KRBL,2023-06-21,351.8,352.4,345.0,346.35,350.4,456460
KRBL Limited,KRBL,2023-06-20,351.0,356.65,350.0,350.4,352.0,232491
KRBL Limited,KRBL,2023-06-19,351.3,355.15,345.25,352.0,350.85,368776
KRBL Limited,KRBL,2023-06-16,358.9,362.8,350.0,350.85,357.3,399355
KRBL Limited,KRBL,2023-06-15,358.25,362.0,355.3,357.3,352.55,590379
KRBL Limited,KRBL,2023-06-14,351.0,358.0,349.55,352.55,348.05,400479
KRBL Limited,KRBL,2023-06-13,347.0,351.85,345.0,348.05,344.15,434068
KRBL Limited,KRBL,2023-06-12,358.9,359.65,342.85,344.15,357.05,1051049
KRBL Limited,KRBL,2023-06-09,362.45,364.9,356.05,357.05,359.75,286755
KRBL Limited,KRBL,2023-06-08,361.8,365.5,355.0,359.75,360.05,416334
KRBL Limited,KRBL,2023-06-07,363.95,368.2,358.3,360.05,360.95,476608
KRBL Limited,KRBL,2023-06-06,369.35,369.35,358.1,360.95,363.6,315680
KRBL Limited,KRBL,2023-06-05,372.0,374.45,362.45,363.6,370.9,424191
