StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-28,2261.05,2308.0,2253.25,2262.85,2274.75,522528
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-27,2269.9,2285.45,2245.9,2274.75,2267.5,382202
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-26,2146.0,2274.4,2146.0,2267.5,2128.75,1092840
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-22,2115.0,2132.7,2065.2,2128.75,2076.8,310959
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-21,2074.9,2085.7,2042.7,2076.8,2045.4,272014
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-20,2017.05,2059.0,2014.9,2045.4,2011.05,294421
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-19,2009.1,2016.1,1943.7,2011.05,2011.45,484195
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-18,2022.95,2034.95,2008.5,2011.45,2022.15,387866
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-15,2060.0,2065.0,2013.2,2022.15,2051.35,182206
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-14,2011.0,2107.0,1979.75,2051.35,2011.9,548757
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-13,2100.0,2106.7,2000.0,2011.9,2093.4,390641
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-12,2143.05,2160.0,2088.0,2093.4,2142.85,255039
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-11,2180.0,2191.75,2133.0,2142.85,2179.05,196190
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-07,2216.15,2218.3,2175.0,2179.05,2196.25,145281
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-06,2237.75,2258.8,2174.55,2196.25,2237.75,201000
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-05,2275.0,2291.95,2222.2,2237.75,2275.25,205369
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-04,2315.0,2349.75,2269.8,2275.25,2333.95,267550
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-02,2330.0,2373.6,2320.0,2333.95,2328.1,8264
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-03-01,2340.0,2368.5,2315.35,2328.1,2351.7,164927
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-29,2300.0,2360.25,2285.0,2351.7,2313.05,257460
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-28,2370.15,2384.0,2300.0,2313.05,2370.1,122857
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-27,2410.1,2437.95,2364.0,2370.1,2417.75,137895
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-26,2440.0,2447.95,2409.45,2417.75,2448.0,96197
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-23,2450.0,2478.7,2437.2,2448.0,2444.3,87353
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-22,2428.85,2461.45,2413.0,2444.3,2428.85,123801
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-21,2452.0,2479.95,2417.5,2428.85,2472.3,128553
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-20,2505.0,2524.15,2444.0,2472.3,2500.8,178412
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-19,2494.0,2528.0,2475.05,2500.8,2471.6,275449
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-16,2437.0,2528.0,2437.0,2471.6,2434.15,386071
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-15,2460.05,2475.9,2425.0,2434.15,2454.75,108385
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-14,2445.2,2495.0,2420.1,2454.75,2477.05,86092
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-13,2445.05,2484.7,2432.3,2477.05,2458.75,77022
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-12,2478.0,2505.0,2448.25,2458.75,2451.9,119054
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-09,2439.95,2462.05,2405.9,2451.9,2418.0,118344
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-08,2503.05,2507.9,2407.55,2418.0,2501.4,164616
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-07,2515.0,2515.95,2464.35,2501.4,2513.1,97543
Dr. Lal Path Labs Ltd.,LALPATHLAB,2024-02-06,2408.0,2518.0,2403.8,2513.1,2421.25,324211
