StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Latent View Analytics Limited,LATENTVIEW,2024-03-28,465.0,520.0,459.35,507.75,462.1,7087750
Latent View Analytics Limited,LATENTVIEW,2024-03-27,454.8,472.0,454.8,462.1,454.4,795061
Latent View Analytics Limited,LATENTVIEW,2024-03-26,467.8,469.7,452.3,454.4,467.8,661059
Latent View Analytics Limited,LATENTVIEW,2024-03-22,460.3,470.7,458.25,467.8,465.25,469020
Latent View Analytics Limited,LATENTVIEW,2024-03-21,452.8,467.85,452.0,465.25,446.8,737242
Latent View Analytics Limited,LATENTVIEW,2024-03-20,440.5,449.2,434.1,446.8,439.95,515255
Latent View Analytics Limited,LATENTVIEW,2024-03-19,440.0,444.9,434.95,439.95,439.75,755167
Latent View Analytics Limited,LATENTVIEW,2024-03-18,450.0,451.25,438.05,439.75,449.75,642635
Latent View Analytics Limited,LATENTVIEW,2024-03-15,451.9,460.8,440.5,449.75,450.5,578415
Latent View Analytics Limited,LATENTVIEW,2024-03-14,443.55,454.55,430.0,450.5,443.55,1030127
Latent View Analytics Limited,LATENTVIEW,2024-03-13,476.1,480.6,439.1,443.55,474.7,1178506
Latent View Analytics Limited,LATENTVIEW,2024-03-12,477.15,483.55,467.0,474.7,477.15,741545
Latent View Analytics Limited,LATENTVIEW,2024-03-11,493.95,497.65,474.8,477.15,494.6,626679
Latent View Analytics Limited,LATENTVIEW,2024-03-07,500.0,504.9,492.55,494.6,498.95,321292
Latent View Analytics Limited,LATENTVIEW,2024-03-06,504.0,505.55,488.3,498.95,505.85,697319
Latent View Analytics Limited,LATENTVIEW,2024-03-05,516.0,516.0,504.1,505.85,516.6,493673
Latent View Analytics Limited,LATENTVIEW,2024-03-04,525.0,527.0,515.05,516.6,524.0,248555
Latent View Analytics Limited,LATENTVIEW,2024-03-02,517.95,525.25,513.95,524.0,516.45,127014
Latent View Analytics Limited,LATENTVIEW,2024-03-01,512.95,524.0,510.8,516.45,509.75,683886
Latent View Analytics Limited,LATENTVIEW,2024-02-29,505.9,520.8,501.35,509.75,506.1,577675
Latent View Analytics Limited,LATENTVIEW,2024-02-28,527.7,533.3,503.0,506.1,523.05,795654
Latent View Analytics Limited,LATENTVIEW,2024-02-27,522.0,538.0,520.15,523.05,522.95,1290847
Latent View Analytics Limited,LATENTVIEW,2024-02-26,514.5,526.2,509.95,522.95,514.85,684979
Latent View Analytics Limited,LATENTVIEW,2024-02-23,513.9,530.8,512.5,514.85,508.9,944648
Latent View Analytics Limited,LATENTVIEW,2024-02-22,504.4,512.9,496.3,508.9,501.85,422800
Latent View Analytics Limited,LATENTVIEW,2024-02-21,514.2,517.1,497.9,501.85,514.45,428900
Latent View Analytics Limited,LATENTVIEW,2024-02-20,525.0,529.5,512.95,514.45,522.6,481807
