StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Lemon Tree Hotels Limited,LEMONTREE,2024-03-28,132.95,135.3,130.1,130.55,132.5,4626109
Lemon Tree Hotels Limited,LEMONTREE,2024-03-27,132.95,135.7,131.7,132.5,132.4,4537377
Lemon Tree Hotels Limited,LEMONTREE,2024-03-26,132.7,134.1,130.35,132.4,132.6,2733775
Lemon Tree Hotels Limited,LEMONTREE,2024-03-22,134.5,135.65,132.05,132.6,133.65,2103033
Lemon Tree Hotels Limited,LEMONTREE,2024-03-21,129.6,134.75,129.3,133.65,127.8,3191276
Lemon Tree Hotels Limited,LEMONTREE,2024-03-20,129.9,130.75,126.15,127.8,129.75,1878326
Lemon Tree Hotels Limited,LEMONTREE,2024-03-19,132.0,132.4,128.8,129.75,129.75,2455962
Lemon Tree Hotels Limited,LEMONTREE,2024-03-18,129.55,132.65,128.5,129.75,129.05,2183741
Lemon Tree Hotels Limited,LEMONTREE,2024-03-15,128.4,130.9,124.6,129.05,127.4,4559910
Lemon Tree Hotels Limited,LEMONTREE,2024-03-14,125.0,132.0,122.15,127.4,125.0,7309854
Lemon Tree Hotels Limited,LEMONTREE,2024-03-13,138.75,140.2,122.2,125.0,137.55,6138297
Lemon Tree Hotels Limited,LEMONTREE,2024-03-12,135.7,138.5,132.85,137.55,135.35,3137495
Lemon Tree Hotels Limited,LEMONTREE,2024-03-11,138.05,139.4,133.1,135.35,139.45,1968011
Lemon Tree Hotels Limited,LEMONTREE,2024-03-07,139.55,140.5,137.25,139.45,139.25,1558290
Lemon Tree Hotels Limited,LEMONTREE,2024-03-06,141.75,141.8,136.85,139.25,141.85,4590149
Lemon Tree Hotels Limited,LEMONTREE,2024-03-05,143.3,145.35,140.8,141.85,143.25,3022364
Lemon Tree Hotels Limited,LEMONTREE,2024-03-04,141.5,146.35,140.5,143.25,141.35,7263112
Lemon Tree Hotels Limited,LEMONTREE,2024-03-02,141.85,142.5,141.0,141.35,141.15,322780
Lemon Tree Hotels Limited,LEMONTREE,2024-03-01,140.25,143.4,140.1,141.15,139.4,3727617
Lemon Tree Hotels Limited,LEMONTREE,2024-02-29,139.7,141.2,137.6,139.4,139.7,4025652
Lemon Tree Hotels Limited,LEMONTREE,2024-02-28,141.75,142.6,138.75,139.7,141.7,4088087
Lemon Tree Hotels Limited,LEMONTREE,2024-02-27,142.3,144.25,141.0,141.7,141.1,3670433
Lemon Tree Hotels Limited,LEMONTREE,2024-02-26,141.75,142.85,139.9,141.1,141.7,2531650
Lemon Tree Hotels Limited,LEMONTREE,2024-02-23,139.2,147.25,139.0,141.7,138.15,11406917
Lemon Tree Hotels Limited,LEMONTREE,2024-02-22,138.65,140.2,135.25,138.15,137.45,2751831
Lemon Tree Hotels Limited,LEMONTREE,2024-02-21,139.85,144.6,134.1,137.45,138.5,8167463
Lemon Tree Hotels Limited,LEMONTREE,2024-02-20,136.8,142.25,136.25,138.5,136.8,4958623
Lemon Tree Hotels Limited,LEMONTREE,2024-02-19,136.2,137.7,135.75,136.8,136.2,1074092
Lemon Tree Hotels Limited,LEMONTREE,2024-02-16,138.0,139.8,134.65,136.2,137.75,1205593
Lemon Tree Hotels Limited,LEMONTREE,2024-02-15,136.15,138.7,136.0,137.75,135.6,2372599
Lemon Tree Hotels Limited,LEMONTREE,2024-02-14,127.75,136.95,126.35,135.6,128.8,3129366
Lemon Tree Hotels Limited,LEMONTREE,2024-02-13,132.0,133.3,126.65,128.8,132.0,3309306
Lemon Tree Hotels Limited,LEMONTREE,2024-02-12,136.2,136.25,131.6,132.0,136.3,3082819
Lemon Tree Hotels Limited,LEMONTREE,2024-02-09,139.0,139.55,133.5,136.3,138.3,3302720
Lemon Tree Hotels Limited,LEMONTREE,2024-02-08,137.2,139.65,136.35,138.3,135.15,3672067
Lemon Tree Hotels Limited,LEMONTREE,2024-02-07,140.95,142.0,133.8,135.15,142.95,9738568
Lemon Tree Hotels Limited,LEMONTREE,2024-02-06,140.85,145.0,140.8,142.95,139.85,6098828
Lemon Tree Hotels Limited,LEMONTREE,2024-02-05,143.15,146.45,138.6,139.85,142.05,9717495
Lemon Tree Hotels Limited,LEMONTREE,2024-02-02,140.95,144.8,139.4,142.05,138.8,12625777
Lemon Tree Hotels Limited,LEMONTREE,2024-02-01,141.15,141.7,138.0,138.8,139.85,6043234
Lemon Tree Hotels Limited,LEMONTREE,2024-01-31,138.9,143.5,137.5,139.85,138.95,6527384
Lemon Tree Hotels Limited,LEMONTREE,2024-01-30,140.7,140.7,137.4,138.95,139.85,3955761
Lemon Tree Hotels Limited,LEMONTREE,2024-01-29,139.5,141.3,139.15,139.85,138.5,6173238
Lemon Tree Hotels Limited,LEMONTREE,2024-01-25,138.95,143.5,135.4,138.5,138.45,8465747
Lemon Tree Hotels Limited,LEMONTREE,2024-01-24,140.0,141.5,137.6,138.45,138.4,8852006
Lemon Tree Hotels Limited,LEMONTREE,2024-01-23,135.0,144.65,134.45,138.4,134.15,25901478
Lemon Tree Hotels Limited,LEMONTREE,2024-01-20,134.95,135.9,133.8,134.15,134.5,1451759
Lemon Tree Hotels Limited,LEMONTREE,2024-01-19,134.7,135.6,133.5,134.5,134.05,2412669
Lemon Tree Hotels Limited,LEMONTREE,2024-01-18,133.0,135.0,128.25,134.05,133.85,3805381
Lemon Tree Hotels Limited,LEMONTREE,2024-01-17,133.0,137.25,132.4,133.85,134.65,3340330
Lemon Tree Hotels Limited,LEMONTREE,2024-01-16,136.8,137.65,133.0,134.65,136.9,3722022
Lemon Tree Hotels Limited,LEMONTREE,2024-01-15,134.5,138.5,132.65,136.9,133.8,9584092
Lemon Tree Hotels Limited,LEMONTREE,2024-01-12,133.95,135.0,132.35,133.8,133.95,3860515
Lemon Tree Hotels Limited,LEMONTREE,2024-01-11,134.9,135.9,130.1,133.95,133.95,6771821
Lemon Tree Hotels Limited,LEMONTREE,2024-01-10,130.45,135.0,129.5,133.95,130.05,14712335
Lemon Tree Hotels Limited,LEMONTREE,2024-01-09,129.8,132.0,129.0,130.05,127.3,8736211
Lemon Tree Hotels Limited,LEMONTREE,2024-01-08,129.5,130.6,126.25,127.3,129.35,3593865
Lemon Tree Hotels Limited,LEMONTREE,2024-01-05,130.55,131.9,128.4,129.35,129.6,4645556
Lemon Tree Hotels Limited,LEMONTREE,2024-01-04,130.0,132.5,129.0,129.6,128.9,10193376
Lemon Tree Hotels Limited,LEMONTREE,2024-01-03,132.0,135.8,127.5,128.9,129.85,21584469
Lemon Tree Hotels Limited,LEMONTREE,2024-01-02,121.25,133.7,121.0,129.85,118.7,80174681
Lemon Tree Hotels Limited,LEMONTREE,2024-01-01,119.9,120.75,118.5,118.7,119.85,1627367
Lemon Tree Hotels Limited,LEMONTREE,2023-12-29,120.55,122.0,119.55,119.85,119.6,3679246
Lemon Tree Hotels Limited,LEMONTREE,2023-12-28,118.45,120.3,117.95,119.6,118.3,2734817
Lemon Tree Hotels Limited,LEMONTREE,2023-12-27,121.1,121.45,117.5,118.3,120.45,4175173
Lemon Tree Hotels Limited,LEMONTREE,2023-12-26,121.7,122.15,119.75,120.45,121.45,3138284
Lemon Tree Hotels Limited,LEMONTREE,2023-12-22,118.6,122.35,118.5,121.45,118.05,7591836
Lemon Tree Hotels Limited,LEMONTREE,2023-12-21,114.1,118.5,111.8,118.05,115.9,4537270
Lemon Tree Hotels Limited,LEMONTREE,2023-12-20,121.9,122.85,115.0,115.9,121.8,6147828
Lemon Tree Hotels Limited,LEMONTREE,2023-12-19,122.85,122.9,120.9,121.8,122.3,2364531
Lemon Tree Hotels Limited,LEMONTREE,2023-12-18,121.4,123.4,120.6,122.3,120.95,5092393
Lemon Tree Hotels Limited,LEMONTREE,2023-12-15,121.3,122.9,120.1,120.95,120.65,4236188
Lemon Tree Hotels Limited,LEMONTREE,2023-12-14,121.0,122.5,119.65,120.65,119.65,4558801
Lemon Tree Hotels Limited,LEMONTREE,2023-12-13,118.25,120.45,117.95,119.65,118.0,4023342
Lemon Tree Hotels Limited,LEMONTREE,2023-12-12,119.15,121.35,117.4,118.0,118.45,6111311
Lemon Tree Hotels Limited,LEMONTREE,2023-12-11,118.0,119.6,117.85,118.45,117.8,2613412
Lemon Tree Hotels Limited,LEMONTREE,2023-12-08,118.65,119.85,116.4,117.8,118.15,2407386
Lemon Tree Hotels Limited,LEMONTREE,2023-12-07,119.7,120.5,117.75,118.15,118.65,4987329
Lemon Tree Hotels Limited,LEMONTREE,2023-12-06,115.25,119.5,114.55,118.65,114.65,8104858
Lemon Tree Hotels Limited,LEMONTREE,2023-12-05,116.0,116.3,114.35,114.65,115.5,4139833
Lemon Tree Hotels Limited,LEMONTREE,2023-12-04,115.15,116.5,113.85,115.5,113.05,5127313
Lemon Tree Hotels Limited,LEMONTREE,2023-12-01,114.35,115.5,112.7,113.05,114.3,7648605
Lemon Tree Hotels Limited,LEMONTREE,2023-11-30,113.85,115.2,112.8,114.3,113.95,4279875
Lemon Tree Hotels Limited,LEMONTREE,2023-11-29,115.15,115.15,113.75,113.95,114.25,1899326
Lemon Tree Hotels Limited,LEMONTREE,2023-11-28,114.65,115.65,113.7,114.25,114.65,2169847
Lemon Tree Hotels Limited,LEMONTREE,2023-11-24,116.15,116.25,114.5,114.65,115.6,1868672
Lemon Tree Hotels Limited,LEMONTREE,2023-11-23,116.0,117.45,115.2,115.6,115.6,1788231
Lemon Tree Hotels Limited,LEMONTREE,2023-11-22,115.8,116.0,114.6,115.6,116.05,2517977
Lemon Tree Hotels Limited,LEMONTREE,2023-11-21,115.8,117.1,115.3,116.05,115.65,1946797
Lemon Tree Hotels Limited,LEMONTREE,2023-11-20,117.0,118.15,115.1,115.65,117.2,3856942
Lemon Tree Hotels Limited,LEMONTREE,2023-11-17,114.6,117.8,113.25,117.2,113.85,4998807
Lemon Tree Hotels Limited,LEMONTREE,2023-11-16,116.6,117.5,113.6,113.85,116.45,3693938
Lemon Tree Hotels Limited,LEMONTREE,2023-11-15,115.5,117.2,113.7,116.45,114.15,5027548
Lemon Tree Hotels Limited,LEMONTREE,2023-11-13,115.0,115.0,113.2,114.15,115.65,2697725
Lemon Tree Hotels Limited,LEMONTREE,2023-11-12,115.5,116.65,115.3,115.65,113.1,907549
Lemon Tree Hotels Limited,LEMONTREE,2023-11-10,115.5,115.5,111.85,113.1,116.5,3780418
Lemon Tree Hotels Limited,LEMONTREE,2023-11-09,118.2,118.3,115.8,116.5,117.5,2338719
Lemon Tree Hotels Limited,LEMONTREE,2023-11-08,116.95,118.0,116.25,117.5,116.3,2932569
Lemon Tree Hotels Limited,LEMONTREE,2023-11-07,115.0,117.5,113.8,116.3,114.7,5019768
Lemon Tree Hotels Limited,LEMONTREE,2023-11-06,110.2,115.0,110.0,114.7,108.95,6897381
Lemon Tree Hotels Limited,LEMONTREE,2023-11-03,109.2,110.3,107.9,108.95,108.2,3733261
Lemon Tree Hotels Limited,LEMONTREE,2023-11-02,107.95,110.4,107.45,108.2,106.95,3285487
Lemon Tree Hotels Limited,LEMONTREE,2023-11-01,110.0,110.5,106.3,106.95,109.85,3440129
Lemon Tree Hotels Limited,LEMONTREE,2023-10-31,111.0,111.95,109.15,109.85,110.35,5043027
Lemon Tree Hotels Limited,LEMONTREE,2023-10-30,112.8,114.95,109.9,110.35,111.8,3697706
Lemon Tree Hotels Limited,LEMONTREE,2023-10-27,108.8,112.5,108.6,111.8,106.9,7172519
Lemon Tree Hotels Limited,LEMONTREE,2023-10-26,106.8,108.75,100.75,106.9,107.5,8426058
Lemon Tree Hotels Limited,LEMONTREE,2023-10-25,110.0,113.8,106.5,107.5,111.85,6738232
Lemon Tree Hotels Limited,LEMONTREE,2023-10-23,119.6,120.2,111.1,111.85,119.55,5482959
Lemon Tree Hotels Limited,LEMONTREE,2023-10-20,122.7,123.0,118.6,119.55,122.8,2365039
Lemon Tree Hotels Limited,LEMONTREE,2023-10-19,120.0,123.4,119.2,122.8,121.45,4628073
Lemon Tree Hotels Limited,LEMONTREE,2023-10-18,122.6,124.0,119.15,121.45,122.05,5200008
Lemon Tree Hotels Limited,LEMONTREE,2023-10-17,123.7,124.15,121.1,122.05,122.05,3199838
Lemon Tree Hotels Limited,LEMONTREE,2023-10-16,121.0,123.4,120.8,122.05,120.5,4392474
Lemon Tree Hotels Limited,LEMONTREE,2023-10-13,119.9,125.2,118.45,120.5,120.5,9021545
Lemon Tree Hotels Limited,LEMONTREE,2023-10-12,119.85,120.8,118.5,120.5,119.0,4951679
Lemon Tree Hotels Limited,LEMONTREE,2023-10-11,118.9,121.0,117.9,119.0,118.05,6855497
Lemon Tree Hotels Limited,LEMONTREE,2023-10-10,116.85,119.0,116.55,118.05,116.1,4021829
Lemon Tree Hotels Limited,LEMONTREE,2023-10-09,118.0,118.0,115.0,116.1,118.75,5798437
Lemon Tree Hotels Limited,LEMONTREE,2023-10-06,119.0,121.5,118.1,118.75,117.9,10993280
Lemon Tree Hotels Limited,LEMONTREE,2023-10-05,118.2,120.2,117.5,117.9,116.85,7253716
Lemon Tree Hotels Limited,LEMONTREE,2023-10-04,118.95,119.1,115.45,116.85,118.15,9387063
Lemon Tree Hotels Limited,LEMONTREE,2023-10-03,114.5,118.5,113.7,118.15,113.75,7866498
Lemon Tree Hotels Limited,LEMONTREE,2023-09-29,114.9,115.4,112.2,113.75,114.35,3870584
Lemon Tree Hotels Limited,LEMONTREE,2023-09-28,118.9,119.15,113.4,114.35,118.35,5251950
Lemon Tree Hotels Limited,LEMONTREE,2023-09-27,115.4,118.85,114.0,118.35,115.2,6694799
Lemon Tree Hotels Limited,LEMONTREE,2023-09-26,113.0,116.35,111.55,115.2,112.7,6479105
Lemon Tree Hotels Limited,LEMONTREE,2023-09-25,115.95,116.6,112.1,112.7,115.35,5337760
Lemon Tree Hotels Limited,LEMONTREE,2023-09-22,113.45,115.95,112.9,115.35,113.0,4513996
Lemon Tree Hotels Limited,LEMONTREE,2023-09-21,115.5,116.05,111.6,113.0,115.75,6102470
Lemon Tree Hotels Limited,LEMONTREE,2023-09-20,117.0,117.4,113.5,115.75,117.0,6209235
Lemon Tree Hotels Limited,LEMONTREE,2023-09-18,122.3,124.3,115.05,117.0,121.55,8359762
Lemon Tree Hotels Limited,LEMONTREE,2023-09-15,124.45,126.8,119.55,121.55,122.7,12830187
Lemon Tree Hotels Limited,LEMONTREE,2023-09-14,118.75,123.35,116.75,122.7,117.95,12167963
Lemon Tree Hotels Limited,LEMONTREE,2023-09-13,116.0,122.5,114.0,117.95,117.65,9801200
Lemon Tree Hotels Limited,LEMONTREE,2023-09-12,117.6,125.15,110.25,117.65,116.7,34837891
Lemon Tree Hotels Limited,LEMONTREE,2023-09-11,116.45,118.65,115.35,116.7,115.6,7929176
Lemon Tree Hotels Limited,LEMONTREE,2023-09-08,111.0,116.85,110.2,115.6,110.6,22048605
Lemon Tree Hotels Limited,LEMONTREE,2023-09-07,109.45,111.8,109.25,110.6,108.5,10228759
Lemon Tree Hotels Limited,LEMONTREE,2023-09-05,108.0,108.05,105.5,106.1,107.7,9729361
Lemon Tree Hotels Limited,LEMONTREE,2023-09-01,109.55,109.8,107.45,108.05,109.25,4893403
Lemon Tree Hotels Limited,LEMONTREE,2023-08-31,111.0,112.8,108.2,109.25,110.0,10505971
Lemon Tree Hotels Limited,LEMONTREE,2023-08-30,104.2,110.8,104.0,110.0,103.45,15003745
Lemon Tree Hotels Limited,LEMONTREE,2023-08-29,104.9,105.2,102.3,103.45,104.3,3908184
Lemon Tree Hotels Limited,LEMONTREE,2023-08-28,107.0,107.05,103.55,104.3,106.5,5262166
Lemon Tree Hotels Limited,LEMONTREE,2023-08-25,107.9,108.8,104.8,106.5,108.6,8378361
