StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
LIC Housing Finance Limited,LICHSGFIN,2024-03-28,591.8,614.5,591.8,610.95,591.4,2992847
LIC Housing Finance Limited,LICHSGFIN,2024-03-28,608.0,608.0,608.0,610.95,591.4,2
LIC Housing Finance Limited,LICHSGFIN,2024-03-27,593.95,597.65,589.45,591.4,592.75,1075990
LIC Housing Finance Limited,LICHSGFIN,2024-03-26,595.5,598.8,590.05,592.75,595.5,2247918
LIC Housing Finance Limited,LICHSGFIN,2024-03-22,588.0,599.0,588.0,595.5,591.35,1290405
LIC Housing Finance Limited,LICHSGFIN,2024-03-21,575.2,594.0,575.15,591.35,570.05,1697503
LIC Housing Finance Limited,LICHSGFIN,2024-03-20,573.5,575.15,559.45,570.05,570.75,1023212
LIC Housing Finance Limited,LICHSGFIN,2024-03-19,574.7,575.5,565.05,570.75,575.1,1575894
LIC Housing Finance Limited,LICHSGFIN,2024-03-18,585.0,587.7,573.85,575.1,584.6,1642367
LIC Housing Finance Limited,LICHSGFIN,2024-03-15,585.3,594.75,575.25,584.6,591.8,3195333
LIC Housing Finance Limited,LICHSGFIN,2024-03-14,586.5,595.55,577.75,591.8,590.45,1799972
LIC Housing Finance Limited,LICHSGFIN,2024-03-13,625.0,625.95,584.95,590.45,624.1,3102446
LIC Housing Finance Limited,LICHSGFIN,2024-03-12,634.55,639.0,619.85,624.1,634.6,1854808
LIC Housing Finance Limited,LICHSGFIN,2024-03-11,639.0,642.0,633.1,634.6,637.6,1351832
LIC Housing Finance Limited,LICHSGFIN,2024-03-07,640.55,648.0,634.8,637.6,640.15,1314041
LIC Housing Finance Limited,LICHSGFIN,2024-03-06,656.0,656.45,623.0,640.15,656.0,2796433
LIC Housing Finance Limited,LICHSGFIN,2024-03-05,660.0,671.95,652.9,656.0,657.75,2375311
LIC Housing Finance Limited,LICHSGFIN,2024-03-04,650.0,661.15,648.75,657.75,648.4,1558962
LIC Housing Finance Limited,LICHSGFIN,2024-03-02,650.1,655.7,646.0,648.4,648.75,113196
LIC Housing Finance Limited,LICHSGFIN,2024-03-01,650.35,654.9,646.45,648.75,647.95,877615
LIC Housing Finance Limited,LICHSGFIN,2024-02-29,641.15,652.0,633.5,647.95,638.15,2116417
LIC Housing Finance Limited,LICHSGFIN,2024-02-28,651.85,656.35,635.75,638.15,649.55,1130316
LIC Housing Finance Limited,LICHSGFIN,2024-02-27,661.9,666.1,645.0,649.55,659.15,2940335
LIC Housing Finance Limited,LICHSGFIN,2024-02-26,643.45,661.45,643.0,659.15,642.3,3011803
LIC Housing Finance Limited,LICHSGFIN,2024-02-23,645.5,648.8,637.95,642.3,642.25,1038739
LIC Housing Finance Limited,LICHSGFIN,2024-02-22,641.4,644.0,635.55,642.25,640.9,868334
LIC Housing Finance Limited,LICHSGFIN,2024-02-21,637.55,646.95,637.55,640.9,638.95,2367781
LIC Housing Finance Limited,LICHSGFIN,2024-02-20,634.85,639.9,626.65,638.95,634.85,1502356
LIC Housing Finance Limited,LICHSGFIN,2024-02-19,645.0,645.9,633.0,634.85,641.75,1148627
LIC Housing Finance Limited,LICHSGFIN,2024-02-16,641.0,648.45,639.5,641.75,637.95,1798377
LIC Housing Finance Limited,LICHSGFIN,2024-02-15,639.8,644.2,629.3,637.95,636.6,1914588
LIC Housing Finance Limited,LICHSGFIN,2024-02-14,621.0,640.65,619.0,636.6,631.0,1260746
LIC Housing Finance Limited,LICHSGFIN,2024-02-13,616.0,632.6,614.15,631.0,620.45,2821807
LIC Housing Finance Limited,LICHSGFIN,2024-02-12,651.05,653.5,616.35,620.45,650.2,1869679
LIC Housing Finance Limited,LICHSGFIN,2024-02-09,650.0,656.9,632.15,650.2,647.6,2017131
LIC Housing Finance Limited,LICHSGFIN,2024-02-08,650.25,655.6,642.45,647.6,646.0,1639613
LIC Housing Finance Limited,LICHSGFIN,2024-02-07,659.0,669.8,636.3,646.0,648.5,3261779
LIC Housing Finance Limited,LICHSGFIN,2024-02-06,646.3,650.65,634.5,648.5,640.4,2829812
LIC Housing Finance Limited,LICHSGFIN,2024-02-05,640.0,655.75,626.05,640.4,634.25,4528404
