StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Life Insurance Corporation Of India,LICI,2024-03-28,902.65,928.0,901.75,916.15,892.5,4191452
Life Insurance Corporation Of India,LICI,2024-03-27,900.95,913.0,888.95,892.5,897.45,7788410
Life Insurance Corporation Of India,LICI,2024-03-26,909.1,918.0,892.2,897.45,906.35,3883441
Life Insurance Corporation Of India,LICI,2024-03-22,905.0,909.0,888.5,906.35,901.8,4895634
Life Insurance Corporation Of India,LICI,2024-03-21,882.0,909.55,877.5,901.8,866.9,6292495
Life Insurance Corporation Of India,LICI,2024-03-20,885.9,894.8,865.0,866.9,879.55,4003650
Life Insurance Corporation Of India,LICI,2024-03-19,905.0,918.75,875.65,879.55,904.4,4240551
Life Insurance Corporation Of India,LICI,2024-03-18,916.5,934.0,902.0,904.4,925.15,3765432
Life Insurance Corporation Of India,LICI,2024-03-15,957.0,969.7,918.95,925.15,958.5,3560100
Life Insurance Corporation Of India,LICI,2024-03-14,910.0,962.35,901.05,958.5,909.75,4958488
Life Insurance Corporation Of India,LICI,2024-03-13,990.45,994.95,900.0,909.75,986.25,6431249
Life Insurance Corporation Of India,LICI,2024-03-12,1016.9,1018.9,980.55,986.25,1011.9,2878325
Life Insurance Corporation Of India,LICI,2024-03-11,1035.0,1045.0,1006.05,1011.9,1024.8,2777683
Life Insurance Corporation Of India,LICI,2024-03-07,1012.0,1034.0,1007.0,1024.8,1010.3,1822489
Life Insurance Corporation Of India,LICI,2024-03-06,1030.0,1034.95,998.25,1010.3,1027.25,2542290
Life Insurance Corporation Of India,LICI,2024-03-05,1037.4,1045.85,1023.9,1027.25,1036.9,2024712
Life Insurance Corporation Of India,LICI,2024-03-04,1037.0,1049.0,1021.2,1036.9,1036.25,2450117
Life Insurance Corporation Of India,LICI,2024-03-02,1031.9,1039.95,1028.65,1036.25,1029.7,326924
Life Insurance Corporation Of India,LICI,2024-03-01,1027.2,1040.95,1025.1,1029.7,1022.8,2087742
Life Insurance Corporation Of India,LICI,2024-02-29,1012.0,1027.0,997.1,1022.8,1006.95,3013025
Life Insurance Corporation Of India,LICI,2024-02-28,1046.2,1052.9,1003.8,1006.95,1040.2,3573062
Life Insurance Corporation Of India,LICI,2024-02-27,1044.0,1068.0,1037.1,1040.2,1041.15,3772686
Life Insurance Corporation Of India,LICI,2024-02-26,1066.5,1075.7,1036.4,1041.15,1066.5,2958776
Life Insurance Corporation Of India,LICI,2024-02-23,1062.05,1082.0,1048.05,1066.5,1064.4,4331573
Life Insurance Corporation Of India,LICI,2024-02-22,1041.45,1070.0,1032.05,1064.4,1039.55,5132257
Life Insurance Corporation Of India,LICI,2024-02-21,1044.0,1054.75,1027.7,1039.55,1042.15,3929842
Life Insurance Corporation Of India,LICI,2024-02-20,1055.0,1056.4,1036.05,1042.15,1052.2,3173173
Life Insurance Corporation Of India,LICI,2024-02-19,1080.0,1092.0,1050.0,1052.2,1039.85,6832181
Life Insurance Corporation Of India,LICI,2024-02-16,1062.0,1067.55,1030.1,1039.85,1056.1,5404201
Life Insurance Corporation Of India,LICI,2024-02-15,1082.0,1086.9,1049.05,1056.1,1070.5,5013229
Life Insurance Corporation Of India,LICI,2024-02-14,1000.0,1078.5,990.0,1070.5,1011.45,9358003
Life Insurance Corporation Of India,LICI,2024-02-13,1029.75,1043.3,979.95,1011.45,1022.45,8474155
Life Insurance Corporation Of India,LICI,2024-02-12,1112.05,1125.0,1010.1,1022.45,1080.85,11741691
Life Insurance Corporation Of India,LICI,2024-02-09,1152.0,1175.0,1067.0,1080.85,1105.25,21551992
Life Insurance Corporation Of India,LICI,2024-02-08,1073.9,1145.0,1071.0,1105.25,1044.45,22872046
Life Insurance Corporation Of India,LICI,2024-02-07,1031.05,1050.0,1014.1,1044.45,1025.85,7354236
Life Insurance Corporation Of India,LICI,2024-02-06,1014.05,1033.0,990.25,1025.85,998.85,7368232
Life Insurance Corporation Of India,LICI,2024-02-05,956.5,1028.0,955.0,998.85,945.45,17219410
Life Insurance Corporation Of India,LICI,2024-02-02,942.85,955.15,937.0,945.45,937.0,4534536
Life Insurance Corporation Of India,LICI,2024-02-01,956.9,964.0,926.0,937.0,949.75,3463799
Life Insurance Corporation Of India,LICI,2024-01-31,938.15,971.9,936.75,949.75,932.9,7726332
Life Insurance Corporation Of India,LICI,2024-01-30,922.5,955.0,917.55,932.9,915.6,9707445
Life Insurance Corporation Of India,LICI,2024-01-29,910.0,931.9,903.6,915.6,903.5,3792964
Life Insurance Corporation Of India,LICI,2024-01-25,915.0,923.9,899.1,903.5,907.2,2629355
Life Insurance Corporation Of India,LICI,2024-01-25,907.2,907.2,907.2,907.2,949.0,127814
Life Insurance Corporation Of India,LICI,2024-01-24,878.2,924.0,866.0,907.2,875.25,3503761
Life Insurance Corporation Of India,LICI,2024-01-23,943.95,950.05,869.2,875.25,936.85,5296256
Life Insurance Corporation Of India,LICI,2024-01-20,908.0,948.45,906.2,936.85,901.9,7489946
Life Insurance Corporation Of India,LICI,2024-01-19,909.0,915.0,898.0,901.9,901.2,3328849
