StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Larsen & Toubro Limited,LT,2024-03-28,3706.55,3813.35,3697.55,3763.9,3706.4,4278668
Larsen & Toubro Limited,LT,2024-03-27,3683.0,3727.2,3670.1,3706.4,3670.1,2387693
Larsen & Toubro Limited,LT,2024-03-26,3605.0,3676.9,3600.0,3670.1,3617.8,2320963
Larsen & Toubro Limited,LT,2024-03-22,3546.2,3647.3,3546.2,3617.8,3560.0,3020545
Larsen & Toubro Limited,LT,2024-03-21,3525.15,3596.0,3525.15,3560.0,3509.7,2504962
Larsen & Toubro Limited,LT,2024-03-20,3502.75,3524.95,3487.75,3509.7,3501.7,1442811
Larsen & Toubro Limited,LT,2024-03-19,3541.0,3549.5,3481.0,3501.7,3561.2,1447405
Larsen & Toubro Limited,LT,2024-03-18,3537.15,3572.2,3526.7,3561.2,3537.15,1354787
Larsen & Toubro Limited,LT,2024-03-15,3598.0,3603.0,3524.05,3537.15,3608.2,4054210
Larsen & Toubro Limited,LT,2024-03-14,3527.05,3636.0,3522.0,3608.2,3538.55,4528490
Larsen & Toubro Limited,LT,2024-03-13,3634.9,3636.8,3511.9,3538.55,3621.65,2503293
Larsen & Toubro Limited,LT,2024-03-12,3639.05,3672.0,3613.15,3621.65,3640.6,1470377
Larsen & Toubro Limited,LT,2024-03-11,3700.0,3700.0,3631.45,3640.6,3676.95,1748541
Larsen & Toubro Limited,LT,2024-03-07,3660.75,3705.15,3643.25,3676.95,3642.2,2344401
Larsen & Toubro Limited,LT,2024-03-06,3618.0,3652.45,3586.05,3642.2,3612.6,1500196
Larsen & Toubro Limited,LT,2024-03-05,3631.2,3644.45,3590.3,3612.6,3644.45,1981370
Larsen & Toubro Limited,LT,2024-03-04,3670.0,3679.8,3622.05,3644.45,3655.25,1307501
Larsen & Toubro Limited,LT,2024-03-02,3647.9,3690.0,3646.2,3655.25,3633.5,246957
Larsen & Toubro Limited,LT,2024-03-01,3501.65,3658.35,3500.0,3633.5,3477.55,4407803
Larsen & Toubro Limited,LT,2024-02-29,3485.0,3496.0,3436.45,3477.55,3470.2,2119512
Larsen & Toubro Limited,LT,2024-02-28,3505.0,3513.0,3446.15,3470.2,3506.45,1666903
Larsen & Toubro Limited,LT,2024-02-27,3475.0,3512.0,3451.9,3506.45,3470.15,2122286
Larsen & Toubro Limited,LT,2024-02-26,3400.0,3491.65,3393.0,3470.15,3387.95,4122419
Larsen & Toubro Limited,LT,2024-02-23,3363.75,3399.9,3340.75,3387.95,3363.75,2107176
Larsen & Toubro Limited,LT,2024-02-22,3310.0,3369.0,3276.95,3363.75,3296.4,2521388
Larsen & Toubro Limited,LT,2024-02-21,3356.9,3356.9,3290.05,3296.4,3356.75,2430672
Larsen & Toubro Limited,LT,2024-02-20,3339.85,3367.75,3328.45,3356.75,3339.85,1578162
Larsen & Toubro Limited,LT,2024-02-19,3400.55,3408.0,3335.5,3339.85,3386.75,1216447
Larsen & Toubro Limited,LT,2024-02-16,3304.95,3398.0,3304.05,3386.75,3300.3,2768329
Larsen & Toubro Limited,LT,2024-02-15,3309.0,3321.95,3290.2,3300.3,3309.0,1999189
Larsen & Toubro Limited,LT,2024-02-14,3290.05,3316.95,3263.05,3309.0,3321.5,2502138
Larsen & Toubro Limited,LT,2024-02-13,3312.0,3338.55,3284.1,3321.5,3299.55,2151493
Larsen & Toubro Limited,LT,2024-02-12,3330.0,3339.15,3287.0,3299.55,3324.55,1922273
Larsen & Toubro Limited,LT,2024-02-09,3336.25,3390.0,3308.95,3324.55,3335.5,3121873
Larsen & Toubro Limited,LT,2024-02-08,3413.0,3417.8,3293.85,3335.5,3394.7,3471727
Larsen & Toubro Limited,LT,2024-02-07,3445.0,3447.0,3389.0,3394.7,3424.25,2099940
Larsen & Toubro Limited,LT,2024-02-06,3346.0,3427.75,3337.55,3424.25,3341.75,2545192
Larsen & Toubro Limited,LT,2024-02-05,3375.5,3407.95,3318.45,3341.75,3376.05,2954238
Larsen & Toubro Limited,LT,2024-02-02,3402.7,3436.35,3361.0,3376.05,3398.0,7579802
Larsen & Toubro Limited,LT,2024-02-01,3480.0,3493.75,3371.0,3398.0,3479.75,6149780
Larsen & Toubro Limited,LT,2024-01-31,3520.0,3538.0,3387.05,3479.75,3633.3,9637606
Larsen & Toubro Limited,LT,2024-01-30,3715.95,3737.9,3624.9,3633.3,3708.0,1454989
Larsen & Toubro Limited,LT,2024-01-29,3604.0,3733.85,3600.1,3708.0,3593.45,2072982
Larsen & Toubro Limited,LT,2024-01-25,3599.9,3618.25,3564.8,3593.45,3589.2,2206540
Larsen & Toubro Limited,LT,2024-01-25,3589.2,3589.2,3589.2,3589.2,2011.1,233652
Larsen & Toubro Limited,LT,2024-01-24,3570.0,3617.95,3521.7,3589.2,3551.0,3711521
Larsen & Toubro Limited,LT,2024-01-23,3637.6,3661.35,3536.2,3551.0,3634.5,1742142
Larsen & Toubro Limited,LT,2024-01-20,3667.0,3670.0,3621.05,3634.5,3646.0,468514
Larsen & Toubro Limited,LT,2024-01-19,3603.0,3655.85,3603.0,3646.0,3596.0,1913923
Larsen & Toubro Limited,LT,2024-01-18,3570.8,3616.95,3525.0,3596.0,3570.95,2148898
Larsen & Toubro Limited,LT,2024-01-17,3555.0,3614.45,3547.7,3570.95,3573.5,2699076
Larsen & Toubro Limited,LT,2024-01-16,3548.0,3589.0,3538.0,3573.5,3543.05,1791818
Larsen & Toubro Limited,LT,2024-01-15,3576.1,3605.7,3538.05,3543.05,3568.8,1783518
Larsen & Toubro Limited,LT,2024-01-12,3505.05,3578.65,3494.05,3568.8,3504.85,1782631
Larsen & Toubro Limited,LT,2024-01-11,3545.5,3559.55,3500.55,3504.85,3545.5,1105348
Larsen & Toubro Limited,LT,2024-01-10,3549.95,3558.95,3520.0,3545.5,3555.95,1534821
Larsen & Toubro Limited,LT,2024-01-09,3527.45,3593.75,3520.1,3555.95,3501.1,1807271
Larsen & Toubro Limited,LT,2024-01-08,3540.0,3559.95,3490.0,3501.1,3521.9,1993855
Larsen & Toubro Limited,LT,2024-01-05,3464.95,3555.0,3460.0,3521.9,3458.7,2069018
Larsen & Toubro Limited,LT,2024-01-04,3441.05,3480.1,3423.0,3458.7,3440.35,1651616
Larsen & Toubro Limited,LT,2024-01-03,3433.0,3465.85,3411.6,3440.35,3438.1,1283859
Larsen & Toubro Limited,LT,2024-01-02,3525.05,3525.45,3432.0,3438.1,3525.45,1511464
Larsen & Toubro Limited,LT,2024-01-01,3538.0,3538.0,3496.05,3525.45,3526.0,777080
Larsen & Toubro Limited,LT,2023-12-29,3531.0,3540.0,3495.0,3526.0,3518.05,968577
Larsen & Toubro Limited,LT,2023-12-28,3545.0,3559.95,3500.5,3518.05,3544.0,3371121
Larsen & Toubro Limited,LT,2023-12-27,3510.0,3549.0,3504.15,3544.0,3490.05,1389266
Larsen & Toubro Limited,LT,2023-12-26,3477.95,3508.35,3477.95,3490.05,3477.95,1072263
Larsen & Toubro Limited,LT,2023-12-22,3424.0,3496.0,3408.6,3477.95,3424.15,1681707
Larsen & Toubro Limited,LT,2023-12-21,3390.05,3439.95,3333.0,3424.15,3418.5,2292802
Larsen & Toubro Limited,LT,2023-12-20,3505.0,3514.6,3412.55,3418.5,3498.95,1876048
Larsen & Toubro Limited,LT,2023-12-19,3488.95,3525.0,3476.05,3498.95,3491.6,1311700
Larsen & Toubro Limited,LT,2023-12-18,3496.0,3506.0,3466.0,3491.6,3488.0,1767429
Larsen & Toubro Limited,LT,2023-12-15,3435.15,3498.9,3432.85,3488.0,3433.1,2632935
Larsen & Toubro Limited,LT,2023-12-14,3425.95,3440.0,3400.1,3433.1,3399.8,2425646
Larsen & Toubro Limited,LT,2023-12-13,3352.95,3410.0,3346.2,3399.8,3342.4,1509107
Larsen & Toubro Limited,LT,2023-12-12,3375.0,3375.0,3332.0,3342.4,3385.8,1888423
Larsen & Toubro Limited,LT,2023-12-11,3377.95,3405.0,3360.0,3385.8,3378.45,1534238
Larsen & Toubro Limited,LT,2023-12-08,3377.0,3430.0,3366.0,3378.45,3355.6,2428891
Larsen & Toubro Limited,LT,2023-12-07,3392.3,3409.9,3337.05,3355.6,3392.3,2128823
Larsen & Toubro Limited,LT,2023-12-06,3330.0,3401.0,3321.0,3392.3,3315.45,2057233
Larsen & Toubro Limited,LT,2023-12-05,3319.05,3325.0,3279.05,3315.45,3313.55,1659309
Larsen & Toubro Limited,LT,2023-12-04,3285.0,3347.55,3250.0,3313.55,3190.65,3095974
Larsen & Toubro Limited,LT,2023-12-01,3129.95,3197.95,3121.05,3190.65,3109.2,2112908
Larsen & Toubro Limited,LT,2023-11-30,3076.3,3124.55,3058.7,3109.2,3083.75,3131624
Larsen & Toubro Limited,LT,2023-11-29,3050.0,3089.9,3049.0,3083.75,3050.0,1801107
Larsen & Toubro Limited,LT,2023-11-28,3054.0,3059.15,3035.0,3050.0,3054.25,1210508
Larsen & Toubro Limited,LT,2023-11-24,3050.0,3067.0,3039.6,3054.25,3045.65,915121
Larsen & Toubro Limited,LT,2023-11-23,3080.0,3088.0,3031.05,3045.65,3082.3,1514688
Larsen & Toubro Limited,LT,2023-11-22,3074.85,3088.65,3062.5,3082.3,3074.85,1104208
Larsen & Toubro Limited,LT,2023-11-21,3088.5,3099.0,3062.45,3074.85,3088.8,1884782
Larsen & Toubro Limited,LT,2023-11-20,3095.1,3111.95,3076.2,3088.8,3109.0,1231164
Larsen & Toubro Limited,LT,2023-11-17,3050.0,3115.45,3045.15,3109.0,3051.15,1325050
Larsen & Toubro Limited,LT,2023-11-16,3057.95,3082.1,3045.0,3051.15,3064.95,1597607
Larsen & Toubro Limited,LT,2023-11-15,3062.35,3071.05,3055.0,3064.95,3048.5,1160184
Larsen & Toubro Limited,LT,2023-11-13,3050.0,3054.35,3031.65,3048.5,3052.0,531769
Larsen & Toubro Limited,LT,2023-11-12,3054.95,3060.0,3044.0,3052.0,3033.25,256389
Larsen & Toubro Limited,LT,2023-11-10,3021.05,3044.0,3005.25,3033.25,3024.85,947753
Larsen & Toubro Limited,LT,2023-11-09,3003.0,3028.7,2997.0,3024.85,2996.45,1719911
Larsen & Toubro Limited,LT,2023-11-08,2974.7,3002.75,2961.0,2996.45,2961.3,1013438
Larsen & Toubro Limited,LT,2023-11-07,2970.0,2983.6,2956.1,2961.3,2975.45,1112206
Larsen & Toubro Limited,LT,2023-11-06,2933.0,2979.0,2927.25,2975.45,2911.25,1235499
Larsen & Toubro Limited,LT,2023-11-03,2934.0,2948.05,2905.0,2911.25,2918.1,1136175
Larsen & Toubro Limited,LT,2023-11-02,2935.0,2937.85,2903.2,2918.1,2895.3,1451606
Larsen & Toubro Limited,LT,2023-11-01,2947.45,2983.15,2871.05,2895.3,2929.05,3875595
Larsen & Toubro Limited,LT,2023-10-31,2929.95,2951.55,2907.95,2929.05,2926.35,1556467
Larsen & Toubro Limited,LT,2023-10-30,2899.2,2932.0,2856.15,2926.35,2901.9,1693052
Larsen & Toubro Limited,LT,2023-10-27,2864.65,2910.55,2857.65,2901.9,2864.6,2399538
Larsen & Toubro Limited,LT,2023-10-26,2906.0,2916.15,2857.05,2864.6,2916.1,3286109
Larsen & Toubro Limited,LT,2023-10-25,2959.0,2965.5,2910.3,2916.1,2958.3,2108353
Larsen & Toubro Limited,LT,2023-10-23,3003.0,3006.9,2949.0,2958.3,3012.35,1614030
Larsen & Toubro Limited,LT,2023-10-20,3039.95,3056.25,2977.3,3012.35,3054.4,1667471
Larsen & Toubro Limited,LT,2023-10-19,3025.6,3069.9,3007.15,3054.4,3045.6,1599104
Larsen & Toubro Limited,LT,2023-10-18,3068.65,3079.15,3037.15,3045.6,3066.3,1350839
