StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
LTIMindtree Limited,LTIM,2024-03-28,4940.0,4940.0,4940.0,4938.4,4927.5,1
LTIMindtree Limited,LTIM,2024-03-28,4935.95,4967.4,4908.05,4938.4,4927.5,1169945
LTIMindtree Limited,LTIM,2024-03-27,4980.0,5002.9,4915.0,4927.5,4975.2,517721
LTIMindtree Limited,LTIM,2024-03-26,5005.0,5045.35,4964.0,4975.2,5005.0,388110
LTIMindtree Limited,LTIM,2024-03-22,5044.95,5078.0,4945.05,5005.0,5159.9,846359
LTIMindtree Limited,LTIM,2024-03-21,5160.0,5193.0,5130.3,5159.9,5101.05,374029
LTIMindtree Limited,LTIM,2024-03-20,5115.1,5158.65,5070.85,5101.05,5105.7,229758
LTIMindtree Limited,LTIM,2024-03-19,5167.0,5178.1,5076.2,5105.7,5167.45,487996
LTIMindtree Limited,LTIM,2024-03-18,5200.0,5219.95,5150.0,5167.45,5194.35,189164
LTIMindtree Limited,LTIM,2024-03-15,5248.05,5249.95,5170.0,5194.35,5264.2,571117
LTIMindtree Limited,LTIM,2024-03-14,5184.95,5272.15,5112.8,5264.2,5195.0,414994
LTIMindtree Limited,LTIM,2024-03-13,5231.75,5275.2,5160.15,5195.0,5209.2,617665
LTIMindtree Limited,LTIM,2024-03-12,5143.0,5219.25,5123.0,5209.2,5123.0,493480
LTIMindtree Limited,LTIM,2024-03-11,5118.0,5133.0,5057.0,5123.0,5122.7,343534
LTIMindtree Limited,LTIM,2024-03-07,5178.85,5201.95,5108.0,5122.7,5164.2,461048
LTIMindtree Limited,LTIM,2024-03-06,5149.95,5179.35,5073.25,5164.2,5131.55,608117
LTIMindtree Limited,LTIM,2024-03-05,5209.85,5219.45,5115.0,5131.55,5216.85,549757
LTIMindtree Limited,LTIM,2024-03-04,5300.0,5319.85,5209.55,5216.85,5294.9,456225
LTIMindtree Limited,LTIM,2024-03-02,5300.95,5314.8,5274.0,5294.9,5273.55,19035
LTIMindtree Limited,LTIM,2024-03-01,5315.0,5348.45,5257.0,5273.55,5300.85,565313
LTIMindtree Limited,LTIM,2024-02-29,5412.0,5429.95,5267.0,5300.85,5409.95,513879
LTIMindtree Limited,LTIM,2024-02-28,5449.0,5466.0,5380.0,5409.95,5442.7,263858
LTIMindtree Limited,LTIM,2024-02-27,5465.0,5508.1,5401.0,5442.7,5466.15,321866
LTIMindtree Limited,LTIM,2024-02-26,5537.9,5537.9,5444.05,5466.15,5542.65,227438
LTIMindtree Limited,LTIM,2024-02-23,5546.0,5555.15,5510.0,5542.65,5486.75,310531
LTIMindtree Limited,LTIM,2024-02-22,5498.0,5506.3,5406.05,5486.75,5420.1,536659
LTIMindtree Limited,LTIM,2024-02-21,5500.0,5516.1,5407.1,5420.1,5504.35,567794
LTIMindtree Limited,LTIM,2024-02-20,5528.9,5590.0,5481.45,5504.35,5514.05,413919
LTIMindtree Limited,LTIM,2024-02-19,5566.0,5589.0,5509.9,5514.05,5580.4,156372
LTIMindtree Limited,LTIM,2024-02-16,5567.0,5594.95,5495.35,5580.4,5522.3,319063
LTIMindtree Limited,LTIM,2024-02-15,5575.55,5590.0,5511.05,5522.3,5505.15,226420
LTIMindtree Limited,LTIM,2024-02-14,5479.95,5517.0,5404.65,5505.15,5557.15,332342
LTIMindtree Limited,LTIM,2024-02-13,5515.95,5575.0,5469.2,5557.15,5516.5,256808
LTIMindtree Limited,LTIM,2024-02-12,5469.95,5548.0,5464.55,5516.5,5453.3,421078
LTIMindtree Limited,LTIM,2024-02-09,5470.0,5470.0,5362.0,5453.3,5420.8,196922
LTIMindtree Limited,LTIM,2024-02-08,5455.95,5490.0,5401.1,5420.8,5447.9,380430
LTIMindtree Limited,LTIM,2024-02-07,5500.0,5518.95,5439.0,5447.9,5470.3,354265
LTIMindtree Limited,LTIM,2024-02-06,5430.5,5506.85,5391.35,5470.3,5438.45,836565
LTIMindtree Limited,LTIM,2024-02-05,5540.0,5540.0,5425.65,5438.45,5485.85,301000
LTIMindtree Limited,LTIM,2024-02-02,5375.05,5541.0,5375.05,5485.85,5364.65,593677
LTIMindtree Limited,LTIM,2024-02-01,5430.0,5434.0,5342.0,5364.65,5448.55,495519
LTIMindtree Limited,LTIM,2024-01-31,5351.0,5466.45,5310.3,5448.55,5352.8,536486
LTIMindtree Limited,LTIM,2024-01-30,5495.0,5524.7,5345.05,5352.8,5448.35,830778
LTIMindtree Limited,LTIM,2024-01-29,5497.0,5514.1,5400.0,5448.35,5494.65,772171
LTIMindtree Limited,LTIM,2024-01-25,5650.0,5650.0,5457.3,5494.65,5619.55,911916
LTIMindtree Limited,LTIM,2024-01-24,5650.35,5718.9,5598.05,5619.55,5638.5,729576
LTIMindtree Limited,LTIM,2024-01-23,5630.0,5724.0,5580.0,5638.5,5656.75,754748
LTIMindtree Limited,LTIM,2024-01-20,5708.0,5710.0,5625.0,5656.75,5652.15,222222
LTIMindtree Limited,LTIM,2024-01-19,5689.0,5697.2,5582.0,5652.15,5603.0,974885
LTIMindtree Limited,LTIM,2024-01-18,5700.0,5790.0,5411.75,5603.0,6275.6,2798324
LTIMindtree Limited,LTIM,2024-01-17,6195.0,6324.0,6150.0,6275.6,6235.9,472635
LTIMindtree Limited,LTIM,2024-01-16,6290.0,6299.95,6193.9,6235.9,6315.15,255823
LTIMindtree Limited,LTIM,2024-01-15,6343.95,6442.0,6250.5,6315.15,6237.05,653754
LTIMindtree Limited,LTIM,2024-01-12,6025.6,6245.0,6015.0,6237.05,5959.95,899942
LTIMindtree Limited,LTIM,2024-01-11,5978.35,5998.9,5913.05,5959.95,5947.5,232299
