StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Lupin Limited,LUPIN,2024-03-28,1611.0,1625.0,1593.1,1616.8,1599.95,865183
Lupin Limited,LUPIN,2024-03-27,1618.25,1623.2,1592.05,1599.95,1614.9,558090
Lupin Limited,LUPIN,2024-03-26,1611.45,1629.95,1592.0,1614.9,1608.25,939256
Lupin Limited,LUPIN,2024-03-22,1611.0,1622.45,1599.0,1608.25,1611.65,566433
Lupin Limited,LUPIN,2024-03-21,1571.05,1616.3,1571.05,1611.65,1562.9,1219742
Lupin Limited,LUPIN,2024-03-20,1570.2,1585.55,1551.6,1562.9,1570.2,521304
Lupin Limited,LUPIN,2024-03-19,1615.45,1623.15,1565.0,1570.2,1614.4,632899
Lupin Limited,LUPIN,2024-03-18,1624.0,1641.25,1607.5,1614.4,1636.8,701925
Lupin Limited,LUPIN,2024-03-15,1645.05,1674.0,1614.0,1636.8,1649.7,1097700
Lupin Limited,LUPIN,2024-03-14,1591.0,1656.9,1590.35,1649.7,1603.5,971139
Lupin Limited,LUPIN,2024-03-13,1652.05,1661.2,1589.55,1603.5,1646.05,897074
Lupin Limited,LUPIN,2024-03-12,1672.1,1688.4,1640.15,1646.05,1676.65,639229
Lupin Limited,LUPIN,2024-03-11,1680.95,1704.25,1669.35,1676.65,1669.75,981480
Lupin Limited,LUPIN,2024-03-07,1673.5,1678.15,1655.8,1669.75,1665.4,811352
Lupin Limited,LUPIN,2024-03-06,1674.0,1681.75,1643.3,1665.4,1678.75,1219095
Lupin Limited,LUPIN,2024-03-05,1669.85,1688.0,1657.05,1678.75,1669.85,818763
Lupin Limited,LUPIN,2024-03-04,1637.95,1700.0,1634.4,1669.85,1634.4,1453829
Lupin Limited,LUPIN,2024-03-02,1630.05,1645.0,1623.85,1634.4,1624.55,76546
Lupin Limited,LUPIN,2024-03-01,1621.0,1637.75,1617.0,1624.55,1621.05,833767
Lupin Limited,LUPIN,2024-02-29,1610.0,1630.0,1593.0,1621.05,1616.35,3814024
Lupin Limited,LUPIN,2024-02-28,1620.15,1642.9,1604.1,1616.35,1622.6,1110003
Lupin Limited,LUPIN,2024-02-27,1603.95,1635.1,1598.45,1622.6,1604.7,981628
Lupin Limited,LUPIN,2024-02-26,1614.95,1622.85,1580.0,1604.7,1614.95,1068565
Lupin Limited,LUPIN,2024-02-23,1597.05,1625.0,1597.05,1614.95,1593.75,679640
Lupin Limited,LUPIN,2024-02-22,1608.0,1608.0,1576.05,1593.75,1599.35,1044785
Lupin Limited,LUPIN,2024-02-21,1598.95,1607.95,1589.9,1599.35,1587.05,1419188
Lupin Limited,LUPIN,2024-02-20,1589.5,1600.05,1553.3,1587.05,1588.1,1507747
Lupin Limited,LUPIN,2024-02-19,1634.8,1634.8,1584.05,1588.1,1620.65,1389162
Lupin Limited,LUPIN,2024-02-16,1610.0,1638.8,1598.4,1620.65,1605.1,1846708
Lupin Limited,LUPIN,2024-02-15,1620.0,1631.1,1595.1,1605.1,1611.75,1156493
Lupin Limited,LUPIN,2024-02-14,1608.95,1618.6,1589.55,1611.75,1608.75,866097
Lupin Limited,LUPIN,2024-02-13,1599.15,1613.0,1584.35,1608.75,1594.45,1330003
Lupin Limited,LUPIN,2024-02-12,1601.0,1626.0,1583.85,1594.45,1622.1,1003802
Lupin Limited,LUPIN,2024-02-09,1615.05,1654.85,1615.05,1622.1,1606.4,3021386
Lupin Limited,LUPIN,2024-02-08,1700.0,1700.0,1586.55,1606.4,1594.3,6454212
Lupin Limited,LUPIN,2024-02-07,1600.0,1606.3,1575.4,1594.3,1580.15,1966936
Lupin Limited,LUPIN,2024-02-06,1581.0,1588.65,1564.0,1580.15,1573.15,1040818
Lupin Limited,LUPIN,2024-02-05,1502.75,1584.4,1498.1,1573.15,1502.75,1484593
Lupin Limited,LUPIN,2024-02-02,1517.5,1519.95,1498.05,1502.75,1513.7,582622
Lupin Limited,LUPIN,2024-02-01,1514.0,1521.35,1491.05,1513.7,1505.35,1321923
Lupin Limited,LUPIN,2024-01-31,1436.35,1509.95,1436.35,1505.35,1468.15,1055599
Lupin Limited,LUPIN,2024-01-30,1484.1,1489.2,1465.45,1468.15,1483.3,532307
Lupin Limited,LUPIN,2024-01-29,1454.05,1490.95,1454.0,1483.3,1454.05,979549
Lupin Limited,LUPIN,2024-01-25,1443.7,1469.8,1442.05,1454.05,1449.2,1452501
Lupin Limited,LUPIN,2024-01-24,1447.0,1463.0,1430.05,1449.2,1439.25,1054529
Lupin Limited,LUPIN,2024-01-23,1420.0,1455.0,1414.0,1439.25,1410.95,1235492
Lupin Limited,LUPIN,2024-01-20,1436.0,1448.8,1406.05,1410.95,1430.25,257322
Lupin Limited,LUPIN,2024-01-19,1439.95,1439.95,1422.15,1430.25,1425.65,1242716
Lupin Limited,LUPIN,2024-01-18,1400.0,1435.95,1368.25,1425.65,1399.8,1167361
Lupin Limited,LUPIN,2024-01-17,1384.65,1407.0,1379.25,1399.8,1387.65,792567
Lupin Limited,LUPIN,2024-01-16,1407.0,1412.15,1375.75,1387.65,1413.0,534845
Lupin Limited,LUPIN,2024-01-15,1420.0,1424.0,1398.0,1413.0,1397.75,830307
Lupin Limited,LUPIN,2024-01-12,1400.45,1404.95,1388.25,1397.75,1400.45,337465
Lupin Limited,LUPIN,2024-01-11,1406.0,1415.0,1396.35,1400.45,1405.25,711634
Lupin Limited,LUPIN,2024-01-10,1414.0,1414.85,1390.65,1405.25,1396.3,1058982
Lupin Limited,LUPIN,2024-01-09,1391.0,1401.0,1379.0,1396.3,1382.35,689292
Lupin Limited,LUPIN,2024-01-08,1400.95,1401.4,1375.0,1382.35,1389.45,602440
Lupin Limited,LUPIN,2024-01-05,1425.0,1425.0,1383.25,1389.45,1399.0,1771551
Lupin Limited,LUPIN,2024-01-04,1406.85,1422.4,1394.35,1399.0,1406.4,1534642
Lupin Limited,LUPIN,2024-01-03,1391.0,1412.9,1388.1,1406.4,1394.35,1485207
Lupin Limited,LUPIN,2024-01-02,1340.0,1404.7,1332.0,1394.35,1312.85,7120785
Lupin Limited,LUPIN,2024-01-01,1324.0,1330.0,1308.65,1312.85,1322.95,854557
Lupin Limited,LUPIN,2023-12-29,1346.85,1346.85,1318.55,1322.95,1339.95,1330415
Lupin Limited,LUPIN,2023-12-28,1296.1,1345.75,1295.0,1339.95,1288.0,3519154
Lupin Limited,LUPIN,2023-12-27,1289.0,1300.0,1280.7,1288.0,1282.65,1004924
Lupin Limited,LUPIN,2023-12-26,1268.8,1290.0,1266.1,1282.65,1265.1,869887
Lupin Limited,LUPIN,2023-12-22,1260.55,1285.0,1252.55,1265.1,1256.8,864378
Lupin Limited,LUPIN,2023-12-21,1217.1,1259.9,1200.15,1256.8,1227.6,769432
Lupin Limited,LUPIN,2023-12-20,1274.9,1279.9,1220.0,1227.6,1270.2,619789
Lupin Limited,LUPIN,2023-12-19,1263.8,1275.0,1253.15,1270.2,1257.75,798723
Lupin Limited,LUPIN,2023-12-18,1265.0,1288.15,1250.8,1257.75,1246.1,1846640
Lupin Limited,LUPIN,2023-12-15,1260.0,1265.15,1243.0,1246.1,1256.35,798901
Lupin Limited,LUPIN,2023-12-14,1252.0,1261.4,1242.0,1256.35,1251.9,760814
Lupin Limited,LUPIN,2023-12-13,1244.65,1256.0,1234.9,1251.9,1240.15,718971
Lupin Limited,LUPIN,2023-12-12,1234.65,1250.9,1228.45,1240.15,1229.65,1159956
Lupin Limited,LUPIN,2023-12-11,1239.5,1247.2,1224.05,1229.65,1239.35,621598
Lupin Limited,LUPIN,2023-12-08,1251.2,1256.0,1230.6,1239.35,1249.0,560463
Lupin Limited,LUPIN,2023-12-07,1246.05,1266.75,1245.45,1249.0,1243.5,1598861
Lupin Limited,LUPIN,2023-12-06,1258.2,1266.9,1238.65,1243.5,1258.2,1449739
Lupin Limited,LUPIN,2023-12-05,1265.9,1273.4,1253.65,1258.2,1260.55,1104617
Lupin Limited,LUPIN,2023-12-04,1308.95,1308.95,1256.0,1260.55,1296.65,1725134
Lupin Limited,LUPIN,2023-12-01,1280.9,1305.2,1276.45,1296.65,1280.9,1377103
Lupin Limited,LUPIN,2023-11-30,1252.0,1290.0,1250.0,1280.9,1249.55,2636118
Lupin Limited,LUPIN,2023-11-29,1253.0,1254.0,1243.85,1249.55,1244.95,982589
Lupin Limited,LUPIN,2023-11-28,1243.3,1251.55,1235.75,1244.95,1243.2,806664
Lupin Limited,LUPIN,2023-11-24,1220.0,1245.0,1211.6,1243.2,1198.15,2748793
Lupin Limited,LUPIN,2023-11-23,1223.0,1223.9,1183.55,1198.15,1218.6,940782
Lupin Limited,LUPIN,2023-11-22,1226.6,1240.3,1213.8,1218.6,1221.55,1916776
Lupin Limited,LUPIN,2023-11-21,1204.9,1225.95,1198.5,1221.55,1198.5,1371835
Lupin Limited,LUPIN,2023-11-20,1196.3,1215.7,1192.35,1198.5,1196.3,1191689
Lupin Limited,LUPIN,2023-11-17,1197.5,1211.4,1190.0,1196.3,1194.0,1349231
Lupin Limited,LUPIN,2023-11-16,1176.75,1199.45,1170.85,1194.0,1170.25,946578
Lupin Limited,LUPIN,2023-11-15,1188.0,1188.0,1168.75,1170.25,1173.25,1256791
Lupin Limited,LUPIN,2023-11-13,1179.1,1188.9,1153.55,1173.25,1179.0,1254592
Lupin Limited,LUPIN,2023-11-12,1184.95,1188.1,1175.0,1179.0,1180.15,107934
Lupin Limited,LUPIN,2023-11-10,1206.55,1212.7,1173.0,1180.15,1204.55,2115284
Lupin Limited,LUPIN,2023-11-09,1222.0,1238.45,1201.75,1204.55,1211.1,4003157
Lupin Limited,LUPIN,2023-11-08,1202.8,1224.9,1195.6,1211.1,1189.7,2038402
Lupin Limited,LUPIN,2023-11-07,1200.0,1212.35,1188.0,1189.7,1199.3,1726919
Lupin Limited,LUPIN,2023-11-06,1194.0,1201.8,1185.25,1199.3,1186.55,666171
Lupin Limited,LUPIN,2023-11-03,1175.0,1202.55,1174.95,1186.55,1169.2,1320335
Lupin Limited,LUPIN,2023-11-02,1139.8,1184.1,1135.0,1169.2,1132.75,2294662
Lupin Limited,LUPIN,2023-11-01,1137.05,1142.2,1128.0,1132.75,1128.15,1037234
Lupin Limited,LUPIN,2023-10-31,1141.1,1151.05,1123.0,1128.15,1140.35,822793
Lupin Limited,LUPIN,2023-10-30,1139.0,1149.0,1127.55,1140.35,1131.65,1570477
Lupin Limited,LUPIN,2023-10-27,1141.6,1151.75,1129.1,1131.65,1141.6,453195
Lupin Limited,LUPIN,2023-10-26,1143.0,1149.4,1125.05,1141.6,1143.7,490371
Lupin Limited,LUPIN,2023-10-25,1190.0,1190.0,1135.25,1143.7,1168.0,1055178
Lupin Limited,LUPIN,2023-10-23,1173.1,1188.65,1159.2,1168.0,1179.65,311340
Lupin Limited,LUPIN,2023-10-20,1199.95,1199.95,1173.35,1179.65,1200.0,450975
Lupin Limited,LUPIN,2023-10-19,1185.1,1202.0,1178.7,1200.0,1191.05,654948
Lupin Limited,LUPIN,2023-10-18,1193.65,1208.0,1184.35,1191.05,1197.65,1827034
Lupin Limited,LUPIN,2023-10-17,1204.8,1215.4,1193.65,1197.65,1198.3,908050
Lupin Limited,LUPIN,2023-10-16,1191.65,1201.55,1185.45,1198.3,1187.9,673918
Lupin Limited,LUPIN,2023-10-13,1171.9,1191.65,1166.1,1187.9,1172.85,589089
Lupin Limited,LUPIN,2023-10-12,1163.95,1193.0,1160.1,1172.85,1159.85,1474920
Lupin Limited,LUPIN,2023-10-11,1151.0,1168.25,1151.0,1159.85,1155.45,880739
Lupin Limited,LUPIN,2023-10-10,1149.95,1161.9,1146.5,1155.45,1149.45,500300
Lupin Limited,LUPIN,2023-10-09,1138.6,1160.0,1138.05,1149.45,1155.05,281609
Lupin Limited,LUPIN,2023-10-06,1159.05,1167.95,1152.6,1155.05,1149.2,569805
Lupin Limited,LUPIN,2023-10-05,1151.9,1162.35,1142.15,1149.2,1151.5,328358
Lupin Limited,LUPIN,2023-10-04,1172.4,1172.75,1142.05,1151.5,1174.2,669860
Lupin Limited,LUPIN,2023-10-03,1171.0,1181.45,1156.15,1174.2,1171.25,1043096
Lupin Limited,LUPIN,2023-09-29,1133.1,1184.7,1133.1,1171.25,1133.05,1933854
Lupin Limited,LUPIN,2023-09-28,1133.95,1140.0,1125.25,1133.05,1132.35,451445
Lupin Limited,LUPIN,2023-09-27,1108.0,1134.8,1105.1,1132.35,1110.55,983157
Lupin Limited,LUPIN,2023-09-26,1113.0,1118.6,1105.35,1110.55,1110.55,329870
Lupin Limited,LUPIN,2023-09-25,1099.0,1115.0,1093.85,1110.55,1097.45,560175
Lupin Limited,LUPIN,2023-09-22,1127.25,1134.25,1091.5,1097.45,1127.3,1273489
Lupin Limited,LUPIN,2023-09-21,1142.0,1149.85,1122.8,1127.3,1149.55,635556
Lupin Limited,LUPIN,2023-09-20,1135.0,1158.0,1134.35,1149.55,1139.55,1089288
Lupin Limited,LUPIN,2023-09-18,1145.5,1157.75,1131.0,1139.55,1150.7,706005
Lupin Limited,LUPIN,2023-09-15,1162.3,1162.75,1148.05,1150.7,1155.65,967345
Lupin Limited,LUPIN,2023-09-14,1143.0,1160.4,1141.05,1155.65,1145.5,633507
Lupin Limited,LUPIN,2023-09-13,1142.35,1153.2,1133.4,1145.5,1138.45,831001
Lupin Limited,LUPIN,2023-09-12,1137.95,1174.5,1132.05,1138.45,1126.5,2799580
Lupin Limited,LUPIN,2023-09-11,1129.45,1134.9,1121.95,1126.5,1128.6,1263543
Lupin Limited,LUPIN,2023-09-08,1143.0,1143.45,1118.65,1128.6,1136.2,578212
Lupin Limited,LUPIN,2023-09-07,1144.9,1148.75,1128.15,1136.2,1139.05,827172
Lupin Limited,LUPIN,2023-09-05,1098.0,1128.9,1095.9,1119.25,1097.4,1225586
Lupin Limited,LUPIN,2023-09-01,1095.95,1099.4,1087.35,1093.85,1097.85,384388
Lupin Limited,LUPIN,2023-08-31,1103.95,1110.0,1090.5,1097.85,1100.8,1236209
Lupin Limited,LUPIN,2023-08-30,1115.0,1115.6,1098.0,1100.8,1097.7,541426
Lupin Limited,LUPIN,2023-08-29,1111.95,1116.95,1090.35,1097.7,1108.0,1074379
Lupin Limited,LUPIN,2023-08-28,1078.05,1111.1,1075.25,1108.0,1077.6,831240
Lupin Limited,LUPIN,2023-08-25,1091.0,1093.05,1072.2,1077.6,1089.5,640246
Lupin Limited,LUPIN,2023-08-24,1094.45,1100.0,1085.0,1089.5,1094.1,437569
Lupin Limited,LUPIN,2023-08-23,1092.0,1104.7,1086.4,1094.1,1091.1,778892
