StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Laxmi Organic Industries Limited,LXCHEM,2024-03-28,233.6,244.25,233.3,235.2,232.35,2459940
Laxmi Organic Industries Limited,LXCHEM,2024-03-27,237.7,239.0,230.6,232.35,236.5,1476416
Laxmi Organic Industries Limited,LXCHEM,2024-03-26,245.1,248.9,234.5,236.5,246.45,2564082
Laxmi Organic Industries Limited,LXCHEM,2024-03-22,227.9,249.9,227.7,246.45,227.7,14835979
Laxmi Organic Industries Limited,LXCHEM,2024-03-21,227.4,228.45,224.75,227.7,222.65,664328
Laxmi Organic Industries Limited,LXCHEM,2024-03-20,229.8,230.4,221.8,222.65,228.3,692267
Laxmi Organic Industries Limited,LXCHEM,2024-03-19,228.65,232.0,227.25,228.3,229.25,497529
Laxmi Organic Industries Limited,LXCHEM,2024-03-18,232.65,234.6,228.5,229.25,231.75,458444
Laxmi Organic Industries Limited,LXCHEM,2024-03-15,230.0,236.7,228.1,231.75,230.3,596866
Laxmi Organic Industries Limited,LXCHEM,2024-03-14,229.0,234.8,226.45,230.3,227.0,655717
Laxmi Organic Industries Limited,LXCHEM,2024-03-13,237.3,241.0,225.1,227.0,236.9,1110098
Laxmi Organic Industries Limited,LXCHEM,2024-03-12,245.05,245.95,235.7,236.9,245.4,791812
Laxmi Organic Industries Limited,LXCHEM,2024-03-11,251.0,252.0,244.1,245.4,250.25,556807
Laxmi Organic Industries Limited,LXCHEM,2024-03-07,251.25,257.05,249.05,250.25,250.85,531717
Laxmi Organic Industries Limited,LXCHEM,2024-03-06,254.5,258.95,250.55,250.85,253.9,645407
Laxmi Organic Industries Limited,LXCHEM,2024-03-05,254.0,259.2,252.75,253.9,254.65,508130
Laxmi Organic Industries Limited,LXCHEM,2024-03-04,258.45,258.45,254.0,254.65,257.45,283697
Laxmi Organic Industries Limited,LXCHEM,2024-03-02,257.05,260.05,255.0,257.45,255.6,95100
Laxmi Organic Industries Limited,LXCHEM,2024-03-01,255.5,257.9,254.55,255.6,252.85,277816
Laxmi Organic Industries Limited,LXCHEM,2024-02-29,257.0,257.8,251.15,252.85,256.95,782394
Laxmi Organic Industries Limited,LXCHEM,2024-02-28,264.0,264.85,256.0,256.95,262.2,467749
Laxmi Organic Industries Limited,LXCHEM,2024-02-27,266.55,267.9,261.0,262.2,266.55,462616
Laxmi Organic Industries Limited,LXCHEM,2024-02-26,269.0,269.9,266.0,266.55,268.85,317982
Laxmi Organic Industries Limited,LXCHEM,2024-02-23,270.95,271.95,268.0,268.85,269.65,571207
Laxmi Organic Industries Limited,LXCHEM,2024-02-22,268.0,272.25,266.0,269.65,266.5,659095
Laxmi Organic Industries Limited,LXCHEM,2024-02-21,267.0,273.45,264.5,266.5,268.85,884827
Laxmi Organic Industries Limited,LXCHEM,2024-02-20,267.9,275.5,265.45,268.85,266.9,1563107
Laxmi Organic Industries Limited,LXCHEM,2024-02-19,269.0,273.3,264.15,266.9,267.65,791727
Laxmi Organic Industries Limited,LXCHEM,2024-02-16,259.5,270.0,259.5,267.65,258.1,1300145
Laxmi Organic Industries Limited,LXCHEM,2024-02-15,258.7,262.45,257.0,258.1,257.8,411730
Laxmi Organic Industries Limited,LXCHEM,2024-02-14,254.0,261.15,252.4,257.8,255.65,332096
Laxmi Organic Industries Limited,LXCHEM,2024-02-13,258.6,258.6,250.9,255.65,255.3,355002
Laxmi Organic Industries Limited,LXCHEM,2024-02-12,259.95,263.25,253.8,255.3,258.7,663334
Laxmi Organic Industries Limited,LXCHEM,2024-02-09,263.6,264.05,253.5,258.7,261.65,759041
Laxmi Organic Industries Limited,LXCHEM,2024-02-08,267.8,268.85,260.75,261.65,266.5,644188
Laxmi Organic Industries Limited,LXCHEM,2024-02-07,265.0,272.05,265.0,266.5,263.95,802017
Laxmi Organic Industries Limited,LXCHEM,2024-02-06,262.0,266.95,261.8,263.95,260.65,613451
Laxmi Organic Industries Limited,LXCHEM,2024-02-05,265.7,267.7,260.1,260.65,265.7,1010922
Laxmi Organic Industries Limited,LXCHEM,2024-02-02,268.0,270.7,265.0,265.7,267.0,502739
Laxmi Organic Industries Limited,LXCHEM,2024-02-01,270.9,271.5,266.6,267.0,269.9,417250
Laxmi Organic Industries Limited,LXCHEM,2024-01-31,268.45,273.6,267.15,269.9,267.45,753859
Laxmi Organic Industries Limited,LXCHEM,2024-01-30,266.0,272.35,266.0,267.45,264.55,641943
Laxmi Organic Industries Limited,LXCHEM,2024-01-29,271.05,271.8,263.7,264.55,271.0,954402
Laxmi Organic Industries Limited,LXCHEM,2024-01-25,273.0,278.0,270.1,271.0,271.35,619153
Laxmi Organic Industries Limited,LXCHEM,2024-01-24,267.15,273.95,264.35,271.35,268.85,515125
Laxmi Organic Industries Limited,LXCHEM,2024-01-23,274.55,277.25,267.55,268.85,274.5,574670
Laxmi Organic Industries Limited,LXCHEM,2024-01-20,278.0,280.5,273.95,274.5,277.75,407028
Laxmi Organic Industries Limited,LXCHEM,2024-01-19,273.9,282.05,273.9,277.75,272.75,588473
Laxmi Organic Industries Limited,LXCHEM,2024-01-18,274.0,277.8,268.0,272.75,275.2,611190
Laxmi Organic Industries Limited,LXCHEM,2024-01-17,276.95,279.7,273.75,275.2,278.65,534564
Laxmi Organic Industries Limited,LXCHEM,2024-01-16,281.0,282.5,276.7,278.65,281.05,553428
Laxmi Organic Industries Limited,LXCHEM,2024-01-15,283.55,284.5,279.05,281.05,282.0,546455
Laxmi Organic Industries Limited,LXCHEM,2024-01-12,285.0,286.2,281.1,282.0,283.25,485902
Laxmi Organic Industries Limited,LXCHEM,2024-01-11,287.0,289.4,282.5,283.25,283.95,619261
Laxmi Organic Industries Limited,LXCHEM,2024-01-10,285.0,287.0,281.25,283.95,283.6,541449
Laxmi Organic Industries Limited,LXCHEM,2024-01-09,285.05,289.3,282.3,283.6,284.3,437642
Laxmi Organic Industries Limited,LXCHEM,2024-01-08,288.0,290.4,283.2,284.3,288.95,622684
Laxmi Organic Industries Limited,LXCHEM,2024-01-05,294.15,296.2,287.3,288.95,293.9,947874
Laxmi Organic Industries Limited,LXCHEM,2024-01-04,286.7,296.9,286.0,293.9,285.65,1960979
Laxmi Organic Industries Limited,LXCHEM,2024-01-03,288.1,289.85,285.0,285.65,288.25,478072
Laxmi Organic Industries Limited,LXCHEM,2024-01-02,292.8,295.25,284.65,288.25,291.95,1086160
Laxmi Organic Industries Limited,LXCHEM,2024-01-01,290.25,294.75,290.2,291.95,290.3,723592
Laxmi Organic Industries Limited,LXCHEM,2023-12-29,291.0,295.8,288.3,290.3,291.0,889068
Laxmi Organic Industries Limited,LXCHEM,2023-12-28,295.9,297.9,289.5,291.0,294.3,1167704
Laxmi Organic Industries Limited,LXCHEM,2023-12-27,293.0,302.7,291.65,294.3,289.1,6475467
Laxmi Organic Industries Limited,LXCHEM,2023-12-26,279.05,290.5,278.45,289.1,278.6,1843556
Laxmi Organic Industries Limited,LXCHEM,2023-12-22,278.3,282.8,276.3,278.6,276.55,724881
Laxmi Organic Industries Limited,LXCHEM,2023-12-21,271.0,277.9,267.25,276.55,273.6,607320
Laxmi Organic Industries Limited,LXCHEM,2023-12-20,288.75,292.0,272.5,273.6,288.15,1477562
Laxmi Organic Industries Limited,LXCHEM,2023-12-19,291.95,293.8,286.05,288.15,290.4,1498445
Laxmi Organic Industries Limited,LXCHEM,2023-12-18,282.95,292.3,280.55,290.4,282.55,2682465
Laxmi Organic Industries Limited,LXCHEM,2023-12-15,275.4,286.55,274.85,282.55,273.45,2371440
Laxmi Organic Industries Limited,LXCHEM,2023-12-14,276.8,278.65,272.5,273.45,274.45,640329
Laxmi Organic Industries Limited,LXCHEM,2023-12-13,277.1,278.05,272.65,274.45,276.95,621056
