StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Mahindra & Mahindra Limited,M&M,2024-03-28,1881.15,1962.95,1870.35,1921.35,1881.15,3790854
Mahindra & Mahindra Limited,M&M,2024-03-27,1869.9,1899.9,1855.3,1881.15,1863.95,4196597
Mahindra & Mahindra Limited,M&M,2024-03-26,1878.2,1917.5,1861.1,1863.95,1878.8,4092744
Mahindra & Mahindra Limited,M&M,2024-03-22,1865.85,1905.45,1847.25,1878.8,1865.85,3786990
Mahindra & Mahindra Limited,M&M,2024-03-21,1859.95,1875.0,1845.0,1865.85,1844.4,2072960
Mahindra & Mahindra Limited,M&M,2024-03-20,1851.95,1859.05,1820.55,1844.4,1843.9,1550415
Mahindra & Mahindra Limited,M&M,2024-03-19,1856.05,1865.0,1826.8,1843.9,1856.05,2189225
Mahindra & Mahindra Limited,M&M,2024-03-18,1807.95,1867.4,1801.05,1856.05,1799.5,3404076
Mahindra & Mahindra Limited,M&M,2024-03-15,1875.0,1882.1,1788.8,1799.5,1890.55,5504948
Mahindra & Mahindra Limited,M&M,2024-03-14,1853.7,1895.6,1844.6,1890.55,1853.7,2388133
Mahindra & Mahindra Limited,M&M,2024-03-13,1896.0,1901.4,1844.25,1853.7,1895.15,4270994
Mahindra & Mahindra Limited,M&M,2024-03-12,1892.0,1898.35,1876.65,1895.15,1894.35,3186510
Mahindra & Mahindra Limited,M&M,2024-03-11,1913.0,1913.7,1873.3,1894.35,1897.55,3250782
Mahindra & Mahindra Limited,M&M,2024-03-07,1930.15,1932.15,1884.3,1897.55,1970.65,18323831
Mahindra & Mahindra Limited,M&M,2024-03-06,1945.0,1979.9,1922.0,1970.65,1939.25,1673183
Mahindra & Mahindra Limited,M&M,2024-03-05,1925.0,1968.0,1923.05,1939.25,1921.05,2208384
Mahindra & Mahindra Limited,M&M,2024-03-04,1967.0,1974.95,1919.05,1921.05,1960.1,1645331
Mahindra & Mahindra Limited,M&M,2024-03-02,1978.0,1978.0,1957.0,1960.1,1972.95,110564
Mahindra & Mahindra Limited,M&M,2024-03-01,1933.6,1982.3,1930.5,1972.95,1932.4,3384932
Mahindra & Mahindra Limited,M&M,2024-02-29,1902.85,1950.9,1892.55,1932.4,1901.65,5539065
Mahindra & Mahindra Limited,M&M,2024-02-28,1951.95,1953.15,1897.05,1901.65,1950.6,2010429
Mahindra & Mahindra Limited,M&M,2024-02-27,1926.0,1956.95,1915.05,1950.6,1929.8,2821465
Mahindra & Mahindra Limited,M&M,2024-02-26,1935.0,1951.0,1925.2,1929.8,1929.95,2436063
