StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-28,1040.0,1040.0,1040.0,1040.0,1011.0,150
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-28,275.5,280.0,274.55,278.8,274.45,2514460
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-27,1085.0,1088.88,1080.0,1088.88,1081.0,90
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-27,1011.0,1011.0,1011.0,1011.0,1030.0,99
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-27,273.55,279.0,272.1,274.45,273.85,2219609
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-26,1081.0,1081.0,1081.0,1081.0,1084.0,52
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-26,271.8,278.75,271.2,273.85,273.6,2917853
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-22,1958.0,1958.0,1958.0,1958.0,2033.11,70
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-22,1084.0,1084.0,1084.0,1084.0,1078.0,605
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-22,267.7,275.6,266.45,273.6,268.2,2011220
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-21,1078.0,1078.0,1078.0,1078.0,1076.0,200
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-21,263.9,269.4,263.25,268.2,261.25,1892092
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-20,1030.0,1030.0,1030.0,1030.0,1010.0,80
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-20,259.95,262.5,256.05,261.25,258.6,2568802
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-20,1076.6,1076.6,1076.0,1076.0,1079.0,2000
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-19,1078.55,1079.0,1077.0,1079.0,1081.0,499
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-19,1008.0,1010.0,1008.0,1010.0,1005.1,100
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-19,260.5,261.45,256.05,258.6,260.75,3700731
Mahindra & Mahindra Financial Services Limited,M&MFIN,2024-03-18,1079.0,1081.0,1079.0,1081.0,1080.54,716
