StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Bank of Maharashtra,MAHABANK,2024-03-28,59.3,63.1,59.3,62.35,59.15,57957734
Bank of Maharashtra,MAHABANK,2024-03-27,59.25,59.9,58.75,59.15,58.95,17637114
Bank of Maharashtra,MAHABANK,2024-03-26,59.85,60.3,58.55,58.95,59.85,16178019
Bank of Maharashtra,MAHABANK,2024-03-22,59.0,60.65,58.5,59.85,58.9,15830308
Bank of Maharashtra,MAHABANK,2024-03-21,59.2,60.35,58.6,58.9,58.6,18912454
Bank of Maharashtra,MAHABANK,2024-03-20,58.9,59.4,57.7,58.6,58.65,16982846
Bank of Maharashtra,MAHABANK,2024-03-19,58.85,59.6,58.05,58.65,58.8,19937175
Bank of Maharashtra,MAHABANK,2024-03-18,60.4,60.4,58.5,58.8,59.4,19451244
Bank of Maharashtra,MAHABANK,2024-03-15,58.0,60.0,55.55,59.4,58.3,76688108
Bank of Maharashtra,MAHABANK,2024-03-14,53.95,58.95,52.8,58.3,54.2,46198087
Bank of Maharashtra,MAHABANK,2024-03-13,58.7,59.5,53.6,54.2,58.7,46147338
Bank of Maharashtra,MAHABANK,2024-03-12,61.7,61.85,58.25,58.7,61.4,33239156
Bank of Maharashtra,MAHABANK,2024-03-11,62.25,63.45,61.05,61.4,61.9,37239295
Bank of Maharashtra,MAHABANK,2024-03-07,62.55,63.3,61.6,61.9,62.1,24358835
Bank of Maharashtra,MAHABANK,2024-03-06,63.8,64.45,61.25,62.1,63.6,52953313
Bank of Maharashtra,MAHABANK,2024-03-05,61.15,64.0,60.65,63.6,61.1,74236585
Bank of Maharashtra,MAHABANK,2024-03-04,60.45,61.5,59.7,61.1,60.45,18485301
Bank of Maharashtra,MAHABANK,2024-03-02,60.95,60.95,60.25,60.45,60.75,2120160
Bank of Maharashtra,MAHABANK,2024-03-01,60.0,61.0,59.8,60.75,59.7,19846246
Bank of Maharashtra,MAHABANK,2024-02-29,58.0,60.05,57.1,59.7,57.95,30021517
Bank of Maharashtra,MAHABANK,2024-02-28,60.1,60.5,57.25,57.95,59.9,26311473
Bank of Maharashtra,MAHABANK,2024-02-27,60.8,61.2,59.2,59.9,60.6,19763129
Bank of Maharashtra,MAHABANK,2024-02-26,61.4,61.75,60.3,60.6,61.05,22106710
Bank of Maharashtra,MAHABANK,2024-02-23,61.8,62.7,60.7,61.05,61.65,26524064
Bank of Maharashtra,MAHABANK,2024-02-22,60.75,62.0,58.65,61.65,60.4,33596310
Bank of Maharashtra,MAHABANK,2024-02-21,61.35,62.65,60.05,60.4,61.0,35859264
Bank of Maharashtra,MAHABANK,2024-02-20,62.1,62.65,60.8,61.0,61.95,26004361
Bank of Maharashtra,MAHABANK,2024-02-19,61.95,63.65,61.3,61.95,61.95,43219511
Bank of Maharashtra,MAHABANK,2024-02-16,62.85,63.5,61.4,61.95,62.25,49309068
Bank of Maharashtra,MAHABANK,2024-02-15,60.4,62.8,59.25,62.25,59.95,73680678
Bank of Maharashtra,MAHABANK,2024-02-14,56.1,60.3,55.75,59.95,58.0,53944927
Bank of Maharashtra,MAHABANK,2024-02-13,55.85,58.5,54.3,58.0,55.3,68414310
Bank of Maharashtra,MAHABANK,2024-02-12,62.0,62.05,54.05,55.3,61.55,60044712
Bank of Maharashtra,MAHABANK,2024-02-09,64.1,65.45,58.65,61.55,63.9,74121067
Bank of Maharashtra,MAHABANK,2024-02-08,68.8,69.45,63.45,63.9,66.9,106838935
Bank of Maharashtra,MAHABANK,2024-02-07,62.35,68.85,62.35,66.9,61.75,160093709
Bank of Maharashtra,MAHABANK,2024-02-06,60.9,64.4,60.0,61.75,60.05,90067124
Bank of Maharashtra,MAHABANK,2024-02-05,57.8,63.8,57.4,60.05,57.4,184678185
Bank of Maharashtra,MAHABANK,2024-02-02,57.2,58.9,56.5,57.4,56.45,88992567
Bank of Maharashtra,MAHABANK,2024-02-01,55.8,57.15,54.2,56.45,55.25,74425518
Bank of Maharashtra,MAHABANK,2024-01-31,53.95,56.1,53.5,55.25,53.75,70701160
Bank of Maharashtra,MAHABANK,2024-01-30,54.5,55.25,53.5,53.75,54.0,44141860
Bank of Maharashtra,MAHABANK,2024-01-29,53.9,55.5,53.45,54.0,53.4,49517058
Bank of Maharashtra,MAHABANK,2024-01-25,53.9,54.3,52.75,53.4,53.75,35529804
Bank of Maharashtra,MAHABANK,2024-01-24,51.35,54.0,50.15,53.75,51.1,59229750
Bank of Maharashtra,MAHABANK,2024-01-23,53.9,54.9,50.6,51.1,53.15,76748898
Bank of Maharashtra,MAHABANK,2024-01-20,51.95,53.65,51.35,53.15,51.65,55319141
Bank of Maharashtra,MAHABANK,2024-01-19,52.4,52.8,51.1,51.65,51.95,52245277
Bank of Maharashtra,MAHABANK,2024-01-18,50.0,52.65,47.9,51.95,49.85,99201799
Bank of Maharashtra,MAHABANK,2024-01-17,49.8,51.6,48.7,49.85,50.0,72215253
Bank of Maharashtra,MAHABANK,2024-01-16,50.75,52.25,49.1,50.0,50.4,120450425
Bank of Maharashtra,MAHABANK,2024-01-15,48.95,50.75,48.85,50.4,48.3,93995725
Bank of Maharashtra,MAHABANK,2024-01-12,46.2,48.65,46.1,48.3,45.95,77464168
Bank of Maharashtra,MAHABANK,2024-01-11,45.5,46.3,45.5,45.95,45.25,16580260
Bank of Maharashtra,MAHABANK,2024-01-10,45.9,45.95,45.2,45.25,45.9,15500064
Bank of Maharashtra,MAHABANK,2024-01-09,46.2,46.5,45.55,45.9,45.95,12906381
Bank of Maharashtra,MAHABANK,2024-01-08,46.9,46.9,45.8,45.95,46.7,21006685
Bank of Maharashtra,MAHABANK,2024-01-05,47.3,47.6,46.3,46.7,47.2,18698418
Bank of Maharashtra,MAHABANK,2024-01-04,47.55,47.75,46.95,47.2,47.3,27700055
Bank of Maharashtra,MAHABANK,2024-01-03,46.0,47.6,45.6,47.3,45.45,63018012
Bank of Maharashtra,MAHABANK,2024-01-02,45.5,46.2,45.1,45.45,45.65,17628818
