StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-28,579.0,596.0,564.05,586.9,564.9,638036
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-27,555.0,572.95,554.3,564.9,553.3,440771
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-26,548.7,555.0,543.05,553.3,545.95,351978
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-22,550.0,564.1,545.0,545.95,543.65,958405
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-21,545.0,554.9,541.6,543.65,534.55,704961
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-20,550.0,559.0,532.05,534.55,534.95,858932
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-19,551.0,551.0,532.0,534.95,545.15,162626
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-18,539.95,551.05,531.05,545.15,538.25,190794
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-15,546.6,553.0,527.1,538.25,544.1,182144
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-14,515.15,554.35,515.15,544.1,525.9,214487
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-13,560.2,563.7,519.25,525.9,554.8,433329
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-12,570.5,571.45,546.0,554.8,570.45,293619
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-11,579.15,590.0,565.0,570.45,579.1,430431
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-07,590.0,603.6,576.6,579.1,586.85,577783
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-06,582.0,590.0,569.35,586.85,582.2,392040
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-05,587.6,597.8,578.2,582.2,581.75,1016109
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-04,598.95,598.95,580.0,581.75,593.1,128261
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-02,583.1,599.0,583.05,593.1,586.95,26630
Mahindra Lifespace Developers Limited,MAHLIFE,2024-03-01,583.1,600.0,572.35,586.95,578.35,242699
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-29,589.0,589.0,575.0,578.35,589.4,171667
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-28,607.3,610.1,585.85,589.4,604.25,239910
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-27,609.8,626.0,601.0,604.25,606.55,613163
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-26,624.6,632.2,604.2,606.55,619.95,315018
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-23,603.0,629.05,601.05,619.95,603.9,1215706
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-22,598.0,615.0,594.0,603.9,600.75,725296
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-21,608.0,614.0,598.1,600.75,602.35,255610
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-20,598.3,610.15,593.9,602.35,608.2,353286
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-19,593.25,621.25,592.5,608.2,593.6,507903
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-16,575.25,617.3,572.05,593.6,572.35,781300
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-15,560.4,584.55,560.4,572.35,558.15,194667
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-14,555.45,566.95,553.2,558.15,562.7,150385
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-13,588.2,589.95,554.0,562.7,588.2,203434
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-12,588.3,608.5,582.5,588.2,588.3,550134
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-09,605.3,610.0,577.55,588.3,598.0,219314
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-08,593.95,610.0,584.85,598.0,593.0,242527
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-07,597.55,602.35,590.05,593.0,597.55,208605
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-06,603.0,616.0,591.55,597.55,603.3,495648
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-05,580.1,632.8,571.5,603.3,567.45,2377830
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-02,563.45,569.0,557.1,567.45,560.65,151559
Mahindra Lifespace Developers Limited,MAHLIFE,2024-02-01,561.25,564.0,555.75,560.65,561.25,99880
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-31,559.6,571.0,556.65,561.25,556.9,215697
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-30,550.2,560.85,550.2,556.9,551.95,147500
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-29,558.0,561.2,545.4,551.95,556.1,180211
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-25,558.9,566.55,551.05,556.1,558.9,100429
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-24,557.0,563.15,545.5,558.9,560.3,219169
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-23,561.8,572.5,555.25,560.3,559.0,216995
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-20,571.3,572.5,556.1,559.0,566.25,88040
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-19,576.65,582.9,562.8,566.25,573.75,130279
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-18,563.1,584.75,540.65,573.75,570.3,273474
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-17,573.9,574.95,565.3,570.3,577.05,161133
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-16,577.95,578.95,573.1,577.05,575.25,189257
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-15,580.0,587.6,569.0,575.25,577.75,414512
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-12,578.0,582.0,568.55,577.75,571.2,302694
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-11,570.0,577.5,562.05,571.2,565.4,352311
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-10,563.1,569.45,556.0,565.4,563.0,219908
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-09,570.75,575.1,560.0,563.0,568.15,228423
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-08,579.9,580.85,559.5,568.15,575.65,192829
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-05,572.45,582.45,569.2,575.65,571.75,434924
Mahindra Lifespace Developers Limited,MAHLIFE,2024-01-04,549.85,575.9,548.1,571.75,546.15,1400596
