StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Manappuram Finance Limited,MANAPPURAM,2024-03-28,174.25,175.25,172.65,173.15,174.25,4247363
Manappuram Finance Limited,MANAPPURAM,2024-03-27,176.0,176.5,173.6,174.25,175.25,4065345
Manappuram Finance Limited,MANAPPURAM,2024-03-26,173.0,176.9,172.55,175.25,172.9,5411168
Manappuram Finance Limited,MANAPPURAM,2024-03-22,173.0,173.8,170.75,172.9,172.6,4884795
Manappuram Finance Limited,MANAPPURAM,2024-03-21,169.1,173.1,169.0,172.6,166.5,5764213
Manappuram Finance Limited,MANAPPURAM,2024-03-20,167.0,171.85,166.2,166.5,166.35,11032952
Manappuram Finance Limited,MANAPPURAM,2024-03-19,165.7,167.75,163.8,166.35,167.35,2745241
Manappuram Finance Limited,MANAPPURAM,2024-03-18,167.5,169.65,165.8,167.35,165.75,3811180
Manappuram Finance Limited,MANAPPURAM,2024-03-15,166.0,167.35,161.65,165.75,165.7,6798662
Manappuram Finance Limited,MANAPPURAM,2024-03-14,161.8,168.1,158.45,165.7,160.3,6839038
Manappuram Finance Limited,MANAPPURAM,2024-03-13,169.55,171.95,158.3,160.3,169.55,8355287
Manappuram Finance Limited,MANAPPURAM,2024-03-12,169.4,172.45,164.5,169.55,169.25,7354749
Manappuram Finance Limited,MANAPPURAM,2024-03-11,173.75,174.15,168.15,169.25,172.4,5104807
Manappuram Finance Limited,MANAPPURAM,2024-03-07,175.0,176.25,171.25,172.4,173.9,6763355
Manappuram Finance Limited,MANAPPURAM,2024-03-06,186.6,187.2,168.7,173.9,186.3,24223520
Manappuram Finance Limited,MANAPPURAM,2024-03-05,187.5,199.0,185.65,186.3,183.95,44509735
Manappuram Finance Limited,MANAPPURAM,2024-03-04,181.9,184.95,181.45,183.95,181.05,3562857
Manappuram Finance Limited,MANAPPURAM,2024-03-02,181.0,182.0,180.25,181.05,179.95,681827
Manappuram Finance Limited,MANAPPURAM,2024-03-01,177.5,180.95,176.95,179.95,176.2,4689421
Manappuram Finance Limited,MANAPPURAM,2024-02-29,172.55,177.4,170.65,176.2,172.55,7210514
Manappuram Finance Limited,MANAPPURAM,2024-02-28,179.45,180.45,170.9,172.55,179.1,6548313
Manappuram Finance Limited,MANAPPURAM,2024-02-27,181.9,182.85,178.4,179.1,181.9,3123068
Manappuram Finance Limited,MANAPPURAM,2024-02-26,182.9,185.85,181.5,181.9,183.3,3346654
Manappuram Finance Limited,MANAPPURAM,2024-02-23,182.8,184.45,181.15,183.3,182.0,3910411
Manappuram Finance Limited,MANAPPURAM,2024-02-22,179.0,182.95,178.05,182.0,178.6,5292295
Manappuram Finance Limited,MANAPPURAM,2024-02-21,184.5,184.5,177.15,178.6,184.2,5305456
Manappuram Finance Limited,MANAPPURAM,2024-02-20,183.4,186.7,180.3,184.2,183.4,6699481
Manappuram Finance Limited,MANAPPURAM,2024-02-19,187.5,188.4,182.8,183.4,186.4,3890700
Manappuram Finance Limited,MANAPPURAM,2024-02-16,186.2,189.0,183.9,186.4,186.2,7511656
Manappuram Finance Limited,MANAPPURAM,2024-02-15,184.5,186.9,183.6,186.2,182.55,6100863
Manappuram Finance Limited,MANAPPURAM,2024-02-14,175.0,183.25,170.05,182.55,177.6,6580283
Manappuram Finance Limited,MANAPPURAM,2024-02-13,176.0,179.55,172.85,177.6,174.9,8351768
Manappuram Finance Limited,MANAPPURAM,2024-02-12,185.0,185.6,174.15,174.9,183.45,7721859
Manappuram Finance Limited,MANAPPURAM,2024-02-09,184.5,186.6,178.8,183.45,182.8,13935633
