StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Mastek Limited,MASTEK,2024-03-28,2514.95,2564.75,2480.0,2543.0,2514.8,73517
Mastek Limited,MASTEK,2024-03-27,2571.95,2600.0,2505.0,2514.8,2570.15,55951
Mastek Limited,MASTEK,2024-03-26,2639.7,2648.7,2563.0,2570.15,2634.5,41927
Mastek Limited,MASTEK,2024-03-22,2635.0,2668.45,2616.15,2634.5,2653.7,27581
Mastek Limited,MASTEK,2024-03-21,2621.0,2675.0,2621.0,2653.7,2603.1,18377
Mastek Limited,MASTEK,2024-03-20,2626.5,2672.0,2584.8,2603.1,2626.5,27505
Mastek Limited,MASTEK,2024-03-19,2625.0,2647.35,2590.55,2626.5,2630.9,24914
Mastek Limited,MASTEK,2024-03-18,2629.95,2682.95,2610.0,2630.9,2628.3,39475
Mastek Limited,MASTEK,2024-03-15,2735.55,2735.55,2610.2,2628.3,2711.05,70285
Mastek Limited,MASTEK,2024-03-14,2610.05,2726.0,2590.0,2711.05,2619.85,48758
Mastek Limited,MASTEK,2024-03-13,2727.6,2755.0,2581.0,2619.85,2704.95,62781
Mastek Limited,MASTEK,2024-03-12,2744.1,2812.0,2685.0,2704.95,2755.3,35570
Mastek Limited,MASTEK,2024-03-11,2830.0,2841.55,2736.9,2755.3,2841.55,66855
Mastek Limited,MASTEK,2024-03-07,2903.1,2910.0,2813.6,2841.55,2883.8,29599
Mastek Limited,MASTEK,2024-03-06,2951.0,2964.6,2859.9,2883.8,2983.55,53998
Mastek Limited,MASTEK,2024-03-05,2938.05,2999.5,2889.0,2983.55,2961.5,40044
Mastek Limited,MASTEK,2024-03-04,2951.0,3000.0,2925.0,2961.5,2951.95,20159
Mastek Limited,MASTEK,2024-03-02,2950.0,2966.8,2912.0,2951.95,2941.1,1654
Mastek Limited,MASTEK,2024-03-01,2940.35,2994.65,2920.0,2941.1,2932.1,37589
Mastek Limited,MASTEK,2024-02-29,2877.35,2948.0,2865.1,2932.1,2906.4,44689
Mastek Limited,MASTEK,2024-02-28,2994.75,3020.0,2870.0,2906.4,2991.55,43715
Mastek Limited,MASTEK,2024-02-27,2948.0,3006.55,2948.0,2991.55,2962.7,42534
Mastek Limited,MASTEK,2024-02-26,2992.0,2993.65,2920.0,2962.7,2979.85,34403
Mastek Limited,MASTEK,2024-02-23,3000.0,3069.3,2960.4,2979.85,2960.5,85616
Mastek Limited,MASTEK,2024-02-22,3019.9,3032.15,2943.2,2960.5,2993.55,37806
Mastek Limited,MASTEK,2024-02-21,3067.1,3125.0,2970.05,2993.55,3062.55,53148
Mastek Limited,MASTEK,2024-02-20,3129.0,3139.75,3035.0,3062.55,3124.9,70174
Mastek Limited,MASTEK,2024-02-19,3120.0,3145.0,3050.1,3124.9,3091.75,205966
Mastek Limited,MASTEK,2024-02-16,2932.8,3112.0,2900.05,3091.75,2863.35,488622
Mastek Limited,MASTEK,2024-02-15,2829.75,2887.8,2829.75,2863.35,2815.55,23563
Mastek Limited,MASTEK,2024-02-14,2836.0,2870.8,2795.55,2815.55,2874.5,38490
Mastek Limited,MASTEK,2024-02-13,2843.45,2890.35,2772.7,2874.5,2843.45,49186
Mastek Limited,MASTEK,2024-02-12,2943.9,2989.5,2820.9,2843.45,2915.85,59837
Mastek Limited,MASTEK,2024-02-09,2956.25,2964.0,2841.0,2915.85,2945.55,39508
Mastek Limited,MASTEK,2024-02-08,2971.95,2982.35,2923.35,2945.55,2942.35,32134
Mastek Limited,MASTEK,2024-02-07,2994.9,3002.0,2913.0,2942.35,2962.1,55019
Mastek Limited,MASTEK,2024-02-06,2895.0,2991.35,2895.0,2962.1,2894.6,114328
Mastek Limited,MASTEK,2024-02-05,2947.95,2947.95,2877.3,2894.6,2947.95,40869
Mastek Limited,MASTEK,2024-02-02,2865.0,2990.0,2845.1,2947.95,2851.2,92720
Mastek Limited,MASTEK,2024-02-01,2840.0,2868.0,2808.45,2851.2,2848.85,35646
Mastek Limited,MASTEK,2024-01-31,2718.0,2865.0,2718.0,2848.85,2740.15,90091
Mastek Limited,MASTEK,2024-01-30,2817.0,2817.0,2735.1,2740.15,2792.1,61977
Mastek Limited,MASTEK,2024-01-29,2759.95,2877.6,2736.6,2792.1,2748.5,138744
Mastek Limited,MASTEK,2024-01-25,2705.0,2766.45,2683.6,2748.5,2691.9,99865
Mastek Limited,MASTEK,2024-01-24,2682.0,2735.5,2615.1,2691.9,2682.4,145632
Mastek Limited,MASTEK,2024-01-23,2829.0,2829.0,2665.0,2682.4,2801.45,106658
Mastek Limited,MASTEK,2024-01-20,2927.25,2937.0,2768.5,2801.45,2912.9,86192
Mastek Limited,MASTEK,2024-01-19,2947.0,2948.0,2870.6,2912.9,2902.4,120818
Mastek Limited,MASTEK,2024-01-18,2925.0,3069.9,2880.1,2902.4,2932.25,698782
Mastek Limited,MASTEK,2024-01-17,2875.05,2989.0,2839.55,2932.25,2893.55,224437
Mastek Limited,MASTEK,2024-01-16,2895.0,2946.0,2825.6,2893.55,2899.0,102130
Mastek Limited,MASTEK,2024-01-15,2902.0,2940.0,2831.0,2899.0,2867.4,131705
Mastek Limited,MASTEK,2024-01-12,2810.0,2955.95,2808.9,2867.4,2745.8,384522
Mastek Limited,MASTEK,2024-01-11,2709.0,2770.0,2694.7,2745.8,2704.25,65019
Mastek Limited,MASTEK,2024-01-10,2691.0,2717.5,2673.3,2704.25,2698.55,26925
Mastek Limited,MASTEK,2024-01-09,2750.0,2755.0,2682.65,2698.55,2696.85,29999
Mastek Limited,MASTEK,2024-01-08,2734.35,2778.9,2674.0,2696.85,2739.4,42451
Mastek Limited,MASTEK,2024-01-05,2686.4,2764.9,2673.05,2739.4,2686.4,59372
Mastek Limited,MASTEK,2024-01-04,2682.0,2700.9,2654.0,2686.4,2662.15,41174
Mastek Limited,MASTEK,2024-01-03,2689.15,2704.9,2651.0,2662.15,2716.25,142662
Mastek Limited,MASTEK,2024-01-02,2775.0,2785.95,2679.5,2716.25,2785.8,102174
Mastek Limited,MASTEK,2024-01-01,2800.0,2805.55,2769.0,2785.8,2817.6,37873
Mastek Limited,MASTEK,2023-12-29,2792.5,2844.0,2756.45,2817.6,2797.85,84614
Mastek Limited,MASTEK,2023-12-28,2824.35,2824.6,2763.0,2797.85,2808.2,60130
Mastek Limited,MASTEK,2023-12-27,2780.35,2860.05,2772.05,2808.2,2768.2,88314
Mastek Limited,MASTEK,2023-12-26,2800.0,2814.9,2750.0,2768.2,2804.75,51158
Mastek Limited,MASTEK,2023-12-22,2810.0,2820.0,2732.0,2804.75,2806.1,75471
Mastek Limited,MASTEK,2023-12-21,2620.0,2826.0,2608.05,2806.1,2647.6,124315
Mastek Limited,MASTEK,2023-12-20,2800.0,2828.0,2620.1,2647.6,2789.15,110173
Mastek Limited,MASTEK,2023-12-19,2815.05,2819.75,2750.05,2789.15,2822.55,113475
Mastek Limited,MASTEK,2023-12-18,2764.4,2851.0,2732.4,2822.55,2736.6,323140
Mastek Limited,MASTEK,2023-12-15,2598.45,2760.0,2563.55,2736.6,2576.0,482654
Mastek Limited,MASTEK,2023-12-14,2440.0,2685.0,2434.95,2576.0,2416.65,1035837
Mastek Limited,MASTEK,2023-12-13,2408.55,2434.2,2368.0,2416.65,2398.55,41583
Mastek Limited,MASTEK,2023-12-12,2370.05,2444.2,2358.05,2398.55,2385.2,81704
Mastek Limited,MASTEK,2023-12-11,2370.3,2402.6,2350.0,2385.2,2370.3,28556
Mastek Limited,MASTEK,2023-12-08,2378.6,2389.0,2329.55,2370.3,2370.15,37590
Mastek Limited,MASTEK,2023-12-07,2399.5,2400.7,2352.6,2370.15,2387.05,22056
Mastek Limited,MASTEK,2023-12-06,2384.4,2420.95,2343.95,2387.05,2384.4,48782
Mastek Limited,MASTEK,2023-12-05,2361.0,2398.15,2352.0,2384.4,2363.15,35305
Mastek Limited,MASTEK,2023-12-04,2384.0,2396.0,2351.0,2363.15,2360.05,47813
Mastek Limited,MASTEK,2023-12-01,2405.0,2411.25,2350.0,2360.05,2374.65,36363
Mastek Limited,MASTEK,2023-11-30,2353.2,2391.35,2348.0,2374.65,2358.3,61786
Mastek Limited,MASTEK,2023-11-29,2326.95,2377.0,2302.25,2358.3,2309.1,49921
Mastek Limited,MASTEK,2023-11-28,2392.0,2392.0,2291.0,2309.1,2373.95,61723
Mastek Limited,MASTEK,2023-11-24,2455.0,2455.0,2352.0,2373.95,2434.75,33555
Mastek Limited,MASTEK,2023-11-23,2397.7,2449.0,2389.05,2434.75,2397.7,40166
Mastek Limited,MASTEK,2023-11-22,2455.05,2455.05,2384.0,2397.7,2456.25,38532
Mastek Limited,MASTEK,2023-11-21,2432.95,2480.0,2414.55,2456.25,2416.4,93953
Mastek Limited,MASTEK,2023-11-20,2333.0,2426.0,2325.0,2416.4,2345.3,83911
Mastek Limited,MASTEK,2023-11-17,2351.95,2382.2,2318.0,2345.3,2351.95,75711
Mastek Limited,MASTEK,2023-11-16,2262.9,2373.85,2254.25,2351.95,2262.9,103442
Mastek Limited,MASTEK,2023-11-15,2239.4,2290.0,2226.15,2262.9,2204.9,82820
Mastek Limited,MASTEK,2023-11-13,2238.15,2238.15,2198.0,2204.9,2238.15,22411
Mastek Limited,MASTEK,2023-11-12,2241.95,2262.4,2231.0,2238.15,2236.55,3016
Mastek Limited,MASTEK,2023-11-10,2224.95,2254.95,2216.0,2236.55,2221.15,21327
Mastek Limited,MASTEK,2023-11-09,2258.7,2258.7,2210.0,2221.15,2250.0,21054
Mastek Limited,MASTEK,2023-11-08,2222.0,2265.55,2222.0,2250.0,2235.8,21013
Mastek Limited,MASTEK,2023-11-07,2258.45,2266.45,2216.0,2235.8,2258.45,23478
Mastek Limited,MASTEK,2023-11-06,2254.95,2288.0,2235.25,2258.45,2235.4,29876
Mastek Limited,MASTEK,2023-11-03,2260.0,2260.0,2222.45,2235.4,2224.0,17198
Mastek Limited,MASTEK,2023-11-02,2213.75,2259.8,2213.0,2224.0,2204.35,34187
Mastek Limited,MASTEK,2023-11-01,2208.0,2262.45,2198.05,2204.35,2208.55,29395
Mastek Limited,MASTEK,2023-10-31,2250.0,2250.0,2200.0,2208.55,2255.6,35292
Mastek Limited,MASTEK,2023-10-30,2150.0,2290.0,2140.0,2255.6,2149.6,107004
Mastek Limited,MASTEK,2023-10-27,2146.0,2203.55,2136.3,2149.6,2149.1,51535
Mastek Limited,MASTEK,2023-10-26,2152.5,2198.8,2103.05,2149.1,2185.3,65760
Mastek Limited,MASTEK,2023-10-25,2165.3,2220.95,2141.0,2185.3,2165.3,78756
Mastek Limited,MASTEK,2023-10-23,2249.8,2249.8,2128.0,2165.3,2251.8,111662
Mastek Limited,MASTEK,2023-10-20,2284.3,2333.45,2220.0,2251.8,2340.25,140492
Mastek Limited,MASTEK,2023-10-19,2378.0,2398.75,2166.0,2340.25,2361.5,179830
Mastek Limited,MASTEK,2023-10-18,2437.0,2460.1,2350.0,2361.5,2431.8,52843
Mastek Limited,MASTEK,2023-10-17,2411.05,2465.0,2391.2,2431.8,2405.15,83679
Mastek Limited,MASTEK,2023-10-16,2350.0,2442.3,2309.85,2405.15,2366.15,108945
Mastek Limited,MASTEK,2023-10-13,2379.0,2384.95,2352.05,2366.15,2380.8,28646
Mastek Limited,MASTEK,2023-10-12,2385.0,2427.0,2372.8,2380.8,2398.75,32058
Mastek Limited,MASTEK,2023-10-11,2415.0,2443.0,2380.0,2398.75,2404.85,32703
Mastek Limited,MASTEK,2023-10-10,2393.3,2424.1,2392.25,2404.85,2393.3,27392
Mastek Limited,MASTEK,2023-10-09,2367.55,2405.9,2350.0,2393.3,2392.2,36416
Mastek Limited,MASTEK,2023-10-06,2390.0,2428.45,2375.0,2392.2,2395.7,31328
Mastek Limited,MASTEK,2023-10-05,2417.8,2478.05,2376.25,2395.7,2409.0,55166
Mastek Limited,MASTEK,2023-10-04,2391.0,2419.7,2371.55,2409.0,2404.85,39487
Mastek Limited,MASTEK,2023-10-03,2385.0,2416.95,2359.25,2404.85,2399.5,25316
Mastek Limited,MASTEK,2023-09-29,2378.0,2413.55,2320.1,2399.5,2366.1,50257
Mastek Limited,MASTEK,2023-09-28,2439.95,2439.95,2350.0,2366.1,2424.6,32129
Mastek Limited,MASTEK,2023-09-27,2409.0,2429.95,2382.1,2424.6,2406.35,39540
Mastek Limited,MASTEK,2023-09-26,2400.0,2438.65,2380.1,2406.35,2406.8,41416
Mastek Limited,MASTEK,2023-09-25,2434.95,2471.25,2401.0,2406.8,2434.95,40095
Mastek Limited,MASTEK,2023-09-22,2385.0,2450.0,2382.05,2434.95,2381.2,63653
Mastek Limited,MASTEK,2023-09-21,2336.0,2400.0,2326.9,2381.2,2336.0,84173
Mastek Limited,MASTEK,2023-09-20,2360.0,2394.1,2320.4,2336.0,2362.0,44914
Mastek Limited,MASTEK,2023-09-18,2397.95,2397.95,2348.35,2362.0,2382.25,46780
Mastek Limited,MASTEK,2023-09-15,2428.0,2435.0,2370.0,2382.25,2412.25,57191
Mastek Limited,MASTEK,2023-09-14,2359.0,2445.0,2359.0,2412.25,2351.05,74739
Mastek Limited,MASTEK,2023-09-13,2399.0,2408.05,2320.0,2351.05,2399.7,54718
Mastek Limited,MASTEK,2023-09-12,2425.15,2431.5,2275.0,2399.7,2416.3,112590
Mastek Limited,MASTEK,2023-09-11,2425.0,2449.7,2395.0,2416.3,2426.15,67192
